,close,high,low
2025-12-26 16:00:00,313.18,315.05,312.78
2025-12-26 20:00:00,313.74,313.92,313.33
2025-12-27 00:00:00,313.68,313.91,313.38
2025-12-27 04:00:00,313.41,313.61,313.27
2025-12-27 08:00:00,313.5,313.5,313.36
2025-12-27 12:00:00,313.69,313.79,313.38
2025-12-27 16:00:00,313.79,313.95,313.69
2025-12-27 20:00:00,313.98,314.02,313.78
2025-12-28 00:00:00,314.11,314.3,313.93
2025-12-28 04:00:00,314.44,314.51,313.42
2025-12-28 08:00:00,314.23,314.5,314.13
2025-12-28 12:00:00,314.22,314.68,314.13
2025-12-28 16:00:00,314.09,314.68,314.08
2025-12-28 20:00:00,314.18,314.48,314.1
2025-12-29 00:00:00,314.53,314.53,314.09
2025-12-29 04:00:00,313.42,314.53,313.35
2025-12-29 08:00:00,312.35,313.79,312.35
2025-12-29 12:00:00,311.87,312.56,311.83
2025-12-29 16:00:00,312.49,313.24,310.61
2025-12-29 20:00:00,313.41,313.41,311.63
2025-12-30 00:00:00,313.15,313.92,313.15
2025-12-30 04:00:00,313.52,313.54,313.06
2025-12-30 08:00:00,313.25,314.0,313.21
2025-12-30 12:00:00,313.67,314.03,313.22
2025-12-30 16:00:00,313.77,315.12,312.48
2025-12-30 20:00:00,313.8,314.78,313.36
2025-12-31 00:00:00,313.7,314.6,313.68
2025-12-31 04:00:00,312.93,313.72,312.85
2025-12-31 08:00:00,312.58,313.03,312.54
2025-12-31 12:00:00,312.44,312.56,311.8
2025-12-31 16:00:00,313.55,313.9,312.3
2025-12-31 20:00:00,313.49,314.07,313.01
2026-01-01 00:00:00,312.48,313.46,312.37
2026-01-01 04:00:00,312.44,312.75,312.01
2026-01-01 08:00:00,313.1,313.15,312.07
2026-01-01 12:00:00,312.75,313.16,312.75
2026-01-01 16:00:00,313.22,313.4,312.83
2026-01-01 20:00:00,313.46,313.46,312.81
2026-01-02 00:00:00,313.44,313.53,312.81
2026-01-02 04:00:00,315.05,315.32,312.83
2026-01-02 08:00:00,315.44,315.78,315.06
2026-01-02 12:00:00,316.87,317.47,315.44
2026-01-02 16:00:00,314.61,321.82,314.55
2026-01-02 20:00:00,314.9,315.5,310.68
2026-01-03 00:00:00,315.24,315.41,314.57
2026-01-03 04:00:00,315.06,315.56,314.86
2026-01-03 08:00:00,314.92,315.12,314.77
2026-01-03 12:00:00,315.13,315.18,314.8
2026-01-03 16:00:00,314.88,315.1,314.88
2026-01-03 20:00:00,315.36,315.65,314.87
2026-01-04 00:00:00,315.39,315.42,315.03
2026-01-04 04:00:00,315.4,315.4,315.09
2026-01-04 08:00:00,315.29,315.66,315.2
2026-01-04 12:00:00,315.26,315.61,315.16
2026-01-04 16:00:00,316.95,317.19,315.18
2026-01-04 20:00:00,316.71,316.91,316.63
2026-01-05 00:00:00,316.71,316.86,316.61
2026-01-05 04:00:00,315.55,316.83,315.46
2026-01-05 08:00:00,315.51,316.57,315.34
2026-01-05 12:00:00,316.27,316.27,315.45
2026-01-05 16:00:00,317.08,318.06,315.64
2026-01-05 20:00:00,315.88,317.16,314.93
2026-01-06 00:00:00,316.71,317.23,315.83
2026-01-06 04:00:00,317.52,317.54,316.65
2026-01-06 08:00:00,317.34,317.81,317.27
2026-01-06 12:00:00,317.29,317.45,315.85
2026-01-06 16:00:00,314.55,320.3,314.45
2026-01-06 20:00:00,313.76,314.78,312.26
2026-01-07 00:00:00,314.54,314.89,313.22
2026-01-07 04:00:00,314.37,314.56,314.06
2026-01-07 08:00:00,314.07,314.35,313.88
2026-01-07 12:00:00,313.52,313.9,313.1
2026-01-07 16:00:00,320.31,321.35,313.22
2026-01-07 20:00:00,321.8,325.5,319.49
2026-01-08 00:00:00,322.57,322.98,321.23
2026-01-08 04:00:00,322.08,322.94,322.03
2026-01-08 08:00:00,322.5,322.97,320.22
2026-01-08 12:00:00,325.27,325.27,322.54
2026-01-08 16:00:00,326.02,328.48,322.8
2026-01-08 20:00:00,324.79,327.9,324.79
2026-01-09 00:00:00,325.77,326.09,324.67
2026-01-09 04:00:00,325.21,325.73,324.69
2026-01-09 08:00:00,326.6,327.09,325.01
2026-01-09 12:00:00,328.77,329.28,325.83
2026-01-09 16:00:00,329.06,329.73,327.4
2026-01-09 20:00:00,330.22,330.36,328.58
2026-01-10 00:00:00,328.87,330.1,328.56
2026-01-10 04:00:00,329.28,329.67,328.96
2026-01-10 08:00:00,329.62,329.75,329.2
2026-01-10 12:00:00,329.61,329.73,329.21
2026-01-10 16:00:00,329.67,329.72,329.21
2026-01-10 20:00:00,329.26,329.72,329.2
2026-01-11 00:00:00,329.38,329.38,329.27
