,close,high,low
2025-12-04 12:00:00,0.00792238,0.00802483,0.00792199
2025-12-04 16:00:00,0.00794841,0.00795343,0.00785272
2025-12-04 20:00:00,0.00775943,0.00793136,0.00767265
2025-12-05 00:00:00,0.00770646,0.00776898,0.00769665
2025-12-05 04:00:00,0.00782829,0.00782829,0.00770473
2025-12-05 08:00:00,0.00782742,0.00784753,0.00775154
2025-12-05 12:00:00,0.00775936,0.00782119,0.00773243
2025-12-05 16:00:00,0.00779198,0.0078401,0.00770797
2025-12-05 20:00:00,0.00759162,0.0077541,0.00752782
2025-12-06 00:00:00,0.00766899,0.00766899,0.00757045
2025-12-06 04:00:00,0.00771924,0.00773067,0.0076456
2025-12-06 08:00:00,0.00768024,0.00772043,0.00766379
2025-12-06 12:00:00,0.00767402,0.00768884,0.0076097
2025-12-06 16:00:00,0.00771509,0.00772985,0.00766144
2025-12-06 20:00:00,0.00770904,0.00779908,0.00770854
2025-12-07 00:00:00,0.00775941,0.00781034,0.00771742
2025-12-07 04:00:00,0.00775282,0.00780031,0.00774717
2025-12-07 08:00:00,0.00770666,0.00774964,0.00770351
2025-12-07 12:00:00,0.00763339,0.00770706,0.00762483
2025-12-07 16:00:00,0.00756861,0.00765756,0.00748594
2025-12-07 20:00:00,0.00777846,0.00780752,0.00760354
2025-12-08 00:00:00,0.00756864,0.00780549,0.00756187
2025-12-08 04:00:00,0.00765446,0.00766034,0.00755054
2025-12-08 08:00:00,0.00769912,0.00771478,0.00765621
2025-12-08 12:00:00,0.00776463,0.00779748,0.00769259
2025-12-08 16:00:00,0.00771958,0.00779544,0.00771454
2025-12-08 20:00:00,0.00773923,0.00779613,0.0077103
2025-12-09 00:00:00,0.00773695,0.00780319,0.0077233
2025-12-09 04:00:00,0.0076976,0.00775738,0.00768017
2025-12-09 08:00:00,0.00765682,0.00770253,0.0076143
2025-12-09 12:00:00,0.00757266,0.00765962,0.00755319
2025-12-09 16:00:00,0.00787188,0.00787188,0.0075737
2025-12-09 20:00:00,0.00795851,0.00802798,0.00788708
2025-12-10 00:00:00,0.0078792,0.00795883,0.00779827
2025-12-10 04:00:00,0.00788226,0.00797305,0.00784866
2025-12-10 08:00:00,0.00779078,0.00789695,0.00778138
2025-12-10 12:00:00,0.00771223,0.00782643,0.00771223
2025-12-10 16:00:00,0.00777667,0.00781386,0.00770342
2025-12-10 20:00:00,0.0079005,0.0079005,0.00777445
2025-12-11 00:00:00,0.00764234,0.00798257,0.00764234
2025-12-11 04:00:00,0.00737826,0.00762627,0.00737826
2025-12-11 08:00:00,0.00741098,0.00743382,0.00737154
2025-12-11 12:00:00,0.00746408,0.00747163,0.00738631
2025-12-11 16:00:00,0.00740691,0.00745912,0.00739655
2025-12-11 20:00:00,0.00745942,0.00748256,0.00737907
2025-12-12 00:00:00,0.00748219,0.00755381,0.00742084
2025-12-12 04:00:00,0.00750246,0.00752771,0.00741212
2025-12-12 08:00:00,0.00747675,0.00750625,0.00744532
2025-12-12 12:00:00,0.00745496,0.00746847,0.00741938
2025-12-12 16:00:00,0.00727327,0.00746961,0.00727327
2025-12-12 20:00:00,0.00728693,0.00731367,0.00717462
2025-12-13 00:00:00,0.0073836,0.00739087,0.00728896
2025-12-13 04:00:00,0.00745903,0.00746734,0.0073858
2025-12-13 08:00:00,0.0074268,0.00746664,0.00739156
2025-12-13 12:00:00,0.00741112,0.00744896,0.00739921
2025-12-13 16:00:00,0.00744018,0.00744337,0.0073942
2025-12-13 20:00:00,0.007433,0.00744935,0.00742762
2025-12-14 00:00:00,0.00743008,0.00743476,0.00738601
2025-12-14 04:00:00,0.00743217,0.00744825,0.00740812
2025-12-14 08:00:00,0.00737086,0.00742153,0.0073517
2025-12-14 12:00:00,0.00729572,0.00737744,0.00729572
2025-12-14 16:00:00,0.00723649,0.00733636,0.00723232
2025-12-14 20:00:00,0.00714691,0.00725452,0.00714343
2025-12-15 00:00:00,0.007057,0.00716378,0.00705129
2025-12-15 04:00:00,0.00717762,0.00720121,0.00705051
2025-12-15 08:00:00,0.00715172,0.00723676,0.00714789
2025-12-15 12:00:00,0.00716733,0.00718438,0.0071549
2025-12-15 16:00:00,0.0069459,0.00717717,0.00691084
2025-12-15 20:00:00,0.00689751,0.00695357,0.00680576
2025-12-16 00:00:00,0.0069199,0.00694714,0.00686616
2025-12-16 04:00:00,0.0068527,0.0069283,0.00684686
2025-12-16 08:00:00,0.00680079,0.00687583,0.00679768
2025-12-16 12:00:00,0.00693631,0.00693631,0.00679595
2025-12-16 16:00:00,0.00693941,0.00695506,0.00687853
2025-12-16 20:00:00,0.00692013,0.00695031,0.00685951
2025-12-17 00:00:00,0.00691109,0.00693605,0.00689297
2025-12-17 04:00:00,0.0067862,0.00691264,0.00678364
2025-12-17 08:00:00,0.00675695,0.00678837,0.00671162
2025-12-17 12:00:00,0.00672637,0.00675267,0.00668399
2025-12-17 16:00:00,0.00667958,0.00687728,0.00667958
2025-12-17 20:00:00,0.00640247,0.0066708,0.00636374
2025-12-18 00:00:00,0.00634435,0.00645145,0.00633153
2025-12-18 04:00:00,0.00626934,0.0063614,0.00626319
2025-12-18 08:00:00,0.00620658,0.00627808,0.006191
2025-12-18 12:00:00,0.00630369,0.00631602,0.00621568
2025-12-18 16:00:00,0.00642868,0.00645114,0.00630996
2025-12-18 20:00:00,0.00602137,0.00641417,0.00602137
2025-12-19 00:00:00,0.00615456,0.00619159,0.00602417
2025-12-19 04:00:00,0.00628999,0.00628999,0.00610537
2025-12-19 08:00:00,0.00631328,0.00634719,0.00628078
2025-12-19 12:00:00,0.00630249,0.00633369,0.0062626
2025-12-19 16:00:00,0.0063635,0.0063953,0.00630103
2025-12-19 20:00:00,0.00649,0.00649,0.0063316
2025-12-20 00:00:00,0.00651966,0.00652072,0.00649808
2025-12-20 04:00:00,0.00653362,0.00653578,0.00648358
2025-12-20 08:00:00,0.00656627,0.00656886,0.00649468
2025-12-20 12:00:00,0.0066076,0.00662199,0.00656178
2025-12-20 16:00:00,0.0065999,0.00662929,0.00657384
2025-12-20 20:00:00,0.00657313,0.00660078,0.00655989
2025-12-21 00:00:00,0.00656994,0.00658208,0.00654722
2025-12-21 04:00:00,0.00653218,0.00659092,0.00647924
2025-12-21 08:00:00,0.00667042,0.00667543,0.00650717
2025-12-21 12:00:00,0.00655896,0.00665999,0.00655753
2025-12-21 16:00:00,0.00639873,0.006581,0.00636626
2025-12-21 20:00:00,0.00643363,0.00645593,0.00637813
2025-12-22 00:00:00,0.00644944,0.00647735,0.00638029
2025-12-22 04:00:00,0.0064672,0.00651985,0.00640891
2025-12-22 08:00:00,0.00648995,0.00651347,0.00647011
2025-12-22 12:00:00,0.00655984,0.00655984,0.00649985
2025-12-22 16:00:00,0.00656821,0.00661498,0.00655316
2025-12-22 20:00:00,0.00650143,0.00660804,0.00650143
2025-12-23 00:00:00,0.0065433,0.0065433,0.00646363
2025-12-23 04:00:00,0.0065313,0.00658421,0.00651436
2025-12-23 08:00:00,0.00641272,0.00653189,0.00640951
2025-12-23 12:00:00,0.00643965,0.00644213,0.00639844
2025-12-23 16:00:00,0.00626724,0.00641967,0.00618414
2025-12-23 20:00:00,0.00634906,0.00636317,0.00626626
2025-12-24 00:00:00,0.00633409,0.0063712,0.00630229
2025-12-24 04:00:00,0.0062295,0.00633607,0.00619555
2025-12-24 08:00:00,0.00618983,0.00626377,0.00616169
2025-12-24 12:00:00,0.00620905,0.00621085,0.00617049
2025-12-24 16:00:00,0.00624724,0.00624832,0.00619957
2025-12-24 20:00:00,0.00628157,0.00628231,0.00622935
2025-12-25 00:00:00,0.00632902,0.00634229,0.00628382
2025-12-25 04:00:00,0.00635611,0.00635874,0.0063171
2025-12-25 08:00:00,0.00637057,0.00638158,0.00635353
2025-12-25 12:00:00,0.00635161,0.00641264,0.00633835
2025-12-25 16:00:00,0.00638484,0.00638484,0.0063122
2025-12-25 20:00:00,0.0063919,0.00639912,0.00636325
2025-12-26 00:00:00,0.00621529,0.00640293,0.00621519
2025-12-26 04:00:00,0.00632444,0.00635268,0.00618961
2025-12-26 08:00:00,0.00630711,0.00636069,0.00630711
2025-12-26 12:00:00,0.00631664,0.0063387,0.00629828
2025-12-26 16:00:00,0.00623236,0.00634238,0.00621805
2025-12-26 20:00:00,0.00629824,0.00629824,0.00620061
2025-12-27 00:00:00,0.00625165,0.00631613,0.00624632
2025-12-27 04:00:00,0.00633693,0.00633693,0.00625503
2025-12-27 08:00:00,0.00632129,0.00633688,0.00630783
2025-12-27 12:00:00,0.00636732,0.00636732,0.00626575
2025-12-27 16:00:00,0.00644254,0.00645845,0.0063789
2025-12-27 20:00:00,0.00647636,0.00654228,0.00642168
2025-12-28 00:00:00,0.0066979,0.0066979,0.00642268
2025-12-28 04:00:00,0.00661598,0.00668237,0.00660198
2025-12-28 08:00:00,0.00676081,0.00676081,0.00661688
2025-12-28 12:00:00,0.0065949,0.00676382,0.00659412
2025-12-28 16:00:00,0.00657949,0.00661256,0.00656345
2025-12-28 20:00:00,0.00644353,0.00657911,0.00644353
2025-12-29 00:00:00,0.00648749,0.00648749,0.00642054
2025-12-29 04:00:00,0.00658353,0.00658353,0.00647876
2025-12-29 08:00:00,0.00655476,0.00659504,0.00653071
2025-12-29 12:00:00,0.00642448,0.00654746,0.006409
2025-12-29 16:00:00,0.0064127,0.00642377,0.00634758
2025-12-29 20:00:00,0.00637239,0.00642147,0.00636581
2025-12-30 00:00:00,0.0063445,0.00638438,0.0063445
2025-12-30 04:00:00,0.00634972,0.00640529,0.00632722
2025-12-30 08:00:00,0.00637079,0.0063749,0.00631816
2025-12-30 12:00:00,0.00642159,0.00643622,0.00637216
2025-12-30 16:00:00,0.00645319,0.00647947,0.00638492
2025-12-30 20:00:00,0.0064483,0.0064711,0.00642035
2025-12-31 00:00:00,0.00641311,0.00644946,0.00639232
2025-12-31 04:00:00,0.00637812,0.00641591,0.00637099
2025-12-31 08:00:00,0.00633414,0.0064005,0.00633414
2025-12-31 12:00:00,0.00638097,0.00638349,0.00633222
2025-12-31 16:00:00,0.0062913,0.00637659,0.0062913
2025-12-31 20:00:00,0.00621035,0.00629004,0.0061473
2026-01-01 00:00:00,0.00623075,0.00624303,0.00617686
2026-01-01 04:00:00,0.00622722,0.00625351,0.00621345
2026-01-01 08:00:00,0.00625373,0.00625685,0.00620881
2026-01-01 12:00:00,0.00631068,0.00631313,0.00625175
2026-01-01 16:00:00,0.0063795,0.0063795,0.0062931
2026-01-01 20:00:00,0.00650543,0.00650543,0.00639246
2026-01-02 00:00:00,0.00652059,0.00653236,0.00648651
2026-01-02 04:00:00,0.00658583,0.00658583,0.00650508
2026-01-02 08:00:00,0.00656511,0.00662821,0.00655687
2026-01-02 12:00:00,0.00657957,0.00661513,0.00655953
2026-01-02 16:00:00,0.00661168,0.00663094,0.00655984
2026-01-02 20:00:00,0.00671365,0.00671685,0.00660674
2026-01-03 00:00:00,0.00677454,0.0067919,0.00668715
2026-01-03 04:00:00,0.00683468,0.00683468,0.00675859
2026-01-03 08:00:00,0.00664049,0.00684045,0.00662133
