,close,high,low
2025-12-04 16:00:00,0.02207241,0.02269879,0.02189202
2025-12-04 20:00:00,0.02102305,0.02200942,0.02081627
2025-12-05 00:00:00,0.02111231,0.02127095,0.02093554
2025-12-05 04:00:00,0.02116599,0.02123512,0.02093735
2025-12-05 08:00:00,0.02172053,0.02187145,0.02115807
2025-12-05 12:00:00,0.02085968,0.02172233,0.02077852
2025-12-05 16:00:00,0.02075392,0.02110026,0.02051094
2025-12-05 20:00:00,0.02148588,0.02148588,0.01990529
2025-12-06 00:00:00,0.02174517,0.0230343,0.0215952
2025-12-06 04:00:00,0.02086901,0.02199913,0.02086901
2025-12-06 08:00:00,0.02068589,0.02093461,0.02058641
2025-12-06 12:00:00,0.0207235,0.02082685,0.02056297
2025-12-06 16:00:00,0.02085891,0.02110052,0.02064924
2025-12-06 20:00:00,0.02102646,0.02117373,0.02083751
2025-12-07 00:00:00,0.02064361,0.02128646,0.02064361
2025-12-07 04:00:00,0.02066998,0.02083608,0.02045877
2025-12-07 08:00:00,0.02033422,0.0206583,0.02027343
2025-12-07 12:00:00,0.02010936,0.02031333,0.0199588
2025-12-07 16:00:00,0.0195679,0.02014496,0.01929313
2025-12-07 20:00:00,0.01998108,0.02013048,0.01969833
2025-12-08 00:00:00,0.01925152,0.02002864,0.0192182
2025-12-08 04:00:00,0.01965304,0.01971877,0.01904189
2025-12-08 08:00:00,0.01979814,0.01989293,0.01958121
2025-12-08 12:00:00,0.02031409,0.02061291,0.01979978
2025-12-08 16:00:00,0.01972429,0.02037619,0.01963341
2025-12-08 20:00:00,0.01945291,0.0199078,0.01926386
2025-12-09 00:00:00,0.0196853,0.01998317,0.01940455
2025-12-09 04:00:00,0.01938661,0.01985937,0.01920162
2025-12-09 08:00:00,0.01923853,0.01943748,0.01910313
2025-12-09 12:00:00,0.01933409,0.01937485,0.01907709
2025-12-09 16:00:00,0.01992661,0.01992661,0.01913097
2025-12-09 20:00:00,0.01999181,0.02034357,0.01997687
2025-12-10 00:00:00,0.01961958,0.01999838,0.01921158
2025-12-10 04:00:00,0.01963353,0.01973507,0.01934327
2025-12-10 08:00:00,0.01963402,0.01973765,0.01952721
2025-12-10 12:00:00,0.01963123,0.01985138,0.01943012
2025-12-10 16:00:00,0.01927616,0.01987218,0.01927616
2025-12-10 20:00:00,0.0197691,0.01978261,0.01919866
2025-12-11 00:00:00,0.01964547,0.02001412,0.01948556
2025-12-11 04:00:00,0.01833802,0.01970874,0.01825896
2025-12-11 08:00:00,0.01910256,0.01945741,0.01836343
2025-12-11 12:00:00,0.01926427,0.01969133,0.01900206
2025-12-11 16:00:00,0.01905928,0.01924399,0.01887478
2025-12-11 20:00:00,0.01886093,0.01916044,0.0188375
2025-12-12 00:00:00,0.01888807,0.01913291,0.01876648
2025-12-12 04:00:00,0.01869467,0.01899499,0.01858638
2025-12-12 08:00:00,0.01830358,0.01870379,0.01827649
2025-12-12 12:00:00,0.01838224,0.01856439,0.01817354
2025-12-12 16:00:00,0.01792787,0.0185888,0.01792787
2025-12-12 20:00:00,0.01780019,0.01803526,0.01759113
2025-12-13 00:00:00,0.0181406,0.01840916,0.01782652
2025-12-13 04:00:00,0.01798974,0.01817599,0.01787194
2025-12-13 08:00:00,0.01808551,0.01810101,0.01789649
2025-12-13 12:00:00,0.01784173,0.01810955,0.01781796
2025-12-13 16:00:00,0.01781133,0.01791399,0.01767304
2025-12-13 20:00:00,0.01789171,0.01795381,0.01777805
2025-12-14 00:00:00,0.01796472,0.0179742,0.01777096
