,close,high,low
2025-12-04 12:00:00,0.240868,0.244907,0.240446
2025-12-04 16:00:00,0.24043,0.241153,0.235909
2025-12-04 20:00:00,0.23494,0.241474,0.231396
2025-12-05 00:00:00,0.233257,0.234911,0.232156
2025-12-05 04:00:00,0.233525,0.235413,0.232855
2025-12-05 08:00:00,0.233844,0.234146,0.230964
2025-12-05 12:00:00,0.228466,0.234282,0.227779
2025-12-05 16:00:00,0.22709,0.229164,0.224524
2025-12-05 20:00:00,0.218313,0.226162,0.214871
2025-12-06 00:00:00,0.219547,0.220548,0.217471
2025-12-06 04:00:00,0.221739,0.221739,0.217896
2025-12-06 08:00:00,0.223011,0.223011,0.219666
2025-12-06 12:00:00,0.221539,0.222958,0.219262
2025-12-06 16:00:00,0.224301,0.224661,0.221525
2025-12-06 20:00:00,0.223525,0.226793,0.223269
2025-12-07 00:00:00,0.22482,0.226101,0.223132
2025-12-07 04:00:00,0.22543,0.226612,0.224055
2025-12-07 08:00:00,0.222331,0.225987,0.222331
2025-12-07 12:00:00,0.220825,0.223497,0.22029
2025-12-07 16:00:00,0.217208,0.221833,0.213561
2025-12-07 20:00:00,0.225503,0.226486,0.217034
2025-12-08 00:00:00,0.216291,0.225894,0.215765
2025-12-08 04:00:00,0.219739,0.220515,0.215415
2025-12-08 08:00:00,0.225251,0.22576,0.219803
2025-12-08 12:00:00,0.226017,0.228044,0.224988
2025-12-08 16:00:00,0.224815,0.229883,0.224075
2025-12-08 20:00:00,0.221806,0.226085,0.221444
2025-12-09 00:00:00,0.225082,0.225371,0.221843
2025-12-09 04:00:00,0.222602,0.225201,0.220768
2025-12-09 08:00:00,0.221788,0.22303,0.21899
2025-12-09 12:00:00,0.220783,0.222102,0.218911
2025-12-09 16:00:00,0.231158,0.231158,0.220987
2025-12-09 20:00:00,0.237364,0.24151,0.232509
2025-12-10 00:00:00,0.233305,0.237242,0.229636
2025-12-10 04:00:00,0.228459,0.233508,0.227606
2025-12-10 08:00:00,0.226886,0.228926,0.226244
2025-12-10 12:00:00,0.22354,0.227752,0.223367
2025-12-10 16:00:00,0.223923,0.225181,0.222992
2025-12-10 20:00:00,0.23095,0.23095,0.223675
2025-12-11 00:00:00,0.223722,0.235038,0.22218
2025-12-11 04:00:00,0.211639,0.223177,0.211419
2025-12-11 08:00:00,0.213025,0.214233,0.210381
2025-12-11 12:00:00,0.212543,0.212991,0.210651
2025-12-11 16:00:00,0.211386,0.213438,0.211386
2025-12-11 20:00:00,0.213849,0.214607,0.209903
2025-12-12 00:00:00,0.216125,0.219473,0.212782
2025-12-12 04:00:00,0.215764,0.216912,0.213159
2025-12-12 08:00:00,0.218099,0.220187,0.21529
2025-12-12 12:00:00,0.218998,0.220985,0.217117
2025-12-12 16:00:00,0.210784,0.222183,0.210784
2025-12-12 20:00:00,0.206627,0.208965,0.20479
2025-12-13 00:00:00,0.21174,0.212109,0.206589
2025-12-13 04:00:00,0.214345,0.214367,0.211623
2025-12-13 08:00:00,0.215312,0.215763,0.213242
2025-12-13 12:00:00,0.214725,0.216105,0.214363
2025-12-13 16:00:00,0.214078,0.215459,0.212934
2025-12-13 20:00:00,0.214831,0.215381,0.213935
2025-12-14 00:00:00,0.214384,0.214606,0.21326
2025-12-14 04:00:00,0.213466,0.214406,0.213466
2025-12-14 08:00:00,0.212139,0.21302,0.210459
2025-12-14 12:00:00,0.208432,0.212722,0.208432
2025-12-14 16:00:00,0.207318,0.210691,0.207239
2025-12-14 20:00:00,0.204776,0.208878,0.204493
2025-12-15 00:00:00,0.204594,0.206246,0.20364
2025-12-15 04:00:00,0.209718,0.211744,0.204738
2025-12-15 08:00:00,0.209395,0.21251,0.209395
2025-12-15 12:00:00,0.210237,0.211015,0.209728
2025-12-15 16:00:00,0.199105,0.211992,0.197703
2025-12-15 20:00:00,0.194235,0.198571,0.191565
2025-12-16 00:00:00,0.197705,0.197705,0.192692
2025-12-16 04:00:00,0.194626,0.197558,0.19352
2025-12-16 08:00:00,0.192756,0.195686,0.192575
2025-12-16 12:00:00,0.197905,0.198127,0.192562
2025-12-16 16:00:00,0.198122,0.198122,0.194258
2025-12-16 20:00:00,0.198857,0.199856,0.197362
2025-12-17 00:00:00,0.198174,0.199538,0.197914
2025-12-17 04:00:00,0.197139,0.19843,0.196285
2025-12-17 08:00:00,0.19657,0.197668,0.195394
2025-12-17 12:00:00,0.194534,0.196476,0.193212
2025-12-17 16:00:00,0.193348,0.200831,0.193348
2025-12-17 20:00:00,0.183782,0.193031,0.181924
2025-12-18 00:00:00,0.18252,0.185429,0.18163
2025-12-18 04:00:00,0.180924,0.182905,0.180696
2025-12-18 08:00:00,0.179624,0.181473,0.178408
2025-12-18 12:00:00,0.182439,0.182455,0.179839
2025-12-18 16:00:00,0.188642,0.190129,0.182228
2025-12-18 20:00:00,0.172119,0.18856,0.172119
2025-12-19 00:00:00,0.175686,0.177348,0.171971
2025-12-19 04:00:00,0.181448,0.182207,0.173389
2025-12-19 08:00:00,0.186248,0.187457,0.180778
2025-12-19 12:00:00,0.187455,0.187523,0.185992
2025-12-19 16:00:00,0.188702,0.189943,0.186394
2025-12-19 20:00:00,0.194387,0.194387,0.187311
2025-12-20 00:00:00,0.196149,0.196484,0.194162
2025-12-20 04:00:00,0.194247,0.196526,0.193433
2025-12-20 08:00:00,0.195719,0.195719,0.192405
2025-12-20 12:00:00,0.195258,0.196603,0.193427
2025-12-20 16:00:00,0.1953,0.195734,0.193661
2025-12-20 20:00:00,0.1947,0.196224,0.194442
2025-12-21 00:00:00,0.195709,0.195709,0.194456
2025-12-21 04:00:00,0.193129,0.195591,0.191551
2025-12-21 08:00:00,0.194517,0.195481,0.193291
2025-12-21 12:00:00,0.192637,0.195689,0.192247
2025-12-21 16:00:00,0.187019,0.192969,0.185623
2025-12-21 20:00:00,0.18894,0.190147,0.186854
2025-12-22 00:00:00,0.190183,0.191237,0.186274
2025-12-22 04:00:00,0.191117,0.193269,0.188765
2025-12-22 08:00:00,0.193555,0.193614,0.191092
2025-12-22 12:00:00,0.194582,0.194725,0.19273
2025-12-22 16:00:00,0.193778,0.195104,0.193289
2025-12-22 20:00:00,0.189557,0.195157,0.189557
2025-12-23 00:00:00,0.191137,0.191662,0.187535
2025-12-23 04:00:00,0.190266,0.192788,0.190243
2025-12-23 08:00:00,0.188436,0.190519,0.18824
2025-12-23 12:00:00,0.189364,0.18966,0.188188
2025-12-23 16:00:00,0.186649,0.189365,0.185777
2025-12-23 20:00:00,0.188476,0.189931,0.185914
2025-12-24 00:00:00,0.187373,0.190203,0.187173
2025-12-24 04:00:00,0.184136,0.188326,0.183283
2025-12-24 08:00:00,0.18302,0.185638,0.180904
2025-12-24 12:00:00,0.182203,0.182815,0.181098
2025-12-24 16:00:00,0.183902,0.184021,0.181061
2025-12-24 20:00:00,0.183402,0.18467,0.182269
2025-12-25 00:00:00,0.183328,0.184561,0.182888
2025-12-25 04:00:00,0.185392,0.185392,0.182502
2025-12-25 08:00:00,0.187365,0.187365,0.184163
2025-12-25 12:00:00,0.183605,0.188087,0.183408
2025-12-25 16:00:00,0.184545,0.184545,0.182249
2025-12-25 20:00:00,0.185398,0.185453,0.183609
2025-12-26 00:00:00,0.177262,0.185385,0.177007
2025-12-26 04:00:00,0.183499,0.184298,0.176771
2025-12-26 08:00:00,0.184622,0.187918,0.182379
2025-12-26 12:00:00,0.184265,0.184587,0.184018
2025-12-26 16:00:00,0.181732,0.185564,0.180575
2025-12-26 20:00:00,0.183282,0.183282,0.180114
2025-12-27 00:00:00,0.184274,0.184571,0.182869
2025-12-27 04:00:00,0.187214,0.187399,0.184228
2025-12-27 08:00:00,0.187757,0.189329,0.187251
