,close,high,low
2025-12-04 12:00:00,0.01336795,0.01341624,0.01335759
2025-12-04 16:00:00,0.01342703,0.01344151,0.013243
2025-12-04 20:00:00,0.01318355,0.01344994,0.01307346
2025-12-05 00:00:00,0.01315806,0.0132134,0.01312753
2025-12-05 04:00:00,0.01322586,0.01327225,0.01315958
2025-12-05 08:00:00,0.01318044,0.01321777,0.013083
2025-12-05 12:00:00,0.0128678,0.01317846,0.01286101
2025-12-05 16:00:00,0.01285155,0.01289982,0.01271805
2025-12-05 20:00:00,0.01253042,0.01281297,0.01244102
2025-12-06 00:00:00,0.01247994,0.01255679,0.0124429
2025-12-06 04:00:00,0.0125524,0.0125713,0.01246917
2025-12-06 08:00:00,0.01255814,0.01258553,0.01253471
2025-12-06 12:00:00,0.01251722,0.01255617,0.01246713
2025-12-06 16:00:00,0.01253905,0.01257208,0.01250077
2025-12-06 20:00:00,0.01256065,0.01265385,0.01253554
2025-12-07 00:00:00,0.01262297,0.01265692,0.0125669
2025-12-07 04:00:00,0.01255527,0.01266831,0.01250446
2025-12-07 08:00:00,0.01248358,0.01256617,0.01246443
2025-12-07 12:00:00,0.01238011,0.01248683,0.01236008
2025-12-07 16:00:00,0.01229175,0.01243696,0.01211104
2025-12-07 20:00:00,0.01259056,0.01262529,0.01232303
2025-12-08 00:00:00,0.01233945,0.01260231,0.01231272
2025-12-08 04:00:00,0.01246641,0.01251067,0.01232352
2025-12-08 08:00:00,0.01258071,0.01264941,0.01246869
2025-12-08 12:00:00,0.0127121,0.01275101,0.01258114
2025-12-08 16:00:00,0.01258048,0.01274629,0.01257542
2025-12-08 20:00:00,0.0125302,0.01266243,0.01249767
2025-12-09 00:00:00,0.01253162,0.01260462,0.01250868
2025-12-09 04:00:00,0.01244946,0.0125378,0.01237065
2025-12-09 08:00:00,0.01240295,0.01246238,0.01233567
2025-12-09 12:00:00,0.01235435,0.01239494,0.01228379
2025-12-09 16:00:00,0.01279468,0.01279468,0.01234668
2025-12-09 20:00:00,0.01307071,0.01314264,0.01281297
2025-12-10 00:00:00,0.01309294,0.01311499,0.01290838
2025-12-10 04:00:00,0.01297645,0.01308785,0.01291362
2025-12-10 08:00:00,0.01291615,0.01299721,0.01288915
2025-12-10 12:00:00,0.01271384,0.01293014,0.01270317
2025-12-10 16:00:00,0.01285217,0.01286966,0.01276538
2025-12-10 20:00:00,0.01301387,0.01302088,0.01284778
2025-12-11 00:00:00,0.01275272,0.0131411,0.01275272
2025-12-11 04:00:00,0.01224297,0.0127443,0.0122374
2025-12-11 08:00:00,0.01227085,0.01234638,0.01221193
2025-12-11 12:00:00,0.01226404,0.01228329,0.01217953
2025-12-11 16:00:00,0.01227906,0.01236524,0.01223831
2025-12-11 20:00:00,0.01240817,0.01243052,0.01223316
2025-12-12 00:00:00,0.01247935,0.01256763,0.01234803
2025-12-12 04:00:00,0.01243729,0.01246887,0.01235057
2025-12-12 08:00:00,0.01236103,0.01243748,0.01233747
2025-12-12 12:00:00,0.01233949,0.012401,0.01230008
2025-12-12 16:00:00,0.01205572,0.01236993,0.01205572
2025-12-12 20:00:00,0.01196911,0.01207746,0.01185676
2025-12-13 00:00:00,0.01207803,0.0120973,0.01196128
2025-12-13 04:00:00,0.01228005,0.01229626,0.01207312
2025-12-13 08:00:00,0.01219928,0.01228159,0.01213744
2025-12-13 12:00:00,0.01217931,0.01221162,0.01215147
2025-12-13 16:00:00,0.01218358,0.01222774,0.01217868
2025-12-13 20:00:00,0.01220587,0.01221145,0.01217677
2025-12-14 00:00:00,0.01219725,0.01221209,0.01213898
2025-12-14 04:00:00,0.01218616,0.01224868,0.01216759
2025-12-14 08:00:00,0.01209803,0.01218995,0.01207808
2025-12-14 12:00:00,0.01199147,0.01213701,0.01198364
2025-12-14 16:00:00,0.01189487,0.0120633,0.01188391
2025-12-14 20:00:00,0.011793,0.01193222,0.01178682
2025-12-15 00:00:00,0.01173399,0.01183496,0.01170835
2025-12-15 04:00:00,0.01184923,0.01197451,0.01174669
2025-12-15 08:00:00,0.01184091,0.01189103,0.01183753
2025-12-15 12:00:00,0.01176834,0.01187619,0.01176808
2025-12-15 16:00:00,0.01127348,0.01178631,0.01127348
2025-12-15 20:00:00,0.01105512,0.01127261,0.01092785
2025-12-16 00:00:00,0.01107703,0.01108931,0.01095857
2025-12-16 04:00:00,0.01100734,0.0110988,0.01095136
2025-12-16 08:00:00,0.0109006,0.01101929,0.01088434
2025-12-16 12:00:00,0.01099367,0.011032,0.01088959
2025-12-16 16:00:00,0.01100212,0.01101735,0.01082311
2025-12-16 20:00:00,0.01094157,0.01100782,0.01083787
2025-12-17 00:00:00,0.01086631,0.01092998,0.01085468
2025-12-17 04:00:00,0.01080018,0.01087507,0.01077185
2025-12-17 08:00:00,0.01073645,0.01080001,0.01068903
2025-12-17 12:00:00,0.01066317,0.01075967,0.01063495
2025-12-17 16:00:00,0.01061902,0.01091364,0.01059129
2025-12-17 20:00:00,0.01027659,0.0105948,0.0102069
2025-12-18 00:00:00,0.01021616,0.01032387,0.01019449
2025-12-18 04:00:00,0.01008824,0.01021912,0.01008824
2025-12-18 08:00:00,0.00995729,0.0100934,0.00993215
2025-12-18 12:00:00,0.01005503,0.01007604,0.00996035
2025-12-18 16:00:00,0.01021917,0.01031773,0.01005542
2025-12-18 20:00:00,0.00956799,0.01020417,0.00956799
2025-12-19 00:00:00,0.00970136,0.00975762,0.00955667
2025-12-19 04:00:00,0.00992892,0.00997438,0.00962645
2025-12-19 08:00:00,0.01002063,0.0100649,0.00988651
2025-12-19 12:00:00,0.01009475,0.01010496,0.01004821
2025-12-19 16:00:00,0.00999041,0.01009728,0.00997365
2025-12-19 20:00:00,0.0101603,0.0101603,0.0099505
2025-12-20 00:00:00,0.01014853,0.01020284,0.01014403
2025-12-20 04:00:00,0.01022045,0.01022045,0.01013932
2025-12-20 08:00:00,0.01019952,0.01022088,0.01015541
2025-12-20 12:00:00,0.0102056,0.01022975,0.01013985
2025-12-20 16:00:00,0.01020812,0.01026834,0.01018144
2025-12-20 20:00:00,0.01020102,0.01021457,0.01016974
2025-12-21 00:00:00,0.01019666,0.01025304,0.01018294
2025-12-21 04:00:00,0.01015294,0.01020579,0.01000638
2025-12-21 08:00:00,0.0102922,0.01030526,0.01013564
2025-12-21 12:00:00,0.01026782,0.01031591,0.01026107
2025-12-21 16:00:00,0.01008472,0.01041038,0.00999015
2025-12-21 20:00:00,0.01007142,0.01011342,0.00998643
2025-12-22 00:00:00,0.0100969,0.01011123,0.0099788
2025-12-22 04:00:00,0.01012899,0.01019947,0.01004017
2025-12-22 08:00:00,0.01014275,0.01016045,0.01011701
2025-12-22 12:00:00,0.01021123,0.01021123,0.01013877
2025-12-22 16:00:00,0.01014291,0.01024595,0.01014181
2025-12-22 20:00:00,0.0100401,0.01024541,0.0100401
2025-12-23 00:00:00,0.01007042,0.01008302,0.00999008
2025-12-23 04:00:00,0.0101333,0.01015757,0.01007838
2025-12-23 08:00:00,0.00994631,0.01012604,0.00993585
2025-12-23 12:00:00,0.00996652,0.00997495,0.00990308
2025-12-23 16:00:00,0.00983675,0.00996676,0.00978061
2025-12-23 20:00:00,0.00995984,0.00997431,0.00984603
2025-12-24 00:00:00,0.00993651,0.01002032,0.00991536
2025-12-24 04:00:00,0.00986457,0.00995939,0.009799
2025-12-24 08:00:00,0.00976653,0.00986351,0.00974491
2025-12-24 12:00:00,0.00974408,0.00976006,0.00970585
2025-12-24 16:00:00,0.00981196,0.00982493,0.00972948
2025-12-24 20:00:00,0.00983605,0.00985234,0.00978067
2025-12-25 00:00:00,0.00996761,0.00999364,0.00985025
2025-12-25 04:00:00,0.01006705,0.01006705,0.00996685
2025-12-25 08:00:00,0.01010464,0.01010623,0.01005874
2025-12-25 12:00:00,0.01009548,0.01014689,0.01006436
2025-12-25 16:00:00,0.01014401,0.01014401,0.01005753
2025-12-25 20:00:00,0.01013641,0.01016807,0.01006793
2025-12-26 00:00:00,0.00987537,0.01016088,0.00987537
2025-12-26 04:00:00,0.01004384,0.01012211,0.00984509
2025-12-26 08:00:00,0.01001547,0.01007529,0.01000987
2025-12-26 12:00:00,0.01002865,0.01007102,0.00999089
2025-12-26 16:00:00,0.00988985,0.01005061,0.00985953
2025-12-26 20:00:00,0.00991964,0.00991964,0.00983226
2025-12-27 00:00:00,0.00992728,0.00995201,0.00987446
2025-12-27 04:00:00,0.01007038,0.01007274,0.00992866
2025-12-27 08:00:00,0.01003777,0.01008479,0.01000992
2025-12-27 12:00:00,0.01004709,0.01005165,0.00990417
2025-12-27 16:00:00,0.01008639,0.01008639,0.01000696
2025-12-27 20:00:00,0.01005687,0.01010094,0.01005267
2025-12-28 00:00:00,0.01021651,0.01021651,0.01004293
2025-12-28 04:00:00,0.0102551,0.01026578,0.01021782
2025-12-28 08:00:00,0.01028458,0.01028458,0.01022286
2025-12-28 12:00:00,0.0102099,0.01028279,0.01020226
2025-12-28 16:00:00,0.01022723,0.01024188,0.0101933
2025-12-28 20:00:00,0.01003123,0.01022546,0.01001459
2025-12-29 00:00:00,0.01007067,0.01007067,0.00997508
2025-12-29 04:00:00,0.01018992,0.01019269,0.01003889
2025-12-29 08:00:00,0.01025903,0.01025903,0.01018265
2025-12-29 12:00:00,0.01011062,0.01027745,0.01006987
2025-12-29 16:00:00,0.01005479,0.01010958,0.0099182
2025-12-29 20:00:00,0.00995428,0.01004996,0.00991506
2025-12-30 00:00:00,0.00985301,0.00995789,0.00985301
2025-12-30 04:00:00,0.00977594,0.00987822,0.00973381
2025-12-30 08:00:00,0.00983567,0.00985653,0.00976135
2025-12-30 12:00:00,0.0099332,0.00994774,0.00983533
2025-12-30 16:00:00,0.00995553,0.00996576,0.00986722
2025-12-30 20:00:00,0.00991235,0.00996855,0.00989225
2025-12-31 00:00:00,0.00986415,0.0099065,0.00983553
2025-12-31 04:00:00,0.00980056,0.00987747,0.00978537
2025-12-31 08:00:00,0.00978471,0.00980788,0.00977674
2025-12-31 12:00:00,0.00979411,0.00981471,0.00971773
2025-12-31 16:00:00,0.0097082,0.00978593,0.00968907
2025-12-31 20:00:00,0.00957916,0.00971252,0.00948783
2026-01-01 00:00:00,0.00956579,0.00960054,0.0095133
2026-01-01 04:00:00,0.00955535,0.00960317,0.00955184
2026-01-01 08:00:00,0.00959794,0.00960264,0.00953461
2026-01-01 12:00:00,0.00966074,0.00968006,0.00958915
2026-01-01 16:00:00,0.00981002,0.00981308,0.00963851
2026-01-01 20:00:00,0.00997987,0.00997987,0.00981897
2026-01-02 00:00:00,0.01015509,0.01018227,0.00998899
2026-01-02 04:00:00,0.0104705,0.01047905,0.01015283
2026-01-02 08:00:00,0.01046524,0.0105481,0.01033331
2026-01-02 12:00:00,0.01046621,0.01062308,0.01041642
2026-01-02 16:00:00,0.0106388,0.01064012,0.010464
2026-01-02 20:00:00,0.01078975,0.01083623,0.01061394
2026-01-03 00:00:00,0.01078785,0.01084429,0.01071156
2026-01-03 04:00:00,0.01081854,0.01081854,0.01074694
2026-01-03 08:00:00,0.01052315,0.01083456,0.01050309
