,close,high,low
2025-12-04 20:00:00,6.27,6.6,6.21
2025-12-05 00:00:00,6.31,6.67,6.25
2025-12-05 04:00:00,6.04,6.38,5.64
2025-12-05 08:00:00,5.58,6.06,5.58
2025-12-05 12:00:00,5.79,5.91,5.37
2025-12-05 16:00:00,5.55,5.75,5.25
2025-12-05 20:00:00,5.27,5.59,5.16
2025-12-06 00:00:00,5.39,5.62,5.28
2025-12-06 04:00:00,5.2,5.33,5.12
2025-12-06 08:00:00,5.21,5.24,5.04
2025-12-06 12:00:00,5.57,5.74,5.11
2025-12-06 16:00:00,5.52,5.87,5.52
2025-12-06 20:00:00,5.16,5.57,5.01
2025-12-07 00:00:00,5.05,5.17,4.92
2025-12-07 04:00:00,5.14,5.37,5.05
2025-12-07 08:00:00,5.21,5.27,5.14
2025-12-07 12:00:00,4.98,5.22,4.98
2025-12-07 16:00:00,4.85,5.11,4.81
2025-12-07 20:00:00,5.23,5.24,4.84
2025-12-08 00:00:00,5.12,5.42,5.12
2025-12-08 04:00:00,5.44,5.44,5.1
2025-12-08 08:00:00,5.29,5.5,5.23
2025-12-08 12:00:00,5.5,5.64,5.26
2025-12-08 16:00:00,5.11,5.49,5.11
2025-12-08 20:00:00,4.21,5.42,4.17
2025-12-09 00:00:00,4.19,4.56,4.06
2025-12-09 04:00:00,4.12,4.39,3.99
2025-12-09 08:00:00,4.08,4.18,3.86
2025-12-09 12:00:00,4.19,4.28,4.06
2025-12-09 16:00:00,3.88,4.16,3.48
2025-12-09 20:00:00,4.1,4.14,3.9
2025-12-10 00:00:00,3.57,4.1,3.55
2025-12-10 04:00:00,3.37,3.71,3.27
2025-12-10 08:00:00,3.62,3.65,3.43
2025-12-10 12:00:00,3.48,3.64,3.3
2025-12-10 16:00:00,3.61,3.72,3.45
2025-12-10 20:00:00,4.09,4.3,3.57
2025-12-11 00:00:00,3.86,4.27,3.84
2025-12-11 04:00:00,3.59,3.88,3.46
2025-12-11 08:00:00,3.77,3.84,3.55
2025-12-11 12:00:00,4.06,4.13,3.75
2025-12-11 16:00:00,3.82,4.1,3.75
2025-12-11 20:00:00,4.04,4.09,3.82
2025-12-12 00:00:00,3.95,4.21,3.95
2025-12-12 04:00:00,3.77,4.02,3.77
2025-12-12 08:00:00,3.89,3.94,3.77
2025-12-12 12:00:00,3.81,3.96,3.81
2025-12-12 16:00:00,3.67,3.81,3.66
2025-12-12 20:00:00,3.54,3.66,3.53
2025-12-13 00:00:00,3.41,3.54,3.32
2025-12-13 04:00:00,3.43,3.48,3.38
2025-12-13 08:00:00,3.49,3.51,3.4
2025-12-13 12:00:00,3.39,3.5,3.35
2025-12-13 16:00:00,3.24,3.41,3.21
2025-12-13 20:00:00,3.19,3.28,3.13
2025-12-14 00:00:00,3.04,3.22,3.04
2025-12-14 04:00:00,3.26,3.33,3.0
2025-12-14 08:00:00,3.27,3.31,3.25
2025-12-14 12:00:00,3.12,3.27,3.08
2025-12-14 16:00:00,3.01,3.12,3.01
2025-12-14 20:00:00,2.79,3.11,2.76
2025-12-15 00:00:00,2.65,2.79,2.57
2025-12-15 04:00:00,2.76,2.83,2.51
2025-12-15 08:00:00,2.76,2.87,2.75
2025-12-15 12:00:00,2.73,2.77,2.71
2025-12-15 16:00:00,2.66,2.73,2.5
2025-12-15 20:00:00,2.9,2.9,2.45
2025-12-16 00:00:00,3.11,3.21,2.9
2025-12-16 04:00:00,2.89,3.11,2.89
2025-12-16 08:00:00,3.12,3.14,2.89
2025-12-16 12:00:00,3.52,3.74,3.11
2025-12-16 16:00:00,3.32,3.55,3.27
2025-12-16 20:00:00,3.26,3.35,3.12
2025-12-17 00:00:00,3.22,3.43,3.22
2025-12-17 04:00:00,3.49,3.49,3.25
2025-12-17 08:00:00,3.3,3.53,3.28
2025-12-17 12:00:00,3.25,3.35,3.16
2025-12-17 16:00:00,3.3,3.34,3.19
2025-12-17 20:00:00,3.01,3.3,2.91
2025-12-18 00:00:00,3.04,3.17,3.01
2025-12-18 04:00:00,2.78,3.05,2.72
2025-12-18 08:00:00,2.88,2.97,2.79
2025-12-18 12:00:00,2.88,2.99,2.88
2025-12-18 16:00:00,3.08,3.13,2.84
2025-12-18 20:00:00,2.79,3.08,2.79
2025-12-19 00:00:00,2.87,2.91,2.65
2025-12-19 04:00:00,2.88,2.89,2.72
2025-12-19 08:00:00,3.04,3.05,2.83
2025-12-19 12:00:00,2.97,3.07,2.95
2025-12-19 16:00:00,2.95,3.01,2.95
2025-12-19 20:00:00,2.9,2.96,2.81
2025-12-20 00:00:00,2.86,2.96,2.84
2025-12-20 04:00:00,2.82,2.88,2.82
2025-12-20 08:00:00,2.85,2.87,2.82
2025-12-20 12:00:00,2.81,2.85,2.78
2025-12-20 16:00:00,2.98,2.99,2.8
2025-12-20 20:00:00,2.86,3.0,2.86
2025-12-21 00:00:00,2.87,2.9,2.84
2025-12-21 04:00:00,2.84,2.87,2.83
2025-12-21 08:00:00,2.82,2.84,2.79
2025-12-21 12:00:00,2.82,2.9,2.81
2025-12-21 16:00:00,2.74,2.82,2.73
2025-12-21 20:00:00,2.7,2.75,2.69
2025-12-22 00:00:00,2.74,2.76,2.69
2025-12-22 04:00:00,2.71,2.77,2.7
2025-12-22 08:00:00,2.93,2.93,2.71
2025-12-22 12:00:00,2.9,2.95,2.88
2025-12-22 16:00:00,3.04,3.18,2.91
2025-12-22 20:00:00,2.89,3.05,2.86
2025-12-23 00:00:00,2.79,2.89,2.72
2025-12-23 04:00:00,2.71,2.82,2.7
2025-12-23 08:00:00,2.6,2.75,2.59
2025-12-23 12:00:00,2.77,2.77,2.61
2025-12-23 16:00:00,2.62,2.77,2.6
2025-12-23 20:00:00,2.6,2.65,2.55
2025-12-24 00:00:00,2.79,2.79,2.6
2025-12-24 04:00:00,2.69,2.9,2.69
2025-12-24 08:00:00,2.75,2.75,2.66
2025-12-24 12:00:00,2.91,2.93,2.74
2025-12-24 16:00:00,2.96,2.97,2.92
2025-12-24 20:00:00,2.86,2.96,2.85
2025-12-25 00:00:00,3.1,3.16,2.85
2025-12-25 04:00:00,2.94,3.1,2.94
2025-12-25 08:00:00,3.21,3.32,2.93
2025-12-25 12:00:00,3.17,3.24,3.16
2025-12-25 16:00:00,3.11,3.16,3.09
2025-12-25 20:00:00,3.41,3.42,3.11
2025-12-26 00:00:00,3.3,3.39,3.26
2025-12-26 04:00:00,3.28,3.3,3.15
2025-12-26 08:00:00,3.14,3.28,3.08
2025-12-26 12:00:00,3.19,3.19,3.1
2025-12-26 16:00:00,3.14,3.26,3.14
2025-12-26 20:00:00,3.13,3.15,3.1
2025-12-27 00:00:00,2.95,3.13,2.95
2025-12-27 04:00:00,2.98,3.03,2.84
2025-12-27 08:00:00,2.89,2.98,2.81
2025-12-27 12:00:00,2.84,2.91,2.83
2025-12-27 16:00:00,2.86,2.89,2.85
2025-12-27 20:00:00,2.83,2.87,2.81
2025-12-28 00:00:00,2.85,2.85,2.8
2025-12-28 04:00:00,2.85,2.88,2.84
2025-12-28 08:00:00,2.9,2.93,2.82
2025-12-28 12:00:00,2.88,2.9,2.86
2025-12-28 16:00:00,2.88,2.89,2.86
2025-12-28 20:00:00,2.83,2.92,2.83
2025-12-29 00:00:00,2.71,2.82,2.71
2025-12-29 04:00:00,2.78,2.79,2.7
