,close,high,low
2025-12-04 16:00:00,0.477404,0.479196,0.472582
2025-12-04 20:00:00,0.469051,0.480048,0.463876
2025-12-05 00:00:00,0.470346,0.472247,0.467554
2025-12-05 04:00:00,0.473968,0.475846,0.470355
2025-12-05 08:00:00,0.473758,0.47487,0.470163
2025-12-05 12:00:00,0.466467,0.47376,0.464662
2025-12-05 16:00:00,0.462077,0.46715,0.458429
2025-12-05 20:00:00,0.44885,0.460694,0.445367
2025-12-06 00:00:00,0.451244,0.45173,0.448429
2025-12-06 04:00:00,0.451235,0.451452,0.447141
2025-12-06 08:00:00,0.453659,0.454065,0.450833
2025-12-06 12:00:00,0.456177,0.456177,0.45206
2025-12-06 16:00:00,0.454752,0.457644,0.453349
2025-12-06 20:00:00,0.454386,0.458958,0.454386
2025-12-07 00:00:00,0.453568,0.461406,0.451857
2025-12-07 04:00:00,0.454151,0.45486,0.452252
2025-12-07 08:00:00,0.452331,0.455144,0.451933
2025-12-07 12:00:00,0.44957,0.452333,0.447553
2025-12-07 16:00:00,0.440657,0.451361,0.43627
2025-12-07 20:00:00,0.450764,0.451615,0.439039
2025-12-08 00:00:00,0.442569,0.451932,0.438097
2025-12-08 04:00:00,0.447819,0.449942,0.442546
2025-12-08 08:00:00,0.452605,0.454987,0.447821
2025-12-08 12:00:00,0.451058,0.45665,0.450702
2025-12-08 16:00:00,0.446092,0.454653,0.445976
2025-12-08 20:00:00,0.445503,0.451104,0.443294
2025-12-09 00:00:00,0.445712,0.449109,0.443212
2025-12-09 04:00:00,0.443107,0.446208,0.440503
2025-12-09 08:00:00,0.443838,0.444109,0.439584
2025-12-09 12:00:00,0.444488,0.448961,0.443182
2025-12-09 16:00:00,0.459005,0.459005,0.444481
2025-12-09 20:00:00,0.473909,0.476106,0.458179
2025-12-10 00:00:00,0.471829,0.476704,0.469708
2025-12-10 04:00:00,0.465504,0.472921,0.465504
2025-12-10 08:00:00,0.464602,0.466309,0.461664
2025-12-10 12:00:00,0.462187,0.467905,0.460188
2025-12-10 16:00:00,0.463197,0.465592,0.46018
2025-12-10 20:00:00,0.46812,0.472303,0.463187
2025-12-11 00:00:00,0.460467,0.475214,0.457979
2025-12-11 04:00:00,0.441956,0.460473,0.441754
2025-12-11 08:00:00,0.446326,0.448723,0.441556
2025-12-11 12:00:00,0.447979,0.449373,0.442824
2025-12-11 16:00:00,0.44596,0.450225,0.44492
2025-12-11 20:00:00,0.449429,0.45242,0.444592
2025-12-12 00:00:00,0.452455,0.457636,0.448522
2025-12-12 04:00:00,0.451932,0.453433,0.448141
2025-12-12 08:00:00,0.452718,0.456582,0.449787
2025-12-12 12:00:00,0.451769,0.45332,0.450215
2025-12-12 16:00:00,0.439241,0.454341,0.439241
2025-12-12 20:00:00,0.434457,0.438621,0.431548
2025-12-13 00:00:00,0.438645,0.439477,0.433443
2025-12-13 04:00:00,0.441596,0.441914,0.43745
2025-12-13 08:00:00,0.43667,0.442053,0.436496
2025-12-13 12:00:00,0.438166,0.441351,0.436855
2025-12-13 16:00:00,0.4396,0.440307,0.43714
2025-12-13 20:00:00,0.439572,0.44018,0.438589
2025-12-14 00:00:00,0.439567,0.440058,0.435805
2025-12-14 04:00:00,0.438105,0.439918,0.436873
2025-12-14 08:00:00,0.433896,0.438563,0.433843
2025-12-14 12:00:00,0.428462,0.435663,0.428462
2025-12-14 16:00:00,0.428353,0.432666,0.427286
2025-12-14 20:00:00,0.427862,0.430582,0.425929
2025-12-15 00:00:00,0.425029,0.42936,0.422869
2025-12-15 04:00:00,0.430429,0.433094,0.425193
2025-12-15 08:00:00,0.431944,0.434213,0.429732
2025-12-15 12:00:00,0.426705,0.432534,0.426511
2025-12-15 16:00:00,0.41118,0.427935,0.410477
2025-12-15 20:00:00,0.40488,0.411545,0.4006
2025-12-16 00:00:00,0.406994,0.406994,0.400865
2025-12-16 04:00:00,0.404712,0.40723,0.402642
2025-12-16 08:00:00,0.40091,0.405774,0.40091
2025-12-16 12:00:00,0.40704,0.407124,0.401224
2025-12-16 16:00:00,0.404347,0.407124,0.401439
2025-12-16 20:00:00,0.406479,0.406645,0.402821
2025-12-17 00:00:00,0.407562,0.408568,0.40592
2025-12-17 04:00:00,0.40964,0.411405,0.40661
2025-12-17 08:00:00,0.406619,0.409725,0.403663
2025-12-17 12:00:00,0.402441,0.406294,0.400544
2025-12-17 16:00:00,0.40111,0.411704,0.400932
2025-12-17 20:00:00,0.393629,0.399812,0.390769
2025-12-18 00:00:00,0.393473,0.395039,0.391439
2025-12-18 04:00:00,0.393515,0.395247,0.39168
2025-12-18 08:00:00,0.390801,0.393958,0.389783
2025-12-18 12:00:00,0.392006,0.394139,0.390766
2025-12-18 16:00:00,0.408091,0.412018,0.391787
2025-12-18 20:00:00,0.382744,0.408342,0.382744
2025-12-19 00:00:00,0.388154,0.391397,0.382576
2025-12-19 04:00:00,0.40001,0.40001,0.386247
2025-12-19 08:00:00,0.403933,0.406703,0.398775
2025-12-19 12:00:00,0.407271,0.407321,0.403479
2025-12-19 16:00:00,0.40828,0.410421,0.405225
2025-12-19 20:00:00,0.410132,0.410962,0.404511
2025-12-20 00:00:00,0.409429,0.411325,0.408474
2025-12-20 04:00:00,0.40828,0.410286,0.406689
2025-12-20 08:00:00,0.409067,0.409616,0.406655
2025-12-20 12:00:00,0.409701,0.412825,0.406593
2025-12-20 16:00:00,0.406753,0.410078,0.406344
2025-12-20 20:00:00,0.40734,0.408543,0.406161
2025-12-21 00:00:00,0.406878,0.408351,0.405115
2025-12-21 04:00:00,0.404401,0.408613,0.402986
2025-12-21 08:00:00,0.405991,0.406421,0.404241
2025-12-21 12:00:00,0.407212,0.40848,0.404722
2025-12-21 16:00:00,0.401856,0.407799,0.399645
2025-12-21 20:00:00,0.403173,0.403374,0.400568
2025-12-22 00:00:00,0.405081,0.405583,0.400388
2025-12-22 04:00:00,0.411013,0.413869,0.405079
2025-12-22 08:00:00,0.412285,0.413992,0.410313
2025-12-22 12:00:00,0.415134,0.41514,0.412158
2025-12-22 16:00:00,0.414547,0.416625,0.411332
2025-12-22 20:00:00,0.40442,0.414125,0.40442
2025-12-23 00:00:00,0.406443,0.407744,0.402819
2025-12-23 04:00:00,0.405119,0.41044,0.403929
2025-12-23 08:00:00,0.402683,0.405332,0.400081
2025-12-23 12:00:00,0.405984,0.407065,0.401992
2025-12-23 16:00:00,0.402473,0.674162,0.400109
2025-12-23 20:00:00,0.405405,0.405829,0.39902
2025-12-24 00:00:00,0.405537,0.40819,0.404349
2025-12-24 04:00:00,0.400058,0.405839,0.398258
2025-12-24 08:00:00,0.397971,0.652826,0.396385
2025-12-24 12:00:00,0.399067,0.399127,0.395474
2025-12-24 16:00:00,0.399825,0.400668,0.395771
2025-12-24 20:00:00,0.402099,0.402481,0.398647
2025-12-25 00:00:00,0.403314,0.405113,0.401899
2025-12-25 04:00:00,0.406738,0.40762,0.403616
2025-12-25 08:00:00,0.405643,0.407436,0.404204
2025-12-25 12:00:00,0.401915,0.407365,0.400534
2025-12-25 16:00:00,0.403726,0.403726,0.399745
2025-12-25 20:00:00,0.400403,0.403297,0.399101
2025-12-26 00:00:00,0.392338,0.40102,0.391083
2025-12-26 04:00:00,0.401816,0.40427,0.391063
2025-12-26 08:00:00,0.403171,0.405744,0.400716
2025-12-26 12:00:00,0.39932,0.40318,0.39922
2025-12-26 16:00:00,0.39431,0.402887,0.394212
2025-12-26 20:00:00,0.396873,0.396873,0.39285
2025-12-27 00:00:00,0.397084,0.398384,0.396083
2025-12-27 04:00:00,0.398796,0.398799,0.397412
2025-12-27 08:00:00,0.398525,0.398799,0.397312
2025-12-27 12:00:00,0.399161,0.399161,0.395152
2025-12-27 16:00:00,0.400486,0.400688,0.397606
2025-12-27 20:00:00,0.401567,0.401567,0.399268
2025-12-28 00:00:00,0.405217,0.405217,0.400443
2025-12-28 04:00:00,0.407209,0.407209,0.40461
2025-12-28 08:00:00,0.404497,0.407911,0.40381
2025-12-28 12:00:00,0.401504,0.405615,0.400484
2025-12-28 16:00:00,0.40292,0.404501,0.399587
2025-12-28 20:00:00,0.398296,0.403394,0.398098
2025-12-29 00:00:00,0.400897,0.401009,0.396714
2025-12-29 04:00:00,0.411665,0.411665,0.400202
2025-12-29 08:00:00,0.411031,0.414054,0.409546
2025-12-29 12:00:00,0.404841,0.412334,0.403218
2025-12-29 16:00:00,0.399777,0.403843,0.396141
2025-12-29 20:00:00,0.401434,0.403712,0.397941
2025-12-30 00:00:00,0.400813,0.403929,0.400598
2025-12-30 04:00:00,0.399085,0.401619,0.397256
2025-12-30 08:00:00,0.400167,0.40028,0.397042
2025-12-30 12:00:00,0.404076,0.404959,0.400167
2025-12-30 16:00:00,0.411127,0.411692,0.406186
2025-12-30 20:00:00,0.407217,0.411864,0.40551
2025-12-31 00:00:00,0.405432,0.408214,0.405432
2025-12-31 04:00:00,0.402888,0.405642,0.402486
2025-12-31 08:00:00,0.402281,0.402888,0.400364
2025-12-31 12:00:00,0.406675,0.409156,0.401387
2025-12-31 16:00:00,0.411461,0.418878,0.406373
2025-12-31 20:00:00,0.40181,0.410358,0.398666
2026-01-01 00:00:00,0.404097,0.405993,0.400742
2026-01-01 04:00:00,0.402733,0.405754,0.402157
2026-01-01 08:00:00,0.405121,0.406221,0.400322
2026-01-01 12:00:00,0.405364,0.406462,0.404424
2026-01-01 16:00:00,0.40964,0.40964,0.403469
2026-01-01 20:00:00,0.409434,0.411131,0.407752
2026-01-02 00:00:00,0.41088,0.412244,0.409437
2026-01-02 04:00:00,0.414082,0.414082,0.408982
2026-01-02 08:00:00,0.414763,0.420159,0.412077
2026-01-02 12:00:00,0.414525,0.420488,0.414525
2026-01-02 16:00:00,0.415533,0.420249,0.412404
2026-01-02 20:00:00,0.423865,0.424935,0.415845
2026-01-03 00:00:00,0.426985,0.428997,0.423349
2026-01-03 04:00:00,0.427207,0.428578,0.424594
2026-01-03 08:00:00,0.414797,0.42721,0.412118
2026-01-03 12:00:00,0.420381,0.421585,0.412495
