,close,high,low
2025-12-04 16:00:00,0.998298,0.998298,0.995698
2025-12-04 20:00:00,0.997831,0.998678,0.994181
2025-12-05 00:00:00,0.996718,0.998361,0.996475
2025-12-05 04:00:00,0.996927,0.998401,0.996747
2025-12-05 08:00:00,0.999205,0.999392,0.996435
2025-12-05 12:00:00,1.002,1.005,0.990252
2025-12-05 16:00:00,0.99945,1.005,0.994994
2025-12-05 20:00:00,0.997023,1.006,0.984635
2025-12-06 00:00:00,0.993557,0.999506,0.992889
2025-12-06 04:00:00,0.997987,1.01,0.992999
2025-12-06 08:00:00,0.997065,1.004,0.997065
2025-12-06 12:00:00,1.0,1.002,0.996601
2025-12-06 16:00:00,0.996955,0.99812,0.995317
2025-12-06 20:00:00,0.998622,0.999013,0.996002
2025-12-07 00:00:00,0.998179,0.99909,0.998179
2025-12-07 04:00:00,0.998305,0.998305,0.997294
2025-12-07 08:00:00,0.997239,0.998836,0.99719
2025-12-07 12:00:00,0.998988,0.999183,0.996654
2025-12-07 16:00:00,0.998249,0.999903,0.99316
2025-12-07 20:00:00,1.0,1.005,0.998074
2025-12-08 00:00:00,0.999448,1.001,0.996699
2025-12-08 04:00:00,0.998566,1.003,0.998566
2025-12-08 08:00:00,1.007,1.007,0.998309
2025-12-08 12:00:00,1.005,1.011,0.998668
2025-12-08 16:00:00,0.997741,1.007,0.997741
2025-12-08 20:00:00,1.011,1.011,0.997309
2025-12-09 00:00:00,1.011,1.017,0.998392
2025-12-09 04:00:00,0.987445,1.013,0.982115
2025-12-09 08:00:00,1.0,1.0,0.983445
2025-12-09 12:00:00,0.998122,1.0,0.98981
2025-12-09 16:00:00,0.999956,1.001,0.990476
2025-12-09 20:00:00,1.002,1.029,0.998659
2025-12-10 00:00:00,0.996657,1.002,0.98213
2025-12-10 04:00:00,0.996071,0.996603,0.980874
2025-12-10 08:00:00,0.993656,0.999427,0.985172
2025-12-10 12:00:00,1.0,1.001,0.987987
2025-12-10 16:00:00,0.998326,1.002,0.996826
2025-12-10 20:00:00,0.999293,0.999893,0.99689
2025-12-11 00:00:00,0.99811,0.999708,0.994308
2025-12-11 04:00:00,0.99682,0.998613,0.990928
2025-12-11 08:00:00,0.999277,0.999725,0.99682
2025-12-11 12:00:00,0.997896,0.999866,0.997842
2025-12-11 16:00:00,0.998501,0.998957,0.99511
2025-12-11 20:00:00,1.002,1.003,0.995907
2025-12-12 00:00:00,0.994444,1.005,0.993898
2025-12-12 04:00:00,0.997112,0.998726,0.989854
2025-12-12 08:00:00,0.996577,1.0,0.995109
2025-12-12 12:00:00,0.993211,0.999649,0.993211
2025-12-12 16:00:00,0.994549,1.0,0.974077
2025-12-12 20:00:00,0.995499,0.999711,0.982018
2025-12-13 00:00:00,0.996056,0.998991,0.995663
2025-12-13 04:00:00,1.0,1.0,0.993241
2025-12-13 08:00:00,0.999293,1.002,0.997478
2025-12-13 12:00:00,0.999443,1.005,0.996238
2025-12-13 16:00:00,0.99826,1.006,0.99527
2025-12-13 20:00:00,0.994988,1.0,0.993948
2025-12-14 00:00:00,0.993975,0.997817,0.989975
2025-12-14 04:00:00,0.996989,0.997834,0.990088
2025-12-14 08:00:00,0.998797,0.998839,0.98952
2025-12-14 12:00:00,0.998242,0.998946,0.99731
2025-12-14 16:00:00,0.996959,0.998267,0.996132
2025-12-14 20:00:00,0.996204,0.997624,0.996204
2025-12-15 00:00:00,0.997996,0.998222,0.994755
2025-12-15 04:00:00,1.002,1.004,0.997964
2025-12-15 08:00:00,0.996584,1.004,0.996584
2025-12-15 12:00:00,0.998365,0.998948,0.996584
2025-12-15 16:00:00,0.991925,0.998663,0.989891
2025-12-15 20:00:00,0.996893,0.997754,0.988183
2025-12-16 00:00:00,0.998998,1.009,0.989723
2025-12-16 04:00:00,0.990674,1.002,0.99058
2025-12-16 08:00:00,0.998005,0.998335,0.986643
2025-12-16 12:00:00,0.996559,1.001,0.992903
2025-12-16 16:00:00,0.995441,1.001,0.992422
2025-12-16 20:00:00,0.994624,1.001,0.99244
2025-12-17 00:00:00,0.994045,0.998442,0.992415
2025-12-17 04:00:00,0.996275,0.997287,0.993757
2025-12-17 08:00:00,0.99597,0.998399,0.991278
2025-12-17 12:00:00,0.99499,0.997445,0.993717
2025-12-17 16:00:00,0.994508,0.998601,0.994106
2025-12-17 20:00:00,0.994259,0.996165,0.991095
2025-12-18 00:00:00,0.997072,0.997072,0.991388
2025-12-18 04:00:00,0.995753,0.998827,0.992106
2025-12-18 08:00:00,0.999862,0.999862,0.997549
2025-12-18 12:00:00,0.997728,0.999862,0.997615
2025-12-18 16:00:00,0.998507,1.003,0.997537
2025-12-18 20:00:00,0.996755,0.999699,0.990894
2025-12-19 00:00:00,1.0,1.0,0.993847
2025-12-19 04:00:00,1.004,1.004,0.997407
2025-12-19 08:00:00,0.998459,1.005,0.998459
2025-12-19 12:00:00,1.001,1.001,0.996948
2025-12-19 16:00:00,0.9999,1.003,0.998036
2025-12-19 20:00:00,1.003,1.003,0.996733
2025-12-20 00:00:00,0.997718,1.003,0.997718
2025-12-20 04:00:00,0.999809,1.001,0.996393
2025-12-20 08:00:00,0.999514,1.0,0.997723
2025-12-20 12:00:00,0.998936,0.999929,0.99749
2025-12-20 16:00:00,0.996353,0.999371,0.994351
2025-12-20 20:00:00,0.997197,0.999076,0.996248
2025-12-21 00:00:00,0.997146,0.99806,0.996866
2025-12-21 04:00:00,0.998233,1.0,0.996105
2025-12-21 08:00:00,0.996885,0.998528,0.996417
2025-12-21 12:00:00,0.999184,0.999448,0.996882
2025-12-21 16:00:00,0.994976,0.99986,0.992465
2025-12-21 20:00:00,0.9982,1.001,0.996225
2025-12-22 00:00:00,0.987149,0.998906,0.982179
2025-12-22 04:00:00,0.999191,1.003,0.987093
2025-12-22 08:00:00,0.997548,1.001,0.996496
2025-12-22 12:00:00,0.998579,1.004,0.995403
2025-12-22 16:00:00,0.996433,1.004,0.996433
2025-12-22 20:00:00,0.99891,1.001,0.992401
2025-12-23 00:00:00,1.003,1.009,0.992724
2025-12-23 04:00:00,0.998026,1.011,0.998026
2025-12-23 08:00:00,0.998069,1.001,0.994329
2025-12-23 12:00:00,1.001,1.004,0.995675
2025-12-23 16:00:00,1.0,1.001,0.992443
2025-12-23 20:00:00,0.999359,1.004,0.994336
2025-12-24 00:00:00,0.999556,1.005,0.998116
2025-12-24 04:00:00,0.999275,1.0,0.996177
2025-12-24 08:00:00,0.998875,1.0,0.997656
2025-12-24 12:00:00,0.999563,1.001,0.998158
2025-12-24 16:00:00,0.999495,1.003,0.995044
2025-12-24 20:00:00,0.999904,1.004,0.998288
2025-12-25 00:00:00,0.999535,1.001,0.998654
2025-12-25 04:00:00,0.999551,1.001,0.998386
2025-12-25 08:00:00,0.999546,0.999847,0.998522
2025-12-25 12:00:00,0.999557,1.0,0.996968
2025-12-25 16:00:00,1.0,1.004,0.997837
2025-12-25 20:00:00,0.999697,1.001,0.998597
2025-12-26 00:00:00,1.0,1.001,0.997457
2025-12-26 04:00:00,0.998883,1.009,0.996635
2025-12-26 08:00:00,0.999983,1.001,0.996697
2025-12-26 12:00:00,0.999982,0.999984,0.999982
2025-12-26 16:00:00,0.995403,0.999986,0.980271
2025-12-26 20:00:00,0.998382,0.999693,0.982072
2025-12-27 00:00:00,0.996384,0.999715,0.996384
2025-12-27 04:00:00,0.998281,0.999255,0.996045
2025-12-27 08:00:00,0.997884,1.0,0.997226
2025-12-27 12:00:00,0.998943,0.99968,0.997376
2025-12-27 16:00:00,0.999784,0.999787,0.996764
2025-12-27 20:00:00,0.998465,0.999691,0.996188
2025-12-28 00:00:00,0.998028,0.999309,0.996704
2025-12-28 04:00:00,0.996654,0.998975,0.996654
2025-12-28 08:00:00,0.996598,0.997008,0.996304
2025-12-28 12:00:00,0.996627,0.99807,0.996257
2025-12-28 16:00:00,0.997831,0.998895,0.99653
2025-12-28 20:00:00,0.996855,0.997831,0.996599
2025-12-29 00:00:00,0.997316,0.99847,0.996568
2025-12-29 04:00:00,0.998308,0.999361,0.996826
2025-12-29 08:00:00,0.998314,0.998404,0.996078
2025-12-29 12:00:00,0.998252,0.998552,0.996299
2025-12-29 16:00:00,0.995483,0.999041,0.995483
2025-12-29 20:00:00,0.996592,0.99828,0.993869
2025-12-30 00:00:00,0.995558,0.998854,0.992639
2025-12-30 04:00:00,0.99943,0.99943,0.993923
2025-12-30 08:00:00,0.999099,1.0,0.998249
2025-12-30 12:00:00,0.998364,1.0,0.997916
2025-12-30 16:00:00,0.99838,0.999499,0.997372
2025-12-30 20:00:00,0.998691,0.998813,0.99537
2025-12-31 00:00:00,0.998621,0.999112,0.997628
