,close,high,low
2025-12-04 20:00:00,1.52,1.59,1.52
2025-12-05 00:00:00,1.45,1.5,1.43
2025-12-05 04:00:00,1.41,1.47,1.41
2025-12-05 08:00:00,1.37,1.43,1.37
2025-12-05 12:00:00,0.994642,1.39,0.920813
2025-12-05 16:00:00,1.14,1.26,0.995045
2025-12-05 20:00:00,1.079,1.15,1.07
2025-12-06 00:00:00,1.045,1.095,1.045
2025-12-06 04:00:00,1.032,1.062,1.024
2025-12-06 08:00:00,1.037,1.055,1.03
2025-12-06 12:00:00,1.18,1.21,1.071
2025-12-06 16:00:00,1.16,1.2,1.11
2025-12-06 20:00:00,1.15,1.16,1.12
2025-12-07 00:00:00,1.15,1.16,1.14
2025-12-07 04:00:00,1.096,1.18,1.096
2025-12-07 08:00:00,1.078,1.095,1.053
2025-12-07 12:00:00,1.062,1.074,1.053
2025-12-07 16:00:00,1.047,1.094,1.043
2025-12-07 20:00:00,1.027,1.051,1.023
2025-12-08 00:00:00,1.024,1.028,0.988607
2025-12-08 04:00:00,1.0,1.031,0.998104
2025-12-08 08:00:00,0.959445,1.014,0.959445
2025-12-08 12:00:00,0.911702,0.948972,0.906389
2025-12-08 16:00:00,0.898458,0.919302,0.884809
2025-12-08 20:00:00,0.940851,0.940851,0.894076
2025-12-09 00:00:00,1.004,1.17,0.917838
2025-12-09 04:00:00,0.916577,1.009,0.899061
2025-12-09 08:00:00,0.699821,0.915043,0.699821
2025-12-09 12:00:00,0.733132,0.753276,0.680842
2025-12-09 16:00:00,0.709298,0.731125,0.694103
2025-12-09 20:00:00,0.709725,0.744604,0.69732
2025-12-10 00:00:00,0.571239,0.711947,0.571239
2025-12-10 04:00:00,0.664827,0.672589,0.57318
2025-12-10 08:00:00,0.640664,0.656377,0.623981
2025-12-10 12:00:00,0.750322,0.753247,0.646374
2025-12-10 16:00:00,0.837818,0.896464,0.743457
2025-12-10 20:00:00,0.905911,0.956545,0.857002
2025-12-11 00:00:00,0.900726,0.916028,0.874806
2025-12-11 04:00:00,0.887089,0.95336,0.830262
2025-12-11 08:00:00,0.958993,0.975561,0.864358
2025-12-11 12:00:00,1.11,1.15,0.957068
2025-12-11 16:00:00,1.25,1.28,1.059
2025-12-11 20:00:00,1.13,1.27,1.13
2025-12-12 00:00:00,1.18,1.26,1.13
2025-12-12 04:00:00,1.23,1.23,1.17
2025-12-12 08:00:00,1.14,1.25,1.11
2025-12-12 12:00:00,0.759067,1.13,0.73813
2025-12-12 16:00:00,0.890142,0.943988,0.746543
2025-12-12 20:00:00,0.854775,0.890577,0.814
2025-12-13 00:00:00,0.85439,0.860678,0.836298
2025-12-13 04:00:00,0.842614,0.876569,0.83054
2025-12-13 08:00:00,0.952643,1.003,0.809795
2025-12-13 12:00:00,0.994888,1.072,0.953564
2025-12-13 16:00:00,1.033,1.062,0.969618
2025-12-13 20:00:00,1.049,1.059,0.998859
2025-12-14 00:00:00,1.015,1.057,1.012
2025-12-14 04:00:00,1.02,1.049,1.001
2025-12-14 08:00:00,1.007,1.041,1.003
2025-12-14 12:00:00,1.023,1.023,0.926261
2025-12-14 16:00:00,1.021,1.021,0.945778
2025-12-14 20:00:00,1.14,1.21,1.017
2025-12-15 00:00:00,1.1,1.14,1.1
2025-12-15 04:00:00,1.16,1.19,1.1
2025-12-15 08:00:00,1.12,1.16,1.11
2025-12-15 12:00:00,1.18,1.2,1.11
2025-12-15 16:00:00,1.23,1.24,1.17
2025-12-15 20:00:00,1.26,1.33,1.22
2025-12-16 00:00:00,1.25,1.27,1.23
2025-12-16 04:00:00,1.26,1.3,1.23
2025-12-16 08:00:00,1.21,1.28,1.2
2025-12-16 12:00:00,1.18,1.31,1.13
2025-12-16 16:00:00,1.23,1.23,1.12
2025-12-16 20:00:00,1.55,1.61,1.25
2025-12-17 00:00:00,1.55,1.6,1.47
2025-12-17 04:00:00,1.56,1.59,1.52
2025-12-17 08:00:00,1.63,1.65,1.54
2025-12-17 12:00:00,1.46,1.63,1.37
2025-12-17 16:00:00,1.44,1.51,1.43
2025-12-17 20:00:00,1.39,1.49,1.38
2025-12-18 00:00:00,1.39,1.42,1.37
2025-12-18 04:00:00,1.4,1.45,1.36
2025-12-18 08:00:00,1.43,1.47,1.4
2025-12-18 12:00:00,1.5,1.51,1.35
2025-12-18 16:00:00,1.38,1.51,1.38
2025-12-18 20:00:00,1.38,1.46,1.36
2025-12-19 00:00:00,1.38,1.43,1.35
2025-12-19 04:00:00,1.41,1.41,1.37
2025-12-19 08:00:00,1.42,1.43,1.36
2025-12-19 12:00:00,2.15,2.27,1.44
2025-12-19 16:00:00,2.25,2.26,2.0
2025-12-19 20:00:00,2.4,2.41,2.1
2025-12-20 00:00:00,2.44,2.44,2.22
2025-12-20 04:00:00,2.65,2.65,2.34
2025-12-20 08:00:00,2.66,2.72,2.57
2025-12-20 12:00:00,2.8,2.83,2.55
2025-12-20 16:00:00,3.23,3.39,2.76
2025-12-20 20:00:00,3.56,3.56,2.93
2025-12-21 00:00:00,4.05,4.05,3.57
2025-12-21 04:00:00,3.77,4.19,3.7
2025-12-21 08:00:00,3.87,3.87,3.16
2025-12-21 12:00:00,4.12,4.12,3.67
2025-12-21 16:00:00,4.43,4.66,4.16
2025-12-21 20:00:00,4.45,4.8,4.43
2025-12-22 00:00:00,1.1,4.44,0.931677
2025-12-22 04:00:00,0.892986,1.12,0.892986
2025-12-22 08:00:00,0.946966,0.964478,0.885052
2025-12-22 12:00:00,0.907985,0.960395,0.874498
