,close,high,low
2025-12-04 04:00:00,301.1,301.1,292.45
2025-12-04 08:00:00,304.48,306.75,297.96
2025-12-04 12:00:00,307.69,315.61,303.99
2025-12-04 16:00:00,300.02,307.77,296.33
2025-12-04 20:00:00,292.79,301.65,288.02
2025-12-05 00:00:00,290.26,293.61,290.12
2025-12-05 04:00:00,288.79,290.87,286.21
2025-12-05 08:00:00,291.69,291.69,285.68
2025-12-05 12:00:00,283.31,290.84,281.66
2025-12-05 16:00:00,283.15,285.32,278.56
2025-12-05 20:00:00,274.65,281.97,271.85
2025-12-06 00:00:00,275.49,275.59,272.55
2025-12-06 04:00:00,277.65,278.54,275.67
2025-12-06 08:00:00,277.64,279.19,276.91
2025-12-06 12:00:00,277.51,278.33,275.36
2025-12-06 16:00:00,280.3,280.3,275.84
2025-12-06 20:00:00,277.87,283.97,277.87
2025-12-07 00:00:00,282.7,282.72,278.22
2025-12-07 04:00:00,282.16,283.87,280.49
2025-12-07 08:00:00,283.0,285.1,281.43
2025-12-07 12:00:00,279.26,284.29,278.9
2025-12-07 16:00:00,275.3,282.08,270.69
2025-12-07 20:00:00,287.84,291.25,275.75
2025-12-08 00:00:00,276.46,288.25,274.78
2025-12-08 04:00:00,286.07,286.28,276.3
2025-12-08 08:00:00,301.93,303.66,286.21
2025-12-08 12:00:00,299.93,305.89,298.96
2025-12-08 16:00:00,290.58,299.85,289.77
2025-12-08 20:00:00,292.44,295.13,289.59
2025-12-09 00:00:00,294.38,298.44,291.95
2025-12-09 04:00:00,289.44,294.97,288.88
2025-12-09 08:00:00,298.38,298.38,287.67
2025-12-09 12:00:00,301.25,305.22,300.2
2025-12-09 16:00:00,311.96,313.06,299.8
2025-12-09 20:00:00,306.24,313.2,304.07
2025-12-10 00:00:00,302.54,305.78,298.91
2025-12-10 04:00:00,298.63,303.61,298.2
2025-12-10 08:00:00,298.92,300.99,297.36
2025-12-10 12:00:00,299.1,301.08,296.56
2025-12-10 16:00:00,296.35,300.35,296.35
2025-12-10 20:00:00,303.52,303.52,296.12
2025-12-11 00:00:00,293.4,309.43,293.4
2025-12-11 04:00:00,281.42,292.65,280.68
2025-12-11 08:00:00,283.54,286.35,280.83
2025-12-11 12:00:00,283.93,284.72,281.68
2025-12-11 16:00:00,289.46,293.63,284.73
2025-12-11 20:00:00,290.94,293.09,286.44
2025-12-12 00:00:00,296.9,303.15,290.45
2025-12-12 04:00:00,301.59,302.2,295.12
2025-12-12 08:00:00,300.86,305.66,300.27
2025-12-12 12:00:00,301.39,302.72,298.88
2025-12-12 16:00:00,291.48,302.25,291.48
2025-12-12 20:00:00,288.18,292.76,285.35
2025-12-13 00:00:00,291.71,292.64,287.56
2025-12-13 04:00:00,295.31,296.46,291.68
2025-12-13 08:00:00,291.81,295.82,291.43
2025-12-13 12:00:00,297.77,297.77,291.9
2025-12-13 16:00:00,297.38,300.65,295.41
2025-12-13 20:00:00,297.96,298.57,294.5
2025-12-14 00:00:00,295.47,297.57,293.5
2025-12-14 04:00:00,294.61,296.22,294.29
2025-12-14 08:00:00,292.43,294.65,291.76
2025-12-14 12:00:00,291.86,295.5,289.95
2025-12-14 16:00:00,287.66,293.37,287.52
2025-12-14 20:00:00,284.45,289.78,284.44
2025-12-15 00:00:00,280.73,285.68,279.67
2025-12-15 04:00:00,284.62,287.8,280.49
2025-12-15 08:00:00,284.78,288.84,284.61
2025-12-15 12:00:00,280.33,285.0,280.3
2025-12-15 16:00:00,271.89,283.47,269.99
2025-12-15 20:00:00,265.97,272.01,260.32
2025-12-16 00:00:00,269.46,269.86,264.0
2025-12-16 04:00:00,266.26,269.81,266.26
2025-12-16 08:00:00,264.03,267.55,263.69
2025-12-16 12:00:00,263.55,265.81,261.66
2025-12-16 16:00:00,264.57,264.57,257.68
2025-12-16 20:00:00,262.16,264.4,259.06
2025-12-17 00:00:00,261.39,263.36,260.79
2025-12-17 04:00:00,256.74,261.91,256.74
2025-12-17 08:00:00,250.21,258.27,248.36
2025-12-17 12:00:00,248.33,249.83,244.39
2025-12-17 16:00:00,245.28,254.37,245.28
2025-12-17 20:00:00,237.69,245.88,235.72
2025-12-18 00:00:00,238.18,238.52,236.84
2025-12-18 04:00:00,232.13,238.74,231.65
2025-12-18 08:00:00,227.84,232.87,227.84
2025-12-18 12:00:00,230.5,231.21,227.31
2025-12-18 16:00:00,235.24,237.83,230.81
2025-12-18 20:00:00,219.56,235.12,219.56
2025-12-19 00:00:00,219.41,222.27,217.27
2025-12-19 04:00:00,226.18,226.88,216.25
2025-12-19 08:00:00,229.19,229.19,223.96
2025-12-19 12:00:00,228.53,230.14,226.31
2025-12-19 16:00:00,228.06,233.12,228.06
2025-12-19 20:00:00,230.85,232.3,225.13
2025-12-20 00:00:00,230.49,233.26,229.66
2025-12-20 04:00:00,228.24,230.44,227.31
2025-12-20 08:00:00,229.42,229.54,226.99
2025-12-20 12:00:00,227.79,232.19,226.0
2025-12-20 16:00:00,229.59,230.55,226.39
2025-12-20 20:00:00,229.75,230.8,228.47
2025-12-21 00:00:00,226.79,229.62,225.77
2025-12-21 04:00:00,224.55,227.02,222.85
2025-12-21 08:00:00,223.42,224.42,222.73
2025-12-21 12:00:00,221.96,226.44,221.96
2025-12-21 16:00:00,219.64,222.64,216.92
2025-12-21 20:00:00,220.75,221.41,219.11
2025-12-22 00:00:00,221.33,222.63,218.73
2025-12-22 04:00:00,223.48,225.54,221.32
2025-12-22 08:00:00,223.07,225.59,223.07
2025-12-22 12:00:00,226.7,226.89,222.52
2025-12-22 16:00:00,227.05,230.76,226.8
2025-12-22 20:00:00,221.31,229.2,221.31
2025-12-23 00:00:00,222.05,224.39,221.84
2025-12-23 04:00:00,221.41,225.08,219.46
