,close,high,low
2025-12-04 12:00:00,180.45,181.69,180.31
2025-12-04 16:00:00,180.26,181.1,179.02
2025-12-04 20:00:00,176.23,180.92,175.12
2025-12-05 00:00:00,175.38,177.01,175.19
2025-12-05 04:00:00,175.11,176.56,174.98
2025-12-05 08:00:00,176.26,177.02,174.02
2025-12-05 12:00:00,172.9,175.9,172.1
2025-12-05 16:00:00,170.71,172.91,170.0
2025-12-05 20:00:00,167.17,170.46,165.48
2025-12-06 00:00:00,168.09,168.09,166.78
2025-12-06 04:00:00,168.86,169.08,167.71
2025-12-06 08:00:00,167.73,168.75,167.65
2025-12-06 12:00:00,168.08,168.08,166.61
2025-12-06 16:00:00,167.86,168.73,167.12
2025-12-06 20:00:00,166.57,168.31,166.57
2025-12-07 00:00:00,166.69,167.35,165.95
2025-12-07 04:00:00,168.42,168.42,166.72
2025-12-07 08:00:00,166.85,168.41,166.61
2025-12-07 12:00:00,166.96,167.16,166.27
2025-12-07 16:00:00,165.52,167.83,161.84
2025-12-07 20:00:00,171.35,171.75,164.89
2025-12-08 00:00:00,166.01,171.64,165.26
2025-12-08 04:00:00,169.56,169.7,166.2
2025-12-08 08:00:00,171.56,171.56,169.49
2025-12-08 12:00:00,174.89,175.67,171.51
2025-12-08 16:00:00,171.56,175.35,171.13
2025-12-08 20:00:00,169.89,172.33,168.93
2025-12-09 00:00:00,168.26,169.93,167.49
2025-12-09 04:00:00,168.77,168.77,167.49
2025-12-09 08:00:00,168.09,169.37,166.87
2025-12-09 12:00:00,167.77,168.38,167.21
2025-12-09 16:00:00,173.87,173.87,166.88
2025-12-09 20:00:00,179.72,182.59,175.67
2025-12-10 00:00:00,174.23,179.74,173.4
2025-12-10 04:00:00,174.83,174.83,173.53
2025-12-10 08:00:00,175.61,176.65,174.55
2025-12-10 12:00:00,172.89,176.09,172.67
2025-12-10 16:00:00,172.04,174.28,171.99
2025-12-10 20:00:00,175.11,175.25,171.81
2025-12-11 00:00:00,172.66,178.54,172.12
2025-12-11 04:00:00,163.71,172.45,163.67
2025-12-11 08:00:00,165.56,165.81,163.52
2025-12-11 12:00:00,165.56,165.84,164.71
2025-12-11 16:00:00,165.76,167.19,164.88
2025-12-11 20:00:00,170.39,170.65,164.88
2025-12-12 00:00:00,172.63,173.47,169.59
2025-12-12 04:00:00,173.32,173.65,171.73
2025-12-12 08:00:00,175.89,176.4,172.56
2025-12-12 12:00:00,175.12,175.72,173.61
2025-12-12 16:00:00,170.37,176.35,170.04
2025-12-12 20:00:00,165.67,169.5,165.54
2025-12-13 00:00:00,167.59,168.03,165.72
2025-12-13 04:00:00,167.9,168.02,167.2
2025-12-13 08:00:00,167.99,167.99,167.44
2025-12-13 12:00:00,168.62,169.57,168.01
2025-12-13 16:00:00,168.54,168.75,167.75
2025-12-13 20:00:00,167.95,168.85,167.1
2025-12-14 00:00:00,168.33,168.33,167.08
2025-12-14 04:00:00,168.2,168.79,167.9
2025-12-14 08:00:00,168.27,168.62,167.14
2025-12-14 12:00:00,165.81,168.64,165.63
2025-12-14 16:00:00,165.21,166.57,165.05
2025-12-14 20:00:00,164.81,165.98,164.1
2025-12-15 00:00:00,163.67,164.97,163.23
2025-12-15 04:00:00,165.98,167.73,163.68
2025-12-15 08:00:00,167.13,167.39,165.63
