,close,high,low
2025-12-04 04:00:00,0.320962,0.323043,0.317661
2025-12-04 08:00:00,0.320851,0.321741,0.31883
2025-12-04 12:00:00,0.318101,0.321933,0.317574
2025-12-04 16:00:00,0.317219,0.319738,0.31358
2025-12-04 20:00:00,0.310627,0.31718,0.306581
2025-12-05 00:00:00,0.308153,0.310467,0.307826
2025-12-05 04:00:00,0.306962,0.309203,0.306962
2025-12-05 08:00:00,0.308353,0.308555,0.304065
2025-12-05 12:00:00,0.301073,0.308523,0.300223
2025-12-05 16:00:00,0.29862,0.301995,0.296724
2025-12-05 20:00:00,0.291121,0.297783,0.288212
2025-12-06 00:00:00,0.292497,0.292497,0.28948
2025-12-06 04:00:00,0.294101,0.294138,0.291843
2025-12-06 08:00:00,0.294619,0.29584,0.293076
2025-12-06 12:00:00,0.296765,0.296903,0.293245
2025-12-06 16:00:00,0.295713,0.297992,0.295132
2025-12-06 20:00:00,0.296778,0.300781,0.296228
2025-12-07 00:00:00,0.297031,0.299733,0.296166
2025-12-07 04:00:00,0.29971,0.29971,0.296635
2025-12-07 08:00:00,0.299559,0.302723,0.29846
2025-12-07 12:00:00,0.297573,0.29965,0.295992
2025-12-07 16:00:00,0.291664,0.29871,0.287734
2025-12-07 20:00:00,0.300389,0.302736,0.291213
2025-12-08 00:00:00,0.292503,0.300493,0.290409
2025-12-08 04:00:00,0.297741,0.298594,0.292528
2025-12-08 08:00:00,0.302326,0.303982,0.297738
2025-12-08 12:00:00,0.303219,0.305518,0.302332
2025-12-08 16:00:00,0.299344,0.304078,0.29894
2025-12-08 20:00:00,0.300734,0.302404,0.299032
2025-12-09 00:00:00,0.301137,0.304943,0.299873
2025-12-09 04:00:00,0.299555,0.301627,0.297615
2025-12-09 08:00:00,0.299256,0.299872,0.295845
2025-12-09 12:00:00,0.300356,0.300431,0.297407
2025-12-09 16:00:00,0.311843,0.311843,0.299954
2025-12-09 20:00:00,0.323004,0.324783,0.313678
2025-12-10 00:00:00,0.317118,0.3235,0.315597
2025-12-10 04:00:00,0.313413,0.317437,0.312237
2025-12-10 08:00:00,0.313666,0.316264,0.312758
2025-12-10 12:00:00,0.30871,0.314062,0.308027
2025-12-10 16:00:00,0.308439,0.309843,0.30733
2025-12-10 20:00:00,0.313973,0.314575,0.308197
2025-12-11 00:00:00,0.306429,0.319296,0.306429
2025-12-11 04:00:00,0.293546,0.307155,0.292893
2025-12-11 08:00:00,0.294279,0.296988,0.292969
2025-12-11 12:00:00,0.293181,0.294857,0.292216
2025-12-11 16:00:00,0.290362,0.293901,0.290362
2025-12-11 20:00:00,0.295425,0.295958,0.28974
2025-12-12 00:00:00,0.298392,0.302213,0.293875
2025-12-12 04:00:00,0.295353,0.29865,0.293961
2025-12-12 08:00:00,0.297248,0.299683,0.294619
2025-12-12 12:00:00,0.297821,0.299251,0.295466
2025-12-12 16:00:00,0.28821,0.298751,0.288002
2025-12-12 20:00:00,0.282147,0.287148,0.280471
2025-12-13 00:00:00,0.287684,0.28858,0.282334
2025-12-13 04:00:00,0.288699,0.289863,0.286578
2025-12-13 08:00:00,0.288521,0.289396,0.286597
2025-12-13 12:00:00,0.290116,0.291289,0.287931
2025-12-13 16:00:00,0.289412,0.291835,0.287906
2025-12-13 20:00:00,0.290826,0.29219,0.288355
2025-12-14 00:00:00,0.289715,0.292256,0.288756
2025-12-14 04:00:00,0.290357,0.291765,0.288323
2025-12-14 08:00:00,0.288072,0.290952,0.285742
2025-12-14 12:00:00,0.284258,0.288452,0.284006
2025-12-14 16:00:00,0.28179,0.286557,0.281354
2025-12-14 20:00:00,0.281043,0.283357,0.279977
2025-12-15 00:00:00,0.278346,0.281713,0.277821
2025-12-15 04:00:00,0.280821,0.283758,0.278197
2025-12-15 08:00:00,0.280387,0.282731,0.280348
2025-12-15 12:00:00,0.280275,0.282332,0.279777
2025-12-15 16:00:00,0.265245,0.280963,0.265245
2025-12-15 20:00:00,0.263253,0.267033,0.260971
2025-12-16 00:00:00,0.263816,0.263873,0.26145
2025-12-16 04:00:00,0.260072,0.264098,0.258932
2025-12-16 08:00:00,0.261022,0.264022,0.259936
2025-12-16 12:00:00,0.265995,0.266274,0.260934
2025-12-16 16:00:00,0.264506,0.266175,0.260528
2025-12-16 20:00:00,0.265823,0.266723,0.262572
2025-12-17 00:00:00,0.2631,0.265831,0.262891
2025-12-17 04:00:00,0.261483,0.264602,0.261483
2025-12-17 08:00:00,0.261808,0.262678,0.259689
2025-12-17 12:00:00,0.259792,0.262372,0.258464
2025-12-17 16:00:00,0.260217,0.269435,0.258593
2025-12-17 20:00:00,0.250673,0.260246,0.248641
2025-12-18 00:00:00,0.250977,0.252501,0.248714
2025-12-18 04:00:00,0.247361,0.251332,0.247015
2025-12-18 08:00:00,0.245905,0.249455,0.244718
2025-12-18 12:00:00,0.248705,0.249671,0.245741
2025-12-18 16:00:00,0.257848,0.258828,0.248438
2025-12-18 20:00:00,0.238411,0.257666,0.238411
2025-12-19 00:00:00,0.240982,0.242732,0.238116
2025-12-19 04:00:00,0.247239,0.24778,0.237705
2025-12-19 08:00:00,0.249152,0.250972,0.245662
2025-12-19 12:00:00,0.252004,0.252004,0.249382
2025-12-19 16:00:00,0.249544,0.255674,0.249544
2025-12-19 20:00:00,0.25568,0.25568,0.247988
2025-12-20 00:00:00,0.254306,0.257091,0.253865
2025-12-20 04:00:00,0.257115,0.258065,0.253806
2025-12-20 08:00:00,0.258413,0.258413,0.255737
2025-12-20 12:00:00,0.258058,0.25927,0.256081
2025-12-20 16:00:00,0.256179,0.25797,0.254408
2025-12-20 20:00:00,0.256674,0.257221,0.255222
2025-12-21 00:00:00,0.255892,0.257479,0.255663
2025-12-21 04:00:00,0.253434,0.257014,0.251668
2025-12-21 08:00:00,0.253743,0.255213,0.253478
2025-12-21 12:00:00,0.253707,0.255817,0.253253
2025-12-21 16:00:00,0.246175,0.255272,0.245296
2025-12-21 20:00:00,0.248153,0.249549,0.245759
2025-12-22 00:00:00,0.249759,0.250891,0.246603
2025-12-22 04:00:00,0.250062,0.253205,0.248478
2025-12-22 08:00:00,0.250751,0.2517,0.2501
2025-12-22 12:00:00,0.251983,0.252792,0.250481
2025-12-22 16:00:00,0.252827,0.254589,0.252141
2025-12-22 20:00:00,0.248942,0.25485,0.248552
2025-12-23 00:00:00,0.247157,0.24851,0.245468
2025-12-23 04:00:00,0.245869,0.249912,0.245584
2025-12-23 08:00:00,0.241618,0.246362,0.240852
2025-12-23 12:00:00,0.244852,0.246062,0.241283
2025-12-23 16:00:00,0.241754,0.244929,0.240646
2025-12-23 20:00:00,0.244076,0.24553,0.241555
2025-12-24 00:00:00,0.244373,0.246434,0.243757
2025-12-24 04:00:00,0.240703,0.244967,0.238832
2025-12-24 08:00:00,0.240597,0.241357,0.236791
2025-12-24 12:00:00,0.241999,0.242145,0.238232
2025-12-24 16:00:00,0.244606,0.244606,0.241469
2025-12-24 20:00:00,0.245901,0.246816,0.244112
2025-12-25 00:00:00,0.248635,0.250151,0.245715
2025-12-25 04:00:00,0.250939,0.251543,0.247521
2025-12-25 08:00:00,0.254351,0.254899,0.251386
2025-12-25 12:00:00,0.253206,0.255566,0.2519
2025-12-25 16:00:00,0.252995,0.255163,0.250836
2025-12-25 20:00:00,0.253842,0.255234,0.252464
2025-12-26 00:00:00,0.244835,0.254215,0.244835
2025-12-26 04:00:00,0.254151,0.255292,0.24419
2025-12-26 08:00:00,0.251927,0.255022,0.251927
2025-12-26 12:00:00,0.251798,0.252433,0.250773
2025-12-26 16:00:00,0.247995,0.253682,0.247317
2025-12-26 20:00:00,0.251517,0.251517,0.245955
2025-12-27 00:00:00,0.250856,0.253302,0.250628
2025-12-27 04:00:00,0.259146,0.25935,0.250888
2025-12-27 08:00:00,0.260357,0.260357,0.257109
2025-12-27 12:00:00,0.259557,0.260356,0.255861
2025-12-27 16:00:00,0.260665,0.262166,0.258933
2025-12-27 20:00:00,0.260264,0.260971,0.259058
2025-12-28 00:00:00,0.265219,0.265375,0.259448
2025-12-28 04:00:00,0.265723,0.266485,0.26373
2025-12-28 08:00:00,0.266971,0.266971,0.264076
2025-12-28 12:00:00,0.266548,0.269004,0.265548
2025-12-28 16:00:00,0.266171,0.268051,0.265552
2025-12-28 20:00:00,0.260898,0.267418,0.260611
2025-12-29 00:00:00,0.264543,0.264543,0.260169
2025-12-29 04:00:00,0.269249,0.269249,0.264578
2025-12-29 08:00:00,0.267736,0.269134,0.265421
2025-12-29 12:00:00,0.262356,0.267765,0.261705
2025-12-29 16:00:00,0.260302,0.262856,0.257704
2025-12-29 20:00:00,0.257365,0.260318,0.255528
2025-12-30 00:00:00,0.254968,0.257352,0.254711
2025-12-30 04:00:00,0.254468,0.256141,0.252107
2025-12-30 08:00:00,0.254268,0.254729,0.252118
2025-12-30 12:00:00,0.257429,0.257848,0.254033
2025-12-30 16:00:00,0.257333,0.257661,0.254714
2025-12-30 20:00:00,0.255856,0.259023,0.254402
2025-12-31 00:00:00,0.253773,0.255919,0.252951
2025-12-31 04:00:00,0.253784,0.255807,0.252216
2025-12-31 08:00:00,0.252341,0.253756,0.252023
2025-12-31 12:00:00,0.254002,0.254002,0.251501
2025-12-31 16:00:00,0.252502,0.255621,0.25142
2025-12-31 20:00:00,0.240058,0.252515,0.239375
2026-01-01 00:00:00,0.245175,0.246337,0.238188
2026-01-01 04:00:00,0.241443,0.245046,0.241443
2026-01-01 08:00:00,0.243325,0.243425,0.240531
2026-01-01 12:00:00,0.247519,0.2477,0.242724
2026-01-01 16:00:00,0.253541,0.253541,0.245378
2026-01-01 20:00:00,0.258607,0.258607,0.252424
2026-01-02 00:00:00,0.263141,0.26418,0.259487
2026-01-02 04:00:00,0.266375,0.266375,0.261117
2026-01-02 08:00:00,0.262633,0.266868,0.262027
2026-01-02 12:00:00,0.26492,0.268024,0.26233
2026-01-02 16:00:00,0.267146,0.267975,0.262866
2026-01-02 20:00:00,0.275039,0.275039,0.266362
2026-01-03 00:00:00,0.27603,0.277424,0.273078
