,close,high,low
2025-12-04 12:00:00,48.01,48.07,47.86
2025-12-04 16:00:00,48.02,48.16,47.85
2025-12-04 20:00:00,48.11,48.11,47.86
2025-12-05 00:00:00,48.01,48.22,47.88
2025-12-05 04:00:00,47.91,48.21,47.88
2025-12-05 08:00:00,47.9,48.14,47.84
2025-12-05 12:00:00,48.02,48.12,47.73
2025-12-05 16:00:00,48.0,48.23,47.76
2025-12-05 20:00:00,48.17,48.37,47.56
2025-12-06 00:00:00,48.05,48.12,47.9
2025-12-06 04:00:00,48.0,48.13,47.9
2025-12-06 08:00:00,48.03,48.09,47.91
2025-12-06 12:00:00,48.01,48.08,47.84
2025-12-06 16:00:00,47.98,48.27,47.93
2025-12-06 20:00:00,47.89,48.17,47.84
2025-12-07 00:00:00,48.01,48.13,47.89
2025-12-07 04:00:00,48.01,48.15,47.98
2025-12-07 08:00:00,48.0,48.13,47.89
2025-12-07 12:00:00,47.95,48.08,47.86
2025-12-07 16:00:00,48.01,48.23,47.62
2025-12-07 20:00:00,48.05,48.25,47.93
2025-12-08 00:00:00,48.03,48.16,47.79
2025-12-08 04:00:00,47.99,48.18,47.96
2025-12-08 08:00:00,48.03,48.11,47.91
2025-12-08 12:00:00,47.92,48.1,47.91
2025-12-08 16:00:00,47.98,48.22,47.8
2025-12-08 20:00:00,47.99,48.07,47.85
2025-12-09 00:00:00,47.91,48.03,47.91
2025-12-09 04:00:00,48.0,48.02,47.85
2025-12-09 08:00:00,48.05,48.05,47.82
2025-12-09 12:00:00,48.0,48.04,47.93
2025-12-09 16:00:00,48.0,48.43,47.9
2025-12-09 20:00:00,48.0,48.57,47.87
2025-12-10 00:00:00,47.96,48.06,47.89
2025-12-10 04:00:00,48.0,48.03,47.89
2025-12-10 08:00:00,48.0,48.04,47.95
2025-12-10 12:00:00,48.0,48.05,47.87
2025-12-10 16:00:00,47.92,48.15,47.89
2025-12-10 20:00:00,48.17,48.21,47.92
2025-12-11 00:00:00,48.0,48.31,47.85
2025-12-11 04:00:00,48.04,48.07,47.68
2025-12-11 08:00:00,48.01,48.11,47.9
2025-12-11 12:00:00,48.01,48.13,47.84
2025-12-11 16:00:00,48.02,48.14,47.87
2025-12-11 20:00:00,47.92,48.16,47.92
2025-12-12 00:00:00,47.96,48.16,47.9
2025-12-12 04:00:00,48.0,48.17,47.92
2025-12-12 08:00:00,48.0,48.12,47.87
2025-12-12 12:00:00,47.94,48.03,47.92
2025-12-12 16:00:00,47.92,48.15,47.65
2025-12-12 20:00:00,47.99,48.09,47.83
2025-12-13 00:00:00,48.01,48.06,47.96
2025-12-13 04:00:00,48.06,48.06,47.94
2025-12-13 08:00:00,48.0,48.09,47.97
2025-12-13 12:00:00,48.08,48.08,47.98
2025-12-13 16:00:00,48.01,48.25,47.94
2025-12-13 20:00:00,48.0,48.11,47.88
2025-12-14 00:00:00,48.01,48.07,47.96
2025-12-14 04:00:00,48.02,48.07,47.94
2025-12-14 08:00:00,48.01,48.05,47.97
2025-12-14 12:00:00,48.01,48.05,47.86
2025-12-14 16:00:00,48.02,48.08,47.87
2025-12-14 20:00:00,48.01,48.06,47.89
2025-12-15 00:00:00,48.01,48.02,47.89
2025-12-15 04:00:00,47.95,48.18,47.93
2025-12-15 08:00:00,48.0,48.06,47.91
2025-12-15 12:00:00,48.0,48.05,47.97
2025-12-15 16:00:00,47.9,48.04,47.69
2025-12-15 20:00:00,48.0,48.1,47.84
2025-12-16 00:00:00,48.0,48.07,47.89
2025-12-16 04:00:00,48.0,48.1,47.92
2025-12-16 08:00:00,47.92,48.06,47.92
2025-12-16 12:00:00,48.0,48.05,47.89
2025-12-16 16:00:00,48.11,48.14,47.87
2025-12-16 20:00:00,47.95,48.08,47.91
2025-12-17 00:00:00,48.02,48.05,47.96
2025-12-17 04:00:00,47.99,48.03,47.89
2025-12-17 08:00:00,47.97,48.11,47.91
2025-12-17 12:00:00,47.98,48.0,47.87
2025-12-17 16:00:00,47.73,48.22,47.73
2025-12-17 20:00:00,48.0,48.04,47.67
2025-12-18 00:00:00,47.99,48.01,47.94
2025-12-18 04:00:00,47.93,48.07,47.84
2025-12-18 08:00:00,47.98,48.06,47.83
2025-12-18 12:00:00,48.0,48.1,47.97
2025-12-18 16:00:00,48.03,48.14,47.88
2025-12-18 20:00:00,48.04,48.06,47.54
2025-12-19 00:00:00,47.97,48.09,47.95
2025-12-19 04:00:00,47.86,48.05,47.86
2025-12-19 08:00:00,47.97,48.06,47.77
2025-12-19 12:00:00,47.98,48.05,47.93
2025-12-19 16:00:00,47.93,48.12,47.92
2025-12-19 20:00:00,47.97,48.08,47.91
2025-12-20 00:00:00,47.95,48.11,47.91
2025-12-20 04:00:00,48.0,48.01,47.93
2025-12-20 08:00:00,47.98,48.0,47.91
2025-12-20 12:00:00,47.99,48.03,47.93
2025-12-20 16:00:00,47.97,48.0,47.95
2025-12-20 20:00:00,47.97,47.99,47.75
2025-12-21 00:00:00,48.04,48.04,47.95
2025-12-21 04:00:00,48.0,48.03,47.91
2025-12-21 08:00:00,47.99,48.02,47.93
2025-12-21 12:00:00,48.05,48.09,47.96
2025-12-21 16:00:00,48.0,48.12,47.84
2025-12-21 20:00:00,47.99,48.14,47.93
2025-12-22 00:00:00,48.05,48.05,47.91
2025-12-22 04:00:00,47.99,48.21,47.9
2025-12-22 08:00:00,47.99,48.04,47.95
2025-12-22 12:00:00,47.97,48.14,47.93
2025-12-22 16:00:00,48.0,48.05,47.92
2025-12-22 20:00:00,47.82,48.02,47.82
2025-12-23 00:00:00,47.98,48.05,47.85
2025-12-23 04:00:00,47.96,48.02,47.9
2025-12-23 08:00:00,47.96,48.01,47.93
2025-12-23 12:00:00,47.97,48.0,47.95
2025-12-23 16:00:00,47.97,48.0,47.88
