,close,high,low
2025-12-04 16:00:00,1.004,1.005,0.997118
2025-12-04 20:00:00,0.999906,1.004,0.996743
2025-12-05 00:00:00,1.001,1.003,0.998669
2025-12-05 04:00:00,1.001,1.003,0.998549
2025-12-05 08:00:00,0.999149,1.002,0.998116
2025-12-05 12:00:00,0.999122,1.004,0.995592
2025-12-05 16:00:00,1.001,1.006,0.997213
2025-12-05 20:00:00,1.002,1.005,0.995478
2025-12-06 00:00:00,1.0,1.002,0.998811
2025-12-06 04:00:00,1.001,1.002,0.998468
2025-12-06 08:00:00,1.001,1.002,0.998396
2025-12-06 12:00:00,0.999848,1.002,0.998534
2025-12-06 16:00:00,0.998976,1.002,0.99839
2025-12-06 20:00:00,1.0,1.002,0.999184
2025-12-07 00:00:00,1.0,1.001,0.999028
2025-12-07 04:00:00,1.0,1.001,0.999029
2025-12-07 08:00:00,1.0,1.001,0.998838
2025-12-07 12:00:00,0.998983,1.002,0.998859
2025-12-07 16:00:00,1.004,1.008,0.996352
2025-12-07 20:00:00,0.99896,1.007,0.995038
2025-12-08 00:00:00,1.001,1.002,0.993385
2025-12-08 04:00:00,1.001,1.003,0.997981
2025-12-08 08:00:00,0.999552,1.002,0.997582
2025-12-08 12:00:00,0.99971,1.004,0.997586
2025-12-08 16:00:00,1.0,1.005,0.99501
2025-12-08 20:00:00,1.0,1.004,0.993924
2025-12-09 00:00:00,0.999675,1.004,0.996644
2025-12-09 04:00:00,1.001,1.003,0.997192
2025-12-09 08:00:00,1.0,1.003,0.99837
2025-12-09 12:00:00,1.001,1.002,0.99762
2025-12-09 16:00:00,1.005,1.009,0.998372
2025-12-09 20:00:00,0.999125,1.007,0.996875
2025-12-10 00:00:00,0.999959,1.003,0.995694
2025-12-10 04:00:00,0.998643,1.002,0.998301
2025-12-10 08:00:00,1.0,1.002,0.998192
2025-12-10 12:00:00,1.0,1.002,0.9982
2025-12-10 16:00:00,0.998452,1.002,0.998275
2025-12-10 20:00:00,1.001,1.006,0.993566
2025-12-11 00:00:00,1.0,1.004,0.99632
2025-12-11 04:00:00,0.999917,1.003,0.99678
2025-12-11 08:00:00,0.999719,1.003,0.998154
2025-12-11 12:00:00,0.999227,1.001,0.998301
2025-12-11 16:00:00,1.002,1.003,0.996454
2025-12-11 20:00:00,0.999727,1.004,0.997265
2025-12-12 00:00:00,0.99815,1.005,0.996261
2025-12-12 04:00:00,1.0,1.002,0.998017
2025-12-12 08:00:00,1.001,1.002,0.998065
2025-12-12 12:00:00,0.999644,1.002,0.997913
2025-12-12 16:00:00,0.998644,1.003,0.994125
2025-12-12 20:00:00,1.002,1.003,0.997562
2025-12-13 00:00:00,0.999657,1.002,0.998541
2025-12-13 04:00:00,0.999699,1.002,0.998027
2025-12-13 08:00:00,0.999908,1.002,0.998634
2025-12-13 12:00:00,0.999069,1.002,0.998407
2025-12-13 16:00:00,1.001,1.003,0.998038
2025-12-13 20:00:00,1.0,1.002,0.998077
2025-12-14 00:00:00,0.999561,1.002,0.998906
2025-12-14 04:00:00,1.001,1.003,0.999407
2025-12-14 08:00:00,0.999935,1.002,0.998291
2025-12-14 12:00:00,0.999224,1.002,0.994307
2025-12-14 16:00:00,0.9995,1.002,0.998107
2025-12-14 20:00:00,1.001,1.002,0.997792
2025-12-15 00:00:00,0.999653,1.002,0.997803
2025-12-15 04:00:00,1.0,1.003,0.995855
2025-12-15 08:00:00,0.999939,1.002,0.997675
2025-12-15 12:00:00,1.002,1.002,0.997722
2025-12-15 16:00:00,0.998452,1.005,0.99008
2025-12-15 20:00:00,1.003,1.004,0.99626
2025-12-16 00:00:00,0.99936,1.002,0.997748
2025-12-16 04:00:00,1.001,1.003,0.998291
2025-12-16 08:00:00,1.001,1.003,0.994178
2025-12-16 12:00:00,1.001,1.002,0.997438
2025-12-16 16:00:00,1.007,1.007,0.994131
2025-12-16 20:00:00,0.999427,1.003,0.99634
2025-12-17 00:00:00,0.999879,1.002,0.997681
2025-12-17 04:00:00,1.0,1.002,0.997514
2025-12-17 08:00:00,0.999043,1.002,0.998431
2025-12-17 12:00:00,0.99889,1.002,0.997381
2025-12-17 16:00:00,0.994026,1.016,0.987011
2025-12-17 20:00:00,1.0,1.002,0.994945
2025-12-18 00:00:00,0.999026,1.003,0.99671
2025-12-18 04:00:00,0.998646,1.001,0.99844
2025-12-18 08:00:00,0.998995,1.001,0.998346
2025-12-18 12:00:00,0.99939,1.001,0.99817
2025-12-18 16:00:00,0.999997,1.009,0.994555
2025-12-18 20:00:00,1.0,1.001,0.987324
2025-12-19 00:00:00,1.001,1.002,0.996773
2025-12-19 04:00:00,0.999947,1.004,0.995733
2025-12-19 08:00:00,0.997153,1.004,0.997153
2025-12-19 12:00:00,1.0,1.001,0.997215
2025-12-19 16:00:00,1.002,1.004,0.988313
2025-12-19 20:00:00,1.0,1.002,0.997393
