,close,high,low
2025-12-04 12:00:00,0.239892,0.240963,0.23346
2025-12-04 16:00:00,0.235374,0.241803,0.235192
2025-12-04 20:00:00,0.236427,0.2366,0.232594
2025-12-05 00:00:00,0.23634,0.240395,0.23634
2025-12-05 04:00:00,0.238933,0.239746,0.23317
2025-12-05 08:00:00,0.240389,0.243325,0.238834
2025-12-05 12:00:00,0.234332,0.240102,0.233432
2025-12-05 16:00:00,0.231778,0.235187,0.230925
2025-12-05 20:00:00,0.238543,0.238754,0.231832
2025-12-06 00:00:00,0.240805,0.241275,0.238069
2025-12-06 04:00:00,0.233416,0.241102,0.233196
2025-12-06 08:00:00,0.232267,0.237007,0.232032
2025-12-06 12:00:00,0.23173,0.236069,0.231184
2025-12-06 16:00:00,0.207747,0.232453,0.202156
2025-12-06 20:00:00,0.225213,0.228773,0.207543
2025-12-07 00:00:00,0.22307,0.225293,0.217646
2025-12-07 04:00:00,0.231948,0.232186,0.223438
2025-12-07 08:00:00,0.241329,0.241478,0.230989
2025-12-07 12:00:00,0.23622,0.240866,0.234451
2025-12-07 16:00:00,0.235628,0.243143,0.231807
2025-12-07 20:00:00,0.236202,0.241419,0.234709
2025-12-08 00:00:00,0.243503,0.24409,0.235134
2025-12-08 04:00:00,0.23609,0.243816,0.23537
2025-12-08 08:00:00,0.238552,0.240159,0.235054
2025-12-08 12:00:00,0.234579,0.240223,0.23423
2025-12-08 16:00:00,0.231181,0.234536,0.229704
2025-12-08 20:00:00,0.242776,0.242776,0.229588
2025-12-09 00:00:00,0.241979,0.244785,0.240899
2025-12-09 04:00:00,0.246297,0.246933,0.240371
2025-12-09 08:00:00,0.252355,0.259949,0.245448
2025-12-09 12:00:00,0.248022,0.255928,0.247965
2025-12-09 16:00:00,0.255065,0.255317,0.248008
2025-12-09 20:00:00,0.235722,0.255678,0.235722
2025-12-10 00:00:00,0.233177,0.235532,0.218013
2025-12-10 04:00:00,0.228598,0.238291,0.228008
2025-12-10 08:00:00,0.225493,0.232463,0.224217
2025-12-10 12:00:00,0.227907,0.237578,0.224201
2025-12-10 16:00:00,0.224744,0.231397,0.221905
2025-12-10 20:00:00,0.219738,0.229173,0.219064
2025-12-11 00:00:00,0.219804,0.219883,0.214324
2025-12-11 04:00:00,0.232114,0.232453,0.22001
2025-12-11 08:00:00,0.236439,0.238586,0.229845
2025-12-11 12:00:00,0.254465,0.254465,0.235899
2025-12-11 16:00:00,0.250592,0.261037,0.250367
2025-12-11 20:00:00,0.241158,0.249936,0.237307
2025-12-12 00:00:00,0.243213,0.247101,0.23924
2025-12-12 04:00:00,0.239685,0.249472,0.239685
2025-12-12 08:00:00,0.236301,0.240156,0.235456
2025-12-12 12:00:00,0.234571,0.238588,0.232017
2025-12-12 16:00:00,0.242414,0.242414,0.233378
2025-12-12 20:00:00,0.245856,0.24744,0.24303
2025-12-13 00:00:00,0.242086,0.247376,0.241074
2025-12-13 04:00:00,0.237268,0.242204,0.237268
2025-12-13 08:00:00,0.239931,0.242041,0.236922
2025-12-13 12:00:00,0.241491,0.247537,0.238753
2025-12-13 16:00:00,0.241786,0.241786,0.238912
2025-12-13 20:00:00,0.243726,0.244341,0.241774
2025-12-14 00:00:00,0.252241,0.253268,0.240105
2025-12-14 04:00:00,0.248651,0.254401,0.248244
2025-12-14 08:00:00,0.245358,0.249128,0.243049
2025-12-14 12:00:00,0.244932,0.24885,0.238723
2025-12-14 16:00:00,0.244778,0.245173,0.243253
2025-12-14 20:00:00,0.238798,0.245124,0.226842
2025-12-15 00:00:00,0.235606,0.240726,0.233601
2025-12-15 04:00:00,0.238198,0.23948,0.235359
2025-12-15 08:00:00,0.23666,0.238023,0.23411
2025-12-15 12:00:00,0.240621,0.240663,0.23707
2025-12-15 16:00:00,0.234256,0.240589,0.232438
2025-12-15 20:00:00,0.239762,0.240761,0.2346
2025-12-16 00:00:00,0.240545,0.240764,0.238337
2025-12-16 04:00:00,0.238364,0.241376,0.237798
2025-12-16 08:00:00,0.231841,0.236836,0.231585
2025-12-16 12:00:00,0.23021,0.232852,0.229976
2025-12-16 16:00:00,0.231016,0.231768,0.228804
2025-12-16 20:00:00,0.23149,0.23149,0.229386
2025-12-17 00:00:00,0.237296,0.237296,0.230657
2025-12-17 04:00:00,0.239025,0.240249,0.236716
2025-12-17 08:00:00,0.232785,0.239015,0.232694
2025-12-17 12:00:00,0.230802,0.233259,0.228966
2025-12-17 16:00:00,0.220547,0.231467,0.220547
2025-12-17 20:00:00,0.229452,0.230013,0.217563
2025-12-18 00:00:00,0.230691,0.231241,0.226133
2025-12-18 04:00:00,0.224904,0.230863,0.22486
2025-12-18 08:00:00,0.22251,0.224959,0.220706
2025-12-18 12:00:00,0.22771,0.22771,0.221625
2025-12-18 16:00:00,0.224063,0.231227,0.224063
2025-12-18 20:00:00,0.226653,0.23075,0.224015
2025-12-19 00:00:00,0.223399,0.226434,0.222462
2025-12-19 04:00:00,0.223728,0.223728,0.218512
2025-12-19 08:00:00,0.225333,0.225387,0.223865
2025-12-19 12:00:00,0.221663,0.226133,0.221196
2025-12-19 16:00:00,0.213847,0.22157,0.213696
2025-12-19 20:00:00,0.206483,0.21442,0.202676
2025-12-20 00:00:00,0.207358,0.20773,0.206487
2025-12-20 04:00:00,0.210439,0.210644,0.206681
2025-12-20 08:00:00,0.205325,0.209784,0.205325
2025-12-20 12:00:00,0.19566,0.205224,0.195247
2025-12-20 16:00:00,0.195594,0.198166,0.195112
2025-12-20 20:00:00,0.199893,0.199893,0.195592
2025-12-21 00:00:00,0.215411,0.217028,0.199721
2025-12-21 04:00:00,0.20802,0.215193,0.207668
2025-12-21 08:00:00,0.20636,0.208996,0.206095
2025-12-21 12:00:00,0.203955,0.207955,0.203331
2025-12-21 16:00:00,0.212457,0.212457,0.203512
2025-12-21 20:00:00,0.2108,0.21643,0.209879
2025-12-22 00:00:00,0.210647,0.213249,0.209101
2025-12-22 04:00:00,0.211183,0.212707,0.210747
2025-12-22 08:00:00,0.211275,0.213039,0.209215
2025-12-22 12:00:00,0.209496,0.211319,0.209393
2025-12-22 16:00:00,0.207696,0.210018,0.207696
2025-12-22 20:00:00,0.205657,0.210292,0.205657
2025-12-23 00:00:00,0.205366,0.206237,0.205131
2025-12-23 04:00:00,0.197885,0.206689,0.197826
2025-12-23 08:00:00,0.1984,0.198955,0.197975
2025-12-23 12:00:00,0.192502,0.201694,0.192502
2025-12-23 16:00:00,0.195327,0.196596,0.194816
2025-12-23 20:00:00,0.193931,0.195362,0.193185
2025-12-24 00:00:00,0.193123,0.194645,0.193123
2025-12-24 04:00:00,0.192176,0.192982,0.191161
2025-12-24 08:00:00,0.195208,0.196149,0.19206
2025-12-24 12:00:00,0.192132,0.196588,0.191938
2025-12-24 16:00:00,0.193829,0.193959,0.191716
2025-12-24 20:00:00,0.187015,0.194064,0.186728
2025-12-25 00:00:00,0.190229,0.190357,0.187074
2025-12-25 04:00:00,0.190565,0.190689,0.189835
2025-12-25 08:00:00,0.189065,0.190566,0.188884
2025-12-25 12:00:00,0.184932,0.188955,0.184756
2025-12-25 16:00:00,0.184736,0.18566,0.183968
2025-12-25 20:00:00,0.183443,0.184745,0.183091
2025-12-26 00:00:00,0.177615,0.183696,0.173977
2025-12-26 04:00:00,0.177133,0.178992,0.17625
2025-12-26 08:00:00,0.180255,0.181576,0.176617
2025-12-26 12:00:00,0.179508,0.180498,0.17776
2025-12-26 16:00:00,0.178812,0.179738,0.178082
2025-12-26 20:00:00,0.176111,0.179013,0.175153
2025-12-27 00:00:00,0.172145,0.176652,0.169477
2025-12-27 04:00:00,0.173848,0.174061,0.170929
2025-12-27 08:00:00,0.172612,0.173939,0.172486
2025-12-27 12:00:00,0.167446,0.172649,0.166454
2025-12-27 16:00:00,0.158107,0.16739,0.158107
2025-12-27 20:00:00,0.160029,0.161055,0.15553
2025-12-28 00:00:00,0.161116,0.161116,0.159396
2025-12-28 04:00:00,0.161461,0.162141,0.15984
2025-12-28 08:00:00,0.163122,0.166383,0.1616
2025-12-28 12:00:00,0.160125,0.163142,0.159805
2025-12-28 16:00:00,0.158778,0.160606,0.158621
2025-12-28 20:00:00,0.157011,0.15887,0.157003
2025-12-29 00:00:00,0.156934,0.157267,0.156299
