,close,high,low
2025-12-04 20:00:00,0.03989359,0.04048757,0.03935497
2025-12-05 00:00:00,0.03963054,0.03994558,0.03955009
2025-12-05 04:00:00,0.03936839,0.03973411,0.03936839
2025-12-05 08:00:00,0.03973416,0.03973416,0.03896949
2025-12-05 12:00:00,0.03865833,0.03974876,0.0385518
2025-12-05 16:00:00,0.03841081,0.03868926,0.03804859
2025-12-05 20:00:00,0.03715254,0.03826136,0.03673582
2025-12-06 00:00:00,0.03744072,0.03747798,0.03688516
2025-12-06 04:00:00,0.03758663,0.03771645,0.03723739
2025-12-06 08:00:00,0.03741268,0.03755868,0.03724086
2025-12-06 12:00:00,0.03801142,0.03801142,0.03740091
2025-12-06 16:00:00,0.03803813,0.03824985,0.03784925
2025-12-06 20:00:00,0.03838387,0.03890828,0.03806774
2025-12-07 00:00:00,0.03846074,0.03882144,0.03837693
2025-12-07 04:00:00,0.03850222,0.03873477,0.03842853
2025-12-07 08:00:00,0.03820164,0.0385687,0.03815951
2025-12-07 12:00:00,0.03771215,0.03826739,0.03765869
2025-12-07 16:00:00,0.03730552,0.03786627,0.03669229
2025-12-07 20:00:00,0.03850123,0.03866835,0.03739466
2025-12-08 00:00:00,0.0370576,0.03861692,0.03693432
2025-12-08 04:00:00,0.03794022,0.03797159,0.03700494
2025-12-08 08:00:00,0.03856934,0.03864091,0.0379373
2025-12-08 12:00:00,0.03854562,0.03882874,0.03845929
2025-12-08 16:00:00,0.03783737,0.03855846,0.03773747
2025-12-08 20:00:00,0.03759825,0.03819329,0.03751245
2025-12-09 00:00:00,0.03779789,0.03813129,0.03758126
2025-12-09 04:00:00,0.03766455,0.03792765,0.03724767
2025-12-09 08:00:00,0.03795466,0.03795466,0.03722297
2025-12-09 12:00:00,0.03825991,0.03825991,0.03767514
2025-12-09 16:00:00,0.03958512,0.03980123,0.03801555
2025-12-09 20:00:00,0.03975885,0.04025095,0.03967666
2025-12-10 00:00:00,0.03931365,0.03971369,0.03867329
2025-12-10 04:00:00,0.03877843,0.03924102,0.03854626
2025-12-10 08:00:00,0.03853938,0.0387616,0.03841839
2025-12-10 12:00:00,0.03838228,0.03885879,0.03830094
2025-12-10 16:00:00,0.03879104,0.03911934,0.03834865
2025-12-10 20:00:00,0.03963881,0.04137186,0.03877226
2025-12-11 00:00:00,0.0385044,0.04037115,0.0385044
2025-12-11 04:00:00,0.03678611,0.03852204,0.0367494
2025-12-11 08:00:00,0.03693974,0.03720035,0.03674592
2025-12-11 12:00:00,0.03724515,0.0374387,0.0367657
2025-12-11 16:00:00,0.03714916,0.03741391,0.03702808
2025-12-11 20:00:00,0.03722272,0.03732698,0.03691158
2025-12-12 00:00:00,0.03792576,0.03845704,0.03710794
2025-12-12 04:00:00,0.03754887,0.03784342,0.03732919
2025-12-12 08:00:00,0.03776243,0.03802487,0.03736457
2025-12-12 12:00:00,0.03789639,0.03808117,0.03754172
2025-12-12 16:00:00,0.03646,0.03810757,0.03646
2025-12-12 20:00:00,0.03681099,0.03694024,0.03601701
2025-12-13 00:00:00,0.03784999,0.03814364,0.03682162
2025-12-13 04:00:00,0.03747694,0.03793457,0.03736804
2025-12-13 08:00:00,0.03734774,0.03757786,0.0371817
2025-12-13 12:00:00,0.03716487,0.03742091,0.03713514
2025-12-13 16:00:00,0.03714906,0.03724156,0.03702173
2025-12-13 20:00:00,0.03732772,0.03739684,0.0371836
2025-12-14 00:00:00,0.03739784,0.03739784,0.03706013
2025-12-14 04:00:00,0.03746212,0.03765347,0.03737603
2025-12-14 08:00:00,0.03704583,0.03748131,0.03702415
2025-12-14 12:00:00,0.03668986,0.0370671,0.03659896
2025-12-14 16:00:00,0.03643019,0.0368203,0.0362517
2025-12-14 20:00:00,0.03624007,0.03665372,0.03616374
2025-12-15 00:00:00,0.03604999,0.03641053,0.03595334
2025-12-15 04:00:00,0.03657019,0.03700075,0.03587794
2025-12-15 08:00:00,0.03658774,0.03684259,0.0365348
2025-12-15 12:00:00,0.03690168,0.03690168,0.03655544
2025-12-15 16:00:00,0.03547451,0.03747075,0.0352312
