,close,high,low
2025-12-04 16:00:00,0.0472954,0.04740133,0.04671951
2025-12-04 20:00:00,0.04692359,0.04737154,0.04647556
2025-12-05 00:00:00,0.04655992,0.04695383,0.04639849
2025-12-05 04:00:00,0.04684921,0.04686426,0.04644989
2025-12-05 08:00:00,0.04803574,0.04803574,0.04658843
2025-12-05 12:00:00,0.060977,0.063778,0.04778138
2025-12-05 16:00:00,0.058152,0.06295,0.057928
2025-12-05 20:00:00,0.054231,0.058385,0.054165
2025-12-06 00:00:00,0.054463,0.057052,0.053626
2025-12-06 04:00:00,0.051294,0.055287,0.050038
2025-12-06 08:00:00,0.050973,0.051757,0.050294
2025-12-06 12:00:00,0.04995223,0.051132,0.04959492
2025-12-06 16:00:00,0.04989776,0.050437,0.04974294
2025-12-06 20:00:00,0.04971632,0.050482,0.04971632
2025-12-07 00:00:00,0.04900978,0.050082,0.04883996
2025-12-07 04:00:00,0.0472334,0.04851375,0.04710162
2025-12-07 08:00:00,0.0470056,0.04746405,0.04698244
2025-12-07 12:00:00,0.04746682,0.0479397,0.04700802
2025-12-07 16:00:00,0.04698335,0.04762991,0.04662719
2025-12-07 20:00:00,0.04833401,0.04838632,0.04687214
2025-12-08 00:00:00,0.04706523,0.04848272,0.04687785
2025-12-08 04:00:00,0.0477809,0.04834046,0.04708395
2025-12-08 08:00:00,0.04777853,0.04814999,0.04769652
2025-12-08 12:00:00,0.04787366,0.04787366,0.04745986
2025-12-08 16:00:00,0.04736132,0.0480073,0.04734892
2025-12-08 20:00:00,0.04712931,0.04763069,0.04686443
2025-12-09 00:00:00,0.04704251,0.04727196,0.04697764
2025-12-09 04:00:00,0.04693836,0.04757711,0.04685481
2025-12-09 08:00:00,0.04738588,0.04738588,0.04672058
2025-12-09 12:00:00,0.04723537,0.04749582,0.04710039
2025-12-09 16:00:00,0.0475237,0.0475237,0.04700859
2025-12-09 20:00:00,0.04779242,0.04833745,0.04770611
2025-12-10 00:00:00,0.04806775,0.04806775,0.04745398
2025-12-10 04:00:00,0.04797077,0.04807276,0.04777496
2025-12-10 08:00:00,0.04815905,0.04822172,0.04777029
2025-12-10 12:00:00,0.04783177,0.04846635,0.04783177
2025-12-10 16:00:00,0.04743084,0.04799792,0.04739418
2025-12-10 20:00:00,0.04824174,0.052333,0.0469749
2025-12-11 00:00:00,0.0480976,0.04851008,0.04769997
2025-12-11 04:00:00,0.04686651,0.05057,0.04670868
2025-12-11 08:00:00,0.04701631,0.04747356,0.04660831
2025-12-11 12:00:00,0.04652182,0.04723401,0.04651717
2025-12-11 16:00:00,0.04680361,0.04717168,0.04637944
