,close,high,low
2025-12-04 20:00:00,0.364768,0.369605,0.364272
2025-12-05 00:00:00,0.365395,0.367608,0.364782
2025-12-05 04:00:00,0.36831,0.36831,0.364661
2025-12-05 08:00:00,0.36851,0.36857,0.364414
2025-12-05 12:00:00,0.368132,0.371788,0.366365
2025-12-05 16:00:00,0.365799,0.368487,0.362554
2025-12-05 20:00:00,0.361576,0.36568,0.359991
2025-12-06 00:00:00,0.361978,0.365763,0.359525
2025-12-06 04:00:00,0.365682,0.374802,0.359149
2025-12-06 08:00:00,0.364119,0.368395,0.362987
2025-12-06 12:00:00,0.366645,0.368025,0.362753
2025-12-06 16:00:00,0.366612,0.367338,0.364698
2025-12-06 20:00:00,0.365506,0.366594,0.364291
2025-12-07 00:00:00,0.364658,0.366372,0.363449
2025-12-07 04:00:00,0.364207,0.366053,0.36271
2025-12-07 08:00:00,0.36383,0.366319,0.363439
2025-12-07 12:00:00,0.362163,0.364863,0.361265
2025-12-07 16:00:00,0.358203,0.363265,0.35526
2025-12-07 20:00:00,0.363907,0.363907,0.359055
2025-12-08 00:00:00,0.363261,0.367629,0.36057
2025-12-08 04:00:00,0.365916,0.36775,0.360173
2025-12-08 08:00:00,0.364357,0.36845,0.362425
2025-12-08 12:00:00,0.367851,0.368687,0.364398
2025-12-08 16:00:00,0.367726,0.368366,0.366954
2025-12-08 20:00:00,0.367266,0.368282,0.366724
2025-12-09 00:00:00,0.36409,0.367687,0.36176
2025-12-09 04:00:00,0.359585,0.364283,0.358266
2025-12-09 08:00:00,0.361135,0.361135,0.356484
2025-12-09 12:00:00,0.358233,0.361469,0.358233
2025-12-09 16:00:00,0.367206,0.367206,0.358294
2025-12-09 20:00:00,0.370503,0.372228,0.367065
2025-12-10 00:00:00,0.369512,0.372374,0.369332
2025-12-10 04:00:00,0.366147,0.370128,0.365839
2025-12-10 08:00:00,0.36892,0.36933,0.365609
2025-12-10 12:00:00,0.367661,0.368932,0.364295
2025-12-10 16:00:00,0.366002,0.367324,0.364274
2025-12-10 20:00:00,0.366529,0.367944,0.364879
2025-12-11 00:00:00,0.365168,0.368667,0.364653
