,close,high,low
2025-12-04 04:00:00,3566.12,3585.12,3535.22
2025-12-04 08:00:00,3548.61,3573.35,3531.79
2025-12-04 12:00:00,3539.11,3560.35,3531.6
2025-12-04 16:00:00,3563.51,3563.51,3496.64
2025-12-04 20:00:00,3468.93,3572.91,3423.64
2025-12-05 00:00:00,3484.17,3499.43,3462.23
2025-12-05 04:00:00,3523.69,3541.96,3482.77
2025-12-05 08:00:00,3526.29,3534.42,3502.92
2025-12-05 12:00:00,3481.41,3527.41,3459.94
2025-12-05 16:00:00,3469.67,3492.81,3435.8
2025-12-05 20:00:00,3369.03,3453.66,3329.79
2025-12-06 00:00:00,3358.14,3384.0,3347.27
2025-12-06 04:00:00,3377.51,3382.94,3348.81
2025-12-06 08:00:00,3367.07,3382.45,3365.46
2025-12-06 12:00:00,3378.65,3378.82,3353.15
2025-12-06 16:00:00,3384.43,3398.54,3368.46
2025-12-06 20:00:00,3366.75,3401.13,3365.7
2025-12-07 00:00:00,3377.56,3391.11,3368.08
2025-12-07 04:00:00,3393.9,3395.63,3373.89
2025-12-07 08:00:00,3374.22,3395.8,3371.14
2025-12-07 12:00:00,3374.75,3380.02,3363.65
2025-12-07 16:00:00,3325.78,3390.13,3272.14
2025-12-07 20:00:00,3485.28,3493.54,3331.96
2025-12-08 00:00:00,3392.25,3492.35,3366.6
2025-12-08 04:00:00,3455.44,3466.89,3385.64
2025-12-08 08:00:00,3481.4,3486.75,3456.85
2025-12-08 12:00:00,3487.76,3521.79,3478.82
2025-12-08 16:00:00,3448.67,3523.13,3439.25
2025-12-08 20:00:00,3476.68,3486.52,3440.42
2025-12-09 00:00:00,3473.26,3498.76,3469.79
2025-12-09 04:00:00,3468.77,3490.78,3440.04
2025-12-09 08:00:00,3472.67,3474.0,3444.15
2025-12-09 12:00:00,3460.06,3475.45,3444.14
2025-12-09 16:00:00,3588.41,3588.41,3452.56
2025-12-09 20:00:00,3739.96,3770.03,3607.51
2025-12-10 00:00:00,3696.27,3738.32,3665.94
2025-12-10 04:00:00,3683.03,3695.11,3659.69
2025-12-10 08:00:00,3697.44,3702.79,3678.36
2025-12-10 12:00:00,3686.16,3738.37,3678.67
2025-12-10 16:00:00,3696.41,3710.84,3683.83
2025-12-10 20:00:00,3766.36,3793.33,3700.36
2025-12-11 00:00:00,3703.12,3822.27,3701.85
2025-12-11 04:00:00,3547.93,3701.48,3533.96
2025-12-11 08:00:00,3564.19,3575.59,3544.45
2025-12-11 12:00:00,3556.14,3572.13,3544.07
2025-12-11 16:00:00,3535.97,3566.34,3511.38
2025-12-11 20:00:00,3582.43,3591.86,3519.28
2025-12-12 00:00:00,3608.09,3638.32,3566.84
2025-12-12 04:00:00,3618.63,3634.05,3564.51
2025-12-12 08:00:00,3618.92,3633.66,3602.86
2025-12-12 12:00:00,3606.87,3623.33,3601.23
2025-12-12 16:00:00,3437.57,3619.19,3437.57
2025-12-12 20:00:00,3420.13,3446.1,3402.57
2025-12-13 00:00:00,3438.73,3448.11,3417.9
2025-12-13 04:00:00,3441.22,3443.52,3430.5
2025-12-13 08:00:00,3444.77,3444.77,3434.25
2025-12-13 12:00:00,3475.19,3486.6,3444.92
2025-12-13 16:00:00,3462.9,3479.67,3452.73
2025-12-13 20:00:00,3460.96,3468.38,3450.11
2025-12-14 00:00:00,3467.73,3472.68,3443.82
2025-12-14 04:00:00,3473.37,3481.17,3459.99
2025-12-14 08:00:00,3470.73,3476.35,3459.17
2025-12-14 12:00:00,3425.57,3472.33,3411.38
2025-12-14 16:00:00,3433.79,3457.24,3422.15
