,close,high,low
2025-12-29 04:00:00,0.04444906,0.04567542,0.04116451
2025-12-29 08:00:00,0.04184084,0.0474166,0.04184084
2025-12-29 12:00:00,0.03639246,0.0419554,0.03561343
2025-12-29 16:00:00,0.03763039,0.03930495,0.03647397
2025-12-29 20:00:00,0.03935557,0.04016167,0.03737353
2025-12-30 00:00:00,0.03864971,0.04029799,0.03864971
2025-12-30 04:00:00,0.0395083,0.03965157,0.03693948
2025-12-30 08:00:00,0.03976626,0.04037813,0.03879934
2025-12-30 12:00:00,0.04450206,0.04450206,0.04006188
2025-12-30 16:00:00,0.04261278,0.04479306,0.0403454
2025-12-30 20:00:00,0.04162879,0.04520338,0.04162879
2025-12-31 00:00:00,0.04241813,0.04424126,0.04143366
2025-12-31 04:00:00,0.04486747,0.04735115,0.04241864
2025-12-31 08:00:00,0.04702452,0.04781727,0.04397974
2025-12-31 12:00:00,0.055829,0.055829,0.04590548
2025-12-31 16:00:00,0.080053,0.083652,0.054136
2025-12-31 20:00:00,0.081774,0.085794,0.079647
2026-01-01 00:00:00,0.083588,0.091527,0.078138
2026-01-01 04:00:00,0.081679,0.086709,0.075033
2026-01-01 08:00:00,0.077517,0.088834,0.073244
2026-01-01 12:00:00,0.077126,0.087285,0.077041
2026-01-01 16:00:00,0.075836,0.078575,0.073459
2026-01-01 20:00:00,0.077745,0.079099,0.075578
2026-01-02 00:00:00,0.078901,0.083409,0.076051
2026-01-02 04:00:00,0.077615,0.081682,0.076552
2026-01-02 08:00:00,0.077264,0.078877,0.07301
2026-01-02 12:00:00,0.080003,0.081962,0.0774
2026-01-02 16:00:00,0.076904,0.083149,0.074104
2026-01-02 20:00:00,0.082685,0.086521,0.076414
2026-01-03 00:00:00,0.078839,0.086543,0.077243
2026-01-03 04:00:00,0.077454,0.080553,0.070126
2026-01-03 08:00:00,0.070698,0.071398,0.067345
2026-01-03 12:00:00,0.074873,0.074998,0.070614
2026-01-03 16:00:00,0.074361,0.07542,0.073568
2026-01-03 20:00:00,0.076179,0.078025,0.07447
2026-01-04 00:00:00,0.078582,0.078582,0.074768
2026-01-04 04:00:00,0.081683,0.083025,0.075983
2026-01-04 08:00:00,0.089634,0.089634,0.08137
2026-01-04 12:00:00,0.083764,0.087898,0.079418
2026-01-04 16:00:00,0.075904,0.086356,0.072726
2026-01-04 20:00:00,0.073372,0.076752,0.072146
2026-01-05 00:00:00,0.071192,0.074524,0.07022
2026-01-05 04:00:00,0.074469,0.074576,0.07073
2026-01-05 08:00:00,0.078615,0.078615,0.072466
2026-01-05 12:00:00,0.078965,0.082514,0.076553
