,close,high,low
2025-12-04 12:00:00,0.997811,1.001,0.995188
2025-12-04 16:00:00,1.001,1.004,0.992043
2025-12-04 20:00:00,1.004,1.004,0.99437
2025-12-05 00:00:00,0.996706,1.005,0.996329
2025-12-05 04:00:00,1.0,1.002,0.996895
2025-12-05 08:00:00,1.002,1.004,0.995906
2025-12-05 12:00:00,1.001,1.003,0.993632
2025-12-05 16:00:00,0.994418,1.001,0.994418
2025-12-05 20:00:00,1.002,1.003,0.994196
2025-12-06 00:00:00,0.999585,1.003,0.997567
2025-12-06 04:00:00,1.001,1.007,0.998555
2025-12-06 08:00:00,1.003,1.006,0.996278
2025-12-06 12:00:00,0.998911,1.002,0.996529
2025-12-06 16:00:00,1.0,1.005,0.995458
2025-12-06 20:00:00,0.997055,1.003,0.994255
2025-12-07 00:00:00,1.0,1.003,0.997606
2025-12-07 04:00:00,0.999306,0.999703,0.994899
2025-12-07 08:00:00,0.999511,1.001,0.998557
2025-12-07 12:00:00,1.0,1.0,0.998707
2025-12-07 16:00:00,1.002,1.002,0.998421
2025-12-07 20:00:00,1.001,1.007,0.997754
2025-12-08 00:00:00,0.999517,1.003,0.997047
2025-12-08 04:00:00,1.0,1.006,0.996477
2025-12-08 08:00:00,1.0,1.004,0.998351
2025-12-08 12:00:00,0.998831,1.002,0.996597
2025-12-08 16:00:00,1.001,1.002,0.994996
2025-12-08 20:00:00,0.998723,1.001,0.993896
2025-12-09 00:00:00,0.999757,1.007,0.997179
2025-12-09 04:00:00,1.001,1.003,0.994486
2025-12-09 08:00:00,1.001,1.005,0.996131
2025-12-09 12:00:00,1.001,1.004,0.996702
2025-12-09 16:00:00,1.004,1.005,0.996004
2025-12-09 20:00:00,0.997685,1.005,0.994613
2025-12-10 00:00:00,0.996318,1.005,0.995111
2025-12-10 04:00:00,0.998832,1.004,0.996097
2025-12-10 08:00:00,1.002,1.003,0.998207
2025-12-10 12:00:00,0.993972,1.002,0.992915
2025-12-10 16:00:00,0.995616,1.001,0.993366
2025-12-10 20:00:00,1.001,1.004,0.997379
2025-12-11 00:00:00,1.002,1.006,0.996151
2025-12-11 04:00:00,0.997425,1.002,0.992308
2025-12-11 08:00:00,1.002,1.002,0.99688
2025-12-11 12:00:00,1.0,1.003,0.996523
2025-12-11 16:00:00,1.001,1.003,0.996078
2025-12-11 20:00:00,0.994335,1.004,0.994335
2025-12-12 00:00:00,0.998119,1.004,0.992446
2025-12-12 04:00:00,1.0,1.004,0.995709
2025-12-12 08:00:00,0.997515,1.004,0.997515
2025-12-12 12:00:00,0.999375,1.002,0.997119
2025-12-12 16:00:00,0.996456,1.004,0.994608
2025-12-12 20:00:00,1.001,1.006,0.991939
2025-12-13 00:00:00,1.002,1.003,0.997056
2025-12-13 04:00:00,0.999977,1.005,0.999132
2025-12-13 08:00:00,0.99996,1.003,0.998393
2025-12-13 12:00:00,1.002,1.003,0.995073
2025-12-13 16:00:00,1.001,1.003,0.992402
2025-12-13 20:00:00,1.0,1.002,0.997276
2025-12-14 00:00:00,0.999639,1.004,0.99586
2025-12-14 04:00:00,0.999707,1.002,0.99827
2025-12-14 08:00:00,1.002,1.002,0.996455
2025-12-14 12:00:00,0.998475,1.001,0.991533
2025-12-14 16:00:00,0.997652,1.001,0.994161
2025-12-14 20:00:00,0.999754,1.003,0.996818
2025-12-15 00:00:00,0.99915,1.002,0.994278
2025-12-15 04:00:00,1.001,1.005,0.996573
2025-12-15 08:00:00,0.999996,1.003,0.995613
2025-12-15 12:00:00,0.998904,1.004,0.996252
2025-12-15 16:00:00,0.997269,1.002,0.990672
2025-12-15 20:00:00,0.996803,1.016,0.990471
2025-12-16 00:00:00,0.998637,1.002,0.995401
2025-12-16 04:00:00,0.999282,1.005,0.996705
2025-12-16 08:00:00,0.998623,1.004,0.99659
2025-12-16 12:00:00,0.999496,1.005,0.997385
2025-12-16 16:00:00,1.0,1.005,0.995517
2025-12-16 20:00:00,0.999614,1.003,0.995991
2025-12-17 00:00:00,0.999497,1.003,0.995504
2025-12-17 04:00:00,0.998,1.002,0.996289
2025-12-17 08:00:00,0.99688,1.002,0.995023
2025-12-17 12:00:00,0.999854,1.002,0.995997
2025-12-17 16:00:00,0.998994,1.002,0.996455
2025-12-17 20:00:00,1.002,1.003,0.995092
2025-12-18 00:00:00,0.998937,1.002,0.994583
2025-12-18 04:00:00,0.996261,1.002,0.996033
2025-12-18 08:00:00,1.001,1.002,0.995145
2025-12-18 12:00:00,1.002,1.002,0.997975
2025-12-18 16:00:00,0.998418,1.005,0.996944
2025-12-18 20:00:00,0.999985,1.002,0.994054
2025-12-19 00:00:00,0.999336,1.003,0.995172
2025-12-19 04:00:00,0.99669,1.003,0.996225
2025-12-19 08:00:00,0.999002,1.005,0.993515
2025-12-19 12:00:00,1.002,1.005,0.997055
2025-12-19 16:00:00,0.997548,1.006,0.996339
2025-12-19 20:00:00,1.001,1.004,0.995106
2025-12-20 00:00:00,1.0,1.005,0.999445
2025-12-20 04:00:00,1.001,1.005,0.995207
2025-12-20 08:00:00,1.003,1.008,0.99602
2025-12-20 12:00:00,1.0,1.006,0.995883
2025-12-20 16:00:00,1.001,1.003,0.99705
2025-12-20 20:00:00,0.997459,1.002,0.996381
2025-12-21 00:00:00,0.999866,1.002,0.996901
2025-12-21 04:00:00,0.9951,1.001,0.994933
2025-12-21 08:00:00,1.0,1.001,0.996618
2025-12-21 12:00:00,1.0,1.003,0.996294
2025-12-21 16:00:00,1.0,1.002,0.997577
2025-12-21 20:00:00,1.002,1.002,0.995096
2025-12-22 00:00:00,1.001,1.005,0.997073
2025-12-22 04:00:00,0.999872,1.003,0.995807
2025-12-22 08:00:00,1.001,1.002,0.999623
2025-12-22 12:00:00,1.002,1.004,0.999196
2025-12-22 16:00:00,1.001,1.005,0.996624
2025-12-22 20:00:00,0.998228,1.002,0.997414
2025-12-23 00:00:00,0.999568,1.002,0.996177
2025-12-23 04:00:00,1.002,1.003,0.996274
2025-12-23 08:00:00,0.998011,1.001,0.996731
2025-12-23 12:00:00,0.99899,1.001,0.997838
2025-12-23 16:00:00,0.999126,1.001,0.997128
2025-12-23 20:00:00,0.997888,1.001,0.997212
2025-12-24 00:00:00,1.0,1.001,0.99624
2025-12-24 04:00:00,1.001,1.002,0.994739
2025-12-24 08:00:00,0.998502,1.001,0.991867
2025-12-24 12:00:00,0.999593,1.004,0.995362
2025-12-24 16:00:00,0.999541,1.002,0.996577
2025-12-24 20:00:00,0.99943,1.001,0.99672
2025-12-25 00:00:00,1.001,1.005,0.998153
2025-12-25 04:00:00,1.003,1.005,0.997988
2025-12-25 08:00:00,0.999773,1.003,0.999773
2025-12-25 12:00:00,0.997868,1.002,0.996818
2025-12-25 16:00:00,0.999638,1.005,0.99556
2025-12-25 20:00:00,1.001,1.002,0.997741
2025-12-26 00:00:00,0.998565,1.002,0.995534
2025-12-26 04:00:00,0.996134,1.003,0.995803
2025-12-26 08:00:00,0.998539,1.002,0.996645
2025-12-26 12:00:00,1.003,1.003,0.996241
2025-12-26 16:00:00,0.998064,1.002,0.996545
2025-12-26 20:00:00,0.999724,1.001,0.995396
2025-12-27 00:00:00,0.999382,1.001,0.996685
2025-12-27 04:00:00,1.001,1.004,0.998179
2025-12-27 08:00:00,0.998868,1.006,0.99867
2025-12-27 12:00:00,0.99738,1.003,0.997131
2025-12-27 16:00:00,0.999796,1.003,0.99651
2025-12-27 20:00:00,1.0,1.005,0.998497
2025-12-28 00:00:00,0.99869,1.003,0.994384
2025-12-28 04:00:00,0.99949,1.006,0.996114
2025-12-28 08:00:00,0.999564,1.004,0.997408
2025-12-28 12:00:00,1.001,1.002,0.996585
2025-12-28 16:00:00,1.0,1.004,0.998589
2025-12-28 20:00:00,0.997965,1.001,0.996963
2025-12-29 00:00:00,1.001,1.003,0.997623
2025-12-29 04:00:00,1.001,1.001,0.997952
2025-12-29 08:00:00,0.999201,1.001,0.995971
2025-12-29 12:00:00,0.99998,1.004,0.99671
2025-12-29 16:00:00,0.998042,1.001,0.996201
2025-12-29 20:00:00,1.001,1.004,0.995127
2025-12-30 00:00:00,0.998016,1.001,0.995702
2025-12-30 04:00:00,1.006,1.006,0.996812
2025-12-30 08:00:00,0.998928,1.007,0.995739
2025-12-30 12:00:00,0.999115,1.004,0.996124
2025-12-30 16:00:00,0.997096,1.002,0.994789
2025-12-30 20:00:00,0.994792,1.001,0.994792
2025-12-31 00:00:00,0.999919,1.002,0.996009
2025-12-31 04:00:00,0.997718,1.004,0.997699
2025-12-31 08:00:00,1.0,1.002,0.997638
2025-12-31 12:00:00,0.999071,1.003,0.996213
2025-12-31 16:00:00,0.996896,1.0,0.99252
2025-12-31 20:00:00,1.0,1.002,0.992294
2026-01-01 00:00:00,1.002,1.004,0.998375
2026-01-01 04:00:00,0.999289,1.002,0.997894
2026-01-01 08:00:00,0.999573,1.001,0.99767
2026-01-01 12:00:00,1.001,1.001,0.998979
2026-01-01 16:00:00,0.999345,1.005,0.998325
2026-01-01 20:00:00,0.998919,1.001,0.998814
2026-01-02 00:00:00,1.0,1.006,0.999159
2026-01-02 04:00:00,1.003,1.003,0.997378
2026-01-02 08:00:00,0.999477,1.004,0.995236
