,close,high,low
2025-12-04 12:00:00,0.0011717,0.00121251,0.00116694
2025-12-04 16:00:00,0.00116887,0.00117398,0.00113158
2025-12-04 20:00:00,0.00115868,0.00117591,0.0011384
2025-12-05 00:00:00,0.00114102,0.00115792,0.00113349
2025-12-05 04:00:00,0.00112737,0.00115038,0.00111241
2025-12-05 08:00:00,0.00114472,0.00114609,0.0011255
2025-12-05 12:00:00,0.00112482,0.0011484,0.00111214
2025-12-05 16:00:00,0.00112229,0.00112567,0.00107992
2025-12-05 20:00:00,0.00107901,0.00111415,0.00106463
2025-12-06 00:00:00,0.00110354,0.00110814,0.00107975
2025-12-06 04:00:00,0.00110431,0.00110466,0.00108494
2025-12-06 08:00:00,0.00110285,0.00110772,0.00110007
2025-12-06 12:00:00,0.00113811,0.00113811,0.00109708
2025-12-06 16:00:00,0.00113605,0.0011523,0.00112929
2025-12-06 20:00:00,0.00113361,0.00114516,0.00113012
2025-12-07 00:00:00,0.00113387,0.00113658,0.00112612
2025-12-07 04:00:00,0.00112813,0.00114097,0.00112468
2025-12-07 08:00:00,0.00110181,0.00112922,0.00110152
2025-12-07 12:00:00,0.00110066,0.00110545,0.00108462
2025-12-07 16:00:00,0.00108134,0.00110258,0.00105668
2025-12-07 20:00:00,0.00120357,0.00120357,0.00108241
2025-12-08 00:00:00,0.00113218,0.00120843,0.00112678
2025-12-08 04:00:00,0.00116675,0.00119022,0.00112673
2025-12-08 08:00:00,0.0011665,0.00118248,0.0011627
2025-12-08 12:00:00,0.00116399,0.00119571,0.00112033
2025-12-08 16:00:00,0.00114945,0.00120573,0.00113047
2025-12-08 20:00:00,0.00112657,0.00114884,0.00112247
2025-12-09 00:00:00,0.00114808,0.00114936,0.0011213
2025-12-09 04:00:00,0.00113329,0.00115268,0.00112226
2025-12-09 08:00:00,0.00113797,0.0011416,0.00112458
2025-12-09 12:00:00,0.00112504,0.0011382,0.00112211
2025-12-09 16:00:00,0.00116338,0.00116338,0.00111636
2025-12-09 20:00:00,0.00120655,0.00123046,0.00117406
2025-12-10 00:00:00,0.00116448,0.00120639,0.00116448
2025-12-10 04:00:00,0.00117562,0.00119675,0.00116438
2025-12-10 08:00:00,0.00115964,0.0011922,0.00115794
2025-12-10 12:00:00,0.00114442,0.0011732,0.00114442
2025-12-10 16:00:00,0.00114054,0.00114646,0.00113697
2025-12-10 20:00:00,0.00114681,0.00114984,0.00113175
2025-12-11 00:00:00,0.0010934,0.00115717,0.00109043
2025-12-11 04:00:00,0.00104906,0.00110543,0.00103884
2025-12-11 08:00:00,0.00105557,0.00106575,0.00104866
2025-12-11 12:00:00,0.001085,0.00108853,0.00105286
2025-12-11 16:00:00,0.00104823,0.00108426,0.00104586
2025-12-11 20:00:00,0.00106464,0.00107328,0.00103454
2025-12-12 00:00:00,0.00110604,0.00110827,0.00105313
2025-12-12 04:00:00,0.00109934,0.0011235,0.00109784
2025-12-12 08:00:00,0.0011142,0.0011142,0.00109712
2025-12-12 12:00:00,0.00110256,0.00111418,0.00110042
2025-12-12 16:00:00,0.00106281,0.00111104,0.00106281
2025-12-12 20:00:00,0.00107617,0.00108388,0.00104953
2025-12-13 00:00:00,0.00106826,0.00109076,0.00106499
2025-12-13 04:00:00,0.00106169,0.00106986,0.00105954
2025-12-13 08:00:00,0.00103983,0.0010715,0.00100585
2025-12-13 12:00:00,0.00102288,0.00103721,0.00101384
2025-12-13 16:00:00,0.00117207,0.00117207,0.00102107
2025-12-13 20:00:00,0.00117357,0.0012177,0.00113995
2025-12-14 00:00:00,0.00120451,0.00120451,0.00115505
2025-12-14 04:00:00,0.00120235,0.00122876,0.00119611
2025-12-14 08:00:00,0.00117907,0.00122195,0.00117555
2025-12-14 12:00:00,0.00115681,0.00118574,0.00115112
2025-12-14 16:00:00,0.00116266,0.00118402,0.00115065
2025-12-14 20:00:00,0.00115801,0.0012064,0.00115645
2025-12-15 00:00:00,0.00117013,0.00117013,0.00115448
2025-12-15 04:00:00,0.00117893,0.0012175,0.00117091
