,close,high,low
2025-12-04 16:00:00,0.00021614,0.00021706,0.000211
2025-12-04 20:00:00,0.00020163,0.00023594,0.00019997
2025-12-05 00:00:00,0.00021057,0.00021184,0.00019899
2025-12-05 04:00:00,0.00020733,0.0002102,0.00020385
2025-12-05 08:00:00,0.00021159,0.00021513,0.00020719
2025-12-05 12:00:00,0.00021752,0.00022274,0.00020886
2025-12-05 16:00:00,0.00021487,0.0002163,0.00021271
2025-12-05 20:00:00,0.00020576,0.00021445,0.00020561
2025-12-06 00:00:00,0.00020462,0.00020843,0.00020394
2025-12-06 04:00:00,0.00020824,0.00020989,0.00020475
2025-12-06 08:00:00,0.0002085,0.00021,0.00020786
2025-12-06 12:00:00,0.00021006,0.00021102,0.00020869
2025-12-06 16:00:00,0.00020959,0.00021093,0.00020872
2025-12-06 20:00:00,0.00020874,0.0002115,0.00020864
2025-12-07 00:00:00,0.00021267,0.00021523,0.00020812
2025-12-07 04:00:00,0.00020895,0.00021036,0.00020828
2025-12-07 08:00:00,0.00020966,0.00021022,0.00020787
2025-12-07 12:00:00,0.00020358,0.00021044,0.0002007
2025-12-07 16:00:00,0.00020186,0.00020488,0.0002001
2025-12-07 20:00:00,0.0002067,0.00020804,0.00020203
2025-12-08 00:00:00,0.00020519,0.00021181,0.00020516
2025-12-08 04:00:00,0.00020798,0.00020798,0.0002024
2025-12-08 08:00:00,0.00020969,0.0002098,0.0002081
2025-12-08 12:00:00,0.00020933,0.00021144,0.00020933
2025-12-08 16:00:00,0.00020233,0.00020952,0.00020233
2025-12-08 20:00:00,0.00020115,0.0002038,0.00020106
2025-12-09 00:00:00,0.00019772,0.00020187,0.00019749
2025-12-09 04:00:00,0.0001948,0.00019809,0.00019418
2025-12-09 08:00:00,0.00019332,0.00019508,0.00019322
2025-12-09 12:00:00,0.00019118,0.00019385,0.00019118
2025-12-09 16:00:00,0.0001935,0.0001935,0.00018994
2025-12-09 20:00:00,0.00019894,0.00019894,0.00019362
2025-12-10 00:00:00,0.00019278,0.00019926,0.00019278
2025-12-10 04:00:00,0.00019144,0.00019322,0.00019031
2025-12-10 08:00:00,0.0001904,0.0001919,0.00019018
2025-12-10 12:00:00,0.00018707,0.00019063,0.00018707
2025-12-10 16:00:00,0.00019054,0.00019231,0.00018624
2025-12-10 20:00:00,0.00018625,0.00019524,0.00018625
2025-12-11 00:00:00,0.0001858,0.00018854,0.00018499
2025-12-11 04:00:00,0.00018044,0.00018579,0.00018016
2025-12-11 08:00:00,0.00018121,0.00018219,0.00018026
2025-12-11 12:00:00,0.00018116,0.00018161,0.00018057
2025-12-11 16:00:00,0.00017974,0.0001815,0.00017728
2025-12-11 20:00:00,0.00018122,0.00018139,0.000179
2025-12-12 00:00:00,0.0001798,0.00018097,0.00017875
2025-12-12 04:00:00,0.00018168,0.00018168,0.00017926
2025-12-12 08:00:00,0.00018189,0.00018212,0.00018157
2025-12-12 12:00:00,0.00018192,0.00018229,0.00018117
2025-12-12 16:00:00,0.00017877,0.0001832,0.00017877
2025-12-12 20:00:00,0.00017892,0.00017949,0.00017859
2025-12-13 00:00:00,0.00018137,0.00018137,0.00017457
2025-12-13 04:00:00,0.00018596,0.00018616,0.00018171
2025-12-13 08:00:00,0.00018427,0.00018606,0.00018414
2025-12-13 12:00:00,0.00018487,0.00018543,0.00018425
2025-12-13 16:00:00,0.00018374,0.00018524,0.00018348
2025-12-13 20:00:00,0.00019097,0.00019097,0.00018358
2025-12-14 00:00:00,0.00019245,0.00019278,0.0001891
2025-12-14 04:00:00,0.00019911,0.00021075,0.00019245
2025-12-14 08:00:00,0.00020464,0.00021221,0.00019723
2025-12-14 12:00:00,0.00020035,0.00020291,0.00019901
2025-12-14 16:00:00,0.0001939,0.00020414,0.0001939
2025-12-14 20:00:00,0.00019004,0.00019415,0.0001899
2025-12-15 00:00:00,0.00018885,0.00019009,0.0001887
2025-12-15 04:00:00,0.00018738,0.00019174,0.00018235
2025-12-15 08:00:00,0.00018287,0.00018791,0.00018278
2025-12-15 12:00:00,0.00018695,0.00018786,0.00018302
2025-12-15 16:00:00,0.00018213,0.00018744,0.00017497
2025-12-15 20:00:00,0.00017884,0.00018396,0.00017884
2025-12-16 00:00:00,0.00017912,0.00017913,0.00017485
2025-12-16 04:00:00,0.00016985,0.00017966,0.00016919
2025-12-16 08:00:00,0.00017443,0.00017469,0.00016814
2025-12-16 12:00:00,0.0001748,0.00017492,0.00017392
2025-12-16 16:00:00,0.00017541,0.00017551,0.00017079
2025-12-16 20:00:00,0.00017452,0.0001761,0.00017312
2025-12-17 00:00:00,0.0001783,0.0001783,0.00017363
2025-12-17 04:00:00,0.00017954,0.00018076,0.00017746
2025-12-17 08:00:00,0.00017734,0.00017984,0.00017697
2025-12-17 12:00:00,0.00017625,0.00017777,0.00017439
2025-12-17 16:00:00,0.00017694,0.00017932,0.00017599
2025-12-17 20:00:00,0.00016533,0.00017566,0.00016513
2025-12-18 00:00:00,0.00017281,0.00017408,0.00016451
2025-12-18 04:00:00,0.00017969,0.00017976,0.00017299
2025-12-18 08:00:00,0.0001765,0.00017987,0.00017518
2025-12-18 12:00:00,0.00018231,0.00018231,0.00017676
2025-12-18 16:00:00,0.00019102,0.00019294,0.00018119
2025-12-18 20:00:00,0.00017809,0.00019121,0.00017809
2025-12-19 00:00:00,0.00018004,0.00018021,0.00017575
2025-12-19 04:00:00,0.00017894,0.00018492,0.00017844
2025-12-19 08:00:00,0.00017726,0.00017988,0.00017594
2025-12-19 12:00:00,0.00017906,0.00017906,0.00017574
2025-12-19 16:00:00,0.00017815,0.00017899,0.00017698
2025-12-19 20:00:00,0.00018263,0.00018293,0.00017813
2025-12-20 00:00:00,0.00018855,0.00019092,0.00018234
2025-12-20 04:00:00,0.00019192,0.00019195,0.0001861
2025-12-20 08:00:00,0.0001878,0.00019303,0.0001878
2025-12-20 12:00:00,0.00018852,0.00018973,0.00018754
2025-12-20 16:00:00,0.00018872,0.00018886,0.00018737
2025-12-20 20:00:00,0.00018898,0.00019007,0.00018825
2025-12-21 00:00:00,0.00018718,0.00018916,0.00018718
2025-12-21 04:00:00,0.00018623,0.00018776,0.00018554
2025-12-21 08:00:00,0.00018549,0.00018642,0.00018527
2025-12-21 12:00:00,0.00018799,0.00018926,0.00018422
2025-12-21 16:00:00,0.00018737,0.00019353,0.0001871
2025-12-21 20:00:00,0.00018265,0.0001875,0.00018211
2025-12-22 00:00:00,0.00018162,0.00018272,0.00018031
2025-12-22 04:00:00,0.00018068,0.00018332,0.00017982
2025-12-22 08:00:00,0.00018149,0.00018242,0.00018079
2025-12-22 12:00:00,0.00018093,0.0001815,0.00018039
2025-12-22 16:00:00,0.00018161,0.00018272,0.00018058
2025-12-22 20:00:00,0.00021321,0.0002161,0.00018201
2025-12-23 00:00:00,0.00020782,0.00021303,0.00020541
2025-12-23 04:00:00,0.00025108,0.00027067,0.00020729
2025-12-23 08:00:00,0.00024093,0.00026584,0.00023943
2025-12-23 12:00:00,0.00023826,0.00024735,0.00023207
2025-12-23 16:00:00,0.00022022,0.00028049,0.00021595
2025-12-23 20:00:00,0.0002136,0.00023139,0.00020902
2025-12-24 00:00:00,0.00022846,0.00023632,0.00021003
2025-12-24 04:00:00,0.00020769,0.00023417,0.00020675
2025-12-24 08:00:00,0.00020341,0.00020874,0.00020251
2025-12-24 12:00:00,0.00020637,0.00020907,0.00020268
2025-12-24 16:00:00,0.00020643,0.00020781,0.00020459
2025-12-24 20:00:00,0.00020929,0.00021003,0.00020391
2025-12-25 00:00:00,0.00021198,0.00021395,0.00020855
2025-12-25 04:00:00,0.00020966,0.00021204,0.00020827
2025-12-25 08:00:00,0.00020885,0.00020986,0.00020849
2025-12-25 12:00:00,0.00020864,0.00021001,0.00020788
2025-12-25 16:00:00,0.00021664,0.00021664,0.00020776
2025-12-25 20:00:00,0.00022454,0.0002317,0.00021714
2025-12-26 00:00:00,0.00021524,0.00022426,0.00021524
2025-12-26 04:00:00,0.00021583,0.00021795,0.00021399
