,close,high,low
2025-12-04 20:00:00,0.999864,1.001,0.998353
2025-12-05 00:00:00,0.99996,1.001,0.999132
2025-12-05 04:00:00,1.0,1.001,1.0
2025-12-05 08:00:00,1.001,1.002,1.0
2025-12-05 12:00:00,1.0,1.003,0.997498
2025-12-05 16:00:00,0.999058,1.003,0.998183
2025-12-05 20:00:00,1.0,1.003,0.99802
2025-12-06 00:00:00,0.999395,1.001,0.998457
2025-12-06 04:00:00,1.0,1.001,0.999405
2025-12-06 08:00:00,0.999644,1.001,0.998815
2025-12-06 12:00:00,1.001,1.001,0.999239
2025-12-06 16:00:00,0.999921,1.002,0.99846
2025-12-06 20:00:00,1.001,1.001,0.999424
2025-12-07 00:00:00,1.002,1.002,1.0
2025-12-07 04:00:00,1.002,1.002,1.001
2025-12-07 08:00:00,0.999256,1.002,0.999242
2025-12-07 12:00:00,1.0,1.001,0.999002
2025-12-07 16:00:00,1.003,1.006,0.999566
2025-12-07 20:00:00,0.998031,1.002,0.996323
2025-12-08 00:00:00,1.002,1.003,0.996957
2025-12-08 04:00:00,0.998832,1.004,0.998645
2025-12-08 08:00:00,0.998751,1.001,0.99776
2025-12-08 12:00:00,1.0,1.002,0.996384
2025-12-08 16:00:00,0.998085,1.002,0.996648
2025-12-08 20:00:00,0.99935,1.001,0.995952
2025-12-09 00:00:00,0.998729,0.999982,0.997294
2025-12-09 04:00:00,0.999843,1.002,0.997155
2025-12-09 08:00:00,1.0,1.001,0.998284
2025-12-09 12:00:00,1.001,1.001,0.99846
2025-12-09 16:00:00,0.999795,1.002,0.997215
2025-12-09 20:00:00,1.001,1.003,0.996803
2025-12-10 00:00:00,1.001,1.003,0.998341
2025-12-10 04:00:00,1.001,1.002,0.99902
2025-12-10 08:00:00,0.999768,1.002,0.999677
2025-12-10 12:00:00,1.0,1.003,0.999418
2025-12-10 16:00:00,1.001,1.002,0.998955
2025-12-10 20:00:00,1.001,1.001,0.99873
2025-12-11 00:00:00,1.0,1.002,0.996204
2025-12-11 04:00:00,1.0,1.002,0.997417
2025-12-11 08:00:00,1.0,1.001,0.998508
2025-12-11 12:00:00,0.999199,1.001,0.998596
2025-12-11 16:00:00,0.999473,1.002,0.99556
2025-12-11 20:00:00,0.998422,1.001,0.997376
2025-12-12 00:00:00,0.998625,0.999693,0.995613
2025-12-12 04:00:00,0.998912,1.001,0.995942
2025-12-12 08:00:00,0.996085,1.002,0.996008
2025-12-12 12:00:00,0.999508,1.008,0.995677
2025-12-12 16:00:00,0.998316,1.002,0.998316
2025-12-12 20:00:00,1.0,1.004,0.998806
2025-12-13 00:00:00,0.998324,1.001,0.998324
2025-12-13 04:00:00,0.999819,1.0,0.998276
2025-12-13 08:00:00,0.999699,1.001,0.998931
2025-12-13 12:00:00,1.0,1.0,0.999206
