,close,high,low
2025-12-05 00:00:00,0.286711,0.291793,0.286684
2025-12-05 04:00:00,0.286676,0.288064,0.286606
2025-12-05 08:00:00,0.284811,0.286704,0.284724
2025-12-05 12:00:00,0.281482,0.285694,0.281454
2025-12-05 16:00:00,0.277924,0.281484,0.276862
2025-12-05 20:00:00,0.260844,0.277923,0.26072
2025-12-06 00:00:00,0.260892,0.263936,0.260755
2025-12-06 04:00:00,0.264709,0.264757,0.260766
2025-12-06 08:00:00,0.265363,0.266334,0.264707
2025-12-06 12:00:00,0.260569,0.265363,0.260442
2025-12-06 16:00:00,0.263198,0.266817,0.259184
2025-12-06 20:00:00,0.268648,0.269291,0.263007
2025-12-07 00:00:00,0.269519,0.270089,0.26706
2025-12-07 04:00:00,0.269631,0.27011,0.264141
2025-12-07 08:00:00,0.26475,0.269746,0.26475
2025-12-07 12:00:00,0.261469,0.264776,0.261468
2025-12-07 16:00:00,0.258937,0.263354,0.258124
2025-12-07 20:00:00,0.275327,0.279608,0.261443
2025-12-08 00:00:00,0.269565,0.280484,0.269536
2025-12-08 04:00:00,0.275803,0.275804,0.268044
2025-12-08 08:00:00,0.277319,0.27732,0.275773
2025-12-08 12:00:00,0.277318,0.285392,0.277289
2025-12-08 16:00:00,0.277797,0.280892,0.277286
2025-12-08 20:00:00,0.281987,0.282016,0.276618
2025-12-09 00:00:00,0.281987,0.281989,0.27798
2025-12-09 04:00:00,0.271802,0.281987,0.271799
2025-12-09 08:00:00,0.27018,0.272539,0.270178
2025-12-09 12:00:00,0.268655,0.274843,0.268593
2025-12-09 16:00:00,0.26876,0.274171,0.267717
2025-12-09 20:00:00,0.291811,0.296341,0.268743
2025-12-10 00:00:00,0.285582,0.291812,0.280358
2025-12-10 04:00:00,0.277328,0.28561,0.276596
2025-12-10 08:00:00,0.274606,0.28034,0.274579
2025-12-10 12:00:00,0.271814,0.280828,0.271814
2025-12-10 16:00:00,0.267551,0.271839,0.267551
2025-12-10 20:00:00,0.266428,0.273703,0.265851
2025-12-11 00:00:00,0.26401,0.274716,0.263823
2025-12-11 04:00:00,0.255584,0.26401,0.255553
2025-12-11 08:00:00,0.255991,0.255991,0.252924
2025-12-11 12:00:00,0.256061,0.256088,0.252833
2025-12-11 16:00:00,0.256215,0.258358,0.255405
2025-12-11 20:00:00,0.256368,0.256432,0.256117
2025-12-12 00:00:00,0.26522,0.265256,0.256343
2025-12-12 04:00:00,0.265171,0.268723,0.265129
2025-12-12 08:00:00,0.265255,0.267724,0.265105
2025-12-12 12:00:00,0.268915,0.269709,0.265105
2025-12-12 16:00:00,0.255298,0.269275,0.255298
2025-12-12 20:00:00,0.247341,0.260439,0.24734
2025-12-13 00:00:00,0.24762,0.249271,0.247341
2025-12-13 04:00:00,0.248122,0.251482,0.24762
2025-12-13 08:00:00,0.252276,0.252936,0.248126
2025-12-13 12:00:00,0.25228,0.255937,0.252226
2025-12-13 16:00:00,0.254726,0.25508,0.2521
2025-12-13 20:00:00,0.249114,0.255056,0.249082
2025-12-14 00:00:00,0.248688,0.249733,0.248687
2025-12-14 04:00:00,0.248134,0.249698,0.247971
2025-12-14 08:00:00,0.245572,0.248576,0.244621
2025-12-14 12:00:00,0.245422,0.248321,0.243781
2025-12-14 16:00:00,0.245477,0.245683,0.245207
2025-12-14 20:00:00,0.235003,0.2455,0.234912
2025-12-15 00:00:00,0.235177,0.235291,0.234477
2025-12-15 04:00:00,0.239879,0.240489,0.235177
2025-12-15 08:00:00,0.239948,0.241938,0.239017
2025-12-15 12:00:00,0.236195,0.242081,0.23618
2025-12-15 16:00:00,0.232231,0.239175,0.232225
2025-12-15 20:00:00,0.221996,0.232248,0.221543
2025-12-16 00:00:00,0.226608,0.226986,0.217971
2025-12-16 04:00:00,0.219488,0.22674,0.21936
2025-12-16 08:00:00,0.217285,0.219541,0.215783
2025-12-16 12:00:00,0.219737,0.220017,0.216889
2025-12-16 16:00:00,0.219353,0.226114,0.218596
