,close,high,low
2025-12-04 12:00:00,0.596727,0.600426,0.595238
2025-12-04 16:00:00,0.595835,0.597388,0.5872
2025-12-04 20:00:00,0.58216,0.596676,0.572951
2025-12-05 00:00:00,0.580908,0.584456,0.578649
2025-12-05 04:00:00,0.58279,0.584709,0.580967
2025-12-05 08:00:00,0.583828,0.584584,0.577409
2025-12-05 12:00:00,0.571887,0.584445,0.569078
2025-12-05 16:00:00,0.568458,0.572676,0.563817
2025-12-05 20:00:00,0.553634,0.566847,0.544049
2025-12-06 00:00:00,0.552857,0.555586,0.547476
2025-12-06 04:00:00,0.554928,0.555819,0.550582
2025-12-06 08:00:00,0.55256,0.555515,0.551579
2025-12-06 12:00:00,0.551725,0.551725,0.547631
2025-12-06 16:00:00,0.553876,0.559151,0.549663
2025-12-06 20:00:00,0.564882,0.571111,0.555753
2025-12-07 00:00:00,0.582292,0.582292,0.566585
2025-12-07 04:00:00,0.581732,0.587252,0.579765
2025-12-07 08:00:00,0.581618,0.590617,0.579689
2025-12-07 12:00:00,0.571238,0.581146,0.570718
2025-12-07 16:00:00,0.562361,0.571308,0.550412
2025-12-07 20:00:00,0.576918,0.578014,0.562789
2025-12-08 00:00:00,0.563065,0.580017,0.559231
2025-12-08 04:00:00,0.571705,0.571705,0.559645
2025-12-08 08:00:00,0.573738,0.576403,0.572387
2025-12-08 12:00:00,0.580718,0.58466,0.573025
2025-12-08 16:00:00,0.575319,0.583293,0.573635
2025-12-08 20:00:00,0.571207,0.582386,0.569024
2025-12-09 00:00:00,0.570685,0.578068,0.568712
2025-12-09 04:00:00,0.564625,0.573343,0.56101
2025-12-09 08:00:00,0.565091,0.565656,0.557881
2025-12-09 12:00:00,0.563305,0.566116,0.559624
2025-12-09 16:00:00,0.588388,0.588388,0.563183
2025-12-09 20:00:00,0.597584,0.607443,0.588497
2025-12-10 00:00:00,0.590013,0.597609,0.582498
2025-12-10 04:00:00,0.583143,0.590221,0.581379
2025-12-10 08:00:00,0.581422,0.585796,0.578851
2025-12-10 12:00:00,0.573538,0.583241,0.572448
2025-12-10 16:00:00,0.57888,0.580049,0.57106
2025-12-10 20:00:00,0.588507,0.591689,0.577146
2025-12-11 00:00:00,0.571234,0.597661,0.570601
2025-12-11 04:00:00,0.546364,0.570034,0.543591
2025-12-11 08:00:00,0.548051,0.551265,0.544712
2025-12-11 12:00:00,0.540174,0.54769,0.53808
2025-12-11 16:00:00,0.537442,0.542373,0.533849
2025-12-11 20:00:00,0.544992,0.548298,0.533984
2025-12-12 00:00:00,0.555158,0.559771,0.543006
2025-12-12 04:00:00,0.55219,0.557893,0.550144
2025-12-12 08:00:00,0.554161,0.557833,0.550696
2025-12-12 12:00:00,0.55009,0.554845,0.548423
2025-12-12 16:00:00,0.532204,0.550088,0.532204
2025-12-12 20:00:00,0.519577,0.526592,0.513767
2025-12-13 00:00:00,0.529265,0.530228,0.518328
2025-12-13 04:00:00,0.535539,0.536313,0.529831
2025-12-13 08:00:00,0.534984,0.536219,0.532116
2025-12-13 12:00:00,0.533759,0.537078,0.533391
2025-12-13 16:00:00,0.535753,0.537579,0.533647
2025-12-13 20:00:00,0.545583,0.545583,0.534656
2025-12-14 00:00:00,0.543001,0.547958,0.541493
2025-12-14 04:00:00,0.542014,0.544413,0.53987
2025-12-14 08:00:00,0.52989,0.541379,0.528796
2025-12-14 12:00:00,0.520367,0.530014,0.519744
2025-12-14 16:00:00,0.517459,0.52314,0.515824
2025-12-14 20:00:00,0.514785,0.519505,0.513086
2025-12-15 00:00:00,0.508998,0.516383,0.506901
2025-12-15 04:00:00,0.517407,0.524702,0.509032
2025-12-15 08:00:00,0.514762,0.520443,0.514642
2025-12-15 12:00:00,0.519432,0.520129,0.517079
2025-12-15 16:00:00,0.495515,0.521024,0.491346
2025-12-15 20:00:00,0.48347,0.495969,0.477377
2025-12-16 00:00:00,0.493339,0.494178,0.48077
2025-12-16 04:00:00,0.489223,0.493971,0.484974
2025-12-16 08:00:00,0.486513,0.491487,0.48501
2025-12-16 12:00:00,0.496072,0.496651,0.485833
2025-12-16 16:00:00,0.499757,0.499757,0.491721
2025-12-16 20:00:00,0.523674,0.550226,0.497844
2025-12-17 00:00:00,0.528744,0.529543,0.516882
2025-12-17 04:00:00,0.522156,0.544429,0.522156
2025-12-17 08:00:00,0.53527,0.538692,0.514014
2025-12-17 12:00:00,0.533395,0.55369,0.525106
2025-12-17 16:00:00,0.525111,0.537198,0.520017
2025-12-17 20:00:00,0.500246,0.525566,0.497773
2025-12-18 00:00:00,0.511519,0.512305,0.499714
2025-12-18 04:00:00,0.497423,0.511626,0.495689
2025-12-18 08:00:00,0.510087,0.516009,0.489591
2025-12-18 12:00:00,0.529723,0.529723,0.509602
2025-12-18 16:00:00,0.554392,0.573462,0.529037
2025-12-18 20:00:00,0.520415,0.566297,0.520415
2025-12-19 00:00:00,0.536494,0.542735,0.52024
2025-12-19 04:00:00,0.548361,0.55202,0.532919
2025-12-19 08:00:00,0.566769,0.575568,0.548311
2025-12-19 12:00:00,0.563087,0.569366,0.555917
2025-12-19 16:00:00,0.549829,0.56213,0.543107
2025-12-19 20:00:00,0.557897,0.559675,0.543189
2025-12-20 00:00:00,0.548995,0.557503,0.545909
2025-12-20 04:00:00,0.544705,0.548151,0.542729
2025-12-20 08:00:00,0.548604,0.549734,0.541466
2025-12-20 12:00:00,0.544177,0.551341,0.542258
2025-12-20 16:00:00,0.541037,0.546205,0.537239
2025-12-20 20:00:00,0.543109,0.544789,0.541293
2025-12-21 00:00:00,0.542859,0.545549,0.542741
2025-12-21 04:00:00,0.542852,0.542852,0.535368
2025-12-21 08:00:00,0.544125,0.547392,0.541624
2025-12-21 12:00:00,0.53896,0.546507,0.538356
2025-12-21 16:00:00,0.522869,0.541128,0.520552
2025-12-21 20:00:00,0.524101,0.527734,0.521859
2025-12-22 00:00:00,0.530201,0.530238,0.52058
2025-12-22 04:00:00,0.52618,0.541023,0.52488
2025-12-22 08:00:00,0.530912,0.532165,0.526
2025-12-22 12:00:00,0.531864,0.533941,0.528278
2025-12-22 16:00:00,0.534814,0.53671,0.528461
2025-12-22 20:00:00,0.526504,0.537763,0.526504
