,close,high,low
2025-12-04 16:00:00,0.00182521,0.00182835,0.00181122
2025-12-04 20:00:00,0.00181134,0.00182982,0.00180119
2025-12-05 00:00:00,0.00181125,0.00181956,0.00180368
2025-12-05 04:00:00,0.00180738,0.0018159,0.00180738
2025-12-05 08:00:00,0.00180526,0.00181039,0.00180244
2025-12-05 12:00:00,0.00180035,0.0018103,0.00179673
2025-12-05 16:00:00,0.00179979,0.00180838,0.00178982
2025-12-05 20:00:00,0.00176393,0.00179635,0.00175836
2025-12-06 00:00:00,0.00176596,0.00176771,0.00176042
2025-12-06 04:00:00,0.00176067,0.0017675,0.00174403
2025-12-06 08:00:00,0.0017705,0.00177355,0.00175971
2025-12-06 12:00:00,0.00177451,0.0017749,0.00176063
2025-12-06 16:00:00,0.00177888,0.00177888,0.00177162
2025-12-06 20:00:00,0.0017973,0.00179943,0.00177758
2025-12-07 00:00:00,0.00182043,0.00182706,0.00179769
2025-12-07 04:00:00,0.0018049,0.0018189,0.0017982
2025-12-07 08:00:00,0.00178868,0.00180537,0.00178868
2025-12-07 12:00:00,0.00177855,0.0017882,0.00177583
2025-12-07 16:00:00,0.00175216,0.00178065,0.00173423
2025-12-07 20:00:00,0.00179132,0.00179132,0.0017517
2025-12-08 00:00:00,0.00176183,0.00179299,0.00174922
2025-12-08 04:00:00,0.00176135,0.00177008,0.00175817
2025-12-08 08:00:00,0.00177192,0.00177331,0.00175996
2025-12-08 12:00:00,0.00177938,0.0017839,0.00177194
2025-12-08 16:00:00,0.00176417,0.00178221,0.00175791
2025-12-08 20:00:00,0.0017658,0.00176846,0.00175592
2025-12-09 00:00:00,0.00177822,0.00178448,0.00176247
2025-12-09 04:00:00,0.0017804,0.00179795,0.00177149
2025-12-09 08:00:00,0.00178238,0.00178427,0.0017716
2025-12-09 12:00:00,0.00177609,0.00178786,0.00177073
2025-12-09 16:00:00,0.00181815,0.00181815,0.00177616
2025-12-09 20:00:00,0.00182623,0.0018454,0.00181678
2025-12-10 00:00:00,0.00181856,0.00182563,0.00181498
2025-12-10 04:00:00,0.00180679,0.00182153,0.00180606
2025-12-10 08:00:00,0.00180986,0.00182079,0.0018058
2025-12-10 12:00:00,0.0018485,0.00184898,0.00180825
2025-12-10 16:00:00,0.00183496,0.00186414,0.00182932
2025-12-10 20:00:00,0.00184782,0.00185787,0.00183486
2025-12-11 00:00:00,0.00183658,0.00186308,0.0018178
2025-12-11 04:00:00,0.00175766,0.00183366,0.00175766
2025-12-11 08:00:00,0.0017716,0.00177765,0.00174805
2025-12-11 12:00:00,0.00176014,0.00177163,0.00175239
