,close,high,low
2025-12-04 04:00:00,0.997603,0.998505,0.997602
2025-12-04 08:00:00,0.998305,0.998305,0.9976
2025-12-04 12:00:00,0.997909,0.998367,0.997701
2025-12-04 16:00:00,0.997809,0.99824,0.997605
2025-12-04 20:00:00,0.997615,0.997905,0.997501
2025-12-05 00:00:00,0.997805,0.998008,0.997601
2025-12-05 04:00:00,0.997806,0.99837,0.997601
2025-12-05 08:00:00,0.997901,0.998072,0.997601
2025-12-05 12:00:00,0.998,0.998002,0.997703
2025-12-05 16:00:00,0.997803,0.99781,0.997507
2025-12-05 20:00:00,0.997507,0.997804,0.99739
2025-12-06 00:00:00,0.997708,0.998104,0.997409
2025-12-06 04:00:00,0.997703,0.997904,0.997604
2025-12-06 08:00:00,0.997704,0.997804,0.997588
2025-12-06 12:00:00,0.9978,0.9978,0.997408
2025-12-06 16:00:00,0.997609,0.997806,0.997502
2025-12-06 20:00:00,0.997601,0.997965,0.997509
2025-12-07 00:00:00,0.997718,0.997819,0.997612
2025-12-07 04:00:00,0.997807,0.997807,0.997601
2025-12-07 08:00:00,0.997902,0.9982,0.997706
2025-12-07 12:00:00,0.9979,0.998088,0.9978
2025-12-07 16:00:00,0.998,0.998103,0.997602
2025-12-07 20:00:00,0.997902,0.9985,0.997807
2025-12-08 00:00:00,0.997906,0.998142,0.997602
2025-12-08 04:00:00,0.997818,0.9981,0.997719
2025-12-08 08:00:00,0.998014,0.99814,0.997627
2025-12-08 12:00:00,0.998106,0.998114,0.997901
2025-12-08 16:00:00,0.99781,0.998299,0.99771
2025-12-08 20:00:00,0.998107,0.998215,0.99771
2025-12-09 00:00:00,0.998005,0.99811,0.997803
2025-12-09 04:00:00,0.998011,0.998225,0.997736
2025-12-09 08:00:00,0.998409,0.998509,0.997914
2025-12-09 12:00:00,0.998403,0.998781,0.998211
2025-12-09 16:00:00,0.999603,0.999603,0.99824
2025-12-09 20:00:00,0.9997,0.999802,0.998806
2025-12-10 00:00:00,0.998203,0.9998,0.998131
2025-12-10 04:00:00,0.998599,0.998599,0.99787
2025-12-10 08:00:00,0.9987,0.999,0.9984
2025-12-10 12:00:00,0.998303,0.998701,0.9983
2025-12-10 16:00:00,0.998205,0.9985,0.998167
2025-12-10 20:00:00,0.998904,0.999005,0.998105
2025-12-11 00:00:00,0.998702,0.999809,0.9982
2025-12-11 04:00:00,0.998306,0.998703,0.9983
2025-12-11 08:00:00,0.998303,0.998308,0.997983
2025-12-11 12:00:00,0.9985,0.998604,0.9982
2025-12-11 16:00:00,0.998306,0.998604,0.9982
2025-12-11 20:00:00,0.998407,0.998704,0.9981
2025-12-12 00:00:00,0.998804,0.999109,0.998506
2025-12-12 04:00:00,0.999361,0.999361,0.998604
2025-12-12 08:00:00,0.999112,0.999415,0.998812
2025-12-12 12:00:00,0.9988,0.9991,0.9987
2025-12-12 16:00:00,0.998408,0.999299,0.998306
2025-12-12 20:00:00,0.998707,0.998903,0.998305
2025-12-13 00:00:00,0.9987,0.998934,0.9986
2025-12-13 04:00:00,0.998807,0.998904,0.9986
2025-12-13 08:00:00,0.998907,0.998907,0.9986
2025-12-13 12:00:00,0.998614,0.998909,0.998478
2025-12-13 16:00:00,0.99861,0.998813,0.9985
2025-12-13 20:00:00,0.998511,0.998672,0.998504
2025-12-14 00:00:00,0.998808,0.99902,0.9986
2025-12-14 04:00:00,0.998611,0.998911,0.9986
2025-12-14 08:00:00,0.998716,0.998804,0.9986
2025-12-14 12:00:00,0.998707,0.998811,0.998458
2025-12-14 16:00:00,0.998608,0.998892,0.998405
2025-12-14 20:00:00,0.9988,0.9989,0.998509
2025-12-15 00:00:00,0.998602,0.998806,0.998406
2025-12-15 04:00:00,0.998905,0.998905,0.998499
2025-12-15 08:00:00,0.998609,0.9991,0.9986
2025-12-15 12:00:00,0.998903,0.998904,0.998604
2025-12-15 16:00:00,0.998502,0.999096,0.9985
2025-12-15 20:00:00,0.9986,0.9987,0.998269
2025-12-16 00:00:00,0.9986,0.998882,0.998305
2025-12-16 04:00:00,0.9986,0.998826,0.9985
2025-12-16 08:00:00,0.998503,0.998703,0.9985
2025-12-16 12:00:00,0.9989,0.9989,0.998403
2025-12-16 16:00:00,0.998407,0.998994,0.9984
2025-12-16 20:00:00,0.998604,0.998797,0.998304
2025-12-17 00:00:00,0.998805,0.998806,0.998505
2025-12-17 04:00:00,0.998798,0.9989,0.9986
2025-12-17 08:00:00,0.998601,0.9988,0.99841
2025-12-17 12:00:00,0.998605,0.9987,0.998361
2025-12-17 16:00:00,0.998707,0.99972,0.998507
2025-12-17 20:00:00,0.998311,0.998807,0.99821
2025-12-18 00:00:00,0.9988,0.999203,0.998303
2025-12-18 04:00:00,0.998802,0.998981,0.998501
2025-12-18 08:00:00,0.998508,0.998808,0.9985
2025-12-18 12:00:00,0.998414,0.9987,0.9984
2025-12-18 16:00:00,0.998605,0.998908,0.998401
2025-12-18 20:00:00,0.998699,0.9987,0.998305
