,close,high,low
2025-12-04 04:00:00,0.01384085,0.01421171,0.01382453
2025-12-04 08:00:00,0.01366754,0.01381803,0.01366754
2025-12-04 12:00:00,0.01362244,0.01370776,0.01355494
2025-12-04 16:00:00,0.01376144,0.01376987,0.01359052
2025-12-04 20:00:00,0.01339878,0.0137735,0.01331023
2025-12-05 00:00:00,0.01331276,0.01349245,0.01331276
2025-12-05 04:00:00,0.01344635,0.01350422,0.01329729
2025-12-05 08:00:00,0.01361602,0.01367675,0.01338052
2025-12-05 12:00:00,0.01306431,0.01363868,0.01302344
2025-12-05 16:00:00,0.01313121,0.01320202,0.01300074
2025-12-05 20:00:00,0.01311559,0.01314938,0.01285259
2025-12-06 00:00:00,0.01305373,0.0131665,0.01301036
2025-12-06 04:00:00,0.0130376,0.01310574,0.01301813
2025-12-06 08:00:00,0.01301085,0.01306917,0.01300133
2025-12-06 12:00:00,0.0130151,0.01307283,0.01295826
2025-12-06 16:00:00,0.01307019,0.01318042,0.01297467
2025-12-06 20:00:00,0.01306122,0.01313004,0.01300346
2025-12-07 00:00:00,0.01303298,0.01311106,0.01302529
2025-12-07 04:00:00,0.0131048,0.01313853,0.01304231
2025-12-07 08:00:00,0.01308987,0.01323221,0.01304383
2025-12-07 12:00:00,0.01295481,0.01303644,0.01295481
2025-12-07 16:00:00,0.01298488,0.01325896,0.01284929
2025-12-07 20:00:00,0.01314442,0.01319544,0.01299325
2025-12-08 00:00:00,0.01294296,0.01314291,0.01288466
2025-12-08 04:00:00,0.01302562,0.01306669,0.0129177
2025-12-08 08:00:00,0.01313774,0.01317068,0.01302411
2025-12-08 12:00:00,0.01318154,0.01327951,0.01314235
2025-12-08 16:00:00,0.01301438,0.01317933,0.01300233
2025-12-08 20:00:00,0.01309589,0.01324991,0.01301199
2025-12-09 00:00:00,0.0129939,0.01316199,0.0129939
2025-12-09 04:00:00,0.01297767,0.0130187,0.01293883
2025-12-09 08:00:00,0.01298462,0.01302751,0.01293521
2025-12-09 12:00:00,0.01293797,0.01302345,0.0129292
2025-12-09 16:00:00,0.01306702,0.01306702,0.01292068
2025-12-09 20:00:00,0.01322414,0.01340092,0.01310897
2025-12-10 00:00:00,0.01297566,0.01321838,0.01293266
2025-12-10 04:00:00,0.01298834,0.01302857,0.01295455
2025-12-10 08:00:00,0.01300502,0.01304321,0.01296926
2025-12-10 12:00:00,0.01290626,0.01300661,0.01289873
2025-12-10 16:00:00,0.01294709,0.01299928,0.01289644
2025-12-10 20:00:00,0.01293752,0.01296573,0.01290453
2025-12-11 00:00:00,0.01278331,0.01307098,0.01272407
2025-12-11 04:00:00,0.01243282,0.01278167,0.01242569
2025-12-11 08:00:00,0.01253253,0.01253253,0.01243031
2025-12-11 12:00:00,0.01261012,0.01262524,0.01250036
2025-12-11 16:00:00,0.01251127,0.01267533,0.01238171
2025-12-11 20:00:00,0.0126676,0.0127111,0.01239439
2025-12-12 00:00:00,0.01260607,0.01271548,0.01257205
2025-12-12 04:00:00,0.01260452,0.01263366,0.01255192
2025-12-12 08:00:00,0.01268561,0.01274258,0.01260715
2025-12-12 12:00:00,0.01263326,0.01267156,0.01262373
2025-12-12 16:00:00,0.01236477,0.01266962,0.0123622
2025-12-12 20:00:00,0.01235841,0.01250096,0.01226948
2025-12-13 00:00:00,0.01236694,0.01238674,0.01233859
2025-12-13 04:00:00,0.01238698,0.01239881,0.01236106
2025-12-13 08:00:00,0.01248736,0.01249002,0.01237867
2025-12-13 12:00:00,0.01263495,0.01263495,0.0123906
2025-12-13 16:00:00,0.01252952,0.01263159,0.01242398
2025-12-13 20:00:00,0.01246887,0.0125797,0.01246184
2025-12-14 00:00:00,0.0124602,0.01249529,0.01242003
2025-12-14 04:00:00,0.01239153,0.01246285,0.01237739
2025-12-14 08:00:00,0.01238908,0.01239368,0.0123704
2025-12-14 12:00:00,0.01230145,0.01242671,0.01227767
2025-12-14 16:00:00,0.01223509,0.01229539,0.01222624
2025-12-14 20:00:00,0.01217255,0.01227992,0.01217255
2025-12-15 00:00:00,0.01213786,0.01229728,0.01210175
2025-12-15 04:00:00,0.01216661,0.01224381,0.01203763
2025-12-15 08:00:00,0.01213193,0.01219688,0.01211548
2025-12-15 12:00:00,0.0120919,0.01214678,0.01209101
2025-12-15 16:00:00,0.01181762,0.01210724,0.01176003
2025-12-15 20:00:00,0.01151113,0.01179181,0.01140592
2025-12-16 00:00:00,0.01168194,0.01168194,0.01141486
2025-12-16 04:00:00,0.0114271,0.01168783,0.01137298
2025-12-16 08:00:00,0.01148319,0.01159469,0.01140843
2025-12-16 12:00:00,0.0114548,0.01152068,0.01137787
2025-12-16 16:00:00,0.0116384,0.0116384,0.01145977
2025-12-16 20:00:00,0.01160837,0.01164847,0.01144627
2025-12-17 00:00:00,0.01162717,0.01163687,0.01149732
2025-12-17 04:00:00,0.01195458,0.01198245,0.01155104
2025-12-17 08:00:00,0.01164395,0.01195468,0.01164395
2025-12-17 12:00:00,0.01157269,0.01163634,0.01139901
2025-12-17 16:00:00,0.01163383,0.01197433,0.01152117
2025-12-17 20:00:00,0.01131587,0.01158513,0.01126585
2025-12-18 00:00:00,0.01147142,0.01151913,0.01131994
2025-12-18 04:00:00,0.01133186,0.01149611,0.01130256
2025-12-18 08:00:00,0.01135425,0.01138782,0.01124654
2025-12-18 12:00:00,0.01146291,0.01148982,0.01134751
2025-12-18 16:00:00,0.01148617,0.011552,0.01142091
2025-12-18 20:00:00,0.01103963,0.0114611,0.01103963
2025-12-19 00:00:00,0.01103605,0.01120838,0.01097461
2025-12-19 04:00:00,0.01108371,0.01109787,0.01085286
2025-12-19 08:00:00,0.01114599,0.0112295,0.01104195
2025-12-19 12:00:00,0.01135581,0.01135581,0.01114897
2025-12-19 16:00:00,0.01128854,0.01139242,0.01124479
2025-12-19 20:00:00,0.01146967,0.01147171,0.01124296
2025-12-20 00:00:00,0.01148047,0.01149652,0.01132842
2025-12-20 04:00:00,0.011537,0.01159041,0.01147584
2025-12-20 08:00:00,0.01161261,0.01161261,0.01149508
2025-12-20 12:00:00,0.01167409,0.01173046,0.01159448
2025-12-20 16:00:00,0.01156341,0.01168418,0.01153854
2025-12-20 20:00:00,0.01152279,0.01157667,0.01146499
2025-12-21 00:00:00,0.01158323,0.01161956,0.01153363
2025-12-21 04:00:00,0.01149845,0.01164143,0.01146163
2025-12-21 08:00:00,0.01147874,0.01153304,0.01145355
2025-12-21 12:00:00,0.01163764,0.01167524,0.0114701
2025-12-21 16:00:00,0.01140582,0.01172646,0.01137221
2025-12-21 20:00:00,0.01142697,0.01143186,0.01137374
2025-12-22 00:00:00,0.01144206,0.01144206,0.0113524
2025-12-22 04:00:00,0.0114671,0.01185265,0.01143784
2025-12-22 08:00:00,0.01148033,0.01157503,0.01148033
2025-12-22 12:00:00,0.01153282,0.01155487,0.01147443
2025-12-22 16:00:00,0.01189718,0.0120661,0.0115385
2025-12-22 20:00:00,0.01156734,0.01191723,0.01156734
2025-12-23 00:00:00,0.01171774,0.01173764,0.01148875
2025-12-23 04:00:00,0.01165743,0.01177636,0.01156894
