,close,high,low
2025-12-04 12:00:00,0.367403,0.368009,0.348365
2025-12-04 16:00:00,0.371549,0.373319,0.368067
2025-12-04 20:00:00,0.367478,0.37763,0.367478
2025-12-05 00:00:00,0.366542,0.36833,0.3659
2025-12-05 04:00:00,0.366565,0.367187,0.365924
2025-12-05 08:00:00,0.366905,0.367706,0.366086
2025-12-05 12:00:00,0.365013,0.367587,0.364293
2025-12-05 16:00:00,0.366371,0.367221,0.364564
2025-12-05 20:00:00,0.362932,0.367874,0.362736
2025-12-06 00:00:00,0.363242,0.363294,0.361941
2025-12-06 04:00:00,0.363275,0.363766,0.3631
2025-12-06 08:00:00,0.362263,0.364113,0.362174
2025-12-06 12:00:00,0.362768,0.362949,0.361353
2025-12-06 16:00:00,0.361656,0.363169,0.359786
2025-12-06 20:00:00,0.361295,0.362182,0.361295
2025-12-07 00:00:00,0.360974,0.36191,0.360884
2025-12-07 04:00:00,0.362883,0.363865,0.360594
2025-12-07 08:00:00,0.362796,0.363563,0.362319
2025-12-07 12:00:00,0.362056,0.366858,0.361752
2025-12-07 16:00:00,0.360565,0.363284,0.360548
2025-12-07 20:00:00,0.364068,0.3641,0.360433
2025-12-08 00:00:00,0.363348,0.366838,0.360858
2025-12-08 04:00:00,0.367238,0.367238,0.362602
2025-12-08 08:00:00,0.361985,0.36875,0.361168
2025-12-08 12:00:00,0.361983,0.3656,0.361765
2025-12-08 16:00:00,0.361677,0.362742,0.360668
2025-12-08 20:00:00,0.35973,0.363555,0.35973
2025-12-09 00:00:00,0.36122,0.362767,0.359488
2025-12-09 04:00:00,0.360408,0.362668,0.359864
2025-12-09 08:00:00,0.360007,0.360894,0.359728
2025-12-09 12:00:00,0.35757,0.360426,0.357447
2025-12-09 16:00:00,0.360257,0.360257,0.355487
2025-12-09 20:00:00,0.351532,0.362268,0.351102
2025-12-10 00:00:00,0.351067,0.352804,0.349779
2025-12-10 04:00:00,0.351296,0.352275,0.348938
2025-12-10 08:00:00,0.351194,0.351645,0.351057
2025-12-10 12:00:00,0.348661,0.351261,0.347186
2025-12-10 16:00:00,0.349158,0.351849,0.348479
2025-12-10 20:00:00,0.347676,0.35106,0.345459
