,close,high,low
2025-12-04 12:00:00,131.82,132.8,131.76
2025-12-04 16:00:00,132.29,132.29,131.59
2025-12-04 20:00:00,129.75,132.16,129.24
2025-12-05 00:00:00,129.92,130.2,129.75
2025-12-05 04:00:00,130.23,130.28,129.35
2025-12-05 08:00:00,130.8,131.01,129.66
2025-12-05 12:00:00,128.8,130.83,128.56
2025-12-05 16:00:00,128.74,128.83,127.94
2025-12-05 20:00:00,126.71,128.55,126.11
2025-12-06 00:00:00,126.69,126.91,126.31
2025-12-06 04:00:00,126.99,127.26,126.63
2025-12-06 08:00:00,126.8,127.23,126.6
2025-12-06 12:00:00,126.71,126.79,126.15
2025-12-06 16:00:00,126.55,126.96,126.38
2025-12-06 20:00:00,123.8,126.71,123.49
2025-12-07 00:00:00,123.27,123.81,122.98
2025-12-07 04:00:00,123.89,123.89,122.9
2025-12-07 08:00:00,122.62,124.18,122.61
2025-12-07 12:00:00,121.68,122.58,120.65
2025-12-07 16:00:00,120.87,121.98,120.29
2025-12-07 20:00:00,123.59,123.82,120.6
2025-12-08 00:00:00,121.98,123.79,121.76
2025-12-08 04:00:00,122.93,123.12,122.01
2025-12-08 08:00:00,123.4,123.56,122.61
2025-12-08 12:00:00,124.95,124.95,123.22
2025-12-08 16:00:00,124.52,125.06,124.27
2025-12-08 20:00:00,121.79,124.54,121.68
2025-12-09 00:00:00,120.52,122.32,120.52
2025-12-09 04:00:00,120.77,121.26,120.27
2025-12-09 08:00:00,120.96,121.34,120.48
2025-12-09 12:00:00,120.59,121.29,120.59
2025-12-09 16:00:00,121.84,121.84,120.59
2025-12-09 20:00:00,125.26,125.28,121.97
2025-12-10 00:00:00,123.91,125.36,123.57
2025-12-10 04:00:00,123.51,123.96,123.31
2025-12-10 08:00:00,124.17,124.39,123.55
2025-12-10 12:00:00,122.55,124.27,122.53
2025-12-10 16:00:00,121.93,122.64,121.76
2025-12-10 20:00:00,122.72,122.75,121.86
2025-12-11 00:00:00,121.59,123.76,121.25
2025-12-11 04:00:00,117.77,121.56,117.77
2025-12-11 08:00:00,118.03,118.2,117.32
2025-12-11 12:00:00,117.63,117.99,117.38
2025-12-11 16:00:00,118.14,118.47,117.51
2025-12-11 20:00:00,119.78,119.78,117.98
2025-12-12 00:00:00,120.37,120.58,119.84
2025-12-12 04:00:00,121.13,121.13,120.21
2025-12-12 08:00:00,121.97,121.97,120.87
2025-12-12 12:00:00,120.58,122.19,119.97
2025-12-12 16:00:00,118.89,120.73,118.81
2025-12-12 20:00:00,117.15,118.91,117.13
2025-12-13 00:00:00,118.08,118.23,116.72
2025-12-13 04:00:00,118.07,118.45,117.88
2025-12-13 08:00:00,117.91,118.04,117.38
2025-12-13 12:00:00,118.34,118.62,117.94
2025-12-13 16:00:00,118.57,118.9,117.76
2025-12-13 20:00:00,117.48,118.96,117.42
2025-12-14 00:00:00,117.55,118.43,117.13
2025-12-14 04:00:00,117.43,117.87,117.26
2025-12-14 08:00:00,117.15,117.8,117.0
2025-12-14 12:00:00,116.03,117.34,115.84
2025-12-14 16:00:00,115.31,116.28,115.31
2025-12-14 20:00:00,114.93,115.24,114.67
2025-12-15 00:00:00,114.77,115.22,114.57
2025-12-15 04:00:00,115.97,116.08,114.54
2025-12-15 08:00:00,115.95,115.98,115.52
2025-12-15 12:00:00,116.52,116.93,115.85
2025-12-15 16:00:00,114.2,117.13,114.0
2025-12-15 20:00:00,112.36,114.26,111.66
2025-12-16 00:00:00,113.63,113.63,112.14
2025-12-16 04:00:00,114.23,115.01,113.72
2025-12-16 08:00:00,115.05,115.6,114.24
2025-12-16 12:00:00,115.83,115.89,114.62
2025-12-16 16:00:00,116.49,116.7,115.52
2025-12-16 20:00:00,116.21,116.74,115.82
2025-12-17 00:00:00,117.05,117.21,116.21
2025-12-17 04:00:00,117.3,117.48,117.06
2025-12-17 08:00:00,116.51,117.29,116.04
2025-12-17 12:00:00,116.21,116.7,115.73
2025-12-17 16:00:00,116.59,118.51,115.87
2025-12-17 20:00:00,113.9,116.64,113.87
2025-12-18 00:00:00,115.13,115.32,113.84
2025-12-18 04:00:00,115.3,115.58,114.91
2025-12-18 08:00:00,114.99,115.6,114.63
2025-12-18 12:00:00,116.17,116.22,114.72
2025-12-18 16:00:00,119.17,119.17,115.85
2025-12-18 20:00:00,114.13,118.52,114.13
2025-12-19 00:00:00,114.76,114.84,113.75
2025-12-19 04:00:00,115.96,115.96,113.91
2025-12-19 08:00:00,118.04,118.31,115.94
2025-12-19 12:00:00,119.29,119.57,117.92
2025-12-19 16:00:00,120.38,120.58,119.07
2025-12-19 20:00:00,120.11,120.64,119.82
2025-12-20 00:00:00,119.66,120.55,119.57
2025-12-20 04:00:00,119.65,119.71,118.86
2025-12-20 08:00:00,118.15,119.97,118.15
2025-12-20 12:00:00,118.46,118.67,118.0
2025-12-20 16:00:00,118.18,118.72,118.02
2025-12-20 20:00:00,117.89,118.4,117.34
2025-12-21 00:00:00,117.83,118.23,117.69
2025-12-21 04:00:00,117.75,118.19,117.52
2025-12-21 08:00:00,118.11,118.11,117.54
2025-12-21 12:00:00,118.13,118.34,117.64
2025-12-21 16:00:00,117.38,118.17,117.38
2025-12-21 20:00:00,118.15,118.39,117.49
2025-12-22 00:00:00,118.62,118.7,118.21
2025-12-22 04:00:00,118.08,119.1,117.94
2025-12-22 08:00:00,118.53,118.59,117.85
2025-12-22 12:00:00,118.53,118.8,118.31
2025-12-22 16:00:00,118.71,119.0,118.46
2025-12-22 20:00:00,117.77,118.91,117.77
2025-12-23 00:00:00,117.9,118.23,117.36
2025-12-23 04:00:00,117.87,118.46,117.67
2025-12-23 08:00:00,115.87,118.5,115.64
2025-12-23 12:00:00,116.01,116.67,115.58
2025-12-23 16:00:00,113.51,116.04,112.98
