,close,high,low
2025-12-04 12:00:00,0.560569,0.567408,0.560146
2025-12-04 16:00:00,0.562084,0.563295,0.553184
2025-12-04 20:00:00,0.535366,0.562203,0.53064
2025-12-05 00:00:00,0.536315,0.537072,0.53234
2025-12-05 04:00:00,0.533209,0.539883,0.532936
2025-12-05 08:00:00,0.535182,0.536678,0.528724
2025-12-05 12:00:00,0.521701,0.536039,0.520148
2025-12-05 16:00:00,0.512458,0.522182,0.512005
2025-12-05 20:00:00,0.494663,0.511501,0.488446
2025-12-06 00:00:00,0.50257,0.504327,0.493234
2025-12-06 04:00:00,0.495464,0.503041,0.494233
2025-12-06 08:00:00,0.489837,0.494974,0.489493
2025-12-06 12:00:00,0.493103,0.493315,0.488006
2025-12-06 16:00:00,0.497545,0.497554,0.490267
2025-12-06 20:00:00,0.506876,0.517178,0.497488
2025-12-07 00:00:00,0.501527,0.510608,0.501357
2025-12-07 04:00:00,0.499551,0.503766,0.498503
2025-12-07 08:00:00,0.497559,0.501024,0.496671
2025-12-07 12:00:00,0.494609,0.500326,0.493745
2025-12-07 16:00:00,0.482918,0.495828,0.479219
2025-12-07 20:00:00,0.496163,0.497455,0.480362
2025-12-08 00:00:00,0.479618,0.49781,0.477124
2025-12-08 04:00:00,0.492518,0.494232,0.479463
2025-12-08 08:00:00,0.496938,0.500668,0.491954
2025-12-08 12:00:00,0.49865,0.501262,0.494075
2025-12-08 16:00:00,0.495319,0.504631,0.494755
2025-12-08 20:00:00,0.492011,0.49652,0.488997
2025-12-09 00:00:00,0.497329,0.499456,0.491437
2025-12-09 04:00:00,0.493064,0.500096,0.488659
2025-12-09 08:00:00,0.490531,0.493372,0.483734
2025-12-09 12:00:00,0.487053,0.490748,0.485854
2025-12-09 16:00:00,0.510822,0.510822,0.48727
2025-12-09 20:00:00,0.516352,0.527708,0.511756
2025-12-10 00:00:00,0.513503,0.516173,0.504177
2025-12-10 04:00:00,0.50294,0.514344,0.501689
2025-12-10 08:00:00,0.501801,0.503871,0.500877
2025-12-10 12:00:00,0.49352,0.502265,0.492136
2025-12-10 16:00:00,0.493965,0.495136,0.492079
2025-12-10 20:00:00,0.505053,0.506026,0.493564
2025-12-11 00:00:00,0.487838,0.514492,0.487259
2025-12-11 04:00:00,0.467472,0.487017,0.46682
2025-12-11 08:00:00,0.474413,0.48072,0.466278
2025-12-11 12:00:00,0.47624,0.477936,0.470989
2025-12-11 16:00:00,0.473127,0.477276,0.473085
2025-12-11 20:00:00,0.469878,0.473125,0.467994
2025-12-12 00:00:00,0.475858,0.485186,0.468237
2025-12-12 04:00:00,0.478323,0.479088,0.469885
2025-12-12 08:00:00,0.47841,0.483074,0.476514
2025-12-12 12:00:00,0.479715,0.482297,0.475527
2025-12-12 16:00:00,0.461336,0.481108,0.461336
2025-12-12 20:00:00,0.452321,0.459064,0.449108
2025-12-13 00:00:00,0.459769,0.462235,0.452972
2025-12-13 04:00:00,0.462912,0.463966,0.459725
2025-12-13 08:00:00,0.462252,0.464698,0.458863
2025-12-13 12:00:00,0.459146,0.46372,0.459146
2025-12-13 16:00:00,0.466528,0.467818,0.458901
2025-12-13 20:00:00,0.464798,0.468212,0.463358
2025-12-14 00:00:00,0.466287,0.466287,0.462163
2025-12-14 04:00:00,0.462508,0.465942,0.462508
2025-12-14 08:00:00,0.456167,0.462419,0.456167
2025-12-14 12:00:00,0.453739,0.460503,0.451756
2025-12-14 16:00:00,0.44915,0.456021,0.448767
2025-12-14 20:00:00,0.444523,0.45114,0.442562
2025-12-15 00:00:00,0.439256,0.445368,0.438663
2025-12-15 04:00:00,0.446146,0.450873,0.438771
2025-12-15 08:00:00,0.447302,0.452203,0.446123
2025-12-15 12:00:00,0.444386,0.449117,0.444248
2025-12-15 16:00:00,0.422546,0.447763,0.421483
2025-12-15 20:00:00,0.417618,0.421733,0.410283
2025-12-16 00:00:00,0.424157,0.424157,0.415607
2025-12-16 04:00:00,0.422607,0.424378,0.418974
2025-12-16 08:00:00,0.417832,0.424144,0.41752
2025-12-16 12:00:00,0.429268,0.429268,0.418696
2025-12-16 16:00:00,0.445161,0.445161,0.426503
2025-12-16 20:00:00,0.434459,0.443031,0.429793
2025-12-17 00:00:00,0.433475,0.437231,0.432531
2025-12-17 04:00:00,0.430947,0.43507,0.430673
2025-12-17 08:00:00,0.427425,0.430637,0.426989
2025-12-17 12:00:00,0.422641,0.42686,0.418965
2025-12-17 16:00:00,0.419275,0.434054,0.419275
2025-12-17 20:00:00,0.403579,0.418873,0.400137
2025-12-18 00:00:00,0.402596,0.405807,0.400488
2025-12-18 04:00:00,0.398073,0.403823,0.398073
2025-12-18 08:00:00,0.40059,0.401219,0.39555
2025-12-18 12:00:00,0.405604,0.406792,0.400509
2025-12-18 16:00:00,0.417241,0.420925,0.405326
2025-12-18 20:00:00,0.385322,0.416177,0.385322
2025-12-19 00:00:00,0.390413,0.395481,0.386375
2025-12-19 04:00:00,0.402569,0.403198,0.387462
2025-12-19 08:00:00,0.402835,0.405992,0.399638
2025-12-19 12:00:00,0.404631,0.404989,0.402313
2025-12-19 16:00:00,0.408175,0.411376,0.404195
2025-12-19 20:00:00,0.415152,0.415152,0.405241
2025-12-20 00:00:00,0.419903,0.420649,0.413516
2025-12-20 04:00:00,0.420457,0.420686,0.41683
2025-12-20 08:00:00,0.426768,0.427202,0.418123
2025-12-20 12:00:00,0.426478,0.429736,0.421557
2025-12-20 16:00:00,0.424182,0.426445,0.42145
2025-12-20 20:00:00,0.423183,0.425347,0.423183
2025-12-21 00:00:00,0.42193,0.424466,0.42192
2025-12-21 04:00:00,0.417898,0.422109,0.415601
2025-12-21 08:00:00,0.418552,0.418686,0.416307
2025-12-21 12:00:00,0.416713,0.421115,0.416713
2025-12-21 16:00:00,0.405678,0.416972,0.403455
2025-12-21 20:00:00,0.408351,0.410708,0.405463
2025-12-22 00:00:00,0.410359,0.411359,0.404573
2025-12-22 04:00:00,0.410373,0.415007,0.405899
2025-12-22 08:00:00,0.41783,0.418287,0.411033
2025-12-22 12:00:00,0.421245,0.421245,0.415683
2025-12-22 16:00:00,0.42525,0.429372,0.421297
2025-12-22 20:00:00,0.420929,0.43287,0.420929
2025-12-23 00:00:00,0.422602,0.423289,0.416241
2025-12-23 04:00:00,0.422474,0.429311,0.422033
2025-12-23 08:00:00,0.418495,0.422981,0.417419
2025-12-23 12:00:00,0.418227,0.419924,0.416462
2025-12-23 16:00:00,0.416423,0.418867,0.413554
2025-12-23 20:00:00,0.424263,0.432816,0.416779
2025-12-24 00:00:00,0.430105,0.438719,0.423369
2025-12-24 04:00:00,0.423971,0.432074,0.41998
2025-12-24 08:00:00,0.423409,0.430205,0.420848
2025-12-24 12:00:00,0.420104,0.422188,0.41825
2025-12-24 16:00:00,0.425938,0.427843,0.418112
2025-12-24 20:00:00,0.433111,0.433894,0.422502
2025-12-25 00:00:00,0.439317,0.439317,0.429977
2025-12-25 04:00:00,0.443095,0.443095,0.434546
2025-12-25 08:00:00,0.438628,0.445743,0.437502
2025-12-25 12:00:00,0.43437,0.440104,0.432395
2025-12-25 16:00:00,0.434219,0.436906,0.431432
2025-12-25 20:00:00,0.434517,0.436328,0.43331
2025-12-26 00:00:00,0.421462,0.437547,0.421462
2025-12-26 04:00:00,0.436658,0.43919,0.420805
2025-12-26 08:00:00,0.43301,0.437047,0.43301
2025-12-26 12:00:00,0.433635,0.434366,0.432142
2025-12-26 16:00:00,0.4264,0.435687,0.426314
2025-12-26 20:00:00,0.431635,0.432012,0.4239
2025-12-27 00:00:00,0.433334,0.434553,0.428893
2025-12-27 04:00:00,0.443454,0.443954,0.43349
2025-12-27 08:00:00,0.44125,0.443762,0.440259
2025-12-27 12:00:00,0.448111,0.448111,0.438688
2025-12-27 16:00:00,0.447306,0.448302,0.44322
2025-12-27 20:00:00,0.442392,0.447007,0.442169
2025-12-28 00:00:00,0.450291,0.450291,0.441473
2025-12-28 04:00:00,0.449919,0.450298,0.445956
2025-12-28 08:00:00,0.448937,0.450549,0.4481
2025-12-28 12:00:00,0.445799,0.450135,0.445353
2025-12-28 16:00:00,0.444001,0.446177,0.440847
2025-12-28 20:00:00,0.434681,0.445322,0.434681
2025-12-29 00:00:00,0.432947,0.434566,0.430809
2025-12-29 04:00:00,0.439227,0.439807,0.4324
2025-12-29 08:00:00,0.44278,0.444095,0.437755
2025-12-29 12:00:00,0.440414,0.44438,0.435259
2025-12-29 16:00:00,0.42695,0.439321,0.424432
2025-12-29 20:00:00,0.423834,0.426607,0.419754
2025-12-30 00:00:00,0.418384,0.423626,0.418384
2025-12-30 04:00:00,0.418289,0.422699,0.416256
2025-12-30 08:00:00,0.416877,0.419745,0.415663
2025-12-30 12:00:00,0.420772,0.422219,0.417954
2025-12-30 16:00:00,0.424414,0.424414,0.415741
2025-12-30 20:00:00,0.421741,0.428285,0.419053
2025-12-31 00:00:00,0.418877,0.422051,0.41595
2025-12-31 04:00:00,0.41481,0.419064,0.413946
2025-12-31 08:00:00,0.415719,0.416118,0.414632
2025-12-31 12:00:00,0.416086,0.417538,0.414342
2025-12-31 16:00:00,0.408701,0.415882,0.408537
2025-12-31 20:00:00,0.405844,0.410063,0.399432
2026-01-01 00:00:00,0.410137,0.411338,0.402356
2026-01-01 04:00:00,0.410707,0.410833,0.408156
2026-01-01 08:00:00,0.413437,0.414466,0.409806
2026-01-01 12:00:00,0.416728,0.416746,0.412367
2026-01-01 16:00:00,0.444051,0.444051,0.415744
2026-01-01 20:00:00,0.441827,0.461664,0.435639
2026-01-02 00:00:00,0.446886,0.448246,0.439704
2026-01-02 04:00:00,0.446442,0.449766,0.442284
2026-01-02 08:00:00,0.441977,0.446936,0.441606
2026-01-02 12:00:00,0.442106,0.446711,0.441362
2026-01-02 16:00:00,0.450135,0.450571,0.441623
2026-01-02 20:00:00,0.460285,0.460577,0.44801
2026-01-03 00:00:00,0.461032,0.466017,0.456753
2026-01-03 04:00:00,0.466901,0.466901,0.457813
2026-01-03 08:00:00,0.453577,0.467057,0.453463
