,close,high,low
2025-12-04 16:00:00,0.999113,0.9994,0.997552
2025-12-04 20:00:00,0.998812,0.999177,0.997553
2025-12-05 00:00:00,0.999251,0.999497,0.998776
2025-12-05 04:00:00,0.998696,0.999658,0.998255
2025-12-05 08:00:00,0.99322,0.999743,0.985737
2025-12-05 12:00:00,0.998123,0.999712,0.985738
2025-12-05 16:00:00,0.999555,0.999877,0.998116
2025-12-05 20:00:00,0.998262,1.0,0.997917
2025-12-06 00:00:00,0.99894,0.999717,0.998294
2025-12-06 04:00:00,0.998204,0.999521,0.997756
2025-12-06 08:00:00,0.999408,1.002,0.99811
2025-12-06 12:00:00,0.999307,1.001,0.9982
2025-12-06 16:00:00,0.999229,0.999554,0.999069
2025-12-06 20:00:00,0.99683,0.999649,0.993856
2025-12-07 00:00:00,0.999584,0.999619,0.993934
2025-12-07 04:00:00,0.999359,0.999564,0.998463
2025-12-07 08:00:00,0.999456,0.999591,0.999325
2025-12-07 12:00:00,0.99945,1.01,0.999412
2025-12-07 16:00:00,0.99951,0.999808,0.998967
2025-12-07 20:00:00,0.998605,1.0,0.998308
2025-12-08 00:00:00,0.999524,0.999524,0.998054
2025-12-08 04:00:00,0.999489,0.999707,0.999188
2025-12-08 08:00:00,0.999669,1.035,0.996715
2025-12-08 12:00:00,0.997994,1.0,0.997949
2025-12-08 16:00:00,0.998662,1.001,0.998027
2025-12-08 20:00:00,0.999391,1.25,0.997546
2025-12-09 00:00:00,0.99842,0.999426,0.998027
2025-12-09 04:00:00,0.999278,1.001,0.998275
2025-12-09 08:00:00,0.998758,0.999384,0.997291
2025-12-09 12:00:00,0.99798,0.999546,0.996761
2025-12-09 16:00:00,0.99908,0.999236,0.997787
2025-12-09 20:00:00,0.999651,1.0,0.998888
2025-12-10 00:00:00,0.998378,1.0,0.998375
2025-12-10 04:00:00,0.998015,0.999233,0.997852
2025-12-10 08:00:00,0.999314,0.999798,0.997481
2025-12-10 12:00:00,0.999301,0.999997,0.998326
2025-12-10 16:00:00,0.99954,0.999635,0.998026
2025-12-10 20:00:00,0.999956,0.999956,0.998109
2025-12-11 00:00:00,0.999735,1.001,0.998464
2025-12-11 04:00:00,0.999169,0.999785,0.998158
2025-12-11 08:00:00,0.998669,1.099,0.997941
2025-12-11 12:00:00,0.99941,0.99972,0.998096
2025-12-11 16:00:00,0.9995,0.999648,0.999349
2025-12-11 20:00:00,0.99957,0.999667,0.998274
2025-12-12 00:00:00,0.999684,1.0,0.998656
2025-12-12 04:00:00,0.999517,0.999997,0.998696
2025-12-12 08:00:00,0.999834,0.999919,0.999525
2025-12-12 12:00:00,0.998812,1.0,0.998569
2025-12-12 16:00:00,0.999161,0.99953,0.997499
2025-12-12 20:00:00,0.99926,0.999479,0.998152
2025-12-13 00:00:00,0.999487,0.999514,0.999223
2025-12-13 04:00:00,0.999445,0.999666,0.999325
2025-12-13 08:00:00,0.999516,0.999516,0.998118
2025-12-13 12:00:00,0.999642,0.999883,0.999207
2025-12-13 16:00:00,0.999749,0.999831,0.999499
2025-12-13 20:00:00,0.999656,0.999843,0.998608
2025-12-14 00:00:00,0.999604,0.999771,0.998653
2025-12-14 04:00:00,0.99979,0.999888,0.998554
2025-12-14 08:00:00,0.998804,1.0,0.998707
2025-12-14 12:00:00,0.99942,1.0,0.998485
2025-12-14 16:00:00,0.999571,0.999802,0.998485
