,close,high,low
2025-12-04 12:00:00,3.48,3.49,3.43
2025-12-04 16:00:00,3.48,3.5,3.43
2025-12-04 20:00:00,3.39,3.5,3.36
2025-12-05 00:00:00,3.37,3.41,3.37
2025-12-05 04:00:00,3.4,3.47,3.37
2025-12-05 08:00:00,3.55,3.59,3.37
2025-12-05 12:00:00,3.4,3.54,3.4
2025-12-05 16:00:00,3.33,3.42,3.33
2025-12-05 20:00:00,3.17,3.32,3.15
2025-12-06 00:00:00,3.16,3.19,3.15
2025-12-06 04:00:00,3.16,3.21,3.14
2025-12-06 08:00:00,3.14,3.17,3.14
2025-12-06 12:00:00,3.11,3.15,3.1
2025-12-06 16:00:00,3.18,3.18,3.11
2025-12-06 20:00:00,3.15,3.22,3.15
2025-12-07 00:00:00,3.17,3.2,3.15
2025-12-07 04:00:00,3.16,3.18,3.15
2025-12-07 08:00:00,3.16,3.22,3.16
2025-12-07 12:00:00,3.14,3.16,3.14
2025-12-07 16:00:00,3.11,3.19,3.05
2025-12-07 20:00:00,3.25,3.25,3.1
2025-12-08 00:00:00,3.17,3.29,3.15
2025-12-08 04:00:00,3.24,3.39,3.17
2025-12-08 08:00:00,3.27,3.31,3.24
2025-12-08 12:00:00,3.28,3.31,3.26
2025-12-08 16:00:00,3.25,3.3,3.24
2025-12-08 20:00:00,3.24,3.28,3.22
2025-12-09 00:00:00,3.22,3.26,3.22
2025-12-09 04:00:00,3.24,3.24,3.21
2025-12-09 08:00:00,3.23,3.25,3.2
2025-12-09 12:00:00,3.23,3.23,3.21
2025-12-09 16:00:00,3.34,3.34,3.23
2025-12-09 20:00:00,3.41,3.45,3.35
2025-12-10 00:00:00,3.38,3.41,3.35
2025-12-10 04:00:00,3.34,3.39,3.33
2025-12-10 08:00:00,3.34,3.35,3.33
2025-12-10 12:00:00,3.35,3.41,3.33
2025-12-10 16:00:00,3.38,3.41,3.33
2025-12-10 20:00:00,3.48,3.49,3.38
2025-12-11 00:00:00,3.4,3.52,3.38
2025-12-11 04:00:00,3.17,3.39,3.17
2025-12-11 08:00:00,3.2,3.23,3.17
2025-12-11 12:00:00,3.21,3.22,3.19
2025-12-11 16:00:00,3.18,3.21,3.18
2025-12-11 20:00:00,3.23,3.23,3.16
2025-12-12 00:00:00,3.25,3.28,3.21
2025-12-12 04:00:00,3.3,3.33,3.24
2025-12-12 08:00:00,3.28,3.3,3.27
2025-12-12 12:00:00,3.27,3.29,3.27
2025-12-12 16:00:00,3.13,3.28,3.13
2025-12-12 20:00:00,3.08,3.12,3.07
2025-12-13 00:00:00,3.14,3.14,3.08
2025-12-13 04:00:00,3.16,3.16,3.13
2025-12-13 08:00:00,3.16,3.16,3.15
2025-12-13 12:00:00,3.16,3.18,3.16
2025-12-13 16:00:00,3.16,3.17,3.14
2025-12-13 20:00:00,3.15,3.17,3.15
2025-12-14 00:00:00,3.15,3.16,3.14
2025-12-14 04:00:00,3.13,3.26,3.12
2025-12-14 08:00:00,3.09,3.12,3.08
2025-12-14 12:00:00,3.08,3.12,3.07
2025-12-14 16:00:00,3.07,3.1,3.05
