,close,high,low
2025-12-30 12:00:00,2.74,7.86,2.63
2025-12-30 16:00:00,2.76,2.86,2.62
2025-12-30 20:00:00,2.79,2.93,2.69
2025-12-31 00:00:00,2.73,2.88,2.72
2025-12-31 04:00:00,2.76,2.77,2.62
2025-12-31 08:00:00,2.73,2.81,2.68
2025-12-31 12:00:00,2.78,2.8,2.7
2025-12-31 16:00:00,2.5,2.78,2.45
2025-12-31 20:00:00,2.54,2.61,2.48
2026-01-01 00:00:00,2.48,2.53,2.47
2026-01-01 04:00:00,2.49,2.51,2.32
2026-01-01 08:00:00,2.49,2.55,2.43
2026-01-01 12:00:00,2.59,2.6,2.44
2026-01-01 16:00:00,2.6,2.71,2.58
2026-01-01 20:00:00,2.75,2.77,2.59
2026-01-02 00:00:00,2.64,2.76,2.64
2026-01-02 04:00:00,2.64,2.69,2.61
2026-01-02 08:00:00,2.68,2.76,2.66
2026-01-02 12:00:00,2.7,2.74,2.64
2026-01-02 16:00:00,2.69,2.79,2.69
2026-01-02 20:00:00,2.7,2.76,2.68
2026-01-03 00:00:00,2.66,2.73,2.66
2026-01-03 04:00:00,2.72,2.74,2.65
2026-01-03 08:00:00,2.57,2.72,2.57
2026-01-03 12:00:00,2.66,2.66,2.53
2026-01-03 16:00:00,2.5,2.7,2.5
2026-01-03 20:00:00,2.57,2.61,2.5
2026-01-04 00:00:00,2.59,2.59,2.51
2026-01-04 04:00:00,2.66,2.68,2.57
2026-01-04 08:00:00,2.61,2.67,2.58
2026-01-04 12:00:00,2.54,2.61,2.52
2026-01-04 16:00:00,2.59,2.6,2.53
2026-01-04 20:00:00,2.65,2.66,2.56
2026-01-05 00:00:00,2.65,2.67,2.6
2026-01-05 04:00:00,2.65,2.74,2.63
2026-01-05 08:00:00,2.66,2.66,2.63
2026-01-05 12:00:00,2.75,2.75,2.66
2026-01-05 16:00:00,2.96,2.96,2.74
2026-01-05 20:00:00,3.08,3.08,2.92
2026-01-06 00:00:00,3.02,3.09,2.97
2026-01-06 04:00:00,3.05,3.07,2.97
2026-01-06 08:00:00,3.06,3.15,3.01
2026-01-06 12:00:00,3.2,3.2,3.03
