,close,high,low
2025-12-04 16:00:00,1.002,1.003,1.0
2025-12-04 20:00:00,1.001,1.003,0.996984
2025-12-05 00:00:00,0.997199,1.002,0.996961
2025-12-05 04:00:00,1.002,1.003,0.997707
2025-12-05 08:00:00,1.0,1.003,0.999763
2025-12-05 12:00:00,1.001,1.002,0.999173
2025-12-05 16:00:00,1.001,1.003,0.997531
2025-12-05 20:00:00,1.001,1.002,0.993903
2025-12-06 00:00:00,1.001,1.003,0.999058
2025-12-06 04:00:00,1.001,1.002,0.999092
2025-12-06 08:00:00,0.999896,1.001,0.999576
2025-12-06 12:00:00,1.001,1.002,0.999613
2025-12-06 16:00:00,1.002,1.002,0.99889
2025-12-06 20:00:00,1.001,1.002,1.0
2025-12-07 00:00:00,1.0,1.002,0.998575
2025-12-07 04:00:00,1.001,1.001,0.999209
2025-12-07 08:00:00,1.001,1.001,0.999638
2025-12-07 12:00:00,1.001,1.002,1.001
2025-12-07 16:00:00,1.002,1.002,0.999816
2025-12-07 20:00:00,1.002,1.003,1.001
2025-12-08 00:00:00,1.001,1.002,0.999696
2025-12-08 04:00:00,1.001,1.002,1.0
2025-12-08 08:00:00,1.0,1.001,1.0
2025-12-08 12:00:00,1.001,1.002,0.988788
2025-12-08 16:00:00,0.999927,1.001,0.99976
2025-12-08 20:00:00,1.0,1.0,0.998067
2025-12-09 00:00:00,1.0,1.001,0.999916
2025-12-09 04:00:00,0.999731,1.0,0.998941
2025-12-09 08:00:00,0.999692,0.999892,0.9988
2025-12-09 12:00:00,1.0,1.001,0.99778
2025-12-09 16:00:00,1.002,1.002,0.998583
2025-12-09 20:00:00,1.001,1.002,0.999399
2025-12-10 00:00:00,1.001,1.001,0.998738
2025-12-10 04:00:00,1.001,1.001,0.999274
2025-12-10 08:00:00,1.0,1.001,0.999568
2025-12-10 12:00:00,0.999907,1.0,0.998665
2025-12-10 16:00:00,0.999651,1.0,0.998639
2025-12-10 20:00:00,0.99942,1.001,0.996851
2025-12-11 00:00:00,0.998037,1.001,0.996693
2025-12-11 04:00:00,0.996457,0.999324,0.992602
2025-12-11 08:00:00,0.997875,0.999487,0.996589
2025-12-11 12:00:00,0.999458,0.999458,0.996278
2025-12-11 16:00:00,1.001,1.001,0.996304
2025-12-11 20:00:00,0.99981,1.002,0.996959
2025-12-12 00:00:00,1.0,1.003,0.998161
2025-12-12 04:00:00,1.0,1.002,0.997526
2025-12-12 08:00:00,1.0,1.001,0.995748
2025-12-12 12:00:00,1.0,1.001,0.996339
2025-12-12 16:00:00,0.994383,1.001,0.994383
2025-12-12 20:00:00,0.9985,0.999378,0.992681
2025-12-13 00:00:00,0.997522,1.001,0.996966
2025-12-13 04:00:00,1.0,1.001,0.997252
2025-12-13 08:00:00,1.001,1.001,0.999561
2025-12-13 12:00:00,0.999991,1.003,0.999239
2025-12-13 16:00:00,0.999695,1.001,0.997834
2025-12-13 20:00:00,0.999516,0.999872,0.998136
2025-12-14 00:00:00,0.999338,1.0,0.997079
2025-12-14 04:00:00,0.998284,1.001,0.998022
2025-12-14 08:00:00,0.998658,1.0,0.997755
2025-12-14 12:00:00,0.999438,1.0,0.995465
2025-12-14 16:00:00,1.0,1.001,0.997247
2025-12-14 20:00:00,0.998237,1.001,0.997495
2025-12-15 00:00:00,1.001,1.001,0.995256
2025-12-15 04:00:00,0.999766,1.002,0.999671
2025-12-15 08:00:00,0.999823,1.0,0.99923
2025-12-15 12:00:00,1.0,1.001,0.999593
2025-12-15 16:00:00,0.998671,1.001,0.996573
2025-12-15 20:00:00,1.001,1.001,0.996946
2025-12-16 00:00:00,1.001,1.002,0.997349
2025-12-16 04:00:00,0.999457,1.002,0.996529
2025-12-16 08:00:00,0.999554,1.001,0.99645
2025-12-16 12:00:00,1.001,1.002,0.99792
2025-12-16 16:00:00,1.001,1.001,0.998582
