,close,high,low
2025-12-04 16:00:00,0.190958,0.191605,0.187738
2025-12-04 20:00:00,0.18823,0.191532,0.185051
2025-12-05 00:00:00,0.186932,0.188617,0.186677
2025-12-05 04:00:00,0.18754,0.188126,0.185024
2025-12-05 08:00:00,0.187578,0.187842,0.185291
2025-12-05 12:00:00,0.183959,0.187712,0.18323
2025-12-05 16:00:00,0.183322,0.184656,0.181035
2025-12-05 20:00:00,0.178747,0.18231,0.176424
2025-12-06 00:00:00,0.179998,0.180615,0.177582
2025-12-06 04:00:00,0.181225,0.181731,0.17884
2025-12-06 08:00:00,0.188475,0.190452,0.18077
2025-12-06 12:00:00,0.185652,0.189775,0.183339
2025-12-06 16:00:00,0.185994,0.185994,0.183097
2025-12-06 20:00:00,0.185665,0.18883,0.185176
2025-12-07 00:00:00,0.18653,0.187559,0.185444
2025-12-07 04:00:00,0.18688,0.187625,0.186652
2025-12-07 08:00:00,0.18468,0.18836,0.184626
2025-12-07 12:00:00,0.183486,0.18489,0.183057
2025-12-07 16:00:00,0.180883,0.18467,0.177954
2025-12-07 20:00:00,0.187294,0.187294,0.181357
2025-12-08 00:00:00,0.18008,0.187382,0.17956
2025-12-08 04:00:00,0.184039,0.184039,0.18039
2025-12-08 08:00:00,0.185416,0.18597,0.183445
2025-12-08 12:00:00,0.186783,0.188226,0.184872
2025-12-08 16:00:00,0.187064,0.189788,0.186376
2025-12-08 20:00:00,0.185428,0.187644,0.184082
2025-12-09 00:00:00,0.18635,0.187665,0.185
2025-12-09 04:00:00,0.185489,0.18655,0.183556
2025-12-09 08:00:00,0.184545,0.185773,0.182418
2025-12-09 12:00:00,0.183493,0.184664,0.182785
2025-12-09 16:00:00,0.19067,0.19067,0.183502
2025-12-09 20:00:00,0.191249,0.193939,0.190924
2025-12-10 00:00:00,0.188664,0.191153,0.186681
2025-12-10 04:00:00,0.186906,0.18867,0.185487
2025-12-10 08:00:00,0.186552,0.187838,0.185468
2025-12-10 12:00:00,0.183356,0.186843,0.182925
2025-12-10 16:00:00,0.18391,0.184967,0.182842
2025-12-10 20:00:00,0.186511,0.186702,0.18356
2025-12-11 00:00:00,0.183134,0.189267,0.182597
2025-12-11 04:00:00,0.174915,0.183432,0.174915
2025-12-11 08:00:00,0.175119,0.176568,0.174352
2025-12-11 12:00:00,0.174288,0.175424,0.172098
2025-12-11 16:00:00,0.172285,0.174638,0.171806
2025-12-11 20:00:00,0.174369,0.175254,0.171414
2025-12-12 00:00:00,0.176692,0.180544,0.173562
2025-12-12 04:00:00,0.176779,0.177496,0.175111
2025-12-12 08:00:00,0.177351,0.178758,0.176404
2025-12-12 12:00:00,0.176299,0.177228,0.175739
2025-12-12 16:00:00,0.171013,0.177041,0.171013
2025-12-12 20:00:00,0.166737,0.169809,0.166095
2025-12-13 00:00:00,0.167114,0.16801,0.166112
2025-12-13 04:00:00,0.164394,0.166604,0.163685
2025-12-13 08:00:00,0.163212,0.164417,0.160825
2025-12-13 12:00:00,0.163866,0.165701,0.163239
2025-12-13 16:00:00,0.165754,0.165769,0.163298
2025-12-13 20:00:00,0.168271,0.168633,0.166163
2025-12-14 00:00:00,0.167069,0.168249,0.166552
2025-12-14 04:00:00,0.168012,0.169775,0.166759
2025-12-14 08:00:00,0.164419,0.168195,0.164151
2025-12-14 12:00:00,0.161911,0.164989,0.161122
2025-12-14 16:00:00,0.160751,0.163219,0.160626
2025-12-14 20:00:00,0.159616,0.162013,0.159564
2025-12-15 00:00:00,0.159185,0.160218,0.157901
2025-12-15 04:00:00,0.162244,0.166866,0.159144
2025-12-15 08:00:00,0.161724,0.164037,0.161563
2025-12-15 12:00:00,0.161742,0.162824,0.161617
2025-12-15 16:00:00,0.153557,0.162639,0.152423
2025-12-15 20:00:00,0.150045,0.15461,0.148238
2025-12-16 00:00:00,0.152228,0.152787,0.14831
2025-12-16 04:00:00,0.150752,0.152409,0.150014
2025-12-16 08:00:00,0.150057,0.151711,0.14845
2025-12-16 12:00:00,0.153262,0.153503,0.149951
2025-12-16 16:00:00,0.154086,0.154097,0.151348
2025-12-16 20:00:00,0.153469,0.155142,0.152448
2025-12-17 00:00:00,0.154,0.15446,0.153056
2025-12-17 04:00:00,0.161244,0.161831,0.153226
2025-12-17 08:00:00,0.161218,0.165623,0.159156
2025-12-17 12:00:00,0.156265,0.161013,0.155029
2025-12-17 16:00:00,0.152406,0.157373,0.152406
2025-12-17 20:00:00,0.146646,0.15174,0.144839
2025-12-18 00:00:00,0.145818,0.147566,0.144993
2025-12-18 04:00:00,0.143584,0.146329,0.143425
2025-12-18 08:00:00,0.142368,0.144175,0.14142
2025-12-18 12:00:00,0.143541,0.144042,0.142424
2025-12-18 16:00:00,0.147276,0.149301,0.143519
2025-12-18 20:00:00,0.13397,0.147132,0.13397
2025-12-19 00:00:00,0.138816,0.140926,0.133746
2025-12-19 04:00:00,0.141575,0.142386,0.136635
2025-12-19 08:00:00,0.141411,0.143085,0.140105
2025-12-19 12:00:00,0.141186,0.142571,0.14
2025-12-19 16:00:00,0.139802,0.141544,0.139709
2025-12-19 20:00:00,0.143126,0.143385,0.139572
2025-12-20 00:00:00,0.142701,0.143394,0.142085
2025-12-20 04:00:00,0.143804,0.143962,0.142149
2025-12-20 08:00:00,0.1432,0.143774,0.142154
2025-12-20 12:00:00,0.143251,0.144176,0.141779
2025-12-20 16:00:00,0.142734,0.145544,0.142233
2025-12-20 20:00:00,0.143925,0.144144,0.141971
2025-12-21 00:00:00,0.143971,0.144865,0.143392
2025-12-21 04:00:00,0.142159,0.143929,0.14071
2025-12-21 08:00:00,0.141873,0.141905,0.141268
2025-12-21 12:00:00,0.141402,0.14325,0.141402
2025-12-21 16:00:00,0.139643,0.141876,0.138133
2025-12-21 20:00:00,0.140573,0.141621,0.139211
2025-12-22 00:00:00,0.141197,0.141998,0.139458
2025-12-22 04:00:00,0.139763,0.142914,0.138936
2025-12-22 08:00:00,0.141422,0.141636,0.139886
2025-12-22 12:00:00,0.14171,0.143011,0.140192
2025-12-22 16:00:00,0.146167,0.146167,0.141682
2025-12-22 20:00:00,0.148267,0.149806,0.146429
2025-12-23 00:00:00,0.149958,0.151372,0.146957
2025-12-23 04:00:00,0.149358,0.151295,0.148479
2025-12-23 08:00:00,0.147377,0.149975,0.146245
2025-12-23 12:00:00,0.146797,0.148392,0.146007
2025-12-23 16:00:00,0.147179,0.147313,0.145071
2025-12-23 20:00:00,0.150413,0.150578,0.147453
2025-12-24 00:00:00,0.149875,0.151319,0.1493
2025-12-24 04:00:00,0.150038,0.150038,0.147034
2025-12-24 08:00:00,0.147126,0.150359,0.146607
2025-12-24 12:00:00,0.147543,0.14772,0.146514
2025-12-24 16:00:00,0.14946,0.149828,0.147133
2025-12-24 20:00:00,0.150839,0.151089,0.149057
2025-12-25 00:00:00,0.151102,0.151685,0.15033
2025-12-25 04:00:00,0.153515,0.153515,0.149863
2025-12-25 08:00:00,0.155306,0.155306,0.153385
2025-12-25 12:00:00,0.152247,0.155928,0.151464
2025-12-25 16:00:00,0.153249,0.153249,0.150679
2025-12-25 20:00:00,0.155971,0.157139,0.153423
2025-12-26 00:00:00,0.152838,0.157518,0.152261
2025-12-26 04:00:00,0.159161,0.160249,0.1522
2025-12-26 08:00:00,0.161447,0.163505,0.158831
2025-12-26 12:00:00,0.159317,0.164381,0.159317
2025-12-26 16:00:00,0.160797,0.165351,0.159148
2025-12-26 20:00:00,0.165792,0.169244,0.160747
2025-12-27 00:00:00,0.164778,0.167077,0.164014
2025-12-27 04:00:00,0.166648,0.168284,0.164878
2025-12-27 08:00:00,0.169298,0.17,0.166578
2025-12-27 12:00:00,0.173757,0.174153,0.16907
2025-12-27 16:00:00,0.171672,0.174853,0.171536
2025-12-27 20:00:00,0.172827,0.173243,0.170659
2025-12-28 00:00:00,0.174582,0.174955,0.17259
2025-12-28 04:00:00,0.173799,0.174845,0.173746
2025-12-28 08:00:00,0.173403,0.174467,0.173038
2025-12-28 12:00:00,0.171117,0.173264,0.170846
2025-12-28 16:00:00,0.168217,0.171385,0.167877
2025-12-28 20:00:00,0.168981,0.168981,0.166965
2025-12-29 00:00:00,0.169331,0.170712,0.168594
2025-12-29 04:00:00,0.171243,0.171897,0.169031
2025-12-29 08:00:00,0.168646,0.171086,0.167714
2025-12-29 12:00:00,0.16617,0.169013,0.16562
2025-12-29 16:00:00,0.166431,0.166748,0.163373
2025-12-29 20:00:00,0.165135,0.166455,0.164248
2025-12-30 00:00:00,0.165271,0.166305,0.164613
2025-12-30 04:00:00,0.165805,0.166296,0.164998
2025-12-30 08:00:00,0.168926,0.168946,0.1653
2025-12-30 12:00:00,0.169289,0.169358,0.167837
2025-12-30 16:00:00,0.16815,0.168845,0.166861
2025-12-30 20:00:00,0.166845,0.168365,0.16586
2025-12-31 00:00:00,0.164931,0.167032,0.164833
2025-12-31 04:00:00,0.168668,0.168851,0.164194
2025-12-31 08:00:00,0.167973,0.170786,0.167942
2025-12-31 12:00:00,0.172924,0.173115,0.167171
2025-12-31 16:00:00,0.169948,0.173895,0.169893
2025-12-31 20:00:00,0.172686,0.172686,0.164635
2026-01-01 00:00:00,0.171871,0.173465,0.17051
2026-01-01 04:00:00,0.173302,0.175791,0.1695
2026-01-01 08:00:00,0.171701,0.173781,0.171131
2026-01-01 12:00:00,0.173777,0.174255,0.169907
2026-01-01 16:00:00,0.171702,0.173448,0.170324
2026-01-01 20:00:00,0.172834,0.172945,0.170967
2026-01-02 00:00:00,0.172469,0.173144,0.172183
2026-01-02 04:00:00,0.170947,0.172672,0.169469
2026-01-02 08:00:00,0.16816,0.171017,0.168078
2026-01-02 12:00:00,0.167246,0.16898,0.167119
2026-01-02 16:00:00,0.169492,0.170265,0.167223
2026-01-02 20:00:00,0.171132,0.171424,0.168817
2026-01-03 00:00:00,0.171836,0.172239,0.169853
2026-01-03 04:00:00,0.175304,0.175304,0.171814
2026-01-03 08:00:00,0.170121,0.179077,0.170121
2026-01-03 12:00:00,0.169564,0.171665,0.169289
