,close,high,low
2025-12-04 20:00:00,0.071611,0.074279,0.071611
2025-12-05 00:00:00,0.071701,0.072643,0.071511
2025-12-05 04:00:00,0.071495,0.0718,0.070642
2025-12-05 08:00:00,0.070621,0.071462,0.070621
2025-12-05 12:00:00,0.070856,0.071548,0.070566
2025-12-05 16:00:00,0.070977,0.071562,0.070602
2025-12-05 20:00:00,0.069859,0.071024,0.068675
2025-12-06 00:00:00,0.069882,0.069941,0.068933
2025-12-06 04:00:00,0.070828,0.070843,0.069811
2025-12-06 08:00:00,0.074744,0.074744,0.069113
2025-12-06 12:00:00,0.074753,0.078161,0.073629
2025-12-06 16:00:00,0.073445,0.074816,0.072928
2025-12-06 20:00:00,0.072279,0.073135,0.071777
2025-12-07 00:00:00,0.072674,0.072871,0.072255
2025-12-07 04:00:00,0.073357,0.073836,0.07252
2025-12-07 08:00:00,0.07423,0.074895,0.073428
2025-12-07 12:00:00,0.071167,0.074948,0.071167
2025-12-07 16:00:00,0.06837,0.070684,0.068168
2025-12-07 20:00:00,0.069911,0.070511,0.068136
2025-12-08 00:00:00,0.069295,0.070462,0.068989
2025-12-08 04:00:00,0.070409,0.070914,0.068896
2025-12-08 08:00:00,0.07112,0.0715,0.070416
2025-12-08 12:00:00,0.073355,0.073439,0.070987
2025-12-08 16:00:00,0.06957,0.073939,0.069527
2025-12-08 20:00:00,0.068084,0.069672,0.067652
2025-12-09 00:00:00,0.06787,0.06853,0.067194
2025-12-09 04:00:00,0.069116,0.069116,0.067813
2025-12-09 08:00:00,0.06743,0.069348,0.066993
2025-12-09 12:00:00,0.069178,0.070524,0.068151
2025-12-09 16:00:00,0.069975,0.069975,0.069169
2025-12-09 20:00:00,0.0727,0.074366,0.070252
2025-12-10 00:00:00,0.071179,0.072779,0.070917
2025-12-10 04:00:00,0.072315,0.073291,0.071124
2025-12-10 08:00:00,0.073045,0.074163,0.071871
2025-12-10 12:00:00,0.073649,0.073649,0.072577
2025-12-10 16:00:00,0.07313,0.073252,0.072398
2025-12-10 20:00:00,0.07334,0.073883,0.07239
2025-12-11 00:00:00,0.07295,0.074642,0.072708
2025-12-11 04:00:00,0.070302,0.073442,0.070162
2025-12-11 08:00:00,0.07005,0.071437,0.07005
2025-12-11 12:00:00,0.069913,0.070179,0.069401
2025-12-11 16:00:00,0.070175,0.070238,0.069478
2025-12-11 20:00:00,0.071984,0.071997,0.069679
2025-12-12 00:00:00,0.072486,0.072628,0.071194
2025-12-12 04:00:00,0.072508,0.073019,0.071503
2025-12-12 08:00:00,0.073959,0.074092,0.072118
2025-12-12 12:00:00,0.073865,0.074795,0.073078
2025-12-12 16:00:00,0.071895,0.074974,0.071895
2025-12-12 20:00:00,0.070204,0.071553,0.06999
2025-12-13 00:00:00,0.070504,0.07051,0.069892
2025-12-13 04:00:00,0.066374,0.070627,0.065451
2025-12-13 08:00:00,0.06858,0.068656,0.066317
2025-12-13 12:00:00,0.067987,0.068851,0.067779
2025-12-13 16:00:00,0.067803,0.068602,0.067571
2025-12-13 20:00:00,0.067596,0.067977,0.067341
2025-12-14 00:00:00,0.067885,0.068011,0.067294
2025-12-14 04:00:00,0.069091,0.069486,0.067647
2025-12-14 08:00:00,0.068887,0.069,0.068474
2025-12-14 12:00:00,0.067916,0.068917,0.067874
2025-12-14 16:00:00,0.068008,0.068178,0.067707
2025-12-14 20:00:00,0.06758,0.068176,0.066683
2025-12-15 00:00:00,0.068719,0.068868,0.067382
2025-12-15 04:00:00,0.069102,0.069427,0.068445
2025-12-15 08:00:00,0.070187,0.070348,0.069315
2025-12-15 12:00:00,0.067789,0.070299,0.067789
