,close,high,low
2025-12-05 04:00:00,0.00172269,0.00172765,0.00171955
2025-12-05 08:00:00,0.00173192,0.00173239,0.00171981
2025-12-05 12:00:00,0.0017243,0.00173313,0.0017243
2025-12-05 16:00:00,0.0017239,0.00172573,0.0017173
2025-12-05 20:00:00,0.0017168,0.00172257,0.00170866
2025-12-06 00:00:00,0.00171565,0.00171734,0.00170924
2025-12-06 04:00:00,0.00171956,0.00172439,0.00170935
2025-12-06 08:00:00,0.00172006,0.00172061,0.00171135
2025-12-06 12:00:00,0.00171931,0.00172118,0.00171195
2025-12-06 16:00:00,0.00171225,0.00172751,0.00171225
2025-12-06 20:00:00,0.00172813,0.00172813,0.00171299
2025-12-07 00:00:00,0.001739,0.001739,0.0017126
2025-12-07 04:00:00,0.001729,0.00173418,0.00170662
2025-12-07 08:00:00,0.00172743,0.00173721,0.00172199
2025-12-07 12:00:00,0.00171883,0.00172725,0.00170355
2025-12-07 16:00:00,0.00170017,0.00172509,0.00168901
2025-12-07 20:00:00,0.00172548,0.00172808,0.00168757
2025-12-08 00:00:00,0.00171423,0.00173089,0.0016934
2025-12-08 04:00:00,0.0017146,0.00172535,0.00169441
2025-12-08 08:00:00,0.00171456,0.00171875,0.00170674
2025-12-08 12:00:00,0.00172131,0.0017268,0.00170888
2025-12-08 16:00:00,0.00171084,0.00172348,0.00171011
2025-12-08 20:00:00,0.00171432,0.00171749,0.00170616
2025-12-09 00:00:00,0.00171666,0.00171784,0.00170937
2025-12-09 04:00:00,0.0017116,0.00171799,0.00170894
2025-12-09 08:00:00,0.00171636,0.00171841,0.0017102
2025-12-09 12:00:00,0.00169911,0.00171685,0.00168911
2025-12-09 16:00:00,0.00173326,0.00173326,0.00169784
2025-12-09 20:00:00,0.00173889,0.00176101,0.0017326
2025-12-10 00:00:00,0.00173817,0.0017518,0.00173541
2025-12-10 04:00:00,0.0017389,0.00174239,0.00173623
2025-12-10 08:00:00,0.00174462,0.00175192,0.00173871
2025-12-10 12:00:00,0.00177764,0.00191641,0.00174137
2025-12-10 16:00:00,0.00176229,0.0017785,0.00175368
2025-12-10 20:00:00,0.00177441,0.00177441,0.00175464
2025-12-11 00:00:00,0.00176033,0.0017796,0.00174149
2025-12-11 04:00:00,0.00168543,0.00175978,0.00168506
2025-12-11 08:00:00,0.00170849,0.00171439,0.00168254
2025-12-11 12:00:00,0.00170407,0.00172262,0.00168363
2025-12-11 16:00:00,0.00169758,0.00171496,0.00169707
2025-12-11 20:00:00,0.00170062,0.00170072,0.00168357
2025-12-12 00:00:00,0.00170699,0.00171958,0.00169069
2025-12-12 04:00:00,0.00170624,0.00171694,0.00170253
2025-12-12 08:00:00,0.00173552,0.00175408,0.00170218
2025-12-12 12:00:00,0.00172859,0.00174382,0.00172643
2025-12-12 16:00:00,0.00170792,0.00174506,0.00170792
2025-12-12 20:00:00,0.00168835,0.00170473,0.00168663
2025-12-13 00:00:00,0.00171618,0.00171697,0.00168733
2025-12-13 04:00:00,0.00171272,0.00173263,0.00169691
2025-12-13 08:00:00,0.00172235,0.00173388,0.00171272
2025-12-13 12:00:00,0.00172984,0.00173862,0.00172232
2025-12-13 16:00:00,0.00173588,0.00173809,0.00172038
2025-12-13 20:00:00,0.00173697,0.00173965,0.00172557
2025-12-14 00:00:00,0.00173419,0.0017354,0.0017279
2025-12-14 04:00:00,0.00176117,0.00177006,0.00172492
2025-12-14 08:00:00,0.00175952,0.00177464,0.00175069
2025-12-14 12:00:00,0.00173762,0.00177991,0.00173737
2025-12-14 16:00:00,0.00173266,0.00174261,0.00171992
2025-12-14 20:00:00,0.0017278,0.00173413,0.00171707
2025-12-15 00:00:00,0.00172339,0.0017333,0.00171418
2025-12-15 04:00:00,0.00172393,0.00172716,0.00169543
2025-12-15 08:00:00,0.00170198,0.00172341,0.00170198
2025-12-15 12:00:00,0.00169614,0.00170195,0.00168231
2025-12-15 16:00:00,0.00167371,0.00170032,0.00166499
2025-12-15 20:00:00,0.00165703,0.00167733,0.00163467
2025-12-16 00:00:00,0.00165607,0.00166058,0.00163906
2025-12-16 04:00:00,0.0016461,0.00166445,0.00164179
2025-12-16 08:00:00,0.00167154,0.00168959,0.00164502
2025-12-16 12:00:00,0.00166306,0.00168378,0.00165882
2025-12-16 16:00:00,0.00166372,0.00167626,0.0016447
2025-12-16 20:00:00,0.00165477,0.00166675,0.0016526
2025-12-17 00:00:00,0.00166878,0.00167129,0.00165645
2025-12-17 04:00:00,0.00165398,0.0016808,0.00165336
2025-12-17 08:00:00,0.00166006,0.00166653,0.00164808
2025-12-17 12:00:00,0.00166271,0.00167346,0.00165664
2025-12-17 16:00:00,0.0016529,0.00166685,0.0016529
2025-12-17 20:00:00,0.00163457,0.00165453,0.00163419
2025-12-18 00:00:00,0.00163096,0.0016383,0.00162402
2025-12-18 04:00:00,0.001637,0.00166268,0.00162622
2025-12-18 08:00:00,0.00162415,0.00164143,0.00161834
2025-12-18 12:00:00,0.0016258,0.00163216,0.00161886
2025-12-18 16:00:00,0.00164375,0.00166296,0.00162582
2025-12-18 20:00:00,0.00161224,0.00164511,0.0016097
2025-12-19 00:00:00,0.00162015,0.00163143,0.00160187
2025-12-19 04:00:00,0.0016307,0.00163228,0.00161227
2025-12-19 08:00:00,0.00164324,0.00165044,0.00162941
2025-12-19 12:00:00,0.00163547,0.00165245,0.00162816
2025-12-19 16:00:00,0.00163045,0.00164933,0.00162673
2025-12-19 20:00:00,0.00163849,0.00164424,0.00163534
2025-12-20 00:00:00,0.00164865,0.00165721,0.00163784
2025-12-20 04:00:00,0.00166506,0.00166506,0.00165269
2025-12-20 08:00:00,0.00167992,0.00167992,0.00165416
2025-12-20 12:00:00,0.00166817,0.00168307,0.0016574
2025-12-20 16:00:00,0.00167564,0.00167572,0.00166122
2025-12-20 20:00:00,0.0016703,0.00167915,0.00166507
2025-12-21 00:00:00,0.00167292,0.00167303,0.00166566
2025-12-21 04:00:00,0.00172141,0.00175178,0.00166809
2025-12-21 08:00:00,0.00171157,0.00177822,0.00170744
2025-12-21 12:00:00,0.00168513,0.0017129,0.00168019
2025-12-21 16:00:00,0.00168198,0.00168632,0.00166028
2025-12-21 20:00:00,0.00168142,0.00168222,0.00165713
2025-12-22 00:00:00,0.00166644,0.00168267,0.00165956
2025-12-22 04:00:00,0.00169591,0.00169591,0.00166677
2025-12-22 08:00:00,0.00168137,0.00169698,0.00167107
2025-12-22 12:00:00,0.00169021,0.00169021,0.00167348
2025-12-22 16:00:00,0.00168366,0.00168758,0.00167823
2025-12-22 20:00:00,0.00167177,0.00168707,0.00167177
2025-12-23 00:00:00,0.00166952,0.00167808,0.0016636
2025-12-23 04:00:00,0.00166507,0.00168499,0.00166503
2025-12-23 08:00:00,0.00165352,0.00167702,0.00165208
2025-12-23 12:00:00,0.00166225,0.00168035,0.00165258
2025-12-23 16:00:00,0.00166149,0.00166276,0.00164325
2025-12-23 20:00:00,0.00166004,0.00167112,0.00165661
2025-12-24 00:00:00,0.0016661,0.00167094,0.00165446
2025-12-24 04:00:00,0.00165447,0.00169556,0.00165154
2025-12-24 08:00:00,0.00164264,0.00167994,0.00164264
