,close,high,low
2025-12-04 12:00:00,6.24,6.62,6.24
2025-12-04 16:00:00,6.14,6.27,6.03
2025-12-04 20:00:00,6.06,6.15,5.97
2025-12-05 00:00:00,6.09,6.24,6.07
2025-12-05 04:00:00,5.96,6.14,5.96
2025-12-05 08:00:00,6.05,6.14,5.97
2025-12-05 12:00:00,5.95,6.1,5.93
2025-12-05 16:00:00,5.91,5.96,5.73
2025-12-05 20:00:00,5.97,6.06,5.68
2025-12-06 00:00:00,5.99,6.01,5.89
2025-12-06 04:00:00,6.04,6.08,5.93
2025-12-06 08:00:00,6.14,6.3,6.03
2025-12-06 12:00:00,6.24,6.24,5.93
2025-12-06 16:00:00,6.15,6.37,6.1
2025-12-06 20:00:00,5.98,6.16,5.98
2025-12-07 00:00:00,6.16,6.18,5.98
2025-12-07 04:00:00,6.13,6.19,6.11
2025-12-07 08:00:00,6.16,6.17,6.07
2025-12-07 12:00:00,6.06,6.18,6.01
2025-12-07 16:00:00,5.68,6.06,5.66
2025-12-07 20:00:00,5.92,5.93,5.64
2025-12-08 00:00:00,5.74,5.91,5.74
2025-12-08 04:00:00,5.95,6.01,5.72
2025-12-08 08:00:00,6.2,6.22,5.88
2025-12-08 12:00:00,6.14,6.26,6.13
2025-12-08 16:00:00,6.04,6.19,6.04
2025-12-08 20:00:00,5.52,6.05,5.42
2025-12-09 00:00:00,5.42,5.65,5.4
2025-12-09 04:00:00,5.39,5.45,5.36
2025-12-09 08:00:00,5.4,5.43,5.32
2025-12-09 12:00:00,5.31,5.44,5.17
2025-12-09 16:00:00,5.57,5.57,5.32
2025-12-09 20:00:00,6.12,6.18,5.62
2025-12-10 00:00:00,6.46,6.46,6.05
2025-12-10 04:00:00,6.41,6.54,6.38
2025-12-10 08:00:00,6.43,6.53,6.35
2025-12-10 12:00:00,6.68,6.77,6.45
2025-12-10 16:00:00,6.62,6.78,6.6
2025-12-10 20:00:00,7.0,7.14,6.6
2025-12-11 00:00:00,6.45,7.01,6.45
2025-12-11 04:00:00,6.31,6.52,6.31
2025-12-11 08:00:00,6.16,6.28,6.13
2025-12-11 12:00:00,5.77,6.26,5.77
2025-12-11 16:00:00,5.81,5.91,5.74
2025-12-11 20:00:00,6.06,6.06,5.76
2025-12-12 00:00:00,6.98,6.99,6.15
2025-12-12 04:00:00,6.98,7.06,6.94
2025-12-12 08:00:00,6.97,7.07,6.96
2025-12-12 12:00:00,6.81,6.97,6.76
2025-12-12 16:00:00,6.62,6.79,6.62
