,close,high,low
2025-12-04 12:00:00,0.208993,0.211309,0.206892
2025-12-04 16:00:00,0.208332,0.209537,0.205687
2025-12-04 20:00:00,0.205505,0.208576,0.203701
2025-12-05 00:00:00,0.203466,0.206938,0.203466
2025-12-05 04:00:00,0.202074,0.204358,0.200336
2025-12-05 08:00:00,0.201492,0.202457,0.200479
2025-12-05 12:00:00,0.200994,0.202053,0.19892
2025-12-05 16:00:00,0.199899,0.203722,0.199899
2025-12-05 20:00:00,0.201598,0.201598,0.196252
2025-12-06 00:00:00,0.200903,0.203726,0.199559
2025-12-06 04:00:00,0.199774,0.201761,0.19862
2025-12-06 08:00:00,0.200683,0.201436,0.197816
2025-12-06 12:00:00,0.200653,0.201984,0.19952
2025-12-06 16:00:00,0.202968,0.203898,0.200653
2025-12-06 20:00:00,0.198594,0.20398,0.196072
2025-12-07 00:00:00,0.197562,0.199995,0.196033
2025-12-07 04:00:00,0.199141,0.201523,0.197485
2025-12-07 08:00:00,0.19694,0.200338,0.195428
2025-12-07 12:00:00,0.200051,0.200051,0.196121
2025-12-07 16:00:00,0.201543,0.201543,0.191975
2025-12-07 20:00:00,0.198132,0.201548,0.195621
2025-12-08 00:00:00,0.198186,0.199705,0.195451
2025-12-08 04:00:00,0.197286,0.200843,0.193042
2025-12-08 08:00:00,0.197935,0.199875,0.195729
2025-12-08 12:00:00,0.193059,0.199746,0.192566
2025-12-08 16:00:00,0.190903,0.194696,0.188524
2025-12-08 20:00:00,0.186194,0.192598,0.185187
2025-12-09 00:00:00,0.184949,0.187589,0.175261
2025-12-09 04:00:00,0.185909,0.187707,0.183018
2025-12-09 08:00:00,0.186716,0.187512,0.184429
2025-12-09 12:00:00,0.184506,0.186716,0.183651
2025-12-09 16:00:00,0.189022,0.189022,0.183832
2025-12-09 20:00:00,0.191258,0.197433,0.184557
2025-12-10 00:00:00,0.185208,0.193321,0.185208
2025-12-10 04:00:00,0.184647,0.190017,0.184202
2025-12-10 08:00:00,0.183273,0.185334,0.182829
