,close,high,low
2025-12-04 16:00:00,7.22,7.31,7.12
2025-12-04 20:00:00,7.07,7.23,6.96
2025-12-05 00:00:00,7.05,7.1,7.03
2025-12-05 04:00:00,7.05,7.12,7.03
2025-12-05 08:00:00,6.98,7.06,6.94
2025-12-05 12:00:00,6.86,7.01,6.83
2025-12-05 16:00:00,6.75,6.86,6.71
2025-12-05 20:00:00,6.54,6.73,6.47
2025-12-06 00:00:00,6.6,6.62,6.51
2025-12-06 04:00:00,6.64,6.64,6.56
2025-12-06 08:00:00,6.57,6.66,6.55
2025-12-06 12:00:00,6.57,6.57,6.49
2025-12-06 16:00:00,6.55,6.64,6.52
2025-12-06 20:00:00,6.38,6.58,6.38
2025-12-07 00:00:00,6.42,6.43,6.35
2025-12-07 04:00:00,6.44,6.49,6.42
2025-12-07 08:00:00,6.51,6.51,6.39
2025-12-07 12:00:00,6.45,6.56,6.4
2025-12-07 16:00:00,6.4,6.49,6.26
2025-12-07 20:00:00,6.49,6.53,6.35
2025-12-08 00:00:00,6.38,6.53,6.29
2025-12-08 04:00:00,6.62,6.68,6.38
2025-12-08 08:00:00,6.55,6.61,6.55
2025-12-08 12:00:00,6.51,6.61,6.51
2025-12-08 16:00:00,6.42,6.53,6.42
2025-12-08 20:00:00,6.45,6.5,6.41
2025-12-09 00:00:00,6.38,6.46,6.35
2025-12-09 04:00:00,6.35,6.4,6.29
2025-12-09 08:00:00,6.32,6.36,6.26
2025-12-09 12:00:00,6.31,6.32,6.28
2025-12-09 16:00:00,6.53,6.53,6.31
2025-12-09 20:00:00,6.71,6.84,6.56
2025-12-10 00:00:00,6.63,6.71,6.55
2025-12-10 04:00:00,6.57,6.65,6.57
2025-12-10 08:00:00,6.62,6.73,6.57
2025-12-10 12:00:00,6.61,6.65,6.55
2025-12-10 16:00:00,6.68,6.74,6.65
2025-12-10 20:00:00,6.64,6.69,6.55
2025-12-11 00:00:00,6.52,6.72,6.44
2025-12-11 04:00:00,6.21,6.51,6.21
2025-12-11 08:00:00,6.16,6.22,6.14
2025-12-11 12:00:00,6.21,6.22,6.12
2025-12-11 16:00:00,6.16,6.22,6.16
2025-12-11 20:00:00,6.24,6.24,6.14
2025-12-12 00:00:00,6.3,6.33,6.2
2025-12-12 04:00:00,6.5,6.5,6.32
2025-12-12 08:00:00,6.51,6.59,6.48
2025-12-12 12:00:00,6.45,6.51,6.42
2025-12-12 16:00:00,6.18,6.44,6.18
2025-12-12 20:00:00,6.06,6.13,6.02
2025-12-13 00:00:00,6.21,6.25,6.06
2025-12-13 04:00:00,6.24,6.24,6.18
2025-12-13 08:00:00,6.26,6.26,6.18
2025-12-13 12:00:00,6.25,6.33,6.25
2025-12-13 16:00:00,6.23,6.26,6.21
2025-12-13 20:00:00,6.25,6.29,6.23
2025-12-14 00:00:00,6.25,6.25,6.18
2025-12-14 04:00:00,6.18,6.24,6.18
2025-12-14 08:00:00,6.08,6.18,6.06
2025-12-14 12:00:00,6.01,6.12,6.0
2025-12-14 16:00:00,5.96,6.05,5.95
2025-12-14 20:00:00,5.94,5.98,5.89
2025-12-15 00:00:00,5.87,5.96,5.85
2025-12-15 04:00:00,5.99,6.0,5.84
2025-12-15 08:00:00,5.96,6.02,5.96
2025-12-15 12:00:00,5.98,6.0,5.97
2025-12-15 16:00:00,5.78,6.02,5.73
2025-12-15 20:00:00,5.53,5.78,5.46
2025-12-16 00:00:00,5.61,5.65,5.49
2025-12-16 04:00:00,5.56,5.61,5.51
2025-12-16 08:00:00,5.54,5.61,5.49
2025-12-16 12:00:00,5.65,5.65,5.54
2025-12-16 16:00:00,5.67,5.67,5.59
2025-12-16 20:00:00,5.89,5.98,5.74
2025-12-17 00:00:00,5.85,5.89,5.82
2025-12-17 04:00:00,5.8,5.85,5.74
2025-12-17 08:00:00,5.71,5.79,5.68
2025-12-17 12:00:00,5.71,5.72,5.64
2025-12-17 16:00:00,5.63,5.82,5.61
2025-12-17 20:00:00,5.31,5.62,5.29
2025-12-18 00:00:00,5.31,5.36,5.23
2025-12-18 04:00:00,5.19,5.34,5.18
2025-12-18 08:00:00,5.18,5.21,5.11
2025-12-18 12:00:00,5.21,5.22,5.18
2025-12-18 16:00:00,5.4,5.42,5.21
2025-12-18 20:00:00,4.97,5.39,4.97
2025-12-19 00:00:00,5.09,5.14,4.95
2025-12-19 04:00:00,5.18,5.18,5.02
2025-12-19 08:00:00,5.34,5.38,5.17
2025-12-19 12:00:00,5.38,5.38,5.31
2025-12-19 16:00:00,5.57,5.63,5.37
2025-12-19 20:00:00,5.66,5.71,5.52
2025-12-20 00:00:00,5.52,5.66,5.5
2025-12-20 04:00:00,5.52,5.53,5.49
2025-12-20 08:00:00,5.52,5.52,5.46
2025-12-20 12:00:00,5.59,5.59,5.5
2025-12-20 16:00:00,5.54,5.65,5.5
2025-12-20 20:00:00,5.56,5.57,5.54
2025-12-21 00:00:00,5.56,5.6,5.54
2025-12-21 04:00:00,5.5,5.58,5.44
2025-12-21 08:00:00,5.46,5.5,5.45
2025-12-21 12:00:00,5.43,5.51,5.43
2025-12-21 16:00:00,5.29,5.45,5.26
2025-12-21 20:00:00,5.33,5.4,5.29
2025-12-22 00:00:00,5.39,5.4,5.3
2025-12-22 04:00:00,5.37,5.46,5.34
