,close,high,low
2025-12-04 04:00:00,27.78,27.92,27.45
2025-12-04 08:00:00,26.42,28.05,26.42
2025-12-04 12:00:00,26.4,27.89,26.29
2025-12-04 16:00:00,28.26,30.22,26.12
2025-12-04 20:00:00,27.85,28.46,27.29
2025-12-05 00:00:00,27.76,27.87,27.4
2025-12-05 04:00:00,27.45,27.85,27.24
2025-12-05 08:00:00,27.62,27.85,27.18
2025-12-05 12:00:00,27.43,27.86,27.39
2025-12-05 16:00:00,27.83,27.85,27.13
2025-12-05 20:00:00,27.68,27.79,26.53
2025-12-06 00:00:00,27.2,27.83,26.59
2025-12-06 04:00:00,26.93,27.27,26.72
2025-12-06 08:00:00,26.95,27.25,26.65
2025-12-06 12:00:00,27.24,27.27,26.78
2025-12-06 16:00:00,27.03,27.23,26.58
2025-12-06 20:00:00,26.95,27.25,26.5
2025-12-07 00:00:00,26.78,27.2,26.51
2025-12-07 04:00:00,26.83,26.87,26.53
2025-12-07 08:00:00,26.62,26.85,26.52
2025-12-07 12:00:00,26.67,26.83,26.53
2025-12-07 16:00:00,26.58,26.68,26.51
2025-12-07 20:00:00,26.3,26.67,25.97
2025-12-08 00:00:00,25.92,26.84,25.84
2025-12-08 04:00:00,26.61,26.83,25.88
2025-12-08 08:00:00,26.37,26.85,26.07
2025-12-08 12:00:00,25.94,26.86,25.81
2025-12-08 16:00:00,26.28,26.82,25.79
2025-12-08 20:00:00,27.33,27.38,24.91
2025-12-09 00:00:00,27.86,29.57,26.6
2025-12-09 04:00:00,27.75,29.44,27.33
2025-12-09 08:00:00,29.05,30.71,27.33
2025-12-09 12:00:00,28.91,29.77,27.42
2025-12-09 16:00:00,28.33,29.26,27.41
2025-12-09 20:00:00,27.93,29.86,27.37
2025-12-10 00:00:00,28.0,28.06,27.32
2025-12-10 04:00:00,27.67,28.1,27.31
2025-12-10 08:00:00,27.94,27.94,27.31
2025-12-10 12:00:00,27.34,27.99,26.97
2025-12-10 16:00:00,27.59,27.96,26.98
2025-12-10 20:00:00,27.66,27.82,26.94
2025-12-11 00:00:00,27.11,29.01,26.97
2025-12-11 04:00:00,27.05,27.26,27.02
2025-12-11 08:00:00,27.02,27.23,27.01
2025-12-11 12:00:00,26.52,27.16,26.43
2025-12-11 16:00:00,26.49,26.54,26.41
2025-12-11 20:00:00,26.51,26.55,26.42
2025-12-12 00:00:00,26.47,26.55,26.42
2025-12-12 04:00:00,27.15,27.24,26.41
2025-12-12 08:00:00,27.22,27.23,26.63
2025-12-12 12:00:00,27.55,28.56,26.85
2025-12-12 16:00:00,27.71,29.31,26.31
2025-12-12 20:00:00,26.8,27.29,25.22
2025-12-13 00:00:00,26.78,27.25,25.45
2025-12-13 04:00:00,25.45,27.24,25.41
2025-12-13 08:00:00,26.67,27.01,25.45
2025-12-13 12:00:00,26.69,26.73,26.55
2025-12-13 16:00:00,26.66,26.74,26.56
2025-12-13 20:00:00,26.03,28.91,24.84
2025-12-14 00:00:00,27.83,28.1,24.85
2025-12-14 04:00:00,27.2,28.17,24.89
2025-12-14 08:00:00,27.32,27.88,24.8
2025-12-14 12:00:00,24.99,28.16,24.85
2025-12-14 16:00:00,25.36,28.14,24.29
2025-12-14 20:00:00,27.67,28.07,23.89
2025-12-15 00:00:00,24.96,28.03,24.14
2025-12-15 04:00:00,24.53,27.77,23.92
2025-12-15 08:00:00,25.1,25.99,24.59
2025-12-15 12:00:00,25.91,25.93,25.0
2025-12-15 16:00:00,25.72,25.98,23.31
2025-12-15 20:00:00,24.51,25.89,22.91
2025-12-16 00:00:00,24.14,24.96,22.99
2025-12-16 04:00:00,24.09,24.29,22.94
2025-12-16 08:00:00,22.94,24.15,22.91
2025-12-16 12:00:00,23.4,23.56,22.92
2025-12-16 16:00:00,23.04,23.53,22.6
2025-12-16 20:00:00,22.38,23.5,22.19
2025-12-17 00:00:00,22.76,23.52,22.11
2025-12-17 04:00:00,23.37,23.54,22.2
2025-12-17 08:00:00,23.09,23.97,22.72
2025-12-17 12:00:00,23.54,23.8,22.98
2025-12-17 16:00:00,23.76,24.15,23.08
2025-12-17 20:00:00,23.45,23.95,23.32
2025-12-18 00:00:00,23.3,23.54,23.14
2025-12-18 04:00:00,23.39,23.57,23.15
2025-12-18 08:00:00,23.51,23.53,23.14
2025-12-18 12:00:00,23.07,23.57,23.07
2025-12-18 16:00:00,23.12,23.52,22.88
2025-12-18 20:00:00,22.39,23.54,22.39
2025-12-19 00:00:00,22.24,23.51,22.03
2025-12-19 04:00:00,22.39,23.51,22.1
2025-12-19 08:00:00,23.35,23.53,22.11
2025-12-19 12:00:00,23.44,23.55,23.3
2025-12-19 16:00:00,23.49,23.55,23.31
2025-12-19 20:00:00,23.41,23.55,23.28
2025-12-20 00:00:00,23.48,23.56,23.3
2025-12-20 04:00:00,23.48,23.55,23.29
2025-12-20 08:00:00,23.32,23.55,23.29
2025-12-20 12:00:00,23.36,23.55,23.31
2025-12-20 16:00:00,23.4,23.55,23.3
2025-12-20 20:00:00,23.49,23.56,23.3
2025-12-21 00:00:00,23.49,23.54,23.32
2025-12-21 04:00:00,23.32,23.56,23.29
2025-12-21 08:00:00,23.44,23.55,23.3
2025-12-21 12:00:00,23.48,23.56,23.33
2025-12-21 16:00:00,23.37,23.58,23.32
2025-12-21 20:00:00,23.44,23.56,23.3
2025-12-22 00:00:00,23.47,23.55,23.31
2025-12-22 04:00:00,23.5,23.57,23.35
2025-12-22 08:00:00,23.55,23.56,23.45
2025-12-22 12:00:00,23.41,23.56,23.4
2025-12-22 16:00:00,23.5,23.57,23.41
2025-12-22 20:00:00,23.53,23.55,23.3
2025-12-23 00:00:00,23.59,23.59,23.28
2025-12-23 04:00:00,23.48,23.59,23.46
2025-12-23 08:00:00,23.6,23.73,23.42
2025-12-23 12:00:00,23.68,23.71,23.6
2025-12-23 16:00:00,23.69,23.71,23.61
2025-12-23 20:00:00,23.68,23.71,23.59
2025-12-24 00:00:00,23.69,23.71,23.59
2025-12-24 04:00:00,23.7,23.71,23.59
2025-12-24 08:00:00,23.64,23.71,23.59
2025-12-24 12:00:00,23.48,23.69,23.24
2025-12-24 16:00:00,23.34,23.71,23.2
2025-12-24 20:00:00,23.31,23.7,23.21
2025-12-25 00:00:00,23.63,23.7,23.33
2025-12-25 04:00:00,23.51,23.7,23.45
2025-12-25 08:00:00,23.66,23.7,23.45
2025-12-25 12:00:00,23.37,23.67,23.2
2025-12-25 16:00:00,23.21,23.27,23.19
2025-12-25 20:00:00,22.75,23.24,22.52
2025-12-26 00:00:00,23.08,23.11,22.24
2025-12-26 04:00:00,23.09,23.14,23.0
2025-12-26 08:00:00,22.27,22.82,22.26
2025-12-26 12:00:00,23.26,23.3,22.27
2025-12-26 16:00:00,22.99,23.29,22.91
2025-12-26 20:00:00,23.13,23.28,22.89
2025-12-27 00:00:00,23.24,23.4,23.0
2025-12-27 04:00:00,23.1,23.4,22.25
2025-12-27 08:00:00,23.24,23.42,22.99
2025-12-27 12:00:00,23.26,23.41,22.98
2025-12-27 16:00:00,23.32,23.43,22.98
2025-12-27 20:00:00,23.01,23.43,22.99
2025-12-28 00:00:00,23.35,23.41,23.02
2025-12-28 04:00:00,23.21,23.41,23.0
2025-12-28 08:00:00,23.35,23.42,22.99
2025-12-28 12:00:00,23.05,23.41,22.99
2025-12-28 16:00:00,22.95,23.41,22.92
2025-12-28 20:00:00,23.3,23.41,22.89
2025-12-29 00:00:00,23.11,23.39,22.85
2025-12-29 04:00:00,23.22,23.42,22.97
2025-12-29 08:00:00,23.34,23.42,23.17
2025-12-29 12:00:00,23.24,23.41,22.8
2025-12-29 16:00:00,22.86,23.42,22.77
2025-12-29 20:00:00,23.26,23.45,22.95
2025-12-30 00:00:00,23.08,23.28,22.73
2025-12-30 04:00:00,23.11,23.22,22.7
2025-12-30 08:00:00,23.2,23.25,22.88
2025-12-30 12:00:00,22.89,23.46,22.34
2025-12-30 16:00:00,23.29,23.46,22.35
2025-12-30 20:00:00,23.26,23.33,23.22
2025-12-31 00:00:00,23.33,23.33,23.2
