,close,high,low
2025-12-04 12:00:00,0.0485709,0.0490908,0.04853467
2025-12-04 16:00:00,0.04851193,0.04863919,0.04776248
2025-12-04 20:00:00,0.04722634,0.04848192,0.04643921
2025-12-05 00:00:00,0.04709618,0.04734442,0.0469244
2025-12-05 04:00:00,0.04675665,0.04730426,0.04675665
2025-12-05 08:00:00,0.04687178,0.0469946,0.04631149
2025-12-05 12:00:00,0.04587627,0.04695162,0.04567535
2025-12-05 16:00:00,0.04545798,0.0459018,0.04512158
2025-12-05 20:00:00,0.04404777,0.04529136,0.04354794
2025-12-06 00:00:00,0.04439985,0.04445452,0.04384048
2025-12-06 04:00:00,0.04419519,0.04446745,0.04377389
2025-12-06 08:00:00,0.04401576,0.04421479,0.04389523
2025-12-06 12:00:00,0.04438927,0.04438927,0.04388197
2025-12-06 16:00:00,0.04431376,0.04467304,0.0441212
2025-12-06 20:00:00,0.04451821,0.0451329,0.04431587
2025-12-07 00:00:00,0.0447524,0.04500417,0.04448389
2025-12-07 04:00:00,0.04500795,0.04508994,0.04454998
2025-12-07 08:00:00,0.04496762,0.04546439,0.04478186
2025-12-07 12:00:00,0.04408325,0.04501955,0.04408325
2025-12-07 16:00:00,0.04346531,0.04447943,0.04277861
2025-12-07 20:00:00,0.04505764,0.04532385,0.04363136
2025-12-08 00:00:00,0.04346746,0.04522665,0.04331778
2025-12-08 04:00:00,0.04416071,0.04435509,0.04352086
2025-12-08 08:00:00,0.0444945,0.04460775,0.04416588
2025-12-08 12:00:00,0.04453079,0.04498018,0.04443256
2025-12-08 16:00:00,0.04384707,0.04481025,0.04384585
2025-12-08 20:00:00,0.04229163,0.04399287,0.04194782
2025-12-09 00:00:00,0.04212539,0.04246008,0.04187488
2025-12-09 04:00:00,0.04068193,0.04214988,0.04030059
2025-12-09 08:00:00,0.04028577,0.04062371,0.03992707
2025-12-09 12:00:00,0.04035763,0.04062321,0.03988615
2025-12-09 16:00:00,0.04175489,0.04175489,0.04009032
2025-12-09 20:00:00,0.04188827,0.04281013,0.04186163
2025-12-10 00:00:00,0.04178197,0.04184879,0.04107574
2025-12-10 04:00:00,0.04092759,0.04165318,0.0406473
2025-12-10 08:00:00,0.0408454,0.04095574,0.04055493
2025-12-10 12:00:00,0.04055425,0.04085459,0.04040425
2025-12-10 16:00:00,0.04055185,0.04059919,0.04039262
2025-12-10 20:00:00,0.04104922,0.04142525,0.04044314
2025-12-11 00:00:00,0.0404009,0.04130765,0.04000742
2025-12-11 04:00:00,0.039498,0.04044858,0.0391567
2025-12-11 08:00:00,0.03898707,0.03952222,0.03897917
2025-12-11 12:00:00,0.03852375,0.03923637,0.03816309
2025-12-11 16:00:00,0.03904729,0.03936421,0.03829172
2025-12-11 20:00:00,0.03895953,0.03921135,0.03817865
2025-12-12 00:00:00,0.03910141,0.03958869,0.03872395
2025-12-12 04:00:00,0.03873598,0.03920149,0.03850339
2025-12-12 08:00:00,0.03919132,0.03934691,0.03867238
2025-12-12 12:00:00,0.03896882,0.03926647,0.03890476
2025-12-12 16:00:00,0.03883126,0.04044732,0.03883126
2025-12-12 20:00:00,0.03758703,0.03853001,0.03734657
2025-12-13 00:00:00,0.0377605,0.03822971,0.03755296
2025-12-13 04:00:00,0.03837131,0.03837131,0.0377637
2025-12-13 08:00:00,0.03821813,0.03851541,0.0380358
2025-12-13 12:00:00,0.03842871,0.03842871,0.03779042
2025-12-13 16:00:00,0.03825287,0.03855691,0.03821386
2025-12-13 20:00:00,0.03872238,0.03872238,0.03821124
2025-12-14 00:00:00,0.03841967,0.03880033,0.0382649
2025-12-14 04:00:00,0.0400066,0.04031279,0.03837152
2025-12-14 08:00:00,0.03922687,0.03992163,0.0389142
2025-12-14 12:00:00,0.04557584,0.04979251,0.03890142
2025-12-14 16:00:00,0.04375303,0.04598286,0.04335723
2025-12-14 20:00:00,0.04366104,0.04516537,0.04262624
2025-12-15 00:00:00,0.04304862,0.04442986,0.04304862
2025-12-15 04:00:00,0.0414092,0.04396624,0.04088422
2025-12-15 08:00:00,0.04278255,0.04450675,0.04134337
2025-12-15 12:00:00,0.04103471,0.0429821,0.04077587
2025-12-15 16:00:00,0.03976484,0.04148018,0.03976484
2025-12-15 20:00:00,0.03835578,0.03997819,0.03817485
2025-12-16 00:00:00,0.03914235,0.03927149,0.03795693
2025-12-16 04:00:00,0.03722852,0.03926802,0.0369256
2025-12-16 08:00:00,0.03692111,0.03800537,0.0367998
2025-12-16 12:00:00,0.03778396,0.03794379,0.03663313
2025-12-16 16:00:00,0.03772641,0.03787976,0.03713556
2025-12-16 20:00:00,0.03739687,0.03786605,0.03706806
2025-12-17 00:00:00,0.03788581,0.03831478,0.03730584
2025-12-17 04:00:00,0.03706598,0.03851108,0.03706598
2025-12-17 08:00:00,0.03668207,0.03707548,0.03647791
2025-12-17 12:00:00,0.03654346,0.03663813,0.03639104
2025-12-17 16:00:00,0.0357673,0.03703201,0.0357673
2025-12-17 20:00:00,0.03465928,0.03583873,0.03439669
2025-12-18 00:00:00,0.0343978,0.03497319,0.03403061
2025-12-18 04:00:00,0.0328114,0.03429337,0.0327731
2025-12-18 08:00:00,0.03243518,0.03295132,0.03209616
2025-12-18 12:00:00,0.03306044,0.0331613,0.03240357
2025-12-18 16:00:00,0.03387915,0.03447452,0.03293244
2025-12-18 20:00:00,0.03142176,0.03385881,0.03142176
2025-12-19 00:00:00,0.03196124,0.03229982,0.0312652
2025-12-19 04:00:00,0.03280002,0.03332573,0.03173218
2025-12-19 08:00:00,0.03283568,0.03339694,0.03263768
2025-12-19 12:00:00,0.03299443,0.03308073,0.0326882
2025-12-19 16:00:00,0.03311999,0.03314468,0.03261274
2025-12-19 20:00:00,0.03476582,0.03476582,0.0330415
2025-12-20 00:00:00,0.03478716,0.03729917,0.03446235
2025-12-20 04:00:00,0.035057,0.03523072,0.03465913
2025-12-20 08:00:00,0.03492708,0.03509342,0.03460992
2025-12-20 12:00:00,0.03432795,0.03513054,0.03419436
2025-12-20 16:00:00,0.03422739,0.03466186,0.03415788
2025-12-20 20:00:00,0.03458719,0.03465403,0.03429857
2025-12-21 00:00:00,0.03458826,0.03463945,0.03438382
2025-12-21 04:00:00,0.03394299,0.03463037,0.03355093
2025-12-21 08:00:00,0.03397296,0.03401248,0.03368967
2025-12-21 12:00:00,0.0334046,0.03404361,0.0334046
2025-12-21 16:00:00,0.03262136,0.03346484,0.03233873
2025-12-21 20:00:00,0.03267091,0.03300453,0.03255404
2025-12-22 00:00:00,0.03238544,0.032734,0.03199999
2025-12-22 04:00:00,0.03263023,0.03286592,0.03230083
2025-12-22 08:00:00,0.03306003,0.03307962,0.03257864
2025-12-22 12:00:00,0.03290488,0.03312792,0.03262762
2025-12-22 16:00:00,0.03271024,0.03307858,0.03271024
2025-12-22 20:00:00,0.03222825,0.03287452,0.03222825
2025-12-23 00:00:00,0.03266299,0.03266299,0.03220552
2025-12-23 04:00:00,0.03236088,0.03266181,0.03224092
2025-12-23 08:00:00,0.03206971,0.03237396,0.03183545
2025-12-23 12:00:00,0.03226352,0.032296,0.03189301
2025-12-23 16:00:00,0.03213105,0.03238172,0.03185127
2025-12-23 20:00:00,0.03285036,0.03297509,0.03212022
2025-12-24 00:00:00,0.03289681,0.03298361,0.03264225
2025-12-24 04:00:00,0.03474383,0.0356381,0.03296336
2025-12-24 08:00:00,0.03470033,0.03477087,0.03394917
2025-12-24 12:00:00,0.03815091,0.04059961,0.03442277
2025-12-24 16:00:00,0.03759487,0.03838049,0.03698428
2025-12-24 20:00:00,0.03678098,0.03754918,0.03600394
2025-12-25 00:00:00,0.03735731,0.03769355,0.03647774
2025-12-25 04:00:00,0.03859461,0.03859461,0.03548476
2025-12-25 08:00:00,0.03819095,0.03830575,0.03657605
2025-12-25 12:00:00,0.03771442,0.04016874,0.03767893
2025-12-25 16:00:00,0.03822871,0.03839592,0.03724694
2025-12-25 20:00:00,0.03840518,0.03859588,0.03780891
2025-12-26 00:00:00,0.03677284,0.0388212,0.03677284
2025-12-26 04:00:00,0.03609101,0.03696992,0.03545222
2025-12-26 08:00:00,0.0351568,0.03628716,0.0351568
2025-12-26 12:00:00,0.03529189,0.03540968,0.03491862
2025-12-26 16:00:00,0.0348802,0.03549466,0.0347763
2025-12-26 20:00:00,0.03526393,0.03527327,0.03457271
2025-12-27 00:00:00,0.03501165,0.03540272,0.03491356
2025-12-27 04:00:00,0.03662039,0.03842948,0.03504703
2025-12-27 08:00:00,0.0367366,0.0367366,0.03591602
2025-12-27 12:00:00,0.03551587,0.036683,0.03550864
2025-12-27 16:00:00,0.03573909,0.03601726,0.03531221
2025-12-27 20:00:00,0.03553909,0.03599576,0.03536906
2025-12-28 00:00:00,0.03623486,0.03623486,0.03544092
2025-12-28 04:00:00,0.03594918,0.03644886,0.03571226
2025-12-28 08:00:00,0.03593018,0.03602103,0.03561259
2025-12-28 12:00:00,0.03636003,0.03650602,0.03594029
2025-12-28 16:00:00,0.03622069,0.03720896,0.03603605
