,close,high,low
2025-12-04 04:00:00,0.00510324,0.00525239,0.00503192
2025-12-04 08:00:00,0.00521608,0.00538907,0.00509135
2025-12-04 12:00:00,0.00530085,0.00530744,0.00522899
2025-12-04 16:00:00,0.00540488,0.00540735,0.00529325
2025-12-04 20:00:00,0.00539611,0.00540384,0.00538766
2025-12-05 00:00:00,0.00535298,0.00539719,0.00534512
2025-12-05 04:00:00,0.00532357,0.00536377,0.00532357
2025-12-05 08:00:00,0.00531406,0.00533898,0.00531406
2025-12-05 12:00:00,0.00531641,0.00532233,0.00530792
2025-12-05 16:00:00,0.00530433,0.00531603,0.00529683
2025-12-05 20:00:00,0.00529185,0.0053084,0.00529185
2025-12-06 00:00:00,0.00531191,0.00531881,0.00529257
2025-12-06 04:00:00,0.00531687,0.00531842,0.00530921
2025-12-06 08:00:00,0.00530686,0.00531688,0.0052887
2025-12-06 12:00:00,0.0053082,0.00531913,0.00530584
2025-12-06 16:00:00,0.00530867,0.00532922,0.00530569
2025-12-06 20:00:00,0.00531471,0.00532859,0.00530842
2025-12-07 00:00:00,0.00531125,0.00533072,0.00530745
2025-12-07 04:00:00,0.00532795,0.00533015,0.0053085
2025-12-07 08:00:00,0.00530848,0.0053319,0.00530568
2025-12-07 12:00:00,0.00530085,0.00532194,0.00529453
2025-12-07 16:00:00,0.00529223,0.00530829,0.00528866
2025-12-07 20:00:00,0.00530075,0.00530924,0.00528316
2025-12-08 00:00:00,0.00529955,0.00531104,0.00528701
2025-12-08 04:00:00,0.00531116,0.00531584,0.00529866
2025-12-08 08:00:00,0.00531026,0.00531885,0.00531008
2025-12-08 12:00:00,0.00532223,0.00532393,0.00530951
2025-12-08 16:00:00,0.00531726,0.00533005,0.00531115
2025-12-08 20:00:00,0.0053152,0.00533384,0.00531181
2025-12-09 00:00:00,0.00518216,0.00532952,0.00518216
2025-12-09 04:00:00,0.00464232,0.00514719,0.00455663
2025-12-09 08:00:00,0.00466135,0.00467405,0.00462783
2025-12-09 12:00:00,0.00468165,0.00468919,0.00464652
2025-12-09 16:00:00,0.00468397,0.00470319,0.00467714
2025-12-09 20:00:00,0.00471698,0.00472901,0.00469134
2025-12-10 00:00:00,0.00474706,0.00475505,0.00471704
2025-12-10 04:00:00,0.00472316,0.00474081,0.0047162
2025-12-10 08:00:00,0.00471908,0.00472679,0.00471356
2025-12-10 12:00:00,0.00471656,0.00472912,0.00470578
2025-12-10 16:00:00,0.00471696,0.00472178,0.00470564
2025-12-10 20:00:00,0.00470949,0.00471787,0.00470393
2025-12-11 00:00:00,0.00470601,0.00471195,0.00470355
2025-12-11 04:00:00,0.0047073,0.00471121,0.00466974
2025-12-11 08:00:00,0.00469707,0.00470774,0.00468809
2025-12-11 12:00:00,0.00469372,0.00470212,0.00469222
2025-12-11 16:00:00,0.00468024,0.00469992,0.00467518
2025-12-11 20:00:00,0.0046726,0.00468838,0.00467096
2025-12-12 00:00:00,0.00468569,0.00469108,0.00467025
2025-12-12 04:00:00,0.00468069,0.00469166,0.00467514
2025-12-12 08:00:00,0.00467283,0.00468814,0.00467283
2025-12-12 12:00:00,0.00468477,0.00469032,0.00467046
2025-12-12 16:00:00,0.00467917,0.00468593,0.00466728
2025-12-12 20:00:00,0.00534039,0.00592148,0.0046723
2025-12-13 00:00:00,0.00526109,0.00533826,0.00525949
2025-12-13 04:00:00,0.00525175,0.00529027,0.00525052
2025-12-13 08:00:00,0.00525472,0.00525904,0.00523726
2025-12-13 12:00:00,0.00525644,0.00526936,0.00524919
2025-12-13 16:00:00,0.00529699,0.00529699,0.00525285
2025-12-13 20:00:00,0.005387,0.00542828,0.00531511
2025-12-14 00:00:00,0.00537045,0.00539214,0.00536761
2025-12-14 04:00:00,0.00538476,0.00539122,0.00536976
2025-12-14 08:00:00,0.00539041,0.00539081,0.0053735
2025-12-14 12:00:00,0.00537013,0.00538914,0.00536707
2025-12-14 16:00:00,0.0053716,0.00538264,0.00536609
2025-12-14 20:00:00,0.00537366,0.00538166,0.00536383
2025-12-15 00:00:00,0.00537356,0.00538039,0.00536434
2025-12-15 04:00:00,0.00537284,0.00538182,0.00536428
2025-12-15 08:00:00,0.00535722,0.00537984,0.00535722
2025-12-15 12:00:00,0.00536254,0.00537884,0.00535784
2025-12-15 16:00:00,0.00534194,0.00537528,0.00533933
2025-12-15 20:00:00,0.00529085,0.00534242,0.00528565
2025-12-16 00:00:00,0.00529715,0.00530551,0.00528419
2025-12-16 04:00:00,0.00529183,0.0053015,0.00528706
2025-12-16 08:00:00,0.00526656,0.00530353,0.00526373
2025-12-16 12:00:00,0.00500217,0.00521941,0.0049184
2025-12-16 16:00:00,0.00503813,0.00504896,0.00495725
2025-12-16 20:00:00,0.00499911,0.00504056,0.00499299
2025-12-17 00:00:00,0.00500497,0.00502251,0.00499561
2025-12-17 04:00:00,0.00501517,0.00502026,0.00500398
2025-12-17 08:00:00,0.0050129,0.00501526,0.00500019
2025-12-17 12:00:00,0.00502174,0.00502174,0.00500545
2025-12-17 16:00:00,0.00499258,0.00502423,0.00499048
2025-12-17 20:00:00,0.00499767,0.00501112,0.00498877
2025-12-18 00:00:00,0.00497227,0.00500035,0.00496714
2025-12-18 04:00:00,0.00497632,0.00498849,0.00496875
2025-12-18 08:00:00,0.00496644,0.00498364,0.00496087
2025-12-18 12:00:00,0.00498935,0.00499535,0.00496271
2025-12-18 16:00:00,0.00497429,0.00498956,0.00496783
2025-12-18 20:00:00,0.00495201,0.00498226,0.00494593
2025-12-19 00:00:00,0.00494969,0.00496348,0.00494247
2025-12-19 04:00:00,0.00495922,0.00496336,0.00494652
2025-12-19 08:00:00,0.00496169,0.00496889,0.00495276
2025-12-19 12:00:00,0.00495919,0.00496866,0.00495318
2025-12-19 16:00:00,0.00495273,0.0049679,0.00494972
2025-12-19 20:00:00,0.0049927,0.00499751,0.00494944
2025-12-20 00:00:00,0.00497973,0.00500031,0.00497337
2025-12-20 04:00:00,0.00497508,0.0049915,0.00496855
2025-12-20 08:00:00,0.00497662,0.00498172,0.0049704
2025-12-20 12:00:00,0.00497233,0.00497792,0.00495631
2025-12-20 16:00:00,0.00496154,0.00498472,0.0049595
2025-12-20 20:00:00,0.00497478,0.00497632,0.00495823
2025-12-21 00:00:00,0.00497647,0.00497761,0.00495749
2025-12-21 04:00:00,0.00497093,0.00497716,0.004958
2025-12-21 08:00:00,0.00497533,0.00498651,0.0049595
2025-12-21 12:00:00,0.00498149,0.0049868,0.00496136
2025-12-21 16:00:00,0.00498604,0.0049879,0.00496887
2025-12-21 20:00:00,0.00497288,0.00498658,0.00496733
2025-12-22 00:00:00,0.00496753,0.00497918,0.00496707
2025-12-22 04:00:00,0.00497091,0.00497637,0.00496406
2025-12-22 08:00:00,0.00497495,0.00498839,0.00496364
2025-12-22 12:00:00,0.00498784,0.0049888,0.00497147
2025-12-22 16:00:00,0.00497003,0.00498947,0.00496421
2025-12-22 20:00:00,0.00498885,0.00498885,0.00496997
2025-12-23 00:00:00,0.00498355,0.00499201,0.00496828
2025-12-23 04:00:00,0.00473991,0.00499101,0.00472752
2025-12-23 08:00:00,0.00480821,0.00486519,0.00472024
2025-12-23 12:00:00,0.00480686,0.00483233,0.00480182
2025-12-23 16:00:00,0.0047722,0.00479814,0.0047586
2025-12-23 20:00:00,0.00476892,0.00477713,0.00476793
2025-12-24 00:00:00,0.00473593,0.00477076,0.00473226
2025-12-24 04:00:00,0.0047196,0.00473825,0.00469698
2025-12-24 08:00:00,0.0047131,0.00473233,0.00470494
2025-12-24 12:00:00,0.00470342,0.00472368,0.00470197
2025-12-24 16:00:00,0.00468763,0.0047826,0.00468763
2025-12-24 20:00:00,0.00471533,0.0047252,0.00468696
2025-12-25 00:00:00,0.00470992,0.00472154,0.00469535
2025-12-25 04:00:00,0.00469946,0.00471155,0.00469642
2025-12-25 08:00:00,0.004693,0.0047083,0.004693
2025-12-25 12:00:00,0.00468962,0.00470634,0.00468208
2025-12-25 16:00:00,0.00468495,0.00469194,0.00467481
2025-12-25 20:00:00,0.0046947,0.00469621,0.00467844
2025-12-26 00:00:00,0.00466891,0.00470185,0.00466656
2025-12-26 04:00:00,0.00465086,0.00467287,0.0045922
2025-12-26 08:00:00,0.00464074,0.00465521,0.00463948
2025-12-26 12:00:00,0.00464421,0.00466133,0.00464088
2025-12-26 16:00:00,0.00462243,0.00465921,0.00460242
2025-12-26 20:00:00,0.00457611,0.00459695,0.00455754
2025-12-27 00:00:00,0.00457994,0.00458565,0.00455776
2025-12-27 04:00:00,0.00458657,0.00459135,0.00457594
2025-12-27 08:00:00,0.00457893,0.00459059,0.00456162
2025-12-27 12:00:00,0.00457072,0.00458432,0.00456589
2025-12-27 16:00:00,0.00460556,0.00462928,0.00456691
2025-12-27 20:00:00,0.00456095,0.00463034,0.00456095
2025-12-28 00:00:00,0.00457619,0.00457619,0.00455718
2025-12-28 04:00:00,0.00457526,0.00458869,0.00456168
2025-12-28 08:00:00,0.00458436,0.00458909,0.00457261
2025-12-28 12:00:00,0.0045709,0.00458939,0.00457018
2025-12-28 16:00:00,0.00458079,0.00458741,0.00456841
2025-12-28 20:00:00,0.00457699,0.00458308,0.00453638
2025-12-29 00:00:00,0.0045621,0.00458262,0.00456145
2025-12-29 04:00:00,0.00457701,0.00457888,0.0045622
2025-12-29 08:00:00,0.00456139,0.00457808,0.00456129
2025-12-29 12:00:00,0.00454624,0.00457316,0.00453526
2025-12-29 16:00:00,0.00453486,0.00455045,0.00453468
2025-12-29 20:00:00,0.00455151,0.00456003,0.00453201
2025-12-30 00:00:00,0.00452301,0.00455084,0.00449935
2025-12-30 04:00:00,0.00450616,0.00452293,0.00450197
2025-12-30 08:00:00,0.00450665,0.00451916,0.004504
2025-12-30 12:00:00,0.00450513,0.00451971,0.00450338
2025-12-30 16:00:00,0.00450535,0.00451876,0.00450078
2025-12-30 20:00:00,0.00450862,0.00451221,0.00448826
2025-12-31 00:00:00,0.00450194,0.00451109,0.00449321
2025-12-31 04:00:00,0.00450662,0.00451042,0.00449103
2025-12-31 08:00:00,0.00450669,0.00451154,0.00449042
2025-12-31 12:00:00,0.00449911,0.004515,0.00449061
2025-12-31 16:00:00,0.00450455,0.00451162,0.00448974
2025-12-31 20:00:00,0.00449314,0.00451013,0.00449233
2026-01-01 00:00:00,0.0045081,0.00450852,0.00448962
2026-01-01 04:00:00,0.00448712,0.00450985,0.00448357
2026-01-01 08:00:00,0.00449053,0.0045,0.00448487
2026-01-01 12:00:00,0.00450137,0.00450552,0.00448376
2026-01-01 16:00:00,0.00448815,0.0045052,0.00448616
2026-01-01 20:00:00,0.00450644,0.00450683,0.00448602
2026-01-02 00:00:00,0.00450152,0.00450665,0.00448855
2026-01-02 04:00:00,0.00450662,0.00450691,0.00449725
2026-01-02 08:00:00,0.0045067,0.00451027,0.00450449
2026-01-02 12:00:00,0.00450834,0.004511,0.00450625
2026-01-02 16:00:00,0.00452584,0.00452812,0.00450271
2026-01-02 20:00:00,0.00452511,0.0045396,0.00451486
2026-01-03 00:00:00,0.00452118,0.00453785,0.00451289
