,close,high,low
2025-12-04 04:00:00,0.981292,0.9956,0.981292
2025-12-04 08:00:00,0.994786,1.003,0.974268
2025-12-04 12:00:00,0.979641,0.991763,0.975973
2025-12-04 16:00:00,0.979454,0.984833,0.973857
2025-12-04 20:00:00,0.970519,0.983554,0.962684
2025-12-05 00:00:00,0.972696,0.974554,0.97019
2025-12-05 04:00:00,0.974779,0.97942,0.973456
2025-12-05 08:00:00,0.977216,0.978743,0.971253
2025-12-05 12:00:00,0.963721,0.978537,0.962378
2025-12-05 16:00:00,0.971704,0.988716,0.964072
2025-12-05 20:00:00,0.962804,0.974429,0.940447
2025-12-06 00:00:00,0.957556,0.965215,0.956321
2025-12-06 04:00:00,0.964219,0.964219,0.958882
2025-12-06 08:00:00,0.959571,0.964555,0.95907
2025-12-06 12:00:00,0.968302,1.006,0.959333
2025-12-06 16:00:00,0.967315,0.969708,0.965007
2025-12-06 20:00:00,0.9779,0.9779,0.964234
2025-12-07 00:00:00,0.979943,0.985894,0.97753
2025-12-07 04:00:00,0.982909,0.985508,0.97719
2025-12-07 08:00:00,0.981748,0.987971,0.977787
2025-12-07 12:00:00,0.992532,1.031,0.98118
2025-12-07 16:00:00,0.983932,1.004,0.972235
2025-12-07 20:00:00,0.994266,0.997778,0.981306
2025-12-08 00:00:00,0.977968,0.998576,0.974052
2025-12-08 04:00:00,0.98515,0.987762,0.975623
2025-12-08 08:00:00,0.983442,0.988418,0.981238
2025-12-08 12:00:00,0.979901,0.984075,0.976869
2025-12-08 16:00:00,0.968512,0.982472,0.967282
2025-12-08 20:00:00,0.979883,0.994359,0.969466
2025-12-09 00:00:00,0.974625,0.983246,0.974625
2025-12-09 04:00:00,0.972863,0.977252,0.965666
2025-12-09 08:00:00,0.96904,0.975312,0.96458
2025-12-09 12:00:00,0.960119,0.968845,0.957693
2025-12-09 16:00:00,0.990305,0.990305,0.958492
2025-12-09 20:00:00,0.992163,1.004,0.989595
2025-12-10 00:00:00,0.982952,0.99208,0.978247
2025-12-10 04:00:00,0.980708,0.981893,0.97836
2025-12-10 08:00:00,0.991469,0.995816,0.983412
2025-12-10 12:00:00,0.983002,0.993187,0.982058
2025-12-10 16:00:00,0.980149,0.996015,0.980149
2025-12-10 20:00:00,0.99013,0.99013,0.977148
2025-12-11 00:00:00,0.982394,0.995671,0.981
2025-12-11 04:00:00,0.972649,0.982429,0.972649
2025-12-11 08:00:00,0.962605,0.972946,0.961856
2025-12-11 12:00:00,0.956867,0.965413,0.95286
2025-12-11 16:00:00,0.959553,0.96301,0.955922
2025-12-11 20:00:00,0.967339,0.969319,0.959595
2025-12-12 00:00:00,0.994882,0.996953,0.966337
2025-12-12 04:00:00,0.992543,0.995728,0.990415
2025-12-12 08:00:00,0.98611,0.992989,0.98611
2025-12-12 12:00:00,0.98113,0.986323,0.98017
2025-12-12 16:00:00,0.969945,0.984045,0.969945
2025-12-12 20:00:00,0.96807,0.969954,0.962973
2025-12-13 00:00:00,0.974064,0.97441,0.967051
2025-12-13 04:00:00,0.978087,0.97887,0.973776
2025-12-13 08:00:00,0.972621,0.977828,0.971798
2025-12-13 12:00:00,0.983068,0.990251,0.97353
2025-12-13 16:00:00,0.986566,0.995311,0.980834
2025-12-13 20:00:00,0.982883,0.988456,0.982883
2025-12-14 00:00:00,0.971955,0.980218,0.966327
2025-12-14 04:00:00,0.973798,0.977144,0.972081
2025-12-14 08:00:00,0.972559,0.974941,0.965494
2025-12-14 12:00:00,0.959697,0.973041,0.959697
2025-12-14 16:00:00,0.971988,0.973548,0.959677
2025-12-14 20:00:00,0.96333,0.972767,0.96333
2025-12-15 00:00:00,0.941659,0.963586,0.931532
2025-12-15 04:00:00,0.956502,0.95743,0.939784
2025-12-15 08:00:00,0.953435,0.95886,0.953323
2025-12-15 12:00:00,0.954271,0.962004,0.953235
2025-12-15 16:00:00,0.923559,0.957445,0.922423
2025-12-15 20:00:00,0.9084,0.928425,0.90432
2025-12-16 00:00:00,0.917686,0.917686,0.903091
2025-12-16 04:00:00,0.916837,0.917437,0.905813
2025-12-16 08:00:00,0.924071,0.926752,0.91412
2025-12-16 12:00:00,0.926023,0.926772,0.920841
2025-12-16 16:00:00,0.923309,0.927573,0.90982
2025-12-16 20:00:00,0.921031,0.927021,0.913827
2025-12-17 00:00:00,0.916788,0.920669,0.910805
2025-12-17 04:00:00,0.909852,0.915717,0.909808
2025-12-17 08:00:00,0.909416,0.91141,0.905172
2025-12-17 12:00:00,0.913331,0.913668,0.904835
2025-12-17 16:00:00,0.915921,0.936459,0.912189
2025-12-17 20:00:00,0.914508,0.925791,0.905545
2025-12-18 00:00:00,0.916509,0.916952,0.910404
2025-12-18 04:00:00,0.91424,0.916828,0.91364
2025-12-18 08:00:00,0.910742,0.917665,0.910742
2025-12-18 12:00:00,0.906398,0.916861,0.904654
2025-12-18 16:00:00,0.933594,0.936941,0.905299
2025-12-18 20:00:00,0.901317,0.932585,0.901317
2025-12-19 00:00:00,0.902051,0.905654,0.894588
2025-12-19 04:00:00,0.91549,0.916818,0.899646
2025-12-19 08:00:00,0.92394,0.926328,0.91446
2025-12-19 12:00:00,0.918487,0.923654,0.917272
2025-12-19 16:00:00,0.919463,0.924297,0.916101
2025-12-19 20:00:00,0.921239,0.927405,0.915396
2025-12-20 00:00:00,0.923807,0.926335,0.920539
2025-12-20 04:00:00,0.923427,0.926073,0.918195
2025-12-20 08:00:00,0.9232,0.927062,0.920964
2025-12-20 12:00:00,0.924525,0.926969,0.922403
2025-12-20 16:00:00,0.916475,0.925323,0.916475
2025-12-20 20:00:00,0.916535,0.918863,0.915025
2025-12-21 00:00:00,0.92444,0.924647,0.916047
2025-12-21 04:00:00,0.921551,0.925745,0.917536
2025-12-21 08:00:00,0.94101,0.944783,0.918684
2025-12-21 12:00:00,0.934586,0.937626,0.930019
2025-12-21 16:00:00,0.935842,0.936493,0.926716
2025-12-21 20:00:00,0.927431,0.938158,0.926733
2025-12-22 00:00:00,0.928559,0.930479,0.922713
2025-12-22 04:00:00,0.926973,0.936676,0.922417
2025-12-22 08:00:00,0.928416,0.930048,0.926035
2025-12-22 12:00:00,0.927262,0.931247,0.926313
2025-12-22 16:00:00,0.936206,0.936723,0.929669
2025-12-22 20:00:00,0.924452,0.938635,0.924452
2025-12-23 00:00:00,0.924018,0.927664,0.921501
2025-12-23 04:00:00,0.930556,0.932131,0.924449
2025-12-23 08:00:00,0.933409,0.933414,0.929596
2025-12-23 12:00:00,0.933418,0.933943,0.9308
2025-12-23 16:00:00,0.924823,0.93405,0.922018
2025-12-23 20:00:00,0.928542,0.930144,0.922244
2025-12-24 00:00:00,0.931098,0.931931,0.927301
2025-12-24 04:00:00,0.929333,0.934662,0.92848
2025-12-24 08:00:00,0.922019,0.929552,0.921556
2025-12-24 12:00:00,0.913094,0.922015,0.913094
2025-12-24 16:00:00,0.900306,0.918433,0.900082
2025-12-24 20:00:00,0.911945,0.912579,0.902437
2025-12-25 00:00:00,0.906872,0.913455,0.905132
2025-12-25 04:00:00,0.910408,0.914407,0.906949
2025-12-25 08:00:00,0.909074,0.912335,0.908987
2025-12-25 12:00:00,0.907972,0.909721,0.904141
2025-12-25 16:00:00,0.912558,0.914103,0.906891
2025-12-25 20:00:00,0.911042,0.913883,0.904701
2025-12-26 00:00:00,0.904842,0.911232,0.904807
2025-12-26 04:00:00,0.913316,0.915766,0.90196
2025-12-26 08:00:00,0.911299,0.920248,0.911299
2025-12-26 12:00:00,0.910131,0.913813,0.908238
2025-12-26 16:00:00,0.903831,0.914326,0.901172
2025-12-26 20:00:00,0.904472,0.906469,0.899882
2025-12-27 00:00:00,0.913549,0.913549,0.903817
2025-12-27 04:00:00,0.908335,0.913799,0.905464
2025-12-27 08:00:00,0.905421,0.909079,0.903509
2025-12-27 12:00:00,0.903524,0.906411,0.903422
2025-12-27 16:00:00,0.905574,0.908546,0.901095
2025-12-27 20:00:00,0.911379,0.913915,0.905982
2025-12-28 00:00:00,0.9157,0.9157,0.911492
2025-12-28 04:00:00,0.910033,0.914407,0.910033
2025-12-28 08:00:00,0.910496,0.911664,0.907961
2025-12-28 12:00:00,0.906332,0.912202,0.905172
2025-12-28 16:00:00,0.899805,0.906366,0.899165
2025-12-28 20:00:00,0.901225,0.904967,0.896479
2025-12-29 00:00:00,0.905712,0.907757,0.900133
2025-12-29 04:00:00,0.917652,0.917878,0.902963
2025-12-29 08:00:00,0.918486,0.921535,0.916867
2025-12-29 12:00:00,0.89985,0.918183,0.899437
2025-12-29 16:00:00,0.894284,0.899108,0.88605
2025-12-29 20:00:00,0.906487,0.914344,0.89412
2025-12-30 00:00:00,0.901871,0.907351,0.901188
2025-12-30 04:00:00,0.898153,0.902166,0.896269
2025-12-30 08:00:00,0.891464,0.898455,0.891168
2025-12-30 12:00:00,0.892669,0.897534,0.892292
2025-12-30 16:00:00,0.899005,0.899005,0.892153
2025-12-30 20:00:00,0.88946,0.903085,0.887047
2025-12-31 00:00:00,0.889284,0.891471,0.887208
2025-12-31 04:00:00,0.891263,0.896832,0.886976
2025-12-31 08:00:00,0.888999,0.892164,0.885976
2025-12-31 12:00:00,0.891753,0.91057,0.886201
2025-12-31 16:00:00,0.880392,0.892789,0.880392
2025-12-31 20:00:00,0.870077,0.881824,0.869717
2026-01-01 00:00:00,0.881919,0.882046,0.868151
2026-01-01 04:00:00,0.889308,0.889308,0.881484
2026-01-01 08:00:00,0.888026,0.892884,0.88715
2026-01-01 12:00:00,0.891563,0.89324,0.889067
2026-01-01 16:00:00,0.898782,0.898782,0.890756
2026-01-01 20:00:00,0.899,0.903298,0.897642
2026-01-02 00:00:00,0.901796,0.901796,0.897012
2026-01-02 04:00:00,0.900808,0.90147,0.897498
2026-01-02 08:00:00,0.897074,0.907912,0.897074
2026-01-02 12:00:00,0.910263,0.91117,0.897283
2026-01-02 16:00:00,0.911526,0.913151,0.905553
2026-01-02 20:00:00,0.919711,0.924029,0.909189
2026-01-03 00:00:00,0.918055,0.921998,0.918055
