,close,high,low
2025-12-26 16:00:00,0.999633,1.002,0.997618
2025-12-26 20:00:00,0.999457,1.001,0.997921
2025-12-27 00:00:00,1.001,1.002,0.998524
2025-12-27 04:00:00,1.0,1.001,0.998758
2025-12-27 08:00:00,1.001,1.001,0.998904
2025-12-27 12:00:00,0.999896,1.001,0.998773
2025-12-27 16:00:00,0.999955,1.001,0.99933
2025-12-27 20:00:00,0.999351,1.001,0.998327
2025-12-28 00:00:00,0.999902,1.004,0.997738
2025-12-28 04:00:00,1.0,1.001,0.998833
2025-12-28 08:00:00,1.0,1.001,0.998965
2025-12-28 12:00:00,0.999205,1.002,0.99864
2025-12-28 16:00:00,0.999186,1.001,0.998802
2025-12-28 20:00:00,1.0,1.001,0.99864
2025-12-29 00:00:00,1.001,1.001,0.998818
2025-12-29 04:00:00,0.999349,1.004,0.998305
2025-12-29 08:00:00,0.998954,1.002,0.99695
2025-12-29 12:00:00,1.001,1.002,0.997288
2025-12-29 16:00:00,1.0,1.009,0.997767
2025-12-29 20:00:00,0.99966,1.003,0.998718
2025-12-30 00:00:00,1.001,1.002,0.998758
2025-12-30 04:00:00,0.999609,1.002,0.998171
2025-12-30 08:00:00,0.999965,1.001,0.998729
2025-12-30 12:00:00,0.998911,1.002,0.998794
2025-12-30 16:00:00,1.001,1.003,0.995771
2025-12-30 20:00:00,1.0,1.003,0.996937
2025-12-31 00:00:00,1.0,1.001,0.998798
2025-12-31 04:00:00,0.999803,1.002,0.99821
2025-12-31 08:00:00,0.999418,1.001,0.999223
2025-12-31 12:00:00,1.001,1.001,0.999087
2025-12-31 16:00:00,0.999696,1.005,0.997028
2025-12-31 20:00:00,0.998486,1.001,0.997132
2026-01-01 00:00:00,0.999696,1.0,0.997751
2026-01-01 04:00:00,0.999141,1.0,0.998333
2026-01-01 08:00:00,0.99996,0.999979,0.998016
2026-01-01 12:00:00,0.999681,1.002,0.998676
2026-01-01 16:00:00,1.001,1.002,0.998333
2026-01-01 20:00:00,0.998897,1.001,0.998897
2026-01-02 00:00:00,1.0,1.002,0.998888
2026-01-02 04:00:00,0.999736,1.002,0.998711
2026-01-02 08:00:00,0.999402,1.001,0.998877
2026-01-02 12:00:00,0.999885,1.002,0.998104
2026-01-02 16:00:00,1.0,1.003,0.992425
2026-01-02 20:00:00,1.0,1.004,0.994079
2026-01-03 00:00:00,1.0,1.002,0.998159
2026-01-03 04:00:00,0.999311,1.001,0.998132
2026-01-03 08:00:00,0.999727,1.001,0.997618
2026-01-03 12:00:00,0.999065,1.001,0.998619
2026-01-03 16:00:00,1.0,1.001,0.998202
2026-01-03 20:00:00,1.001,1.002,0.998757
2026-01-04 00:00:00,1.001,1.001,0.99897
2026-01-04 04:00:00,0.999281,1.003,0.993982
2026-01-04 08:00:00,1.001,1.001,0.998612
2026-01-04 12:00:00,0.998772,1.002,0.997483
2026-01-04 16:00:00,0.999836,1.001,0.998233
2026-01-04 20:00:00,1.001,1.001,0.998418
2026-01-05 00:00:00,0.999311,1.002,0.997992
2026-01-05 04:00:00,1.0,1.003,0.998014
2026-01-05 08:00:00,0.999456,1.001,0.998613
2026-01-05 12:00:00,0.999755,1.001,0.998819
2026-01-05 16:00:00,0.999071,1.002,0.995263
2026-01-05 20:00:00,1.0,1.002,0.997699
2026-01-06 00:00:00,1.0,1.001,0.997545
2026-01-06 04:00:00,0.999522,1.0,0.998377
2026-01-06 08:00:00,0.999536,1.003,0.998504
2026-01-06 12:00:00,1.001,1.001,0.998694
2026-01-06 16:00:00,1.0,1.003,0.993638
2026-01-06 20:00:00,0.9995,1.001,0.996199
2026-01-07 00:00:00,1.0,1.002,0.996833
2026-01-07 04:00:00,1.0,1.001,0.998638
2026-01-07 08:00:00,0.999828,1.001,0.997394
2026-01-07 12:00:00,1.001,1.002,0.996109
2026-01-07 16:00:00,0.997188,1.001,0.994571
2026-01-07 20:00:00,0.999498,1.002,0.996676
2026-01-08 00:00:00,0.999595,1.005,0.997896
2026-01-08 04:00:00,0.998302,1.002,0.99827
2026-01-08 08:00:00,0.998822,1.002,0.995846
2026-01-08 12:00:00,1.001,1.003,0.99783
2026-01-08 16:00:00,0.997785,1.002,0.9956
2026-01-08 20:00:00,1.0,1.001,0.998422
2026-01-09 00:00:00,1.0,1.001,0.997831
2026-01-09 04:00:00,0.999249,1.001,0.992756
2026-01-09 08:00:00,0.999454,1.001,0.998923
2026-01-09 12:00:00,0.999813,1.001,0.997798
2026-01-09 16:00:00,1.001,1.002,0.997617
2026-01-09 20:00:00,0.9983,1.001,0.996444
2026-01-10 00:00:00,0.999592,1.001,0.996936
2026-01-10 04:00:00,0.999008,0.999951,0.998516
2026-01-10 08:00:00,0.999288,1.001,0.998322
2026-01-10 12:00:00,0.999036,1.001,0.998689
