,close,high,low
2025-12-04 20:00:00,13.13,13.27,13.03
2025-12-05 00:00:00,13.45,13.48,13.14
2025-12-05 04:00:00,13.2,13.41,13.15
2025-12-05 08:00:00,13.09,13.26,13.05
2025-12-05 12:00:00,13.18,13.18,12.85
2025-12-05 16:00:00,13.07,13.16,12.95
2025-12-05 20:00:00,13.02,13.14,12.98
2025-12-06 00:00:00,12.93,13.04,12.81
2025-12-06 04:00:00,13.05,13.05,12.86
2025-12-06 08:00:00,13.01,13.23,12.96
2025-12-06 12:00:00,13.11,13.18,12.95
2025-12-06 16:00:00,13.07,13.15,13.04
2025-12-06 20:00:00,13.07,13.1,12.95
2025-12-07 00:00:00,13.03,13.06,13.0
2025-12-07 04:00:00,12.96,13.06,12.96
2025-12-07 08:00:00,13.02,13.02,12.91
2025-12-07 12:00:00,13.03,13.12,13.0
2025-12-07 16:00:00,13.08,13.14,13.0
2025-12-07 20:00:00,13.08,13.13,13.03
2025-12-08 00:00:00,13.15,13.16,13.02
2025-12-08 04:00:00,13.12,13.16,13.07
2025-12-08 08:00:00,13.13,13.18,13.06
2025-12-08 12:00:00,13.09,13.12,13.03
2025-12-08 16:00:00,13.04,13.07,13.02
2025-12-08 20:00:00,13.09,13.1,13.02
2025-12-09 00:00:00,13.09,13.13,13.05
2025-12-09 04:00:00,13.1,13.11,13.07
2025-12-09 08:00:00,13.12,13.13,13.07
2025-12-09 12:00:00,13.08,13.13,13.08
2025-12-09 16:00:00,13.06,13.08,13.04
2025-12-09 20:00:00,12.83,13.06,12.71
2025-12-10 00:00:00,12.84,12.86,12.76
2025-12-10 04:00:00,13.11,13.19,12.91
2025-12-10 08:00:00,12.98,13.17,12.97
2025-12-10 12:00:00,12.87,12.98,12.86
2025-12-10 16:00:00,12.85,12.89,12.77
2025-12-10 20:00:00,12.73,12.99,12.71
2025-12-11 00:00:00,12.65,12.75,12.55
2025-12-11 04:00:00,12.87,12.89,12.65
2025-12-11 08:00:00,12.83,12.93,12.8
2025-12-11 12:00:00,12.66,12.88,12.66
2025-12-11 16:00:00,12.63,12.71,12.52
2025-12-11 20:00:00,12.56,12.64,12.51
2025-12-12 00:00:00,12.36,12.59,12.26
2025-12-12 04:00:00,12.34,12.37,12.27
2025-12-12 08:00:00,12.25,12.35,12.22
2025-12-12 12:00:00,12.24,12.33,12.19
2025-12-12 16:00:00,12.45,12.45,12.18
2025-12-12 20:00:00,12.41,12.49,12.35
2025-12-13 00:00:00,12.34,12.49,12.34
2025-12-13 04:00:00,12.4,12.45,12.31
2025-12-13 08:00:00,12.27,12.39,12.26
2025-12-13 12:00:00,12.17,12.24,12.15
2025-12-13 16:00:00,12.19,12.29,12.17
2025-12-13 20:00:00,12.13,12.23,12.07
2025-12-14 00:00:00,12.08,12.16,12.08
2025-12-14 04:00:00,12.12,12.13,12.04
2025-12-14 08:00:00,12.18,12.26,12.08
2025-12-14 12:00:00,12.12,12.26,12.08
2025-12-14 16:00:00,12.16,12.18,12.12
2025-12-14 20:00:00,12.1,12.18,12.06
2025-12-15 00:00:00,12.04,12.13,12.03
2025-12-15 04:00:00,12.04,12.1,12.02
2025-12-15 08:00:00,12.04,12.08,12.03
2025-12-15 12:00:00,12.02,12.04,12.01
2025-12-15 16:00:00,12.1,12.17,12.01
2025-12-15 20:00:00,12.25,12.3,12.09
2025-12-16 00:00:00,12.33,12.41,12.23
2025-12-16 04:00:00,12.96,13.09,12.34
2025-12-16 08:00:00,12.84,13.08,12.77
2025-12-16 12:00:00,12.89,12.92,12.7
2025-12-16 16:00:00,12.84,12.9,12.74
2025-12-16 20:00:00,12.86,12.88,12.83
2025-12-17 00:00:00,12.84,12.86,12.76
2025-12-17 04:00:00,12.89,12.98,12.82
2025-12-17 08:00:00,12.86,12.95,12.82
2025-12-17 12:00:00,12.74,12.88,12.74
2025-12-17 16:00:00,12.77,12.84,12.71
2025-12-17 20:00:00,12.83,13.01,12.77
2025-12-18 00:00:00,12.83,12.87,12.78
2025-12-18 04:00:00,12.81,12.86,12.78
2025-12-18 08:00:00,12.24,12.81,12.16
2025-12-18 12:00:00,12.41,12.42,12.24
2025-12-18 16:00:00,12.36,12.46,12.36
2025-12-18 20:00:00,12.64,12.68,12.37
2025-12-19 00:00:00,12.43,12.69,12.43
2025-12-19 04:00:00,12.5,12.57,12.43
2025-12-19 08:00:00,12.36,12.5,12.36
2025-12-19 12:00:00,12.25,12.43,12.24
2025-12-19 16:00:00,12.35,12.44,12.21
2025-12-19 20:00:00,12.28,12.35,12.25
2025-12-20 00:00:00,12.28,12.31,12.21
2025-12-20 04:00:00,12.32,12.37,12.18
2025-12-20 08:00:00,12.34,12.41,12.32
2025-12-20 12:00:00,12.49,12.53,12.32
2025-12-20 16:00:00,12.35,12.48,12.32
2025-12-20 20:00:00,12.2,12.36,12.19
2025-12-21 00:00:00,12.28,12.29,12.13
2025-12-21 04:00:00,12.32,12.36,12.24
2025-12-21 08:00:00,12.22,12.31,12.17
2025-12-21 12:00:00,12.37,12.41,12.22
2025-12-21 16:00:00,12.34,12.38,12.26
2025-12-21 20:00:00,12.23,12.32,12.19
2025-12-22 00:00:00,12.32,12.37,12.24
2025-12-22 04:00:00,12.27,12.36,12.23
2025-12-22 08:00:00,12.28,12.34,12.26
2025-12-22 12:00:00,12.23,12.29,12.22
2025-12-22 16:00:00,12.3,12.3,12.22
2025-12-22 20:00:00,12.36,12.36,12.24
2025-12-23 00:00:00,12.28,12.4,12.24
2025-12-23 04:00:00,12.36,12.42,12.28
2025-12-23 08:00:00,12.29,12.49,12.27
2025-12-23 12:00:00,12.24,12.31,12.24
2025-12-23 16:00:00,12.21,12.27,12.2
2025-12-23 20:00:00,12.18,12.21,12.16
2025-12-24 00:00:00,12.18,12.19,12.15
2025-12-24 04:00:00,12.14,12.2,12.14
2025-12-24 08:00:00,12.13,12.18,12.13
2025-12-24 12:00:00,12.09,12.22,12.07
2025-12-24 16:00:00,12.1,12.15,12.04
2025-12-24 20:00:00,12.03,12.09,12.02
2025-12-25 00:00:00,12.03,12.06,12.02
2025-12-25 04:00:00,12.0,12.03,12.0
2025-12-25 08:00:00,12.0,12.02,12.0
2025-12-25 12:00:00,12.01,12.03,12.0
2025-12-25 16:00:00,12.01,12.05,12.0
2025-12-25 20:00:00,12.0,12.01,12.0
2025-12-26 00:00:00,12.02,12.04,12.0
2025-12-26 04:00:00,11.99,12.02,11.99
2025-12-26 08:00:00,11.72,12.0,11.66
2025-12-26 12:00:00,11.73,11.8,11.68
2025-12-26 16:00:00,11.78,11.79,11.55
2025-12-26 20:00:00,11.58,11.75,11.56
2025-12-27 00:00:00,11.55,11.58,11.53
2025-12-27 04:00:00,11.52,11.64,11.51
2025-12-27 08:00:00,11.51,11.52,11.5
2025-12-27 12:00:00,11.58,11.68,11.52
2025-12-27 16:00:00,11.67,11.7,11.6
2025-12-27 20:00:00,11.7,11.74,11.68
2025-12-28 00:00:00,11.78,11.78,11.66
2025-12-28 04:00:00,11.76,11.89,11.7
2025-12-28 08:00:00,11.87,11.92,11.77
2025-12-28 12:00:00,11.76,11.87,11.73
2025-12-28 16:00:00,11.72,11.83,11.66
2025-12-28 20:00:00,11.6,11.73,11.58
2025-12-29 00:00:00,11.67,11.68,11.56
2025-12-29 04:00:00,11.68,11.74,11.67
2025-12-29 08:00:00,11.6,11.7,11.59
2025-12-29 12:00:00,11.67,11.69,11.59
2025-12-29 16:00:00,11.63,11.71,11.6
2025-12-29 20:00:00,11.69,11.69,11.58
2025-12-30 00:00:00,11.93,11.95,11.7
2025-12-30 04:00:00,11.76,11.97,11.65
2025-12-30 08:00:00,11.79,11.83,11.74
2025-12-30 12:00:00,11.71,11.81,11.71
2025-12-30 16:00:00,11.79,11.81,11.69
2025-12-30 20:00:00,11.7,11.88,11.7
2025-12-31 00:00:00,11.66,11.71,11.62
2025-12-31 04:00:00,11.62,11.68,11.62
2025-12-31 08:00:00,11.62,11.65,11.56
2025-12-31 12:00:00,11.66,11.68,11.6
2025-12-31 16:00:00,11.56,11.68,11.55
2025-12-31 20:00:00,11.54,11.62,11.54
2026-01-01 00:00:00,11.55,11.55,11.51
2026-01-01 04:00:00,11.54,11.62,11.51
2026-01-01 08:00:00,11.56,11.57,11.53
2026-01-01 12:00:00,11.62,11.66,11.55
2026-01-01 16:00:00,11.63,11.68,11.61
2026-01-01 20:00:00,11.65,11.65,11.53
2026-01-02 00:00:00,11.62,11.67,11.62
2026-01-02 04:00:00,11.53,11.62,11.53
2026-01-02 08:00:00,7.21,11.54,7.21
2026-01-02 12:00:00,7.18,7.24,6.91
2026-01-02 16:00:00,7.11,7.25,7.07
2026-01-02 20:00:00,7.44,7.48,7.05
2026-01-03 00:00:00,7.33,7.38,7.26
2026-01-03 04:00:00,7.24,7.3,7.14
2026-01-03 08:00:00,6.96,7.32,6.9
2026-01-03 12:00:00,6.81,7.03,6.66
2026-01-03 16:00:00,6.56,6.73,6.52
