,close,high,low
2025-12-04 04:00:00,107.88,108.76,106.62
2025-12-04 08:00:00,107.21,107.96,106.96
2025-12-04 12:00:00,106.61,107.24,106.36
2025-12-04 16:00:00,106.97,107.06,105.54
2025-12-04 20:00:00,107.35,107.63,105.81
2025-12-05 00:00:00,109.17,109.17,107.28
2025-12-05 04:00:00,109.22,110.63,108.95
2025-12-05 08:00:00,109.14,109.31,107.92
2025-12-05 12:00:00,106.87,109.46,106.71
2025-12-05 16:00:00,106.02,107.3,105.27
2025-12-05 20:00:00,103.95,106.04,102.63
2025-12-06 00:00:00,103.63,104.07,102.97
2025-12-06 04:00:00,104.76,104.91,103.32
2025-12-06 08:00:00,104.75,105.48,104.66
2025-12-06 12:00:00,104.88,104.94,103.92
2025-12-06 16:00:00,107.29,108.39,104.8
2025-12-06 20:00:00,106.85,108.93,106.7
2025-12-07 00:00:00,107.09,107.23,106.66
2025-12-07 04:00:00,108.62,108.93,107.19
2025-12-07 08:00:00,107.42,108.76,107.25
2025-12-07 12:00:00,107.53,107.92,106.93
2025-12-07 16:00:00,106.88,108.35,105.48
2025-12-07 20:00:00,109.12,109.16,107.12
2025-12-08 00:00:00,107.57,109.18,106.61
2025-12-08 04:00:00,108.75,108.91,107.68
2025-12-08 08:00:00,110.64,110.86,108.84
2025-12-08 12:00:00,110.98,112.24,110.65
2025-12-08 16:00:00,110.66,112.57,110.32
2025-12-08 20:00:00,110.71,111.86,110.35
2025-12-09 00:00:00,110.84,112.65,110.28
2025-12-09 04:00:00,109.99,111.29,109.35
2025-12-09 08:00:00,110.45,110.49,108.74
2025-12-09 12:00:00,111.56,112.33,110.68
2025-12-09 16:00:00,113.18,113.18,111.07
2025-12-09 20:00:00,115.97,116.01,113.13
2025-12-10 00:00:00,116.93,119.45,115.74
2025-12-10 04:00:00,116.3,116.99,115.72
2025-12-10 08:00:00,117.81,117.81,116.27
2025-12-10 12:00:00,117.45,118.23,116.77
2025-12-10 16:00:00,120.93,121.22,117.1
2025-12-10 20:00:00,120.51,123.79,119.75
2025-12-11 00:00:00,118.38,121.36,118.11
2025-12-11 04:00:00,113.66,118.21,113.07
2025-12-11 08:00:00,114.43,115.23,113.75
2025-12-11 12:00:00,114.51,114.73,113.72
2025-12-11 16:00:00,113.69,114.97,112.71
2025-12-11 20:00:00,114.77,115.25,112.72
2025-12-12 00:00:00,115.19,116.17,114.26
2025-12-12 04:00:00,116.85,116.85,115.12
2025-12-12 08:00:00,116.57,117.31,116.18
2025-12-12 12:00:00,116.86,117.16,116.39
2025-12-12 16:00:00,113.68,117.46,113.68
2025-12-12 20:00:00,114.16,114.9,113.2
2025-12-13 00:00:00,115.27,115.8,114.2
2025-12-13 04:00:00,115.18,115.76,114.99
2025-12-13 08:00:00,114.85,115.21,114.59
2025-12-13 12:00:00,116.7,116.7,114.82
2025-12-13 16:00:00,115.41,117.01,115.01
2025-12-13 20:00:00,114.72,115.45,114.46
2025-12-14 00:00:00,115.31,115.37,114.55
2025-12-14 04:00:00,115.24,115.89,115.17
2025-12-14 08:00:00,114.76,115.43,114.59
2025-12-14 12:00:00,112.31,114.94,112.01
2025-12-14 16:00:00,111.95,112.79,111.82
2025-12-14 20:00:00,110.7,111.74,110.61
2025-12-15 00:00:00,109.0,110.79,108.52
2025-12-15 04:00:00,110.98,111.21,108.49
2025-12-15 08:00:00,110.2,111.16,110.19
2025-12-15 12:00:00,110.22,110.9,110.17
2025-12-15 16:00:00,107.29,110.27,106.59
2025-12-15 20:00:00,105.88,107.52,105.02
2025-12-16 00:00:00,106.97,106.97,105.05
2025-12-16 04:00:00,106.18,107.35,105.92
2025-12-16 08:00:00,105.79,106.42,105.0
2025-12-16 12:00:00,108.49,108.49,105.66
2025-12-16 16:00:00,109.7,109.7,106.99
2025-12-16 20:00:00,109.7,110.11,108.77
2025-12-17 00:00:00,109.5,110.05,109.09
2025-12-17 04:00:00,109.41,109.75,108.92
2025-12-17 08:00:00,108.51,109.47,107.97
2025-12-17 12:00:00,107.38,108.47,107.11
2025-12-17 16:00:00,107.57,110.15,107.11
2025-12-17 20:00:00,105.61,107.63,104.93
2025-12-18 00:00:00,105.7,106.31,105.26
2025-12-18 04:00:00,105.94,107.98,105.71
2025-12-18 08:00:00,105.65,106.11,104.96
2025-12-18 12:00:00,106.27,106.52,105.53
2025-12-18 16:00:00,108.17,108.45,106.13
2025-12-18 20:00:00,102.3,107.92,102.12
2025-12-19 00:00:00,103.82,103.84,102.34
