,close,high,low
2025-12-04 16:00:00,0.01085254,0.01099928,0.0107756
2025-12-04 20:00:00,0.01075171,0.01092419,0.01072209
2025-12-05 00:00:00,0.01085089,0.01085894,0.01073847
2025-12-05 04:00:00,0.01090447,0.01092305,0.01082685
2025-12-05 08:00:00,0.01080959,0.01091679,0.01074378
2025-12-05 12:00:00,0.01069441,0.01081523,0.01069441
2025-12-05 16:00:00,0.01066896,0.01073461,0.01063451
2025-12-05 20:00:00,0.01054115,0.01065336,0.01051964
2025-12-06 00:00:00,0.01054288,0.01057538,0.01052029
2025-12-06 04:00:00,0.01067671,0.01067806,0.01053956
2025-12-06 08:00:00,0.01069017,0.01070024,0.01065464
2025-12-06 12:00:00,0.01055626,0.01069377,0.01055626
2025-12-06 16:00:00,0.01059465,0.01060245,0.01054153
2025-12-06 20:00:00,0.01057733,0.0106113,0.0105618
2025-12-07 00:00:00,0.01067216,0.0106791,0.01056577
2025-12-07 04:00:00,0.01066035,0.01068108,0.01062932
2025-12-07 08:00:00,0.01061046,0.01066795,0.01060189
2025-12-07 12:00:00,0.0105249,0.0106143,0.01049647
2025-12-07 16:00:00,0.0104387,0.0105569,0.0103283
2025-12-07 20:00:00,0.01056548,0.01059766,0.01045127
2025-12-08 00:00:00,0.01036487,0.01057602,0.01033937
2025-12-08 04:00:00,0.01046791,0.01049755,0.01034786
2025-12-08 08:00:00,0.01045126,0.01048834,0.01045021
2025-12-08 12:00:00,0.01050608,0.01052452,0.01045578
2025-12-08 16:00:00,0.01041603,0.01049256,0.0103688
2025-12-08 20:00:00,0.01027598,0.01037243,0.01027195
2025-12-09 00:00:00,0.01039346,0.01039572,0.01027609
2025-12-09 04:00:00,0.01034712,0.0104436,0.01033091
2025-12-09 08:00:00,0.01043117,0.01043117,0.01028602
2025-12-09 12:00:00,0.01040967,0.01043845,0.01037803
2025-12-09 16:00:00,0.01076247,0.01076247,0.01040988
2025-12-09 20:00:00,0.01080127,0.01090801,0.01077971
2025-12-10 00:00:00,0.01060818,0.01080101,0.01059568
2025-12-10 04:00:00,0.01079106,0.01079106,0.01060773
2025-12-10 08:00:00,0.01078623,0.01081132,0.01075198
2025-12-10 12:00:00,0.01079238,0.0122392,0.01079238
2025-12-10 16:00:00,0.01082959,0.01091053,0.01080676
2025-12-10 20:00:00,0.01088604,0.0110003,0.01082472
2025-12-11 00:00:00,0.01094445,0.01099919,0.01083738
2025-12-11 04:00:00,0.01047323,0.0109238,0.01047323
2025-12-11 08:00:00,0.01045849,0.01053644,0.01045467
2025-12-11 12:00:00,0.01042057,0.01047153,0.01038305
2025-12-11 16:00:00,0.01034005,0.01043989,0.01034005
2025-12-11 20:00:00,0.01038794,0.01039079,0.01029283
2025-12-12 00:00:00,0.01048292,0.01048292,0.01036073
2025-12-12 04:00:00,0.01043525,0.01048569,0.01042973
2025-12-12 08:00:00,0.01041842,0.01046585,0.01041051
2025-12-12 12:00:00,0.01045178,0.01045212,0.01040847
2025-12-12 16:00:00,0.01040167,0.0105089,0.01040167
2025-12-12 20:00:00,0.01042188,0.01045485,0.01038921
2025-12-13 00:00:00,0.0104016,0.0104431,0.01038667
2025-12-13 04:00:00,0.01051168,0.0105354,0.01039905
2025-12-13 08:00:00,0.01052664,0.01053266,0.01049468
2025-12-13 12:00:00,0.01053351,0.01055793,0.01050126
2025-12-13 16:00:00,0.01058802,0.01059502,0.01051761
2025-12-13 20:00:00,0.01059334,0.01059801,0.01054006
2025-12-14 00:00:00,0.01059097,0.0106013,0.0105801
2025-12-14 04:00:00,0.01058606,0.01059741,0.01056257
2025-12-14 08:00:00,0.01059088,0.01062454,0.01057471
2025-12-14 12:00:00,0.01047724,0.010613,0.01046911
2025-12-14 16:00:00,0.0103741,0.01047256,0.01030694
2025-12-14 20:00:00,0.01036897,0.01044888,0.0103008
2025-12-15 00:00:00,0.01032557,0.01044615,0.01024877
2025-12-15 04:00:00,0.01038748,0.01045375,0.01032155
2025-12-15 08:00:00,0.01030422,0.01038719,0.01027955
2025-12-15 12:00:00,0.01031782,0.01035585,0.01030001
2025-12-15 16:00:00,0.01011538,0.01032315,0.01006565
2025-12-15 20:00:00,0.01009102,0.01012539,0.00998263
2025-12-16 00:00:00,0.01009405,0.01012172,0.01004544
2025-12-16 04:00:00,0.01001417,0.01014617,0.01001262
2025-12-16 08:00:00,0.01000762,0.01007262,0.0099991
2025-12-16 12:00:00,0.01008169,0.01010692,0.01000244
2025-12-16 16:00:00,0.01005863,0.01009026,0.01000106
2025-12-16 20:00:00,0.01008365,0.01010022,0.01003337
2025-12-17 00:00:00,0.01007411,0.01009807,0.01005064
2025-12-17 04:00:00,0.0100142,0.01009836,0.01000163
2025-12-17 08:00:00,0.00995076,0.01002267,0.00990777
2025-12-17 12:00:00,0.00989744,0.00993855,0.0098857
2025-12-17 16:00:00,0.00995895,0.0100536,0.00988415
2025-12-17 20:00:00,0.00968092,0.00996274,0.00964383
2025-12-18 00:00:00,0.00963856,0.00969866,0.00959412
2025-12-18 04:00:00,0.00959514,0.00962939,0.00955376
2025-12-18 08:00:00,0.00955793,0.0096065,0.00953612
2025-12-18 12:00:00,0.00955981,0.00959068,0.00952568
2025-12-18 16:00:00,0.00975972,0.0097682,0.00955828
2025-12-18 20:00:00,0.00943537,0.00973632,0.00943537
2025-12-19 00:00:00,0.00940069,0.00947084,0.0093872
2025-12-19 04:00:00,0.0094296,0.00949406,0.00932236
2025-12-19 08:00:00,0.00966607,0.0096666,0.00941584
2025-12-19 12:00:00,0.00957837,0.00968295,0.00956489
2025-12-19 16:00:00,0.00971083,0.0097468,0.00957057
2025-12-19 20:00:00,0.00970305,0.009752,0.00959982
2025-12-20 00:00:00,0.00977937,0.00983853,0.00964615
2025-12-20 04:00:00,0.00985217,0.00985217,0.0097323
2025-12-20 08:00:00,0.00986714,0.00991237,0.0097886
2025-12-20 12:00:00,0.00990744,0.00993491,0.00987081
2025-12-20 16:00:00,0.00992002,0.0099786,0.00985189
2025-12-20 20:00:00,0.00996733,0.00999865,0.00993285
2025-12-21 00:00:00,0.00995277,0.00999999,0.0099436
2025-12-21 04:00:00,0.0098885,0.00998307,0.00986045
2025-12-21 08:00:00,0.01035786,0.01046277,0.00984623
2025-12-21 12:00:00,0.01028658,0.01040859,0.01023349
2025-12-21 16:00:00,0.00980006,0.01050224,0.00975911
2025-12-21 20:00:00,0.0098108,0.00986889,0.00976367
2025-12-22 00:00:00,0.00981815,0.00983509,0.00973448
2025-12-22 04:00:00,0.0098426,0.00988973,0.00979537
2025-12-22 08:00:00,0.00977489,0.00988162,0.00976146
2025-12-22 12:00:00,0.00985949,0.00989977,0.00974802
2025-12-22 16:00:00,0.00986854,0.00988975,0.00983203
2025-12-22 20:00:00,0.00985229,0.00991816,0.00980209
2025-12-23 00:00:00,0.00979954,0.00982807,0.00975749
2025-12-23 04:00:00,0.00977792,0.00984799,0.00974477
2025-12-23 08:00:00,0.00970836,0.00979059,0.00969295
2025-12-23 12:00:00,0.00980914,0.00980914,0.00964998
2025-12-23 16:00:00,0.00976394,0.00983951,0.00975977
2025-12-23 20:00:00,0.0098405,0.00986908,0.00976093
2025-12-24 00:00:00,0.00983063,0.009882,0.00980331
2025-12-24 04:00:00,0.00992729,0.00992729,0.00981391
2025-12-24 08:00:00,0.00992757,0.00993464,0.00987123
2025-12-24 12:00:00,0.00989617,0.00995117,0.00985421
2025-12-24 16:00:00,0.00988663,0.00997016,0.00987335
2025-12-24 20:00:00,0.00991559,0.00995454,0.00987955
2025-12-25 00:00:00,0.00996126,0.00999693,0.00990927
2025-12-25 04:00:00,0.010037,0.010092,0.00993488
2025-12-25 08:00:00,0.0100506,0.0101111,0.0099949
2025-12-25 12:00:00,0.00995071,0.01009814,0.00992937
2025-12-25 16:00:00,0.01008368,0.01010369,0.00994156
2025-12-25 20:00:00,0.01008253,0.01011924,0.01004473
2025-12-26 00:00:00,0.00996443,0.01010195,0.00994101
2025-12-26 04:00:00,0.01011407,0.01011407,0.00993026
2025-12-26 08:00:00,0.01010719,0.01012817,0.01006281
2025-12-26 12:00:00,0.01007447,0.0101383,0.00999224
2025-12-26 16:00:00,0.00999154,0.01016328,0.00999154
2025-12-26 20:00:00,0.01001589,0.01003625,0.00993203
2025-12-27 00:00:00,0.01004478,0.01008673,0.00995079
2025-12-27 04:00:00,0.01003019,0.01005895,0.0099736
2025-12-27 08:00:00,0.01004645,0.01006518,0.00998185
2025-12-27 12:00:00,0.01007089,0.0100782,0.01001113
2025-12-27 16:00:00,0.01009896,0.0101189,0.00995433
2025-12-27 20:00:00,0.01006755,0.01010107,0.01004513
2025-12-28 00:00:00,0.01012251,0.0101678,0.01005152
2025-12-28 04:00:00,0.01029347,0.01035622,0.01011902
2025-12-28 08:00:00,0.01018865,0.01035894,0.01015135
2025-12-28 12:00:00,0.01032445,0.01033274,0.01017596
2025-12-28 16:00:00,0.01030655,0.01039579,0.01026842
2025-12-28 20:00:00,0.01023652,0.01031728,0.01022174
2025-12-29 00:00:00,0.01035461,0.01037736,0.01023263
2025-12-29 04:00:00,0.01032153,0.01034677,0.01025216
2025-12-29 08:00:00,0.01032178,0.01037446,0.01030813
2025-12-29 12:00:00,0.01018401,0.01032835,0.01018401
2025-12-29 16:00:00,0.01005746,0.01017748,0.01000978
2025-12-29 20:00:00,0.00996161,0.0101054,0.00996161
2025-12-30 00:00:00,0.009881,0.00999653,0.009881
2025-12-30 04:00:00,0.00999301,0.01034639,0.00987577
2025-12-30 08:00:00,0.00999449,0.01001599,0.00995481
2025-12-30 12:00:00,0.01011525,0.01011877,0.00997601
2025-12-30 16:00:00,0.01017897,0.01017897,0.01005405
2025-12-30 20:00:00,0.01018546,0.01019224,0.01012981
2025-12-31 00:00:00,0.01019465,0.01033658,0.0101549
2025-12-31 04:00:00,0.01011277,0.01023611,0.01011277
2025-12-31 08:00:00,0.01008067,0.01013697,0.01006431
2025-12-31 12:00:00,0.01005854,0.01007938,0.00999645
2025-12-31 16:00:00,0.0100216,0.01011829,0.01001203
2025-12-31 20:00:00,0.00997096,0.01004558,0.0099163
2026-01-01 00:00:00,0.0099389,0.00998553,0.00991328
2026-01-01 04:00:00,0.00997985,0.00998288,0.00988178
2026-01-01 08:00:00,0.00995657,0.00999069,0.00990095
2026-01-01 12:00:00,0.00999752,0.01002775,0.00991487
2026-01-01 16:00:00,0.01009204,0.01009204,0.00999882
2026-01-01 20:00:00,0.01005488,0.01015204,0.01004591
2026-01-02 00:00:00,0.01008264,0.01012116,0.0100195
2026-01-02 04:00:00,0.01010598,0.0101205,0.01006409
2026-01-02 08:00:00,0.01010807,0.01011818,0.01007763
2026-01-02 12:00:00,0.01009389,0.01015788,0.01007218
2026-01-02 16:00:00,0.01017137,0.010179,0.01009465
2026-01-02 20:00:00,0.01023011,0.01027182,0.01016344
2026-01-03 00:00:00,0.01040922,0.01047044,0.01022279
2026-01-03 04:00:00,0.01035684,0.01043198,0.01034328
2026-01-03 08:00:00,0.01030583,0.01043239,0.01030227
2026-01-03 12:00:00,0.01033232,0.01034128,0.01028844
