,close,high,low
2025-12-04 16:00:00,0.073528,0.074242,0.072807
2025-12-04 20:00:00,0.072652,0.073646,0.071512
2025-12-05 00:00:00,0.072183,0.072821,0.071853
2025-12-05 04:00:00,0.072793,0.073909,0.072239
2025-12-05 08:00:00,0.072632,0.072742,0.071914
2025-12-05 12:00:00,0.071474,0.07299,0.071474
2025-12-05 16:00:00,0.071993,0.072481,0.070595
2025-12-05 20:00:00,0.070178,0.071655,0.06989
2025-12-06 00:00:00,0.070573,0.070632,0.069796
2025-12-06 04:00:00,0.070412,0.070599,0.070049
2025-12-06 08:00:00,0.070872,0.070957,0.070233
2025-12-06 12:00:00,0.070364,0.071006,0.070334
2025-12-06 16:00:00,0.071329,0.071587,0.070323
2025-12-06 20:00:00,0.071907,0.072204,0.071205
2025-12-07 00:00:00,0.072573,0.072802,0.071823
2025-12-07 04:00:00,0.072504,0.072916,0.072257
2025-12-07 08:00:00,0.071951,0.07251,0.071936
2025-12-07 12:00:00,0.070933,0.071836,0.070774
2025-12-07 16:00:00,0.06974,0.071142,0.069338
2025-12-07 20:00:00,0.072661,0.072661,0.070298
2025-12-08 00:00:00,0.071194,0.072702,0.070802
2025-12-08 04:00:00,0.071198,0.071819,0.070729
2025-12-08 08:00:00,0.07344,0.073597,0.071734
2025-12-08 12:00:00,0.073039,0.074473,0.072997
2025-12-08 16:00:00,0.071443,0.074081,0.071443
2025-12-08 20:00:00,0.071538,0.072349,0.071392
2025-12-09 00:00:00,0.071555,0.072011,0.071382
2025-12-09 04:00:00,0.071434,0.07171,0.070991
2025-12-09 08:00:00,0.07115,0.071442,0.070482
2025-12-09 12:00:00,0.071159,0.071319,0.07047
2025-12-09 16:00:00,0.073747,0.073747,0.071113
2025-12-09 20:00:00,0.075065,0.075929,0.073686
2025-12-10 00:00:00,0.074343,0.07505,0.073432
2025-12-10 04:00:00,0.073521,0.074375,0.073246
2025-12-10 08:00:00,0.07353,0.073767,0.073269
2025-12-10 12:00:00,0.072911,0.076092,0.072911
2025-12-10 16:00:00,0.072099,0.072916,0.072099
2025-12-10 20:00:00,0.073067,0.073067,0.072073
2025-12-11 00:00:00,0.071946,0.074276,0.071946
2025-12-11 04:00:00,0.067349,0.071927,0.067058
2025-12-11 08:00:00,0.068299,0.068299,0.067016
2025-12-11 12:00:00,0.068177,0.069291,0.067789
2025-12-11 16:00:00,0.06923,0.06923,0.067721
2025-12-11 20:00:00,0.068561,0.07007,0.06767
2025-12-12 00:00:00,0.069164,0.069629,0.06852
2025-12-12 04:00:00,0.068819,0.070921,0.068516
2025-12-12 08:00:00,0.069403,0.069471,0.068614
2025-12-12 12:00:00,0.068598,0.069454,0.06857
2025-12-12 16:00:00,0.067667,0.069799,0.067667
2025-12-12 20:00:00,0.067889,0.068346,0.067299
2025-12-13 00:00:00,0.068223,0.068538,0.067984
2025-12-13 04:00:00,0.068671,0.068745,0.068049
2025-12-13 08:00:00,0.068927,0.06906,0.068444
2025-12-13 12:00:00,0.06824,0.069055,0.068024
2025-12-13 16:00:00,0.068601,0.068698,0.068153
2025-12-13 20:00:00,0.068677,0.068802,0.068388
2025-12-14 00:00:00,0.06841,0.069167,0.06814
2025-12-14 04:00:00,0.068414,0.068918,0.068242
2025-12-14 08:00:00,0.067362,0.068456,0.067239
2025-12-14 12:00:00,0.066776,0.067752,0.06677
2025-12-14 16:00:00,0.066524,0.067183,0.066355
2025-12-14 20:00:00,0.064989,0.067055,0.064776
2025-12-15 00:00:00,0.064606,0.065283,0.064372
2025-12-15 04:00:00,0.063876,0.06599,0.063795
2025-12-15 08:00:00,0.063095,0.064079,0.063059
2025-12-15 12:00:00,0.063136,0.063428,0.063071
2025-12-15 16:00:00,0.061313,0.063701,0.061058
2025-12-15 20:00:00,0.060003,0.061254,0.059345
2025-12-16 00:00:00,0.059505,0.059995,0.059101
2025-12-16 04:00:00,0.059156,0.059498,0.059041
2025-12-16 08:00:00,0.058523,0.059584,0.058523
2025-12-16 12:00:00,0.059122,0.05927,0.058389
2025-12-16 16:00:00,0.057889,0.059188,0.057552
2025-12-16 20:00:00,0.057724,0.058179,0.057449
2025-12-17 00:00:00,0.057269,0.05792,0.057249
2025-12-17 04:00:00,0.056673,0.05723,0.056635
2025-12-17 08:00:00,0.056755,0.056898,0.0564
2025-12-17 12:00:00,0.055784,0.056878,0.055754
2025-12-17 16:00:00,0.05549,0.056751,0.055418
2025-12-17 20:00:00,0.054375,0.05568,0.054145
2025-12-18 00:00:00,0.053693,0.054534,0.053649
2025-12-18 04:00:00,0.053094,0.053897,0.053093
2025-12-18 08:00:00,0.052334,0.053309,0.052334
2025-12-18 12:00:00,0.052363,0.05276,0.052142
2025-12-18 16:00:00,0.052819,0.053174,0.052213
2025-12-18 20:00:00,0.050097,0.052719,0.050097
2025-12-19 00:00:00,0.04967146,0.050154,0.04954116
2025-12-19 04:00:00,0.050625,0.050625,0.04958604
2025-12-19 08:00:00,0.050749,0.05091,0.050364
2025-12-19 12:00:00,0.050873,0.050877,0.0507
2025-12-19 16:00:00,0.051506,0.051957,0.050622
2025-12-19 20:00:00,0.052268,0.052299,0.05136
