,close,high,low
2025-12-04 12:00:00,0.488633,0.51538,0.482525
2025-12-04 16:00:00,0.450526,0.507121,0.446775
2025-12-04 20:00:00,0.4669,0.484907,0.441408
2025-12-05 00:00:00,0.48695,0.488654,0.455043
2025-12-05 04:00:00,0.488022,0.514604,0.467925
2025-12-05 08:00:00,0.496353,0.51777,0.481595
2025-12-05 12:00:00,0.48991,0.511697,0.485209
2025-12-05 16:00:00,0.527161,0.530316,0.467984
2025-12-05 20:00:00,0.557562,0.582165,0.515531
2025-12-06 00:00:00,0.542186,0.614435,0.533467
2025-12-06 04:00:00,0.513912,0.547112,0.481787
2025-12-06 08:00:00,0.532155,0.537237,0.503901
2025-12-06 12:00:00,0.597962,0.597962,0.518042
2025-12-06 16:00:00,0.638505,0.652392,0.576081
2025-12-06 20:00:00,0.632587,0.700043,0.614922
2025-12-07 00:00:00,0.610655,0.658807,0.610655
2025-12-07 04:00:00,0.62135,0.62323,0.59348
2025-12-07 08:00:00,0.649901,0.649901,0.591938
2025-12-07 12:00:00,0.633774,0.660213,0.600885
2025-12-07 16:00:00,0.728661,0.748173,0.644569
2025-12-07 20:00:00,0.808553,1.001,0.740281
2025-12-08 00:00:00,0.781207,0.84143,0.768198
2025-12-08 04:00:00,0.758514,0.780328,0.729607
2025-12-08 08:00:00,0.699746,0.78071,0.6949
2025-12-08 12:00:00,0.692271,0.715676,0.668784
2025-12-08 16:00:00,0.654108,0.703526,0.640585
2025-12-08 20:00:00,0.604716,0.665519,0.60352
2025-12-09 00:00:00,0.630905,0.652235,0.602509
2025-12-09 04:00:00,0.619699,0.636238,0.609769
2025-12-09 08:00:00,0.659986,0.660724,0.598339
2025-12-09 12:00:00,0.647048,0.659866,0.630064
2025-12-09 16:00:00,0.638162,0.645867,0.615526
2025-12-09 20:00:00,0.665633,0.690649,0.647123
2025-12-10 00:00:00,0.620386,0.678869,0.620386
2025-12-10 04:00:00,0.714874,0.714874,0.619966
2025-12-10 08:00:00,0.789346,0.789346,0.699649
2025-12-10 12:00:00,0.754152,0.8725,0.733806
2025-12-10 16:00:00,0.781914,0.816071,0.737222
2025-12-10 20:00:00,0.745992,0.783378,0.726346
2025-12-11 00:00:00,0.767343,0.768826,0.73368
2025-12-11 04:00:00,0.762297,0.81685,0.738191
2025-12-11 08:00:00,0.719124,0.818192,0.689625
2025-12-11 12:00:00,0.704723,0.731051,0.679527
2025-12-11 16:00:00,0.54841,0.700268,0.546175
2025-12-11 20:00:00,0.489469,0.53568,0.472319
2025-12-12 00:00:00,0.51052,0.516518,0.483554
2025-12-12 04:00:00,0.506432,0.559371,0.505611
2025-12-12 08:00:00,0.502367,0.516736,0.493909
2025-12-12 12:00:00,0.491452,0.50343,0.472573
2025-12-12 16:00:00,0.433167,0.493124,0.433167
2025-12-12 20:00:00,0.348494,0.443068,0.346953
2025-12-13 00:00:00,0.372838,0.390515,0.348703
2025-12-13 04:00:00,0.374043,0.381244,0.362541
2025-12-13 08:00:00,0.417626,0.440494,0.368682
2025-12-13 12:00:00,0.39415,0.423965,0.353865
2025-12-13 16:00:00,0.380818,0.400479,0.362763
2025-12-13 20:00:00,0.38104,0.388502,0.37859
2025-12-14 00:00:00,0.367271,0.37771,0.365021
2025-12-14 04:00:00,0.401731,0.406015,0.361107
2025-12-14 08:00:00,0.383503,0.412673,0.379443
2025-12-14 12:00:00,0.373531,0.387204,0.370992
2025-12-14 16:00:00,0.38056,0.388259,0.37106
2025-12-14 20:00:00,0.38899,0.390382,0.370967
2025-12-15 00:00:00,0.453127,0.453127,0.377707
2025-12-15 04:00:00,0.382447,0.452443,0.382162
2025-12-15 08:00:00,0.405975,0.416599,0.38001
2025-12-15 12:00:00,0.402433,0.407877,0.386791
2025-12-15 16:00:00,0.385249,0.399952,0.380675
2025-12-15 20:00:00,0.384014,0.387626,0.372152
2025-12-16 00:00:00,0.384716,0.388386,0.374262
2025-12-16 04:00:00,0.391895,0.409909,0.389548
2025-12-16 08:00:00,0.375297,0.391393,0.372824
2025-12-16 12:00:00,0.374397,0.382828,0.369961
2025-12-16 16:00:00,0.376473,0.382478,0.369938
2025-12-16 20:00:00,0.366542,0.375628,0.357346
2025-12-17 00:00:00,0.367126,0.367126,0.359794
2025-12-17 04:00:00,0.368132,0.369049,0.359992
2025-12-17 08:00:00,0.361121,0.365851,0.359278
2025-12-17 12:00:00,0.361298,0.370857,0.359336
2025-12-17 16:00:00,0.361179,0.368796,0.359594
2025-12-17 20:00:00,0.383272,0.398595,0.362779
2025-12-18 00:00:00,0.379986,0.389104,0.371968
2025-12-18 04:00:00,0.372612,0.386733,0.368336
2025-12-18 08:00:00,0.364467,0.372815,0.360166
2025-12-18 12:00:00,0.371334,0.385657,0.364676
2025-12-18 16:00:00,0.380398,0.383568,0.368957
2025-12-18 20:00:00,0.373889,0.387253,0.373889
2025-12-19 00:00:00,0.372456,0.376906,0.368779
2025-12-19 04:00:00,0.36815,0.375795,0.364202
2025-12-19 08:00:00,0.367945,0.371349,0.366481
2025-12-19 12:00:00,0.364878,0.369141,0.363722
2025-12-19 16:00:00,0.370845,0.37676,0.360767
2025-12-19 20:00:00,0.393965,0.414723,0.365419
2025-12-20 00:00:00,0.381693,0.395369,0.380764
2025-12-20 04:00:00,0.365617,0.382828,0.362916
2025-12-20 08:00:00,0.367859,0.369444,0.36133
2025-12-20 12:00:00,0.37985,0.38097,0.365412
2025-12-20 16:00:00,0.384522,0.395303,0.379894
2025-12-20 20:00:00,0.399735,0.439534,0.382938
2025-12-21 00:00:00,0.417645,0.431705,0.390636
2025-12-21 04:00:00,0.398846,0.41779,0.395002
2025-12-21 08:00:00,0.396686,0.411964,0.396616
2025-12-21 12:00:00,0.394684,0.400462,0.387194
2025-12-21 16:00:00,0.403041,0.406484,0.39463
2025-12-21 20:00:00,0.421999,0.421999,0.402924
2025-12-22 00:00:00,0.411493,0.428396,0.407008
