,close,high,low
2025-12-04 12:00:00,0.106522,0.10694,0.105665
2025-12-04 16:00:00,0.107916,0.107916,0.104929
2025-12-04 20:00:00,0.106975,0.108336,0.104101
2025-12-05 00:00:00,0.105101,0.107083,0.105036
2025-12-05 04:00:00,0.104667,0.106647,0.104667
2025-12-05 08:00:00,0.106837,0.107398,0.103951
2025-12-05 12:00:00,0.1029,0.106876,0.102563
2025-12-05 16:00:00,0.10137,0.10313,0.1003
2025-12-05 20:00:00,0.098012,0.100773,0.095801
2025-12-06 00:00:00,0.09791,0.098468,0.097345
2025-12-06 04:00:00,0.098695,0.099377,0.09779
2025-12-06 08:00:00,0.09775,0.09893,0.097417
2025-12-06 12:00:00,0.099114,0.099114,0.097516
2025-12-06 16:00:00,0.100924,0.100924,0.098822
2025-12-06 20:00:00,0.099379,0.10145,0.099174
2025-12-07 00:00:00,0.100802,0.101374,0.099137
2025-12-07 04:00:00,0.104272,0.104336,0.101277
2025-12-07 08:00:00,0.10265,0.104756,0.10254
2025-12-07 12:00:00,0.100352,0.10269,0.099686
2025-12-07 16:00:00,0.100239,0.100966,0.097421
2025-12-07 20:00:00,0.103108,0.104865,0.100629
2025-12-08 00:00:00,0.099069,0.103777,0.098759
2025-12-08 04:00:00,0.103168,0.103393,0.099035
2025-12-08 08:00:00,0.104588,0.105425,0.103016
2025-12-08 12:00:00,0.106395,0.106769,0.10444
2025-12-08 16:00:00,0.104089,0.106391,0.103629
2025-12-08 20:00:00,0.101009,0.105162,0.100701
2025-12-09 00:00:00,0.102954,0.103098,0.100834
2025-12-09 04:00:00,0.101748,0.103072,0.100814
2025-12-09 08:00:00,0.101688,0.102063,0.099998
2025-12-09 12:00:00,0.101869,0.101971,0.100751
2025-12-09 16:00:00,0.10682,0.10682,0.101765
2025-12-09 20:00:00,0.107665,0.110655,0.107088
2025-12-10 00:00:00,0.105622,0.107778,0.104058
2025-12-10 04:00:00,0.103672,0.105863,0.103362
2025-12-10 08:00:00,0.103255,0.104312,0.102953
2025-12-10 12:00:00,0.102497,0.10425,0.102342
2025-12-10 16:00:00,0.102876,0.103754,0.10247
2025-12-10 20:00:00,0.10679,0.10679,0.102602
2025-12-11 00:00:00,0.10151,0.108338,0.101437
2025-12-11 04:00:00,0.097086,0.101546,0.096973
2025-12-11 08:00:00,0.098838,0.098958,0.096528
2025-12-11 12:00:00,0.099057,0.099557,0.098417
2025-12-11 16:00:00,0.09849,0.099585,0.098191
2025-12-11 20:00:00,0.100416,0.101088,0.098122
2025-12-12 00:00:00,0.100598,0.10258,0.099687
2025-12-12 04:00:00,0.100688,0.101293,0.099585
2025-12-12 08:00:00,0.101817,0.102737,0.10005
2025-12-12 12:00:00,0.102687,0.103021,0.101418
2025-12-12 16:00:00,0.099073,0.103619,0.098644
2025-12-12 20:00:00,0.096859,0.098675,0.096529
2025-12-13 00:00:00,0.099292,0.099436,0.09707
2025-12-13 04:00:00,0.099798,0.099895,0.098736
2025-12-13 08:00:00,0.100528,0.10073,0.099306
2025-12-13 12:00:00,0.100216,0.100882,0.100016
2025-12-13 16:00:00,0.099942,0.100546,0.099662
2025-12-13 20:00:00,0.100184,0.100519,0.099768
2025-12-14 00:00:00,0.098597,0.100096,0.098281
2025-12-14 04:00:00,0.09789,0.098646,0.097886
2025-12-14 08:00:00,0.097082,0.097887,0.096317
2025-12-14 12:00:00,0.096825,0.09765,0.096542
2025-12-14 16:00:00,0.0969,0.097904,0.096549
2025-12-14 20:00:00,0.09606,0.097423,0.09566
2025-12-15 00:00:00,0.096078,0.096483,0.095154
2025-12-15 04:00:00,0.097605,0.098656,0.095741
2025-12-15 08:00:00,0.097938,0.099019,0.097482
2025-12-15 12:00:00,0.098005,0.098421,0.097806
2025-12-15 16:00:00,0.092919,0.09834,0.092353
2025-12-15 20:00:00,0.090148,0.09249,0.089145
2025-12-16 00:00:00,0.089758,0.090133,0.088584
2025-12-16 04:00:00,0.088084,0.0898,0.087156
2025-12-16 08:00:00,0.087261,0.088676,0.087105
2025-12-16 12:00:00,0.090115,0.090115,0.087328
2025-12-16 16:00:00,0.091522,0.091522,0.089476
2025-12-16 20:00:00,0.091471,0.091864,0.090516
2025-12-17 00:00:00,0.092026,0.092757,0.091433
2025-12-17 04:00:00,0.090254,0.092203,0.090254
2025-12-17 08:00:00,0.090472,0.090567,0.089355
2025-12-17 12:00:00,0.090053,0.090405,0.089414
2025-12-17 16:00:00,0.089926,0.092844,0.089569
2025-12-17 20:00:00,0.084315,0.089368,0.083057
2025-12-18 00:00:00,0.084368,0.085408,0.083695
2025-12-18 04:00:00,0.083301,0.08445,0.083301
2025-12-18 08:00:00,0.082785,0.083857,0.081947
2025-12-18 12:00:00,0.08395,0.084284,0.082748
2025-12-18 16:00:00,0.086619,0.087012,0.083554
2025-12-18 20:00:00,0.075856,0.086162,0.075856
2025-12-19 00:00:00,0.076872,0.078325,0.075911
2025-12-19 04:00:00,0.079582,0.079843,0.075946
2025-12-19 08:00:00,0.081265,0.081953,0.079475
2025-12-19 12:00:00,0.082265,0.082713,0.081314
2025-12-19 16:00:00,0.083156,0.083865,0.082154
2025-12-19 20:00:00,0.084564,0.084676,0.082267
2025-12-20 00:00:00,0.084157,0.084575,0.083982
2025-12-20 04:00:00,0.082993,0.083956,0.082618
2025-12-20 08:00:00,0.082799,0.082909,0.082164
2025-12-20 12:00:00,0.082977,0.083599,0.082097
2025-12-20 16:00:00,0.0818,0.083056,0.081656
2025-12-20 20:00:00,0.082267,0.082664,0.081533
2025-12-21 00:00:00,0.081774,0.082458,0.081406
2025-12-21 04:00:00,0.081073,0.08186,0.080542
2025-12-21 08:00:00,0.081824,0.081875,0.080852
2025-12-21 12:00:00,0.080797,0.082451,0.080797
2025-12-21 16:00:00,0.079428,0.081036,0.078088
2025-12-21 20:00:00,0.080354,0.080903,0.079496
2025-12-22 00:00:00,0.081627,0.082119,0.080102
2025-12-22 04:00:00,0.080742,0.083009,0.080637
2025-12-22 08:00:00,0.08171,0.081885,0.080739
2025-12-22 12:00:00,0.082185,0.08229,0.081225
2025-12-22 16:00:00,0.082018,0.082515,0.080934
2025-12-22 20:00:00,0.080476,0.082864,0.080476
2025-12-23 00:00:00,0.07996,0.08075,0.079908
2025-12-23 04:00:00,0.079296,0.080176,0.078807
2025-12-23 08:00:00,0.078499,0.079628,0.078113
2025-12-23 12:00:00,0.080015,0.080034,0.078484
2025-12-23 16:00:00,0.079321,0.080112,0.079079
2025-12-23 20:00:00,0.080144,0.080503,0.079361
2025-12-24 00:00:00,0.079434,0.080493,0.079434
2025-12-24 04:00:00,0.079065,0.079779,0.078052
2025-12-24 08:00:00,0.078909,0.079384,0.078162
2025-12-24 12:00:00,0.078387,0.078741,0.078083
2025-12-24 16:00:00,0.079319,0.079372,0.078048
2025-12-24 20:00:00,0.077857,0.079764,0.077452
2025-12-25 00:00:00,0.079006,0.079749,0.078036
