,close,high,low
2025-12-04 16:00:00,10.64,10.91,10.48
2025-12-04 20:00:00,10.37,10.65,10.19
2025-12-05 00:00:00,10.29,10.41,10.29
2025-12-05 04:00:00,10.24,10.31,10.16
2025-12-05 08:00:00,10.38,10.38,10.13
2025-12-05 12:00:00,10.05,10.35,10.05
2025-12-05 16:00:00,10.07,10.17,9.92
2025-12-05 20:00:00,9.8,10.02,9.69
2025-12-06 00:00:00,9.86,9.87,9.72
2025-12-06 04:00:00,9.94,9.97,9.87
2025-12-06 08:00:00,9.94,10.01,9.92
2025-12-06 12:00:00,9.95,9.98,9.86
2025-12-06 16:00:00,10.03,10.03,9.89
2025-12-06 20:00:00,9.96,10.18,9.96
2025-12-07 00:00:00,10.13,10.13,9.96
2025-12-07 04:00:00,10.12,10.2,10.06
2025-12-07 08:00:00,10.19,10.24,10.09
2025-12-07 12:00:00,10.05,10.24,10.03
2025-12-07 16:00:00,9.95,10.17,9.75
2025-12-07 20:00:00,10.36,10.5,9.92
2025-12-08 00:00:00,9.94,10.37,9.89
2025-12-08 04:00:00,10.29,10.34,9.95
2025-12-08 08:00:00,10.88,10.93,10.27
2025-12-08 12:00:00,10.8,11.0,10.76
2025-12-08 16:00:00,10.46,10.77,10.41
2025-12-08 20:00:00,10.53,10.64,10.44
2025-12-09 00:00:00,10.62,10.69,10.51
2025-12-09 04:00:00,10.44,10.64,10.41
2025-12-09 08:00:00,10.81,10.81,10.38
2025-12-09 12:00:00,10.92,11.05,10.82
2025-12-09 16:00:00,11.33,11.36,10.83
2025-12-09 20:00:00,11.1,11.41,11.02
2025-12-10 00:00:00,10.98,11.09,10.9
2025-12-10 04:00:00,10.86,11.03,10.86
2025-12-10 08:00:00,10.9,10.97,10.82
2025-12-10 12:00:00,10.89,11.01,10.81
2025-12-10 16:00:00,10.8,10.97,10.8
2025-12-10 20:00:00,10.98,11.03,10.79
2025-12-11 00:00:00,10.7,11.34,10.7
2025-12-11 04:00:00,10.29,10.67,10.25
2025-12-11 08:00:00,10.38,10.49,10.25
2025-12-11 12:00:00,10.39,10.44,10.3
2025-12-11 16:00:00,10.94,10.94,10.41
2025-12-11 20:00:00,11.02,11.14,10.85
2025-12-12 00:00:00,11.29,11.53,11.01
2025-12-12 04:00:00,11.49,11.53,11.23
2025-12-12 08:00:00,11.49,11.67,11.44
2025-12-12 12:00:00,11.5,11.56,11.39
2025-12-12 16:00:00,11.28,11.71,11.28
2025-12-12 20:00:00,11.2,11.37,11.07
2025-12-13 00:00:00,11.41,11.44,11.16
2025-12-13 04:00:00,11.83,11.86,11.42
2025-12-13 08:00:00,11.75,11.87,11.7
2025-12-13 12:00:00,11.94,11.98,11.76
2025-12-13 16:00:00,12.17,12.21,11.97
2025-12-13 20:00:00,12.15,12.19,11.99
2025-12-14 00:00:00,12.07,12.19,12.03
2025-12-14 04:00:00,12.21,12.28,12.02
2025-12-14 08:00:00,12.13,12.23,12.08
2025-12-14 12:00:00,12.19,12.28,12.09
2025-12-14 16:00:00,11.99,12.25,11.97
2025-12-14 20:00:00,11.85,12.08,11.84
2025-12-15 00:00:00,11.77,11.93,11.7
2025-12-15 04:00:00,11.95,12.07,11.72
2025-12-15 08:00:00,11.94,12.13,11.94
2025-12-15 12:00:00,11.76,11.96,11.76
2025-12-15 16:00:00,11.43,11.93,11.35
2025-12-15 20:00:00,11.25,11.43,10.93
2025-12-16 00:00:00,11.37,11.37,11.16
2025-12-16 04:00:00,11.26,11.41,11.26
2025-12-16 08:00:00,11.26,11.37,11.16
2025-12-16 12:00:00,11.24,11.36,11.16
2025-12-16 16:00:00,11.28,11.28,10.92
2025-12-16 20:00:00,11.15,11.31,10.98
2025-12-17 00:00:00,11.28,11.37,11.15
2025-12-17 04:00:00,11.16,11.38,11.14
2025-12-17 08:00:00,10.93,11.21,10.84
2025-12-17 12:00:00,10.82,10.92,10.65
2025-12-17 16:00:00,10.89,11.04,10.75
2025-12-17 20:00:00,10.44,10.89,10.3
2025-12-18 00:00:00,10.47,10.48,10.39
2025-12-18 04:00:00,10.22,10.5,10.18
2025-12-18 08:00:00,10.04,10.26,10.03
2025-12-18 12:00:00,10.17,10.21,10.0
2025-12-18 16:00:00,10.43,10.56,10.18
2025-12-18 20:00:00,9.78,10.41,9.78
2025-12-19 00:00:00,9.84,9.94,9.73
2025-12-19 04:00:00,10.14,10.23,9.68
2025-12-19 08:00:00,10.3,10.34,10.08
2025-12-19 12:00:00,10.3,10.36,10.21
2025-12-19 16:00:00,9.96,10.56,9.96
2025-12-19 20:00:00,10.3,10.37,9.96
2025-12-20 00:00:00,10.42,10.58,10.22
2025-12-20 04:00:00,10.42,10.42,10.42
2025-12-20 08:00:00,10.42,10.42,10.42
2025-12-20 12:00:00,10.03,10.35,9.95
2025-12-20 16:00:00,9.86,10.02,9.76
2025-12-20 20:00:00,9.84,9.9,9.79
2025-12-21 00:00:00,9.72,9.83,9.68
2025-12-21 04:00:00,9.61,9.73,9.53
2025-12-21 08:00:00,9.69,9.73,9.57
2025-12-21 12:00:00,9.62,9.81,9.62
2025-12-21 16:00:00,9.57,9.68,9.44
2025-12-21 20:00:00,9.64,9.65,9.55
2025-12-22 00:00:00,9.67,9.72,9.55
2025-12-22 04:00:00,9.73,9.84,9.66
2025-12-22 08:00:00,9.73,9.86,9.73
2025-12-22 12:00:00,9.9,9.9,9.71
2025-12-22 16:00:00,9.98,10.09,9.91
2025-12-22 20:00:00,9.84,10.16,9.84
2025-12-23 00:00:00,9.86,9.96,9.83
2025-12-23 04:00:00,9.85,10.0,9.73
2025-12-23 08:00:00,9.72,9.83,9.68
2025-12-23 12:00:00,9.69,9.8,9.69
2025-12-23 16:00:00,9.64,9.84,9.57
2025-12-23 20:00:00,9.62,9.74,9.6
2025-12-24 00:00:00,9.63,9.8,9.51
2025-12-24 04:00:00,9.47,9.65,9.37
2025-12-24 08:00:00,9.36,9.52,9.3
2025-12-24 12:00:00,9.4,9.4,9.26
2025-12-24 16:00:00,9.63,9.64,9.39
2025-12-24 20:00:00,9.85,9.89,9.62
2025-12-25 00:00:00,9.87,9.91,9.74
2025-12-25 04:00:00,10.04,10.07,9.84
2025-12-25 08:00:00,10.0,10.08,9.98
2025-12-25 12:00:00,10.01,10.09,9.89
2025-12-25 16:00:00,10.14,10.14,9.99
2025-12-25 20:00:00,10.21,10.28,10.13
2025-12-26 00:00:00,9.91,10.22,9.88
2025-12-26 04:00:00,10.26,10.31,9.88
2025-12-26 08:00:00,10.02,10.26,10.02
2025-12-26 12:00:00,10.09,10.14,10.03
2025-12-26 16:00:00,9.89,10.1,9.82
2025-12-26 20:00:00,9.81,9.88,9.73
2025-12-27 00:00:00,9.6,9.83,9.59
2025-12-27 04:00:00,9.44,9.59,9.4
2025-12-27 08:00:00,9.39,9.45,9.34
2025-12-27 12:00:00,9.35,9.45,9.35
2025-12-27 16:00:00,9.39,9.5,9.36
2025-12-27 20:00:00,9.45,9.45,9.32
2025-12-28 00:00:00,9.58,9.58,9.4
2025-12-28 04:00:00,9.56,9.61,9.5
2025-12-28 08:00:00,9.61,9.64,9.54
2025-12-28 12:00:00,9.59,9.69,9.57
2025-12-28 16:00:00,9.59,9.63,9.51
2025-12-28 20:00:00,9.49,9.72,9.48
2025-12-29 00:00:00,9.63,9.63,9.44
2025-12-29 04:00:00,9.9,9.9,9.58
2025-12-29 08:00:00,9.8,9.98,9.75
2025-12-29 12:00:00,9.55,9.8,9.54
2025-12-29 16:00:00,9.55,9.66,9.47
2025-12-29 20:00:00,9.54,9.58,9.47
2025-12-30 00:00:00,9.4,9.56,9.38
2025-12-30 04:00:00,9.48,9.57,9.4
2025-12-30 08:00:00,9.47,9.56,9.43
2025-12-30 12:00:00,9.5,9.6,9.46
2025-12-30 16:00:00,9.7,9.7,9.45
2025-12-30 20:00:00,9.63,9.74,9.57
2025-12-31 00:00:00,9.65,9.66,9.6
2025-12-31 04:00:00,9.7,9.81,9.64
2025-12-31 08:00:00,9.56,9.71,9.53
2025-12-31 12:00:00,9.66,9.67,9.54
2025-12-31 16:00:00,9.61,9.74,9.55
2025-12-31 20:00:00,9.52,9.61,9.44
2026-01-01 00:00:00,9.36,9.5,9.36
2026-01-01 04:00:00,9.42,9.5,9.37
2026-01-01 08:00:00,9.47,9.51,9.36
2026-01-01 12:00:00,9.58,9.61,9.48
2026-01-01 16:00:00,9.63,9.63,9.53
2026-01-01 20:00:00,9.75,9.75,9.6
2026-01-02 00:00:00,9.82,9.82,9.63
2026-01-02 04:00:00,10.06,10.1,9.74
2026-01-02 08:00:00,10.08,10.25,9.95
2026-01-02 12:00:00,10.22,10.46,10.1
2026-01-02 16:00:00,10.14,10.42,10.14
2026-01-02 20:00:00,10.34,10.37,10.12
2026-01-03 00:00:00,10.44,10.48,10.29
2026-01-03 04:00:00,10.76,10.76,10.43
2026-01-03 08:00:00,10.35,10.84,10.34
2026-01-03 12:00:00,10.21,10.33,10.2
