,close,high,low
2025-12-04 04:00:00,3418.92,3435.59,3390.47
2025-12-04 08:00:00,3405.76,3426.82,3387.97
2025-12-04 12:00:00,3396.43,3415.84,3390.3
2025-12-04 16:00:00,3419.19,3419.19,3365.16
2025-12-04 20:00:00,3328.71,3424.33,3282.5
2025-12-05 00:00:00,3339.23,3351.37,3320.01
2025-12-05 04:00:00,3378.4,3393.99,3336.78
2025-12-05 08:00:00,3380.17,3389.24,3358.04
2025-12-05 12:00:00,3337.14,3379.29,3315.43
2025-12-05 16:00:00,3318.33,3349.06,3294.01
2025-12-05 20:00:00,3231.16,3305.67,3193.16
2025-12-06 00:00:00,3218.85,3246.39,3208.05
2025-12-06 04:00:00,3239.6,3243.26,3212.62
2025-12-06 08:00:00,3228.41,3241.87,3228.41
2025-12-06 12:00:00,3238.89,3240.66,3214.42
2025-12-06 16:00:00,3244.59,3257.7,3230.59
2025-12-06 20:00:00,3227.52,3261.3,3226.89
2025-12-07 00:00:00,3237.18,3249.15,3228.63
2025-12-07 04:00:00,3252.65,3254.7,3234.05
2025-12-07 08:00:00,3233.63,3254.66,3230.3
2025-12-07 12:00:00,3234.31,3240.1,3223.3
2025-12-07 16:00:00,3192.25,3246.92,3143.08
2025-12-07 20:00:00,3340.97,3349.55,3194.3
2025-12-08 00:00:00,3253.8,3348.25,3230.39
2025-12-08 04:00:00,3313.46,3331.58,3246.38
2025-12-08 08:00:00,3337.31,3343.88,3314.24
2025-12-08 12:00:00,3346.63,3383.98,3335.65
2025-12-08 16:00:00,3306.8,3368.61,3301.15
2025-12-08 20:00:00,3331.24,3336.25,3296.3
2025-12-09 00:00:00,3331.85,3356.57,3325.77
2025-12-09 04:00:00,3330.58,3345.92,3303.15
2025-12-09 08:00:00,3332.4,3335.51,3303.74
2025-12-09 12:00:00,3326.65,3332.47,3308.35
2025-12-09 16:00:00,3462.1,3462.1,3305.52
2025-12-09 20:00:00,3586.8,3623.75,3460.81
2025-12-10 00:00:00,3545.27,3580.69,3519.34
2025-12-10 04:00:00,3528.66,3546.63,3511.07
2025-12-10 08:00:00,3546.5,3550.54,3526.05
2025-12-10 12:00:00,3533.47,3587.06,3525.63
2025-12-10 16:00:00,3541.65,3552.89,3530.0
2025-12-10 20:00:00,3606.16,3629.81,3545.42
2025-12-11 00:00:00,3543.63,3645.81,3543.45
2025-12-11 04:00:00,3394.08,3543.13,3382.91
2025-12-11 08:00:00,3415.76,3424.4,3392.52
2025-12-11 12:00:00,3407.2,3420.23,3394.85
2025-12-11 16:00:00,3386.25,3416.83,3368.58
2025-12-11 20:00:00,3424.75,3436.67,3368.27
2025-12-12 00:00:00,3449.44,3487.13,3412.5
2025-12-12 04:00:00,3466.47,3479.0,3415.75
2025-12-12 08:00:00,3465.03,3480.62,3450.43
2025-12-12 12:00:00,3451.38,3469.95,3446.61
2025-12-12 16:00:00,3297.24,3462.58,3297.24
2025-12-12 20:00:00,3273.8,3299.87,3257.73
2025-12-13 00:00:00,3290.24,3300.24,3272.47
2025-12-13 04:00:00,3293.83,3296.57,3283.47
2025-12-13 08:00:00,3298.98,3299.81,3290.01
2025-12-13 12:00:00,3328.86,3340.73,3299.01
2025-12-13 16:00:00,3317.88,3332.03,3307.7
2025-12-13 20:00:00,3315.5,3321.15,3305.3
2025-12-14 00:00:00,3320.48,3321.9,3295.58
2025-12-14 04:00:00,3327.05,3334.12,3313.45
2025-12-14 08:00:00,3320.85,3327.8,3311.85
2025-12-14 12:00:00,3286.58,3325.66,3271.48
2025-12-14 16:00:00,3289.24,3310.67,3280.11
2025-12-14 20:00:00,3295.64,3307.25,3284.99
2025-12-15 00:00:00,3266.84,3297.99,3253.38
2025-12-15 04:00:00,3322.39,3346.34,3264.62
2025-12-15 08:00:00,3335.89,3346.18,3316.92
2025-12-15 12:00:00,3365.77,3375.66,3336.17
2025-12-15 16:00:00,3201.77,3367.08,3197.33
2025-12-15 20:00:00,3143.87,3207.75,3102.89
2025-12-16 00:00:00,3162.59,3166.89,3119.92
2025-12-16 04:00:00,3134.35,3175.24,3129.19
2025-12-16 08:00:00,3122.58,3145.38,3091.98
2025-12-16 12:00:00,3157.1,3160.25,3121.55
2025-12-16 16:00:00,3148.2,3162.31,3095.65
2025-12-16 20:00:00,3150.14,3160.36,3114.36
2025-12-17 00:00:00,3157.96,3157.96,3136.19
2025-12-17 04:00:00,3144.97,3163.43,3139.12
2025-12-17 08:00:00,3141.92,3146.94,3112.38
2025-12-17 12:00:00,3126.01,3141.57,3105.64
2025-12-17 16:00:00,3101.89,3228.6,3101.89
2025-12-17 20:00:00,3002.12,3113.15,2978.42
2025-12-18 00:00:00,3014.99,3021.31,2994.95
2025-12-18 04:00:00,3018.26,3030.18,3009.68
2025-12-18 08:00:00,3023.68,3027.97,3012.75
2025-12-18 12:00:00,3048.7,3051.38,3022.08
2025-12-18 16:00:00,3168.84,3181.04,3046.7
2025-12-18 20:00:00,2968.73,3164.23,2968.73
2025-12-19 00:00:00,3015.62,3020.27,2967.55
2025-12-19 04:00:00,3108.52,3112.75,3003.51
2025-12-19 08:00:00,3148.85,3170.25,3105.68
2025-12-19 12:00:00,3164.37,3166.72,3142.48
2025-12-19 16:00:00,3162.61,3191.16,3146.79
2025-12-19 20:00:00,3184.45,3195.8,3140.39
2025-12-20 00:00:00,3176.17,3198.18,3171.47
2025-12-20 04:00:00,3187.3,3189.54,3170.41
2025-12-20 08:00:00,3179.2,3186.55,3173.26
2025-12-20 12:00:00,3183.75,3185.43,3172.32
2025-12-20 16:00:00,3174.09,3190.42,3168.29
2025-12-20 20:00:00,3174.42,3177.15,3171.09
2025-12-21 00:00:00,3174.99,3184.11,3172.3
2025-12-21 04:00:00,3169.63,3178.71,3159.71
2025-12-21 08:00:00,3177.75,3177.75,3170.97
2025-12-21 12:00:00,3194.79,3204.73,3176.17
2025-12-21 16:00:00,3171.96,3204.09,3144.73
2025-12-21 20:00:00,3190.9,3191.5,3168.66
2025-12-22 00:00:00,3202.81,3204.8,3170.15
2025-12-22 04:00:00,3220.78,3247.67,3194.57
2025-12-22 08:00:00,3230.27,3242.69,3222.3
2025-12-22 12:00:00,3254.16,3254.69,3231.72
2025-12-22 16:00:00,3253.45,3265.53,3230.52
2025-12-22 20:00:00,3175.52,3257.53,3175.52
2025-12-23 00:00:00,3207.2,3207.95,3165.91
2025-12-23 04:00:00,3191.39,3230.99,3178.73
2025-12-23 08:00:00,3160.24,3193.08,3147.54
2025-12-23 12:00:00,3166.19,3169.15,3149.8
2025-12-23 16:00:00,3115.12,3167.27,3102.51
2025-12-23 20:00:00,3134.38,3155.1,3112.26
2025-12-24 00:00:00,3162.22,3178.35,3135.83
2025-12-24 04:00:00,3137.57,3169.55,3119.19
2025-12-24 08:00:00,3128.66,3147.77,3116.52
2025-12-24 12:00:00,3120.69,3128.04,3110.6
2025-12-24 16:00:00,3118.47,3130.61,3088.5
2025-12-24 20:00:00,3140.96,3143.71,3118.31
2025-12-25 00:00:00,3146.64,3157.85,3139.21
2025-12-25 04:00:00,3143.47,3153.72,3135.53
2025-12-25 08:00:00,3134.99,3144.19,3131.94
2025-12-25 12:00:00,3116.6,3139.04,3107.69
2025-12-25 16:00:00,3159.76,3159.76,3115.54
2025-12-25 20:00:00,3150.48,3157.55,3139.53
2025-12-26 00:00:00,3093.86,3150.82,3087.53
2025-12-26 04:00:00,3160.84,3184.18,3087.61
2025-12-26 08:00:00,3153.79,3182.97,3150.06
2025-12-26 12:00:00,3160.55,3168.12,3150.83
2025-12-26 16:00:00,3108.89,3180.79,3098.97
2025-12-26 20:00:00,3116.43,3122.51,3097.72
2025-12-27 00:00:00,3121.0,3127.47,3114.84
2025-12-27 04:00:00,3126.79,3126.79,3115.21
2025-12-27 08:00:00,3127.53,3128.51,3118.86
2025-12-27 12:00:00,3123.91,3131.09,3115.23
2025-12-27 16:00:00,3120.61,3125.68,3120.61
2025-12-27 20:00:00,3121.29,3121.29,3111.41
2025-12-28 00:00:00,3143.62,3148.22,3121.57
2025-12-28 04:00:00,3138.41,3144.3,3136.84
2025-12-28 08:00:00,3131.39,3139.15,3126.67
2025-12-28 12:00:00,3136.82,3139.72,3127.73
2025-12-28 16:00:00,3143.38,3150.23,3131.84
2025-12-28 20:00:00,3126.29,3146.69,3123.83
2025-12-29 00:00:00,3145.16,3149.91,3122.96
2025-12-29 04:00:00,3240.47,3240.47,3139.48
2025-12-29 08:00:00,3217.55,3250.61,3213.55
2025-12-29 12:00:00,3158.08,3224.28,3156.31
2025-12-29 16:00:00,3133.0,3156.57,3103.85
2025-12-29 20:00:00,3129.97,3140.64,3115.33
2025-12-30 00:00:00,3135.16,3139.86,3123.34
2025-12-30 04:00:00,3148.95,3148.95,3117.22
2025-12-30 08:00:00,3147.6,3154.25,3133.21
2025-12-30 12:00:00,3172.89,3196.47,3157.93
2025-12-30 16:00:00,3187.62,3195.51,3165.09
2025-12-30 20:00:00,3167.82,3191.02,3152.76
2025-12-31 00:00:00,3167.38,3170.16,3155.7
2025-12-31 04:00:00,3165.8,3179.95,3161.47
2025-12-31 08:00:00,3170.74,3177.98,3165.62
2025-12-31 12:00:00,3195.03,3195.03,3161.17
2025-12-31 16:00:00,3180.05,3214.37,3165.82
2025-12-31 20:00:00,3170.97,3188.55,3159.86
2026-01-01 00:00:00,3164.08,3181.87,3160.42
2026-01-01 04:00:00,3178.6,3186.65,3165.34
2026-01-01 08:00:00,3175.77,3180.33,3172.29
2026-01-01 12:00:00,3184.06,3187.54,3174.75
2026-01-01 16:00:00,3192.32,3192.32,3172.3
2026-01-01 20:00:00,3195.94,3195.94,3180.9
2026-01-02 00:00:00,3202.03,3206.5,3185.57
2026-01-02 04:00:00,3228.25,3228.25,3193.36
2026-01-02 08:00:00,3217.96,3236.45,3208.8
2026-01-02 12:00:00,3248.9,3270.21,3217.06
2026-01-02 16:00:00,3289.67,3299.87,3229.5
2026-01-02 20:00:00,3333.3,3354.51,3286.92
2026-01-03 00:00:00,3332.9,3348.39,3321.19
