,close,high,low
2025-12-04 04:00:00,1.0,1.001,0.998819
2025-12-04 08:00:00,0.999846,1.001,0.999203
2025-12-04 12:00:00,0.999824,1.0,0.99894
2025-12-04 16:00:00,1.0,1.001,0.99875
2025-12-04 20:00:00,0.999868,1.001,0.999307
2025-12-05 00:00:00,1.0,1.001,0.999511
2025-12-05 04:00:00,0.999995,1.001,0.999386
2025-12-05 08:00:00,1.0,1.001,0.99953
2025-12-05 12:00:00,1.001,1.001,0.999714
2025-12-05 16:00:00,1.0,1.001,0.999627
2025-12-05 20:00:00,0.999778,1.001,0.999101
2025-12-06 00:00:00,0.999637,1.0,0.999041
2025-12-06 04:00:00,0.999281,1.001,0.998985
2025-12-06 08:00:00,1.0,1.0,0.999044
2025-12-06 12:00:00,0.999468,0.999944,0.998938
2025-12-06 16:00:00,0.999365,1.0,0.998983
2025-12-06 20:00:00,0.999399,0.999994,0.998923
2025-12-07 00:00:00,0.999157,0.999874,0.998862
2025-12-07 04:00:00,0.999135,0.999576,0.998642
2025-12-07 08:00:00,0.999035,0.999394,0.998666
2025-12-07 12:00:00,0.998945,0.999655,0.99867
2025-12-07 16:00:00,0.999175,0.999599,0.998655
2025-12-07 20:00:00,0.999783,0.99984,0.998495
2025-12-08 00:00:00,0.999821,1.0,0.998714
2025-12-08 04:00:00,0.999273,1.0,0.998719
2025-12-08 08:00:00,0.99924,0.999981,0.998633
2025-12-08 12:00:00,0.999079,1.0,0.998844
2025-12-08 16:00:00,0.998272,1.0,0.998272
2025-12-08 20:00:00,0.999085,0.999907,0.998418
2025-12-09 00:00:00,0.998766,1.0,0.998766
2025-12-09 04:00:00,0.999402,1.0,0.998603
2025-12-09 08:00:00,0.999196,1.0,0.998771
2025-12-09 12:00:00,0.999011,0.999888,0.998289
2025-12-09 16:00:00,0.998784,1.0,0.998771
2025-12-09 20:00:00,0.998932,0.999952,0.998583
2025-12-10 00:00:00,0.999554,0.999918,0.998672
2025-12-10 04:00:00,0.998841,0.999993,0.998712
2025-12-10 08:00:00,0.998911,0.999973,0.998728
2025-12-10 12:00:00,0.999354,1.0,0.998686
2025-12-10 16:00:00,0.999824,0.999888,0.998859
2025-12-10 20:00:00,1.0,1.0,0.99897
2025-12-11 00:00:00,0.999461,0.999925,0.998833
2025-12-11 04:00:00,0.999092,1.0,0.99886
2025-12-11 08:00:00,0.999259,0.999959,0.99865
2025-12-11 12:00:00,0.99963,1.001,0.998959
2025-12-11 16:00:00,1.0,1.001,0.999491
2025-12-11 20:00:00,1.0,1.001,0.999781
2025-12-12 00:00:00,1.0,1.001,0.999749
2025-12-12 04:00:00,1.0,1.001,0.999949
2025-12-12 08:00:00,0.999993,1.001,0.999848
2025-12-12 12:00:00,1.0,1.001,0.999899
2025-12-12 16:00:00,0.999664,1.001,0.999664
2025-12-12 20:00:00,1.001,1.001,0.999576
2025-12-13 00:00:00,0.999769,1.001,0.999611
2025-12-13 04:00:00,0.999988,1.001,0.999449
2025-12-13 08:00:00,1.0,1.001,0.999865
2025-12-13 12:00:00,1.001,1.001,1.0
2025-12-13 16:00:00,1.001,1.001,1.0
2025-12-13 20:00:00,1.0,1.001,1.0
2025-12-14 00:00:00,1.001,1.001,1.0
2025-12-14 04:00:00,1.001,1.001,1.0
2025-12-14 08:00:00,1.001,1.001,1.0
2025-12-14 12:00:00,0.999982,1.001,0.999979
2025-12-14 16:00:00,1.0,1.001,0.999439
2025-12-14 20:00:00,0.999962,1.001,0.999622
2025-12-15 00:00:00,1.0,1.001,0.999665
2025-12-15 04:00:00,0.999755,1.001,0.999478
2025-12-15 08:00:00,1.0,1.001,0.999797
