,close,high,low
2025-12-04 12:00:00,0.19719,0.197462,0.193772
2025-12-04 16:00:00,0.191449,0.197178,0.188854
2025-12-04 20:00:00,0.186673,0.192785,0.186022
2025-12-05 00:00:00,0.191002,0.191966,0.186686
2025-12-05 04:00:00,0.190874,0.191467,0.1884
2025-12-05 08:00:00,0.19166,0.19224,0.189314
2025-12-05 12:00:00,0.187816,0.191638,0.186754
2025-12-05 16:00:00,0.18399,0.187466,0.182331
2025-12-05 20:00:00,0.180274,0.183983,0.173482
2025-12-06 00:00:00,0.173997,0.180371,0.173578
2025-12-06 04:00:00,0.165721,0.175365,0.14769
2025-12-06 08:00:00,0.169685,0.169757,0.165547
2025-12-06 12:00:00,0.174381,0.174401,0.167424
2025-12-06 16:00:00,0.174253,0.174356,0.169653
2025-12-06 20:00:00,0.171839,0.175289,0.171551
2025-12-07 00:00:00,0.17064,0.172402,0.169811
2025-12-07 04:00:00,0.169038,0.170794,0.168041
2025-12-07 08:00:00,0.168551,0.169985,0.168491
2025-12-07 12:00:00,0.165661,0.168493,0.159206
2025-12-07 16:00:00,0.16959,0.17061,0.165624
2025-12-07 20:00:00,0.178244,0.179855,0.168498
2025-12-08 00:00:00,0.174394,0.178885,0.172129
2025-12-08 04:00:00,0.182889,0.184427,0.173954
2025-12-08 08:00:00,0.17804,0.183629,0.177866
2025-12-08 12:00:00,0.176928,0.181944,0.176928
2025-12-08 16:00:00,0.169704,0.178583,0.169704
2025-12-08 20:00:00,0.167876,0.169316,0.162985
2025-12-09 00:00:00,0.167871,0.169514,0.164386
2025-12-09 04:00:00,0.16256,0.169241,0.16256
2025-12-09 08:00:00,0.16288,0.163018,0.160029
2025-12-09 12:00:00,0.163234,0.165158,0.161991
2025-12-09 16:00:00,0.174487,0.174487,0.163319
2025-12-09 20:00:00,0.182667,0.201688,0.175317
2025-12-10 00:00:00,0.181717,0.182162,0.175022
2025-12-10 04:00:00,0.180324,0.181959,0.18003
2025-12-10 08:00:00,0.175782,0.180458,0.174026
2025-12-10 12:00:00,0.175752,0.178098,0.173867
2025-12-10 16:00:00,0.176058,0.176467,0.174276
2025-12-10 20:00:00,0.179274,0.181577,0.175843
2025-12-11 00:00:00,0.171795,0.183355,0.171795
2025-12-11 04:00:00,0.168503,0.171792,0.164264
2025-12-11 08:00:00,0.170855,0.172497,0.169072
2025-12-11 12:00:00,0.171313,0.171553,0.169841
2025-12-11 16:00:00,0.172615,0.175396,0.17126
2025-12-11 20:00:00,0.175362,0.1754,0.170604
2025-12-12 00:00:00,0.175087,0.177319,0.173186
2025-12-12 04:00:00,0.172869,0.175909,0.172419
2025-12-12 08:00:00,0.183269,0.183269,0.172819
2025-12-12 12:00:00,0.185737,0.186269,0.182458
2025-12-12 16:00:00,0.171012,0.185846,0.171012
2025-12-12 20:00:00,0.169793,0.17133,0.166867
2025-12-13 00:00:00,0.16886,0.170015,0.167228
2025-12-13 04:00:00,0.167702,0.16816,0.165601
2025-12-13 08:00:00,0.172474,0.172541,0.167364
2025-12-13 12:00:00,0.171455,0.171768,0.169832
2025-12-13 16:00:00,0.16208,0.171403,0.16208
2025-12-13 20:00:00,0.161649,0.164132,0.159954
2025-12-14 00:00:00,0.159649,0.163661,0.157678
2025-12-14 04:00:00,0.159679,0.160127,0.158798
2025-12-14 08:00:00,0.158832,0.159732,0.158755
2025-12-14 12:00:00,0.156633,0.162921,0.156633
2025-12-14 16:00:00,0.145723,0.15786,0.142996
2025-12-14 20:00:00,0.144983,0.148686,0.139771
2025-12-15 00:00:00,0.137994,0.145956,0.137994
2025-12-15 04:00:00,0.150151,0.152062,0.138091
2025-12-15 08:00:00,0.153054,0.155159,0.149178
2025-12-15 12:00:00,0.150537,0.153267,0.149882
2025-12-15 16:00:00,0.137646,0.151005,0.131975
2025-12-15 20:00:00,0.14669,0.146821,0.136332
2025-12-16 00:00:00,0.148548,0.148846,0.145741
2025-12-16 04:00:00,0.145923,0.149341,0.144815
2025-12-16 08:00:00,0.149226,0.149569,0.145153
2025-12-16 12:00:00,0.144802,0.15142,0.144802
2025-12-16 16:00:00,0.149378,0.149378,0.138006
2025-12-16 20:00:00,0.144642,0.148007,0.1441
2025-12-17 00:00:00,0.148032,0.148039,0.144592
2025-12-17 04:00:00,0.186135,0.186135,0.148329
2025-12-17 08:00:00,0.24057,0.243067,0.179787
2025-12-17 12:00:00,0.201469,0.240184,0.19761
2025-12-17 16:00:00,0.209695,0.216943,0.201856
2025-12-17 20:00:00,0.173565,0.203635,0.173565
2025-12-18 00:00:00,0.157111,0.181794,0.157111
2025-12-18 04:00:00,0.164425,0.169463,0.151965
2025-12-18 08:00:00,0.158714,0.166116,0.156249
2025-12-18 12:00:00,0.161155,0.163829,0.158314
2025-12-18 16:00:00,0.177464,0.177867,0.160167
2025-12-18 20:00:00,0.153201,0.175274,0.153201
2025-12-19 00:00:00,0.154818,0.156119,0.151999
2025-12-19 04:00:00,0.158543,0.160497,0.152012
2025-12-19 08:00:00,0.165562,0.165562,0.149224
2025-12-19 12:00:00,0.168174,0.170022,0.165575
2025-12-19 16:00:00,0.167692,0.169038,0.165907
2025-12-19 20:00:00,0.167255,0.172867,0.162909
2025-12-20 00:00:00,0.174545,0.175502,0.167244
2025-12-20 04:00:00,0.173273,0.174559,0.172569
2025-12-20 08:00:00,0.173233,0.174246,0.172654
2025-12-20 12:00:00,0.176726,0.178887,0.174281
2025-12-20 16:00:00,0.176762,0.179442,0.175378
2025-12-20 20:00:00,0.174451,0.181548,0.1738
2025-12-21 00:00:00,0.174189,0.174265,0.173103
2025-12-21 04:00:00,0.171139,0.174195,0.171025
2025-12-21 08:00:00,0.170617,0.17164,0.170375
2025-12-21 12:00:00,0.174128,0.175922,0.168945
2025-12-21 16:00:00,0.168478,0.175764,0.168235
2025-12-21 20:00:00,0.172071,0.172071,0.168768
2025-12-22 00:00:00,0.164411,0.174524,0.164411
2025-12-22 04:00:00,0.16669,0.172512,0.163958
2025-12-22 08:00:00,0.168327,0.168398,0.167057
2025-12-22 12:00:00,0.168212,0.16848,0.165573
2025-12-22 16:00:00,0.168676,0.169893,0.167619
2025-12-22 20:00:00,0.166241,0.171631,0.166241
2025-12-23 00:00:00,0.162152,0.166395,0.161993
2025-12-23 04:00:00,0.159279,0.162919,0.159026
2025-12-23 08:00:00,0.157407,0.159464,0.155623
2025-12-23 12:00:00,0.158519,0.158519,0.155841
2025-12-23 16:00:00,0.157508,0.15858,0.155721
2025-12-23 20:00:00,0.158287,0.158838,0.15706
2025-12-24 00:00:00,0.150789,0.159545,0.15022
2025-12-24 04:00:00,0.159651,0.17044,0.150696
2025-12-24 08:00:00,0.1596,0.160915,0.159591
2025-12-24 12:00:00,0.153506,0.159694,0.153506
2025-12-24 16:00:00,0.154689,0.154689,0.152
2025-12-24 20:00:00,0.161031,0.16104,0.154706
2025-12-25 00:00:00,0.159512,0.161347,0.159451
2025-12-25 04:00:00,0.16518,0.168709,0.159354
2025-12-25 08:00:00,0.164571,0.169254,0.163686
2025-12-25 12:00:00,0.166038,0.166038,0.164031
2025-12-25 16:00:00,0.165493,0.167111,0.163339
2025-12-25 20:00:00,0.163976,0.165548,0.162579
2025-12-26 00:00:00,0.160875,0.164811,0.160875
2025-12-26 04:00:00,0.16721,0.167214,0.159475
2025-12-26 08:00:00,0.172206,0.17251,0.16592
2025-12-26 12:00:00,0.172601,0.172829,0.170553
2025-12-26 16:00:00,0.169767,0.177254,0.169767
2025-12-26 20:00:00,0.166978,0.1741,0.166978
2025-12-27 00:00:00,0.168519,0.17015,0.166907
2025-12-27 04:00:00,0.167279,0.169691,0.167071
2025-12-27 08:00:00,0.167003,0.167286,0.165961
2025-12-27 12:00:00,0.16668,0.168568,0.165047
2025-12-27 16:00:00,0.168743,0.169673,0.166825
2025-12-27 20:00:00,0.167326,0.169432,0.167326
2025-12-28 00:00:00,0.171205,0.171621,0.167091
2025-12-28 04:00:00,0.172492,0.172735,0.170536
