,close,high,low
2025-12-04 04:00:00,0.999832,1.001,0.999132
2025-12-04 08:00:00,0.999549,1.0,0.999038
2025-12-04 12:00:00,0.999362,0.999837,0.999046
2025-12-04 16:00:00,0.999727,0.99977,0.998628
2025-12-04 20:00:00,0.999533,1.0,0.999124
2025-12-05 00:00:00,0.999635,0.999816,0.999084
2025-12-05 04:00:00,0.99974,0.99992,0.999046
2025-12-05 08:00:00,0.999749,1.0,0.999272
2025-12-05 12:00:00,0.999659,0.999819,0.999017
2025-12-05 16:00:00,0.999538,0.999925,0.999101
2025-12-05 20:00:00,0.99948,0.999913,0.999033
2025-12-06 00:00:00,0.999349,1.0,0.999292
2025-12-06 04:00:00,0.999391,0.999754,0.99915
2025-12-06 08:00:00,0.999479,0.9997,0.999187
2025-12-06 12:00:00,0.999565,0.999715,0.999152
2025-12-06 16:00:00,0.999516,0.999725,0.999237
2025-12-06 20:00:00,0.999369,1.0,0.999201
2025-12-07 00:00:00,0.999449,0.999921,0.999289
2025-12-07 04:00:00,0.999596,0.99996,0.999369
2025-12-07 08:00:00,0.999436,0.999801,0.999369
2025-12-07 12:00:00,0.999492,0.999853,0.999364
2025-12-07 16:00:00,0.999892,1.0,0.999302
2025-12-07 20:00:00,0.9996,1.0,0.999203
2025-12-08 00:00:00,0.999685,1.0,0.998583
2025-12-08 04:00:00,0.999662,1.0,0.998907
2025-12-08 08:00:00,0.999408,0.99996,0.999039
2025-12-08 12:00:00,0.999295,0.99998,0.998966
2025-12-08 16:00:00,0.999436,1.0,0.999061
2025-12-08 20:00:00,0.999512,1.0,0.999168
2025-12-09 00:00:00,0.999758,1.0,0.999357
2025-12-09 04:00:00,0.999436,1.0,0.999386
2025-12-09 08:00:00,0.999631,1.0,0.999125
2025-12-09 12:00:00,0.999945,1.0,0.999451
2025-12-09 16:00:00,1.0,1.0,0.999014
2025-12-09 20:00:00,0.999918,1.0,0.999358
2025-12-10 00:00:00,0.999805,1.0,0.999525
2025-12-10 04:00:00,0.9998,0.999983,0.999424
2025-12-10 08:00:00,0.999824,0.999998,0.999521
2025-12-10 12:00:00,0.999732,0.999887,0.999449
2025-12-10 16:00:00,0.999799,1.0,0.999276
2025-12-10 20:00:00,0.999909,1.0,0.998831
2025-12-11 00:00:00,0.99954,1.0,0.999042
2025-12-11 04:00:00,0.999508,1.0,0.999314
2025-12-11 08:00:00,0.999603,0.999964,0.99921
2025-12-11 12:00:00,0.999574,0.99995,0.999127
2025-12-11 16:00:00,0.999551,1.0,0.999116
2025-12-11 20:00:00,0.999679,1.0,0.999207
2025-12-12 00:00:00,0.999574,1.0,0.999291
2025-12-12 04:00:00,0.999612,1.0,0.999119
2025-12-12 08:00:00,0.999795,0.999912,0.999063
2025-12-12 12:00:00,0.999634,1.0,0.999253
2025-12-12 16:00:00,0.999656,1.0,0.998571
