,close,high,low
2025-12-04 12:00:00,0.04078643,0.0451875,0.04016598
2025-12-04 16:00:00,0.04111568,0.04126008,0.04017847
2025-12-04 20:00:00,0.04038206,0.04177992,0.04008401
2025-12-05 00:00:00,0.04051981,0.04079063,0.04009017
2025-12-05 04:00:00,0.03962978,0.04094788,0.03946052
2025-12-05 08:00:00,0.03941728,0.0396756,0.0389338
2025-12-05 12:00:00,0.03851638,0.03942062,0.03838734
2025-12-05 16:00:00,0.03829241,0.03876537,0.03814074
2025-12-05 20:00:00,0.03758172,0.03813394,0.03711256
2025-12-06 00:00:00,0.03764182,0.03775717,0.03721843
2025-12-06 04:00:00,0.03664434,0.037703,0.03600445
2025-12-06 08:00:00,0.03619128,0.03663918,0.03610526
2025-12-06 12:00:00,0.03629681,0.03640845,0.03592482
2025-12-06 16:00:00,0.03625868,0.03676835,0.03607565
2025-12-06 20:00:00,0.03623161,0.03657604,0.03613682
2025-12-07 00:00:00,0.0363612,0.03649995,0.0361374
2025-12-07 04:00:00,0.0372015,0.03875453,0.0361165
2025-12-07 08:00:00,0.03718988,0.0382477,0.03702343
2025-12-07 12:00:00,0.03591641,0.03716278,0.03572038
2025-12-07 16:00:00,0.03503567,0.03593867,0.03464004
2025-12-07 20:00:00,0.03579778,0.03594188,0.03507738
2025-12-08 00:00:00,0.03481905,0.0358404,0.0346811
2025-12-08 04:00:00,0.03523425,0.03617273,0.03479115
2025-12-08 08:00:00,0.03515108,0.03552127,0.03500881
2025-12-08 12:00:00,0.03530082,0.03573317,0.03496235
2025-12-08 16:00:00,0.03491276,0.0353095,0.03484731
2025-12-08 20:00:00,0.03503403,0.03529803,0.03485586
2025-12-09 00:00:00,0.03515515,0.03547067,0.03500289
2025-12-09 04:00:00,0.03439344,0.03597927,0.03419229
2025-12-09 08:00:00,0.03442658,0.03442681,0.03410272
2025-12-09 12:00:00,0.03436612,0.03448012,0.03425746
2025-12-09 16:00:00,0.03480291,0.03480291,0.03427664
2025-12-09 20:00:00,0.03536123,0.03561363,0.0348352
2025-12-10 00:00:00,0.03561697,0.03569848,0.03498038
2025-12-10 04:00:00,0.03503047,0.03558979,0.03479808
2025-12-10 08:00:00,0.03472401,0.03516158,0.03470879
2025-12-10 12:00:00,0.0338908,0.03471988,0.03382268
2025-12-10 16:00:00,0.03409753,0.03439666,0.03384624
2025-12-10 20:00:00,0.03433202,0.03451021,0.03404531
2025-12-11 00:00:00,0.03415596,0.0348803,0.0338977
2025-12-11 04:00:00,0.03230014,0.03414819,0.03216426
2025-12-11 08:00:00,0.03217551,0.03255243,0.03214342
2025-12-11 12:00:00,0.03217995,0.03229848,0.03186801
2025-12-11 16:00:00,0.03216438,0.03264393,0.03212578
2025-12-11 20:00:00,0.0322416,0.03245014,0.03184766
2025-12-12 00:00:00,0.03275634,0.03306539,0.03206449
2025-12-12 04:00:00,0.03217228,0.03290691,0.03201571
2025-12-12 08:00:00,0.03190729,0.0321352,0.0318282
2025-12-12 12:00:00,0.03188052,0.03202344,0.03164908
2025-12-12 16:00:00,0.03116962,0.03213779,0.03116962
2025-12-12 20:00:00,0.03080003,0.0310543,0.03039707
2025-12-13 00:00:00,0.03120274,0.03138665,0.03072837
