,close,high,low
2025-12-04 12:00:00,0.00150494,0.0015198,0.00150302
2025-12-04 16:00:00,0.00147618,0.00150589,0.00146126
2025-12-04 20:00:00,0.00148408,0.00149203,0.00147468
2025-12-05 00:00:00,0.00148693,0.0014924,0.00147917
2025-12-05 04:00:00,0.00149641,0.00149641,0.0014859
2025-12-05 08:00:00,0.00150435,0.00151337,0.00148284
2025-12-05 12:00:00,0.00148464,0.00150601,0.00148296
2025-12-05 16:00:00,0.00146918,0.00148686,0.00146101
2025-12-05 20:00:00,0.00140868,0.00146091,0.00140476
2025-12-06 00:00:00,0.00141657,0.00141925,0.0014068
2025-12-06 04:00:00,0.00140789,0.00141112,0.00140467
2025-12-06 08:00:00,0.00141243,0.00141244,0.0014066
2025-12-06 12:00:00,0.00141769,0.00141769,0.00139646
2025-12-06 16:00:00,0.0014324,0.00150837,0.00141441
2025-12-06 20:00:00,0.00143103,0.00144451,0.00142971
2025-12-07 00:00:00,0.00141611,0.00143193,0.00141477
2025-12-07 04:00:00,0.00142736,0.00142736,0.00141407
2025-12-07 08:00:00,0.00143243,0.00143465,0.00142911
2025-12-07 12:00:00,0.00141654,0.00143232,0.00141591
2025-12-07 16:00:00,0.00138298,0.00141754,0.00137623
2025-12-07 20:00:00,0.00143241,0.00143428,0.00137817
2025-12-08 00:00:00,0.00139853,0.0014381,0.00139184
2025-12-08 04:00:00,0.00145579,0.00145756,0.00139582
2025-12-08 08:00:00,0.00145806,0.00146123,0.00145353
2025-12-08 12:00:00,0.00149454,0.00149909,0.00145913
2025-12-08 16:00:00,0.00144772,0.00150268,0.0014448
2025-12-08 20:00:00,0.00144717,0.00146288,0.00144468
2025-12-09 00:00:00,0.00141962,0.0014524,0.00141962
2025-12-09 04:00:00,0.00140504,0.00142329,0.00139407
2025-12-09 08:00:00,0.00140787,0.00140969,0.00139625
2025-12-09 12:00:00,0.00139943,0.00140716,0.00137778
2025-12-09 16:00:00,0.00149954,0.00149954,0.0014138
2025-12-09 20:00:00,0.00151419,0.00156114,0.00150187
2025-12-10 00:00:00,0.00148464,0.0015192,0.00148409
2025-12-10 04:00:00,0.00147189,0.00148838,0.00147189
2025-12-10 08:00:00,0.00140802,0.00146379,0.00140583
2025-12-10 12:00:00,0.0014181,0.00143764,0.00140859
2025-12-10 16:00:00,0.00125441,0.00142025,0.00124678
2025-12-10 20:00:00,0.00136048,0.00136048,0.00122174
2025-12-11 00:00:00,0.00126594,0.00137142,0.00126594
2025-12-11 04:00:00,0.0012019,0.00127056,0.00118338
2025-12-11 08:00:00,0.00117785,0.0012078,0.00117346
2025-12-11 12:00:00,0.00119388,0.00119689,0.0011643
2025-12-11 16:00:00,0.00115233,0.00119141,0.00113403
2025-12-11 20:00:00,0.00114349,0.001154,0.00113358
2025-12-12 00:00:00,0.0012106,0.00124034,0.00114088
2025-12-12 04:00:00,0.00124212,0.0012447,0.00120108
2025-12-12 08:00:00,0.00126368,0.00126792,0.00123746
2025-12-12 12:00:00,0.00121323,0.00127158,0.00121248
2025-12-12 16:00:00,0.00112699,0.00121041,0.00112699
2025-12-12 20:00:00,0.00111633,0.00112774,0.00111244
2025-12-13 00:00:00,0.00111191,0.00111647,0.00111191
2025-12-13 04:00:00,0.00111738,0.00111769,0.00110372
2025-12-13 08:00:00,0.00111017,0.00111609,0.00110392
2025-12-13 12:00:00,0.00112537,0.00113334,0.00110684
2025-12-13 16:00:00,0.00111878,0.00112613,0.00111655
2025-12-13 20:00:00,0.00111169,0.00112127,0.00110583
2025-12-14 00:00:00,0.00110681,0.00111165,0.00110499
2025-12-14 04:00:00,0.00105732,0.00110759,0.00105646
2025-12-14 08:00:00,0.00105809,0.00105941,0.00104701
2025-12-14 12:00:00,0.00104764,0.00106151,0.00104086
2025-12-14 16:00:00,0.00103786,0.00106404,0.00103786
2025-12-14 20:00:00,0.0009951,0.0010464,0.00098717
2025-12-15 00:00:00,0.00099175,0.00099943,0.00099153
2025-12-15 04:00:00,0.0010289,0.00103526,0.00099238
2025-12-15 08:00:00,0.00104138,0.0010494,0.00102801
2025-12-15 12:00:00,0.0010331,0.00104518,0.0010331
