,close,high,low
2025-12-04 16:00:00,0.258626,0.259069,0.254074
2025-12-04 20:00:00,0.249266,0.258684,0.244195
2025-12-05 00:00:00,0.244973,0.249191,0.243611
2025-12-05 04:00:00,0.242892,0.245927,0.242572
2025-12-05 08:00:00,0.245838,0.246001,0.240499
2025-12-05 12:00:00,0.238244,0.245741,0.237721
2025-12-05 16:00:00,0.235954,0.239834,0.234936
2025-12-05 20:00:00,0.223529,0.23479,0.221149
2025-12-06 00:00:00,0.223947,0.224446,0.220338
2025-12-06 04:00:00,0.226321,0.227311,0.222374
2025-12-06 08:00:00,0.222881,0.226412,0.221121
2025-12-06 12:00:00,0.222993,0.223177,0.219569
2025-12-06 16:00:00,0.223956,0.225458,0.22236
2025-12-06 20:00:00,0.227679,0.230894,0.22382
2025-12-07 00:00:00,0.232471,0.234305,0.227792
2025-12-07 04:00:00,0.231078,0.232264,0.229535
2025-12-07 08:00:00,0.226151,0.231718,0.225956
2025-12-07 12:00:00,0.22415,0.226274,0.223279
2025-12-07 16:00:00,0.218326,0.225499,0.21532
2025-12-07 20:00:00,0.224541,0.225471,0.217554
2025-12-08 00:00:00,0.214382,0.224727,0.213112
2025-12-08 04:00:00,0.221083,0.221287,0.212606
2025-12-08 08:00:00,0.221581,0.222676,0.220303
2025-12-08 12:00:00,0.219198,0.223948,0.219198
2025-12-08 16:00:00,0.220454,0.221682,0.216829
2025-12-08 20:00:00,0.223828,0.224485,0.220089
2025-12-09 00:00:00,0.223419,0.224892,0.222055
2025-12-09 04:00:00,0.225621,0.226111,0.221561
2025-12-09 08:00:00,0.225985,0.232901,0.22366
2025-12-09 12:00:00,0.230467,0.231115,0.223041
2025-12-09 16:00:00,0.241488,0.249309,0.229801
2025-12-09 20:00:00,0.245362,0.248704,0.241914
2025-12-10 00:00:00,0.239131,0.245333,0.23908
2025-12-10 04:00:00,0.236247,0.239246,0.233171
2025-12-10 08:00:00,0.234206,0.240003,0.233559
2025-12-10 12:00:00,0.229251,0.234571,0.22898
2025-12-10 16:00:00,0.230824,0.232083,0.226793
2025-12-10 20:00:00,0.237803,0.237803,0.230763
2025-12-11 00:00:00,0.233465,0.241543,0.229601
2025-12-11 04:00:00,0.219365,0.233289,0.219199
2025-12-11 08:00:00,0.222182,0.224523,0.218649
2025-12-11 12:00:00,0.227578,0.22892,0.222018
2025-12-11 16:00:00,0.239492,0.245318,0.226681
