,close,high,low
2025-12-05 16:00:00,7.17,7.24,7.1
2025-12-05 20:00:00,6.94,7.13,6.87
2025-12-06 00:00:00,6.97,6.97,6.88
2025-12-06 04:00:00,7.0,7.04,6.97
2025-12-06 08:00:00,7.0,7.04,6.98
2025-12-06 12:00:00,7.0,7.02,6.94
2025-12-06 16:00:00,7.07,7.07,6.96
2025-12-06 20:00:00,7.0,7.17,7.0
2025-12-07 00:00:00,7.08,7.08,6.97
2025-12-07 04:00:00,7.09,7.16,7.04
2025-12-07 08:00:00,7.11,7.16,7.06
2025-12-07 12:00:00,7.01,7.15,7.0
2025-12-07 16:00:00,6.93,7.08,6.79
2025-12-07 20:00:00,7.22,7.31,6.91
2025-12-08 00:00:00,6.92,7.23,6.89
2025-12-08 04:00:00,7.17,7.19,6.93
2025-12-08 08:00:00,7.58,7.61,7.17
2025-12-08 12:00:00,7.52,7.69,7.49
2025-12-08 16:00:00,7.28,7.52,7.25
2025-12-08 20:00:00,7.32,7.4,7.23
2025-12-09 00:00:00,7.37,7.48,7.31
2025-12-09 04:00:00,7.24,7.39,7.22
2025-12-09 08:00:00,7.49,7.49,7.19
2025-12-09 12:00:00,7.56,7.65,7.49
2025-12-09 16:00:00,7.82,7.82,7.49
2025-12-09 20:00:00,7.69,7.86,7.63
2025-12-10 00:00:00,7.6,7.68,7.54
2025-12-10 04:00:00,7.53,7.66,7.53
2025-12-10 08:00:00,7.56,7.62,7.52
2025-12-10 12:00:00,7.56,7.64,7.47
2025-12-10 16:00:00,7.54,7.67,7.54
2025-12-10 20:00:00,7.71,7.73,7.53
2025-12-11 00:00:00,7.44,7.86,7.44
2025-12-11 04:00:00,7.14,7.43,7.12
2025-12-11 08:00:00,7.19,7.28,7.11
2025-12-11 12:00:00,7.19,7.23,7.14
2025-12-11 16:00:00,7.34,7.46,7.21
2025-12-11 20:00:00,7.36,7.43,7.26
2025-12-12 00:00:00,7.52,7.69,7.36
2025-12-12 04:00:00,7.64,7.67,7.48
2025-12-12 08:00:00,7.62,7.75,7.6
2025-12-12 12:00:00,7.62,7.67,7.56
2025-12-12 16:00:00,7.36,7.65,7.36
2025-12-12 20:00:00,7.3,7.42,7.23
2025-12-13 00:00:00,7.39,7.41,7.27
2025-12-13 04:00:00,7.55,7.57,7.39
2025-12-13 08:00:00,7.46,7.58,7.45
2025-12-13 12:00:00,7.61,7.61,7.46
2025-12-13 16:00:00,7.61,7.67,7.53
2025-12-13 20:00:00,7.6,7.63,7.52
2025-12-14 00:00:00,7.54,7.6,7.49
2025-12-14 04:00:00,7.5,7.56,7.5
2025-12-14 08:00:00,7.46,7.52,7.44
2025-12-14 12:00:00,7.45,7.54,7.39
2025-12-14 16:00:00,7.33,7.49,7.32
2025-12-14 20:00:00,7.25,7.39,7.24
2025-12-15 00:00:00,7.15,7.29,7.11
2025-12-15 04:00:00,7.24,7.35,7.12
2025-12-15 08:00:00,7.25,7.36,7.24
2025-12-15 12:00:00,7.13,7.26,7.12
2025-12-15 16:00:00,6.91,7.22,6.87
2025-12-15 20:00:00,6.76,6.92,6.61
2025-12-16 00:00:00,6.84,6.86,6.71
2025-12-16 04:00:00,6.76,6.87,6.76
2025-12-16 08:00:00,6.68,6.79,6.67
2025-12-16 12:00:00,6.67,6.75,6.63
2025-12-16 16:00:00,6.68,6.68,6.48
2025-12-16 20:00:00,6.64,6.7,6.54
2025-12-17 00:00:00,6.63,6.67,6.6
2025-12-17 04:00:00,6.49,6.64,6.49
2025-12-17 08:00:00,6.35,6.54,6.29
2025-12-17 12:00:00,6.3,6.34,6.2
2025-12-17 16:00:00,6.21,6.44,6.21
2025-12-17 20:00:00,6.02,6.21,5.97
2025-12-18 00:00:00,6.03,6.05,6.0
2025-12-18 04:00:00,5.88,6.05,5.86
2025-12-18 08:00:00,5.78,5.91,5.78
2025-12-18 12:00:00,5.83,5.86,5.75
2025-12-18 16:00:00,5.95,6.04,5.85
2025-12-18 20:00:00,5.55,5.97,5.55
2025-12-19 00:00:00,5.56,5.62,5.5
2025-12-19 04:00:00,5.72,5.72,5.46
2025-12-19 08:00:00,5.79,5.8,5.66
2025-12-19 12:00:00,5.77,5.82,5.72
2025-12-19 16:00:00,5.74,5.9,5.74
2025-12-19 20:00:00,5.77,5.81,5.63
2025-12-20 00:00:00,5.76,5.83,5.74
2025-12-20 04:00:00,5.76,5.76,5.76
2025-12-20 08:00:00,5.76,5.76,5.76
2025-12-20 12:00:00,5.69,5.8,5.65
2025-12-20 16:00:00,5.74,5.76,5.65
2025-12-20 20:00:00,5.94,5.97,5.7
2025-12-21 00:00:00,5.85,5.94,5.82
2025-12-21 04:00:00,5.79,5.86,5.74
2025-12-21 08:00:00,5.76,5.79,5.74
2025-12-21 12:00:00,5.73,5.83,5.73
2025-12-21 16:00:00,5.67,5.75,5.6
2025-12-21 20:00:00,5.7,5.71,5.65
2025-12-22 00:00:00,5.7,5.73,5.64
2025-12-22 04:00:00,5.76,5.81,5.7
