,close,high,low
2025-12-04 16:00:00,53.06,54.34,52.92
2025-12-04 20:00:00,48.99,53.02,48.82
2025-12-05 00:00:00,48.55,49.26,48.55
2025-12-05 04:00:00,49.63,49.77,48.48
2025-12-05 08:00:00,49.01,49.76,48.97
2025-12-05 12:00:00,46.71,49.02,46.56
2025-12-05 16:00:00,45.63,47.21,45.6
2025-12-05 20:00:00,45.37,45.54,43.98
2025-12-06 00:00:00,44.62,45.45,44.58
2025-12-06 04:00:00,44.59,45.08,44.21
2025-12-06 08:00:00,45.09,45.4,44.29
2025-12-06 12:00:00,44.94,45.32,44.01
2025-12-06 16:00:00,44.75,45.04,44.34
2025-12-06 20:00:00,44.65,45.25,44.63
2025-12-07 00:00:00,44.64,44.69,44.41
2025-12-07 04:00:00,43.46,44.64,43.41
2025-12-07 08:00:00,44.11,44.72,43.45
2025-12-07 12:00:00,43.74,44.53,43.5
2025-12-07 16:00:00,42.52,44.03,41.64
2025-12-07 20:00:00,44.26,44.56,42.67
2025-12-08 00:00:00,43.38,44.57,42.97
2025-12-08 04:00:00,44.04,44.98,42.98
2025-12-08 08:00:00,44.81,45.41,44.36
2025-12-08 12:00:00,45.05,45.37,44.79
2025-12-08 16:00:00,44.05,45.03,43.93
2025-12-08 20:00:00,42.9,44.05,42.75
2025-12-09 00:00:00,43.52,44.44,42.91
2025-12-09 04:00:00,43.51,43.63,42.75
2025-12-09 08:00:00,42.82,43.54,42.61
2025-12-09 12:00:00,42.47,43.2,42.38
2025-12-09 16:00:00,44.28,44.28,42.49
2025-12-09 20:00:00,45.78,46.31,44.28
2025-12-10 00:00:00,44.05,45.27,43.99
2025-12-10 04:00:00,43.61,44.06,43.45
2025-12-10 08:00:00,43.46,44.13,43.19
2025-12-10 12:00:00,42.86,43.55,42.85
2025-12-10 16:00:00,42.63,43.11,42.4
2025-12-10 20:00:00,43.35,43.41,42.29
2025-12-11 00:00:00,42.71,43.7,42.56
2025-12-11 04:00:00,38.46,42.73,38.42
2025-12-11 08:00:00,38.22,38.51,37.32
2025-12-11 12:00:00,38.03,38.32,38.03
2025-12-11 16:00:00,38.32,38.95,37.65
2025-12-11 20:00:00,39.1,39.15,38.05
2025-12-12 00:00:00,39.46,40.15,39.08
2025-12-12 04:00:00,39.45,40.02,39.15
2025-12-12 08:00:00,38.72,39.45,38.52
2025-12-12 12:00:00,38.34,39.03,38.21
2025-12-12 16:00:00,36.99,38.61,36.97
2025-12-12 20:00:00,36.54,37.19,36.16
2025-12-13 00:00:00,37.12,37.41,36.5
2025-12-13 04:00:00,36.91,37.37,36.68
2025-12-13 08:00:00,37.31,37.33,36.71
2025-12-13 12:00:00,37.88,38.03,37.29
2025-12-13 16:00:00,38.1,38.37,37.39
2025-12-13 20:00:00,38.13,38.58,37.78
2025-12-14 00:00:00,37.88,38.48,37.46
2025-12-14 04:00:00,36.85,38.11,36.44
2025-12-14 08:00:00,37.52,37.52,36.44
2025-12-14 12:00:00,36.9,37.54,36.82
2025-12-14 16:00:00,36.54,36.99,36.43
2025-12-14 20:00:00,36.24,36.9,35.86
2025-12-15 00:00:00,35.28,36.24,35.15
