,close,high,low
2025-12-04 12:00:00,0.833998,0.839309,0.832023
2025-12-04 16:00:00,0.834191,0.83433,0.824231
2025-12-04 20:00:00,0.821561,0.836383,0.809287
2025-12-05 00:00:00,0.821586,0.822677,0.817263
2025-12-05 04:00:00,0.829959,0.836208,0.820543
2025-12-05 08:00:00,0.851255,0.851255,0.824151
2025-12-05 12:00:00,0.830357,0.854866,0.823891
2025-12-05 16:00:00,0.811177,0.829558,0.806156
2025-12-05 20:00:00,0.78971,0.809858,0.784063
2025-12-06 00:00:00,0.794997,0.797167,0.784398
2025-12-06 04:00:00,0.803045,0.803045,0.792578
2025-12-06 08:00:00,0.807657,0.809593,0.800144
2025-12-06 12:00:00,0.802322,0.807123,0.794636
2025-12-06 16:00:00,0.803939,0.803939,0.797599
2025-12-06 20:00:00,0.809784,0.815779,0.803352
2025-12-07 00:00:00,0.81982,0.834284,0.810104
2025-12-07 04:00:00,0.819477,0.824508,0.817997
2025-12-07 08:00:00,0.811199,0.819897,0.808738
2025-12-07 12:00:00,0.805875,0.811856,0.80423
2025-12-07 16:00:00,0.797498,0.808002,0.787983
2025-12-07 20:00:00,0.813938,0.819558,0.796556
2025-12-08 00:00:00,0.787235,0.815523,0.786799
2025-12-08 04:00:00,0.806181,0.806471,0.786556
2025-12-08 08:00:00,0.815786,0.817019,0.805899
2025-12-08 12:00:00,0.817353,0.82232,0.81323
2025-12-08 16:00:00,0.811858,0.820558,0.810659
2025-12-08 20:00:00,0.803656,0.81655,0.800803
2025-12-09 00:00:00,0.80627,0.811841,0.802743
2025-12-09 04:00:00,0.809045,0.809392,0.803259
2025-12-09 08:00:00,0.809474,0.809907,0.803368
2025-12-09 12:00:00,0.808796,0.809683,0.804785
2025-12-09 16:00:00,0.828135,0.828135,0.809115
2025-12-09 20:00:00,0.837911,0.845811,0.82945
2025-12-10 00:00:00,0.830009,0.837884,0.824576
2025-12-10 04:00:00,0.826038,0.830429,0.823832
2025-12-10 08:00:00,0.823953,0.828356,0.822683
2025-12-10 12:00:00,0.815742,0.82463,0.814896
2025-12-10 16:00:00,0.823256,0.825657,0.816409
2025-12-10 20:00:00,0.832777,0.833054,0.821432
2025-12-11 00:00:00,0.812854,0.839814,0.812854
2025-12-11 04:00:00,0.783791,0.815268,0.781593
2025-12-11 08:00:00,0.789995,0.793392,0.783814
2025-12-11 12:00:00,0.800056,0.803138,0.788235
2025-12-11 16:00:00,0.797613,0.804043,0.7951
2025-12-11 20:00:00,0.804527,0.809057,0.791806
2025-12-12 00:00:00,0.81014,0.821263,0.802298
2025-12-12 04:00:00,0.809412,0.815156,0.806118
2025-12-12 08:00:00,0.810316,0.812782,0.80586
2025-12-12 12:00:00,0.807856,0.81282,0.807388
2025-12-12 16:00:00,0.778458,0.809006,0.778458
2025-12-12 20:00:00,0.770766,0.777051,0.769158
2025-12-13 00:00:00,0.78001,0.781625,0.769768
2025-12-13 04:00:00,0.787051,0.787266,0.78033
2025-12-13 08:00:00,0.788105,0.788904,0.782509
2025-12-13 12:00:00,0.789215,0.793146,0.787848
2025-12-13 16:00:00,0.793597,0.796807,0.788228
2025-12-13 20:00:00,0.796077,0.800058,0.792499
2025-12-14 00:00:00,0.791542,0.796418,0.788397
2025-12-14 04:00:00,0.787344,0.793703,0.786301
2025-12-14 08:00:00,0.780511,0.787953,0.780446
2025-12-14 12:00:00,0.771542,0.782905,0.771542
2025-12-14 16:00:00,0.763991,0.774333,0.76328
2025-12-14 20:00:00,0.753483,0.765592,0.753483
2025-12-15 00:00:00,0.744521,0.75534,0.743494
2025-12-15 04:00:00,0.743771,0.753792,0.740599
2025-12-15 08:00:00,0.744026,0.749535,0.743202
2025-12-15 12:00:00,0.752159,0.756356,0.746559
2025-12-15 16:00:00,0.714627,0.752661,0.714627
2025-12-15 20:00:00,0.724777,0.727513,0.708208
2025-12-16 00:00:00,0.731012,0.731012,0.721272
2025-12-16 04:00:00,0.728891,0.730741,0.72648
2025-12-16 08:00:00,0.735713,0.760463,0.726997
2025-12-16 12:00:00,0.734574,0.740984,0.722902
2025-12-16 16:00:00,0.742007,0.742007,0.727866
2025-12-16 20:00:00,0.741061,0.744888,0.735799
2025-12-17 00:00:00,0.734497,0.741576,0.734154
2025-12-17 04:00:00,0.732779,0.738154,0.730329
2025-12-17 08:00:00,0.732448,0.735751,0.72905
2025-12-17 12:00:00,0.73217,0.732636,0.726528
2025-12-17 16:00:00,0.722181,0.737112,0.720617
2025-12-17 20:00:00,0.695624,0.720061,0.689842
2025-12-18 00:00:00,0.698264,0.70434,0.695956
2025-12-18 04:00:00,0.691868,0.701191,0.691868
2025-12-18 08:00:00,0.680937,0.695252,0.680218
2025-12-18 12:00:00,0.68922,0.690366,0.680843
2025-12-18 16:00:00,0.711515,0.713636,0.689437
2025-12-18 20:00:00,0.655012,0.710397,0.655012
2025-12-19 00:00:00,0.670029,0.679944,0.653942
2025-12-19 04:00:00,0.685103,0.685441,0.665201
2025-12-19 08:00:00,0.689008,0.692266,0.681319
2025-12-19 12:00:00,0.69625,0.69625,0.689538
2025-12-19 16:00:00,0.712149,0.714501,0.695688
2025-12-19 20:00:00,0.72256,0.723542,0.70915
2025-12-20 00:00:00,0.717981,0.722338,0.711585
2025-12-20 04:00:00,0.71687,0.717405,0.712987
2025-12-20 08:00:00,0.719105,0.719815,0.710269
2025-12-20 12:00:00,0.722184,0.723735,0.715423
2025-12-20 16:00:00,0.71811,0.723893,0.716696
2025-12-20 20:00:00,0.717326,0.720089,0.715587
2025-12-21 00:00:00,0.721201,0.722335,0.717162
2025-12-21 04:00:00,0.723018,0.732573,0.717265
2025-12-21 08:00:00,0.718838,0.725067,0.718527
2025-12-21 12:00:00,0.714567,0.720123,0.714099
